sDate,sPrice
2000-01-01,1113330
2000-04-01,1275860
2000-07-01,1339400
2000-10-01,1287610
2001-01-01,1127120
2001-04-01,1157790
2001-07-01,1083970
2001-10-01,1222600
2002-01-01,1150080
2002-04-01,1308820
2002-07-01,1297590
2002-10-01,1369470
2003-01-01,1273750
2003-04-01,1329850
2003-07-01,1434490
2003-10-01,1601510
2004-01-01,1526450
2004-04-01,1648570
2004-07-01,1644270
2004-10-01,1707610
2005-01-01,1573160
2005-04-01,1721000
2005-07-01,1750150
2005-10-01,1980020
2006-01-01,1794700
2006-04-01,1932640
2006-07-01,2021630
2006-10-01,2074510
2007-01-01,1931080
2007-04-01,2099580
2007-07-01,2262580
2007-10-01,2347720
2008-01-01,2192450
2008-04-01,2290820
2008-07-01,2301310
2008-10-01,1904240
2009-01-01,1620990
2009-04-01,1902180
2009-07-01,2133970
2009-10-01,2299910
2010-01-01,2238820
2010-04-01,2523020
2010-07-01,2584700
2010-10-01,2653410
2011-01-01,2481810
2011-04-01,2656930
2011-07-01,2611260
2011-10-01,2669700
2012-01-01,2409310
2012-04-01,2583340
2012-07-01,2697860
2012-10-01,2771620
2013-01-01,2509070
2013-04-01,2702620
2013-07-01,2744800
2013-10-01,2871640
2014-01-01,2619030
2014-04-01,2840210
2014-07-01,2951740
2014-10-01,3056690
2015-01-01,2779640
2015-04-01,2819090
2015-07-01,2864330
2015-10-01,2984030
2016-01-01,2671560
2016-04-01,2801630
2016-07-01,2967060
