sDate,sPrice
2000-01-01,60.76
2000-02-01,61.6
2000-03-01,62.41
2000-04-01,63.2
2000-05-01,63.88
2000-06-01,64.38
2000-07-01,64.67
2000-08-01,64.7
2000-09-01,64.49
2000-10-01,63.98
2000-11-01,63.21
2000-12-01,62.27
2001-01-01,61.21
2001-02-01,60.11
2001-03-01,59.0
2001-04-01,57.97
2001-05-01,57.09
2001-06-01,56.42
2001-07-01,55.92
2001-08-01,55.63
2001-09-01,55.58
2001-10-01,55.82
2001-11-01,56.25
2001-12-01,56.88
2002-01-01,57.7
2002-02-01,58.66
2002-03-01,59.65
2002-04-01,60.51
2002-05-01,61.16
2002-06-01,61.55
2002-07-01,61.77
2002-08-01,61.88
2002-09-01,61.96
2002-10-01,62.05
2002-11-01,62.17
2002-12-01,62.3
2003-01-01,62.42
2003-02-01,62.53
2003-03-01,62.6
2003-04-01,62.73
2003-05-01,63.04
2003-06-01,63.65
2003-07-01,64.54
2003-08-01,65.61
2003-09-01,66.74
2003-10-01,67.9
2003-11-01,69.01
2003-12-01,70.01
2004-01-01,70.78
2004-02-01,71.34
2004-03-01,71.76
2004-04-01,72.1
2004-05-01,72.38
2004-06-01,72.57
2004-07-01,72.69
2004-08-01,72.78
2004-09-01,72.89
2004-10-01,73.0
2004-11-01,73.1
2004-12-01,73.26
2005-01-01,73.43
2005-02-01,73.65
2005-03-01,73.92
2005-04-01,74.21
2005-05-01,74.52
2005-06-01,74.88
2005-07-01,75.35
2005-08-01,76.01
2005-09-01,76.78
2005-10-01,77.56
2005-11-01,78.27
2005-12-01,78.86
2006-01-01,79.31
2006-02-01,79.61
2006-03-01,79.77
2006-04-01,79.85
2006-05-01,79.89
2006-06-01,79.92
2006-07-01,79.93
2006-08-01,80.02
2006-09-01,80.16
2006-10-01,80.38
2006-11-01,80.64
2006-12-01,80.93
2007-01-01,81.27
2007-02-01,81.69
2007-03-01,82.24
2007-04-01,82.95
2007-05-01,83.78
2007-06-01,84.68
2007-07-01,85.64
2007-08-01,86.57
2007-09-01,87.47
2007-10-01,88.36
2007-11-01,89.19
2007-12-01,89.98
2008-01-01,90.64
2008-02-01,91.04
2008-03-01,91.13
2008-04-01,90.92
2008-05-01,90.25
2008-06-01,88.98
2008-07-01,86.98
2008-08-01,84.27
2008-09-01,80.71
2008-10-01,76.44
2008-11-01,72.07
2008-12-01,68.56
2009-01-01,66.58
2009-02-01,66.26
2009-03-01,67.16
2009-04-01,68.99
2009-05-01,71.4
2009-06-01,74.14
2009-07-01,76.86
2009-08-01,79.36
2009-09-01,81.65
2009-10-01,83.63
2009-11-01,85.34
2009-12-01,86.92
2010-01-01,88.35
2010-02-01,89.73
2010-03-01,90.98
2010-04-01,92.09
2010-05-01,93.13
2010-06-01,94.13
2010-07-01,95.19
2010-08-01,96.27
2010-09-01,97.41
2010-10-01,98.56
2010-11-01,99.7
2010-12-01,100.7
2011-01-01,101.42
2011-02-01,101.8
2011-03-01,101.86
2011-04-01,101.66
2011-05-01,101.34
2011-06-01,100.91
2011-07-01,100.46
2011-08-01,99.98
2011-09-01,99.51
2011-10-01,99.15
2011-11-01,98.9
2011-12-01,98.77
2012-01-01,98.81
2012-02-01,98.94
2012-03-01,99.28
2012-04-01,99.59
2012-05-01,99.8
2012-06-01,99.9
2012-07-01,100.08
2012-08-01,100.28
2012-09-01,100.46
2012-10-01,100.6
2012-11-01,100.65
2012-12-01,100.68
2013-01-01,100.7
2013-02-01,100.61
2013-03-01,100.54
2013-04-01,100.58
2013-05-01,100.71
2013-06-01,100.87
2013-07-01,101.01
2013-08-01,101.25
2013-09-01,101.6
2013-10-01,102.06
2013-11-01,102.63
2013-12-01,103.27
2014-01-01,104.411
2014-02-01,104.96
2014-03-01,105.531
2014-04-01,106.143
2014-05-01,106.718
2014-06-01,107.24
2014-07-01,107.686
2014-08-01,108.07
2014-09-01,108.327
2014-10-01,108.468
2014-11-01,108.499
2014-12-01,108.354
2015-01-01,108.043
2015-02-01,107.565
2015-03-01,106.941
2015-04-01,106.257
2015-05-01,105.608
2015-06-01,105.042
2015-07-01,104.59
2015-08-01,104.243
2015-09-01,104.022
2015-10-01,103.886
2015-11-01,103.691
2015-12-01,103.44
2016-01-01,103.21
2016-02-01,103.15
2016-03-01,103.399
2016-04-01,103.988
2016-05-01,104.822
2016-06-01,105.829
2016-07-01,106.936
2016-08-01,108.057
2016-09-01,109.2
2016-10-01,110.419
