sDate,sPrice
2000-01-01,206144
2000-02-01,206857
2000-03-01,209145
2000-04-01,208844
2000-05-01,207713
2000-06-01,209936
2000-07-01,209849
2000-08-01,211122
2000-09-01,211574
2000-10-01,212878
2000-11-01,215329
2000-12-01,219344
2001-01-01,221940
2001-02-01,222556
2001-03-01,223251
2001-04-01,222397
2001-05-01,223093
2001-06-01,227020
2001-07-01,227318
2001-08-01,228602
2001-09-01,229349
2001-10-01,229375
2001-11-01,230501
2001-12-01,234565
2002-01-01,236028
2002-02-01,238480
2002-03-01,239537
2002-04-01,239303
2002-05-01,239211
2002-06-01,242751
2002-07-01,242077
2002-08-01,243300
2002-09-01,243274
2002-10-01,244089
2002-11-01,246325
2002-12-01,249384
2003-01-01,253791
2003-02-01,253253
2003-03-01,253151
2003-04-01,253985
2003-05-01,255484
2003-06-01,257543
2003-07-01,259625
2003-08-01,262229
2003-09-01,263629
2003-10-01,265880
2003-11-01,267847
2003-12-01,273135
2004-01-01,278417
2004-02-01,280566
2004-03-01,283166
2004-04-01,285185
2004-05-01,284447
2004-06-01,286873
2004-07-01,287992
2004-08-01,289277
2004-09-01,289845
2004-10-01,291755
2004-11-01,293574
2004-12-01,298903
2005-01-01,301447
2005-02-01,303608
2005-03-01,305141
2005-04-01,306484
2005-05-01,306756
2005-06-01,311602
2005-07-01,312930
2005-08-01,313511
2005-09-01,315077
2005-10-01,315544
2005-11-01,318668
2005-12-01,324487
2006-01-01,329076
2006-02-01,329475
2006-03-01,330625
2006-04-01,333889
2006-05-01,334309
2006-06-01,336191
2006-07-01,336554
2006-08-01,338632
2006-09-01,340985
2006-10-01,341874
2006-11-01,345141
2006-12-01,350416
2007-01-01,353338
2007-02-01,357551
2007-03-01,358372
2007-04-01,359757
2007-05-01,360134
2007-06-01,362398
2007-07-01,363393
2007-08-01,363891
2007-09-01,364726
2007-10-01,365621
2007-11-01,366160
2007-12-01,368449
2008-01-01,374756
2008-02-01,376163
2008-03-01,378314
2008-04-01,379863
2008-05-01,379667
2008-06-01,378444
2008-07-01,379971
2008-08-01,381275
2008-09-01,380684
2008-10-01,382188
2008-11-01,383570
2008-12-01,388270
2009-01-01,392716
2009-02-01,395522
2009-03-01,398131
2009-04-01,400100
2009-05-01,401866
2009-06-01,402521
2009-07-01,404327
2009-08-01,404946
2009-09-01,407053
2009-10-01,410633
2009-11-01,411990
2009-12-01,416730
2010-01-01,419068
2010-02-01,421278
2010-03-01,422487
2010-04-01,424636
2010-05-01,425497
2010-06-01,427967
2010-07-01,430824
2010-08-01,432966
2010-09-01,434254
2010-10-01,437563
2010-11-01,439840
2010-12-01,445203
2011-01-01,449781
2011-02-01,450490
2011-03-01,451157
2011-04-01,453712
2011-05-01,452854
2011-06-01,455772
2011-07-01,459556
2011-08-01,459503
2011-09-01,461545
2011-10-01,463398
2011-11-01,465298
2011-12-01,469541
2012-01-01,475821
2012-02-01,475936
2012-03-01,478245
2012-04-01,479200
2012-05-01,479603
2012-06-01,481851
2012-07-01,484378
2012-08-01,487422
2012-09-01,487252
2012-10-01,488540
2012-11-01,491424
2012-12-01,496032
2013-01-01,501292
2013-02-01,504083
2013-03-01,506718
2013-04-01,508113
2013-05-01,509981
2013-06-01,512759
2013-07-01,516982
2013-08-01,518774
2013-09-01,519634
2013-10-01,522998
2013-11-01,525052
2013-12-01,530162
2014-01-01,536732
2014-02-01,539067
2014-03-01,542113
2014-04-01,544488
2014-05-01,545225
2014-06-01,547053
2014-07-01,552206
2014-08-01,555035
2014-09-01,554773
2014-10-01,557382
2014-11-01,562007
2014-12-01,568299
2015-01-01,572591
2015-02-01,579323
2015-03-01,580570
2015-04-01,583563
2015-05-01,585672
2015-06-01,586084
2015-07-01,589431
2015-08-01,593652
2015-09-01,595729
2015-10-01,598658
2015-11-01,601213
2015-12-01,607126
2016-01-01,612903
2016-02-01,615887
2016-03-01,616387
2016-04-01,620356
2016-05-01,619007
2016-06-01,622556
2016-07-01,625699
2016-08-01,628040
2016-09-01,628229
2016-10-01,630526
