sDate,sPrice
2000-01-01,2225940
2000-04-01,2213600
2000-07-01,2308620
2000-10-01,2439880
2001-01-01,2237500
2001-04-01,2135850
2001-07-01,2175440
2001-10-01,2374640
2002-01-01,2272030
2002-04-01,2282610
2002-07-01,2362940
2002-10-01,2500380
2003-01-01,2398250
2003-04-01,2285420
2003-07-01,2436010
2003-10-01,2671470
2004-01-01,2534970
2004-04-01,2495330
2004-07-01,2621400
2004-10-01,2687440
2005-01-01,2557310
2005-04-01,2506440
2005-07-01,2630350
2005-10-01,2901180
2006-01-01,2671110
2006-04-01,2610960
2006-07-01,2769860
2006-10-01,2936900
2007-01-01,2744200
2007-04-01,2740960
2007-07-01,2907040
2007-10-01,3073840
2008-01-01,2885040
2008-04-01,2743310
2008-07-01,2711220
2008-10-01,2734060
2009-01-01,2611640
2009-04-01,2584230
2009-07-01,2724510
2009-10-01,2993740
2010-01-01,2975900
2010-04-01,2977560
2010-07-01,3051560
2010-10-01,3103230
2011-01-01,3158800
2011-04-01,2965890
2011-07-01,3026400
2011-10-01,3030480
2012-01-01,3074100
2012-04-01,3026430
2012-07-01,3153540
2012-10-01,3160760
2013-01-01,3201030
2013-04-01,3160170
2013-07-01,3305640
2013-10-01,3359040
2014-01-01,3382210
2014-04-01,3384560
2014-07-01,3496530
2014-10-01,3553320
2015-01-01,3667120
2015-04-01,3493870
2015-07-01,3634950
2015-10-01,3724820
2016-01-01,3727040
2016-04-01,3566370
2016-07-01,3715530
