sDate,sPrice
2000-01-01,3676
2000-04-01,3697
2000-07-01,3769
2000-10-01,3799
2001-01-01,3492
2001-04-01,3275
2001-07-01,3209
2001-10-01,3472
2002-01-01,3301
2002-04-01,3359
2002-07-01,3499
2002-10-01,3591
2003-01-01,3406
2003-04-01,3296
2003-07-01,3574
2003-10-01,3844
2004-01-01,3735
2004-04-01,3753
2004-07-01,3850
2004-10-01,4050
2005-01-01,4054
2005-04-01,4052
2005-07-01,4150
2005-10-01,4276
2006-01-01,4126
2006-04-01,4140
2006-07-01,4299
2006-10-01,4461
2007-01-01,4219
2007-04-01,4225
2007-07-01,4592
2007-10-01,4778
2008-01-01,4614
2008-04-01,4739
2008-07-01,4522
2008-10-01,4256
2009-01-01,3975
2009-04-01,4065
2009-07-01,4324
2009-10-01,4624
2010-01-01,4641
2010-04-01,4723
2010-07-01,4882
2010-10-01,5032
2011-01-01,5237
2011-04-01,5198
2011-07-01,5389
2011-10-01,5115
2012-01-01,5196
2012-04-01,5150
2012-07-01,5415
2012-10-01,5547
2013-01-01,5343
2013-04-01,5305
2013-07-01,5524
2013-10-01,5744
2014-01-01,5441
2014-04-01,5565
2014-07-01,5817
2014-10-01,5845
2015-01-01,5669
2015-04-01,5597
2015-07-01,5568
2015-10-01,5550
2016-01-01,5438
2016-04-01,5439
2016-07-01,5739
