sDate,sPrice
2000-01-01,114556
2000-04-01,114620
2000-07-01,118470
2000-10-01,125243
2001-01-01,116101
2001-04-01,111845
2001-07-01,113268
2001-10-01,122068
2002-01-01,118654
2002-04-01,118181
2002-07-01,121459
2002-10-01,127986
2003-01-01,123329
2003-04-01,118189
2003-07-01,124798
2003-10-01,134278
2004-01-01,129952
2004-04-01,128566
2004-07-01,134520
2004-10-01,137797
2005-01-01,132553
2005-04-01,130230
2005-07-01,135139
2005-10-01,146876
2006-01-01,138474
2006-04-01,136230
2006-07-01,142940
2006-10-01,149864
2007-01-01,144630
2007-04-01,144110
2007-07-01,152510
2007-10-01,158286
2008-01-01,152664
2008-04-01,146625
2008-07-01,143510
2008-10-01,142720
2009-01-01,140978
2009-04-01,138765
2009-07-01,144918
2009-10-01,154913
2010-01-01,155302
2010-04-01,155475
2010-07-01,159661
2010-10-01,158268
2011-01-01,161467
2011-04-01,154368
2011-07-01,160220
2011-10-01,157767
2012-01-01,160641
2012-04-01,157651
2012-07-01,165610
2012-10-01,166758
2013-01-01,163862
2013-04-01,161970
2013-07-01,169755
2013-10-01,174998
2014-01-01,172469
2014-04-01,172984
2014-07-01,179064
2014-10-01,184023
2015-01-01,186877
2015-04-01,177071
2015-07-01,184806
2015-10-01,189343
2016-01-01,189683
2016-04-01,181330
2016-07-01,187766
