sDate,sPrice
2000-01-01,2229320
2000-04-01,2236990
2000-07-01,2316550
2000-10-01,2460360
2001-01-01,2255100
2001-04-01,2167670
2001-07-01,2197520
2001-10-01,2395610
2002-01-01,2314620
2002-04-01,2309840
2002-07-01,2380520
2002-10-01,2526430
2003-01-01,2410210
2003-04-01,2302520
2003-07-01,2449250
2003-10-01,2656040
2004-01-01,2539080
2004-04-01,2512380
2004-07-01,2638740
2004-10-01,2708530
2005-01-01,2581380
2005-04-01,2541130
2005-07-01,2648360
2005-10-01,2910010
2006-01-01,2704440
2006-04-01,2655660
2006-07-01,2801400
2006-10-01,2955870
2007-01-01,2773250
2007-04-01,2771940
2007-07-01,2939220
2007-10-01,3106550
2008-01-01,2912220
2008-04-01,2763750
2008-07-01,2729920
2008-10-01,2755980
2009-01-01,2630160
2009-04-01,2603470
2009-07-01,2743310
2009-10-01,3008380
2010-01-01,2998820
2010-04-01,3000500
2010-07-01,3073870
2010-10-01,3121230
2011-01-01,3197580
2011-04-01,2999540
2011-07-01,3045680
2011-10-01,3047870
2012-01-01,3093540
2012-04-01,3044300
2012-07-01,3170800
2012-10-01,3184470
2013-01-01,3219820
2013-04-01,3180000
2013-07-01,3335470
2013-10-01,3380150
2014-01-01,3415640
2014-04-01,3438290
2014-07-01,3559460
2014-10-01,3605540
2015-01-01,3692360
2015-04-01,3529420
2015-07-01,3660080
2015-10-01,3748080
2016-01-01,3745080
2016-04-01,3594840
2016-07-01,3744700
