sDate,sPrice
2000-01-01,21400
2000-04-01,21215
2000-07-01,59767
2000-10-01,103612
2001-01-01,97461
2001-04-01,86039
2001-07-01,130159
2001-10-01,215548
2002-01-01,203515
2002-04-01,177953
2002-07-01,128764
2002-10-01,225065
2003-01-01,158861
2003-04-01,162776
2003-07-01,213786
2003-10-01,200164
2004-01-01,114760
2004-04-01,127703
2004-07-01,130994
2004-10-01,28289
2005-01-01,56080
2005-04-01,48607
2005-07-01,96333
2005-10-01,303500
2006-01-01,113557
2006-04-01,131299
2006-07-01,204503
2006-10-01,278638
2007-01-01,241487
2007-04-01,173454
2007-07-01,283525
2007-10-01,367123
2008-01-01,180751
2008-04-01,222101
2008-07-01,82850
2008-10-01,196871
2009-01-01,298724
2009-04-01,283082
2009-07-01,274254
2009-10-01,294115
2010-01-01,211195
2010-04-01,315192
2010-07-01,250320
2010-10-01,221462
2011-01-01,188902
2011-04-01,192083
2011-07-01,261627
2011-10-01,320151
2012-01-01,190389
2012-04-01,220628
2012-07-01,292905
2012-10-01,389448
2013-01-01,202358
2013-04-01,362826
2013-07-01,382859
2013-10-01,431478
2014-01-01,271918
2014-04-01,416067
2014-07-01,401967
2014-10-01,569263
2015-01-01,560557
2015-04-01,480440
2015-07-01,524045
2015-10-01,583328
2016-01-01,533612
2016-04-01,482797
2016-07-01,473191
