sDate,sPrice
2000-01-01,64025
2000-04-01,63333
2000-07-01,64966
2000-10-01,64894
2001-01-01,64476
2001-04-01,63322
2001-07-01,64749
2001-10-01,65123
2002-01-01,65738
2002-04-01,65094
2002-07-01,67380
2002-10-01,66841
2003-01-01,66206
2003-04-01,64080
2003-07-01,70517
2003-10-01,69570
2004-01-01,70710
2004-04-01,70313
2004-07-01,73023
2004-10-01,72571
2005-01-01,73667
2005-04-01,73296
2005-07-01,76199
2005-10-01,75316
2006-01-01,75323
2006-04-01,74916
2006-07-01,77419
2006-10-01,76757
2007-01-01,76755
2007-04-01,76297
2007-07-01,81061
2007-10-01,79967
2008-01-01,80393
2008-04-01,78022
2008-07-01,79972
2008-10-01,77304
2009-01-01,76879
2009-04-01,75300
2009-07-01,79066
2009-10-01,79674
2010-01-01,79700
2010-04-01,78908
2010-07-01,82874
2010-10-01,82519
2011-01-01,83865
2011-04-01,82501
2011-07-01,85965
2011-10-01,83926
2012-01-01,85849
2012-04-01,84602
2012-07-01,88527
2012-10-01,86315
2013-01-01,87261
2013-04-01,86534
2013-07-01,89644
2013-10-01,89892
2014-01-01,90119
2014-04-01,90482
2014-07-01,94157
2014-10-01,92225
2015-01-01,92455
2015-04-01,92411
2015-07-01,94192
2015-10-01,94329
2016-01-01,95450
2016-04-01,94611
2016-07-01,96738
