sDate,sPrice
2000-01-01,10
2000-04-01,23
2000-07-01,14
2000-10-01,7
2001-01-01,6
2001-04-01,5
2001-07-01,1
2001-10-01,9
2002-01-01,9
2002-04-01,9
2002-07-01,16
2002-10-01,9
2003-01-01,9
2003-04-01,9
2003-07-01,6
2003-10-01,6
2004-01-01,6
2004-04-01,0
2004-07-01,0
2004-10-01,4476
2005-01-01,1591
2005-04-01,8382
2005-07-01,12024
2005-10-01,13727
2006-01-01,10153
2006-04-01,7936
2006-07-01,18374
2006-10-01,10416
2007-01-01,11235
2007-04-01,12507
2007-07-01,3102
2007-10-01,3116
2008-01-01,644
2008-04-01,1460
2008-07-01,1073
2008-10-01,0
2009-01-01,0
2009-04-01,0
2009-07-01,0
2009-10-01,0
2010-01-01,192
2010-04-01,56
2010-07-01,0
2010-10-01,0
2011-01-01,0
2011-04-01,0
2011-07-01,146
2011-10-01,0
2012-01-01,102
2012-04-01,7
2012-07-01,0
2012-10-01,0
2013-01-01,1
2013-04-01,1
2013-07-01,1
2013-10-01,2
2014-01-01,1
2014-04-01,2
2014-07-01,1
2014-10-01,1
2015-01-01,1
2015-04-01,1
2015-07-01,1
2015-10-01,1
2016-01-01,1
2016-04-01,1
2016-07-01,1
