sDate,sPrice
2000-01-01,40753
2000-04-01,41460
2000-07-01,40486
2000-10-01,34757
2001-01-01,32329
2001-04-01,31705
2001-07-01,35868
2001-10-01,34336
2002-01-01,34901
2002-04-01,42834
2002-07-01,42390
2002-10-01,45033
2003-01-01,48247
2003-04-01,50960
2003-07-01,58092
2003-10-01,63054
2004-01-01,75000
2004-04-01,83083
2004-07-01,75464
2004-10-01,80888
2005-01-01,82528
2005-04-01,82184
2005-07-01,87654
2005-10-01,86732
2006-01-01,82262
2006-04-01,83284
2006-07-01,95986
2006-10-01,85833
2007-01-01,84593
2007-04-01,85770
2007-07-01,88714
2007-10-01,94525
2008-01-01,104378
2008-04-01,109635
2008-07-01,107611
2008-10-01,90361
2009-01-01,82613
2009-04-01,79681
2009-07-01,82114
2009-10-01,81963
2010-01-01,87401
2010-04-01,91175
2010-07-01,102026
2010-10-01,101581
2011-01-01,107992
2011-04-01,124610
2011-07-01,126520
2011-10-01,122528
2012-01-01,124325
2012-04-01,122290
2012-07-01,124555
2012-10-01,130821
2013-01-01,140220
2013-04-01,141996
2013-07-01,160848
2013-10-01,170134
2014-01-01,181316
2014-04-01,186927
2014-07-01,191703
2014-10-01,177945
2015-01-01,171559
2015-04-01,181102
2015-07-01,173490
2015-10-01,158954
2016-01-01,159699
2016-04-01,163204
2016-07-01,171792
