sDate,sPrice
2000-01-01,104.431
2000-02-01,105.718
2000-03-01,106.96
2000-04-01,108.157
2000-05-01,109.158
2000-06-01,109.856
2000-07-01,110.172
2000-08-01,110.052
2000-09-01,109.511
2000-10-01,108.454
2000-11-01,106.941
2000-12-01,105.162
2001-01-01,103.189
2001-02-01,101.134
2001-03-01,99.0844
2001-04-01,97.1567
2001-05-01,95.4741
2001-06-01,94.1393
2001-07-01,93.1154
2001-08-01,92.4569
2001-09-01,92.219
2001-10-01,92.4855
2001-11-01,93.0671
2001-12-01,93.9753
2002-01-01,95.1603
2002-02-01,96.5544
2002-03-01,97.9492
2002-04-01,99.0883
2002-05-01,99.8365
2002-06-01,100.111
2002-07-01,100.05
2002-08-01,99.7891
2002-09-01,99.4571
2002-10-01,99.1242
2002-11-01,98.8074
2002-12-01,98.4893
2003-01-01,98.1438
2003-02-01,97.7409
2003-03-01,97.2515
2003-04-01,96.8436
2003-05-01,96.7171
2003-06-01,97.0733
2003-07-01,97.863
2003-08-01,98.9027
2003-09-01,100.041
2003-10-01,101.182
2003-11-01,102.241
2003-12-01,103.09
2004-01-01,103.598
2004-02-01,103.775
2004-03-01,103.732
2004-04-01,103.574
2004-05-01,103.323
2004-06-01,102.966
2004-07-01,102.512
2004-08-01,102.035
2004-09-01,101.604
2004-10-01,101.176
2004-11-01,100.766
2004-12-01,100.427
2005-01-01,100.119
2005-02-01,99.8758
2005-03-01,99.7055
2005-04-01,99.5559
2005-05-01,99.447
2005-06-01,99.4166
2005-07-01,99.5525
2005-08-01,99.938
2005-09-01,100.479
2005-10-01,101.041
2005-11-01,101.522
2005-12-01,101.855
2006-01-01,102.024
2006-02-01,102.009
2006-03-01,101.815
2006-04-01,101.511
2006-05-01,101.157
2006-06-01,100.825
2006-07-01,100.485
2006-08-01,100.296
2006-09-01,100.19
2006-10-01,100.2
2006-11-01,100.292
2006-12-01,100.415
2007-01-01,100.608
2007-02-01,100.894
2007-03-01,101.327
2007-04-01,101.929
2007-05-01,102.697
2007-06-01,103.551
2007-07-01,104.533
2007-08-01,105.515
2007-09-01,106.491
2007-10-01,107.49
2007-11-01,108.429
2007-12-01,109.342
2008-01-01,110.099
2008-02-01,110.548
2008-03-01,110.638
2008-04-01,110.352
2008-05-01,109.509
2008-06-01,107.968
2008-07-01,105.557
2008-08-01,102.319
2008-09-01,98.0564
2008-10-01,92.9458
2008-11-01,87.7032
2008-12-01,83.4677
2009-01-01,81.0139
2009-02-01,80.5206
2009-03-01,81.4288
2009-04-01,83.3597
2009-05-01,85.8865
2009-06-01,88.7482
2009-07-01,91.505
2009-08-01,93.9356
2009-09-01,96.045
2009-10-01,97.7384
2009-11-01,99.0949
2009-12-01,100.243
2010-01-01,101.212
2010-02-01,102.116
2010-03-01,102.855
2010-04-01,103.395
2010-05-01,103.827
2010-06-01,104.2
2010-07-01,104.605
2010-08-01,105.033
2010-09-01,105.506
2010-10-01,106.019
2010-11-01,106.531
2010-12-01,106.939
2011-01-01,107.094
2011-02-01,106.975
2011-03-01,106.568
2011-04-01,105.919
2011-05-01,105.152
2011-06-01,104.321
2011-07-01,103.476
2011-08-01,102.621
2011-09-01,101.797
2011-10-01,101.119
2011-11-01,100.564
2011-12-01,100.165
2012-01-01,99.9736
2012-02-01,99.9395
2012-03-01,100.117
2012-04-01,100.245
2012-05-01,100.267
2012-06-01,100.174
2012-07-01,100.122
2012-08-01,100.061
2012-09-01,99.9798
2012-10-01,99.8492
2012-11-01,99.6593
2012-12-01,99.4755
2013-01-01,99.3509
2013-02-01,99.1957
2013-03-01,99.0677
2013-04-01,99.0201
2013-05-01,99.0519
2013-06-01,99.087
2013-07-01,99.053
2013-08-01,99.0614
2013-09-01,99.1528
2013-10-01,99.3066
2013-11-01,99.501
2013-12-01,99.6924
2014-01-01,100.167
2014-02-01,100.544
2014-03-01,100.947
2014-04-01,101.395
2014-05-01,101.814
2014-06-01,102.19
2014-07-01,102.5
2014-08-01,102.761
2014-09-01,102.91
2014-10-01,102.958
2014-11-01,102.911
2014-12-01,102.707
2015-01-01,102.354
2015-02-01,101.852
2015-03-01,101.219
2015-04-01,100.537
2015-05-01,99.8937
2015-06-01,99.333
2015-07-01,98.8838
2015-08-01,98.5367
2015-09-01,98.3102
2015-10-01,98.1647
2015-11-01,97.9627
2015-12-01,97.7078
2016-01-01,97.472
2016-02-01,97.3961
2016-03-01,97.6095
2016-04-01,98.1428
2016-05-01,98.9055
2016-06-01,99.8296
2016-07-01,100.847
2016-08-01,101.876
2016-09-01,102.925
2016-10-01,104.045
