date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行長期借款,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,1005019,3851001,529420,8044970,3442538,3867438,288531,4176.0,288531.0,93263,9073,-997405,,1060056,23987,598888,23431,0.0,575457,14108,460613,,488435,208192,0.0,349890,59040,921566,1153409,,,,308533,61016,9994,3737,,15.0,64.0,138117,321,379326,17120,110659.0,6657510,696733,7768285,2013年03月31日,3394741,,,16395990,14107266,132150185,1830635,2958234,12221392,,0.0,516256.0,497179.0,2819594,,3832676.0,78242.0,352.0,1143949,7768285,,,,,12580964.0,444825,,28976954.0,,1121.0,2039831,1528431,167846,,7632565,64.0,207095,2288724,9622730,16755562,232065,31035,0
2013-08-14,2,2013,935336,3863220,524920,8011745,3269566,3425217,183419,5896.0,183419.0,108936,9260,-1501621,,977703,11825,573293,27244,0.0,546049,14108,462123,,478977,195364,0.0,351907,61195,923011,1153409,,0.0,,428357,74324,129331,3790,,16.0,59.0,174641,85,417161,13754,110157.0,6905802,655146,7768285,2013年06月30日,3361516,,,15769322,13569825,132150185,1830635,3334434,11522945,,0.0,744936.0,507381.0,2819594,,3219939.0,35497.0,634.0,1496117,7768285,,,,,12283121.0,444825,,28052443.0,,958.0,1820520,1533864,168835,,6951742,59.0,208310,2199497,8948687,16529498,247209,30526,0
2013-11-12,3,2013,1505358,3811315,700185,8199720,3690798,4541915,169806,5896.0,169806.0,105131,9173,-51838,,2006890,20073,1229008,17574,0.0,1211434,516787,504060,,1000643,217787,0.0,402827,62744,967937,1149426,,,,450965,115438,0,3735,,17.0,55.0,207666,42,387814,17207,101178.0,6901080,478126,7768285,2013年09月30日,3549491,,,17460727,15217262,131226016,1830635,3960240,12068308,,0.0,,,2819594,,3114484.0,42259.0,6823.0,1165251,7768285,,,,,12211983.0,450521,,29672710.0,,775.0,1953482,1514843,171138,,6232065,55.0,203325,2243465,8251743,17604402,378743,481442,0
2014-03-26,4,2013,1505380,3615676,513258,9238855,4031734,7071724,218166,0.0,218166.0,130832,9322,2773856,,1546990,8242,1562776,6551,0.0,1556225,397847,486257,,1154162,255551,0.0,403413,64680,1312784,1149426,,,,572950,86714,0,4525,,0.0,0.0,184346,39,544987,16313,82844.0,6772724,488554,7768285,2013年12月31日,4692427,,,21498297,19082091,131226016,1830635,3287960,13570784,,0.0,,,2715793,,3294619.0,60778.0,6054.0,797205,7768285,,,,,11876356.0,450521,,33374653.0,632.0,0.0,2313953,1572661,187771,,6529478,0.0,436084,2416206,8588396,19803869,163025,33368,0
2014-05-06,1,2014,1825402,3539998,513258,9117673,4179070,7414004,180913,0.0,180913.0,110589,9446,3282956,,1905419,8799,1058327,19851,,1038476,353390,565830,,1683766,271781,,483690,87547,1342103,1149426,,,0.0,535538,78147,224847,4161,,0.0,0.0,199164,31,433464,17148,82140.0,6793263,1157959,7768285,2014年03月31日,4571245,,,21493908,19470009,131226016,1830635,4411382,12767191,,,,,2715793,3291138.0,,63082.0,5549.0,1418828,7768285,,,,,12574870.0,450521,,34068778.0,447.0,0.0,1936040,1626143,199339,,5971515,0.0,971048,2023899,8163488,21301587,185122,71218,0
2014-08-13,2,2014,1850425,3440667,502323,8376507,3972960,5780651,995516,0.0,995516.0,130741,168936,1440954,,1880339,6740,2046866,11880,,2034986,321296,566219,,1763710,290749,,484436,80056,1574644,1149426,,,0.0,463771,100714,768756,4161,,0.0,0.0,115286,33,267047,11014,81783.0,7850654,1130270,7768285,2014年06月30日,4000410,,,18791647,16886841,131226016,1957842,6477182,12823227,,,,,2418255,2525559.0,,49010.0,5162.0,2187333,7768285,,27258.0,20471.0,,14680392.0,450521,,33472039.0,324.0,0.0,1800959,1543233,180537,,6073287,0.0,1071609,1904806,8203210,20648812,204020,23174,0
2014-11-13,3,2014,1521272,3423294,502323,8530345,3801887,5760686,164785,17076.0,164785.0,79643,160936,1482946,,1571768,5880,2149761,23672,,2126089,213433,573228,,1965708,315385,,492858,77667,1117994,1149426,,,0.0,467874,140623,603467,3896,199.0,0.0,0.0,149873,36,351137,9329,80370.0,8373345,1097032,7768285,2014年09月30日,4154248,,,19135418,17202246,131226016,1957842,6052018,12611511,,,,,2418255,2868579.0,,40087.0,5162.0,3034167,7768285,,7902.0,18954.0,,14770516.0,570096,,33905934.0,174.0,0.0,1706989,1572831,172035,,6553485,0.0,1359223,1933172,8718498,21294423,210185,44616,0
2015-03-25,4,2014,1121272,3085890,489780,8390425,3708575,5943688,218884,,218884.0,92490,220990,1774583,,1171406,8788,1981517,8058,,1973459,116527,270226,,1635034,82040,,181523,77891,1148184,1149426,147940.0,,0.0,527656,98415,235739,3926,,,,109817,6992,454996,7031,88703.0,8317724,1097147,7768285,2014年12月31日,4014328,,,19282058,17353963,131226016,1957842,3366245,12878015,,,,,2418255,3163688.0,,44355.0,14173.0,1057801,7768285,,8063.0,17900.0,,14384421.0,570096,,33666479.0,0.0,,1671024,1633163,219201,,9096887,,1358576,1928095,11018176,20788464,150598,41346,0
2015-05-06,1,2015,801272,2975333,489780,8202652,3810017,5506926,147784,,147784.0,77450,203852,1340053,,845507,8918,1753572,5078,,1748494,112399,277681,,1617530,81183,,189329,77863,1142911,1149426,0.0,,,275434,108654,349903,3154,,,,77679,33203,252350,4567,,8286434,1008126,7768285,2015年03月31日,3826555,47776.0,14226.0,18648492,16731660,131226016,1957842,3618876,12473368,88352.0,,,,2418255,,3152757.0,,,1832998,7768285,32577250.0,7666.0,15595.0,13928758.0,,570096,32577250.0,,0.0,,1722900,1553295,219753,,8463311,,1346085,1916832,10309882,20103882,227884,35317,0
2015-08-12,2,2015,801272,2928776,489780,8077885,3450547,4508835,413340,,413340.0,57242,96726,130664,,968855,11187,2067806,7808,,2059998,11488,280010,,1486396,80218,,191985,55404,1161759,1149426,192061.0,,,224366,85670,194949,4135,,,,53080,11751,226743,6801,,8074033,1006086,7768285,2015年06月30日,3709393,15664.0,9879.0,17235969,15397504,131226016,1959476,3318057,12691630,88025.0,,,,2409016,,3544104.0,,,1403586,7768285,31334774.0,7492.0,13794.0,14098805.0,,570096,31334774.0,,0.0,,1606690,1543036,149238,,8943908,,1339286,1838465,10780748,18643144,206441,156396,0
2015-11-11,3,2015,627500,2737527,480900,7756185,4513867,2955390,326500,0.0,,49803,214799,-2592510,-2592510.0,894083,714,3141252,81,,3141171,117892,285632,,1587213,80084,,187068,53229,1192776,1163291,192061.0,,,220477,110743,123984,3285,0.0,,,55466,550,161817,8290,,8149672,1003734,7768285,2015年09月30日,3404600,8578.0,10391.0,14090025,12374637,132605016,1959476,2670342,12540833,98564.0,,,,2392109,,1532288.0,,,975174,7768285,29598723.0,7518.0,12292.0,15508698.0,,605968,29598723.0,,0.0,,1266695,1573267,143454,,10967165,,1336008,1715388,12838356,17057890,200778,265869,0
2016-03-30,4,2015,540000,2336208,324301,8373346,3589776,2930848,182613,,182613.0,30590,168881,-3201522,,556874,439,2874441,0,,2874441,266433,256537,10848.0,1777468,75855,,182851,110810,1229687,1170260,0.0,,,324362,94028,0,36410,,,,100549,31,199164,12769,,8139165,1061845,7768285,2015年12月31日,4067819,19267.0,9801.0,14046346,12375824,133274016,1959476,1526371,10683575,62838.0,,,,2346051,,1829306.0,,,312817,7768285,27383042.0,,,13336696.0,,605975,27383042.0,,,,488242,1437684,129632,,10116104,,1324370,1670522,11810325,16699467,150338,16435,0
2016-05-13,1,2016,568000,2266830,324301,8184726,3786214,2831316,161857,,161857.0,25766,257877,-3079840,,582306,488,1915935,0,,1915935,263083,257706,9112.0,1762451,75196,,186069,109960,1195874,1149426,,,,229395,98415,61904,35222,,,,79231,28,138637,5487,,8191575,1046822,7747805,2016年03月31日,3879199,15825.0,10050.0,13984333,12308886,131226016,1959476,1515478,10270628,62525.0,,,,2346051,,2196270.0,,,330554,7747805,26816477.0,,,12832144.0,,605621,26816477.0,,,,477381,1412443,122554,,9646517,,1314212,1675447,11316666,16545849,181878,13818,0
2016-08-10,2,2016,1571566,2201172,318509,8040857,3619118,2557324,229915,,,38609,253891,-3550134,,1600898,540,2159426,25,,2159401,256603,254604,7840.0,1711652,75232,,184594,77085,1156905,1149426,0.0,,,363261,110378,117944,3108,,,,72173,9,194341,973,,8299561,1013697,7747805,2016年06月30日,2550895,34383.0,842.0,13342739,11694723,131226016,1981627,2884177,10066494,62170.0,,,,3508335,,1966432.0,,,424290,7747805,26304009.0,,,12961270.0,,605621,26304009.0,,,,436050,1406879,135600,8415610.0,8415610,,1302732,1648016,10077093,16237515,167725,28792,0
2016-11-09,3,2016,1128872,2156601,318509,8176328,2457993,3746519,146674,,146674.0,35531,234519,-1246523,,1190044,585,1995275,45,,1995230,247869,252309,6180.0,1686130,73667,,184401,75281,1063506,1149426,0.0,,,276841,96535,65000,3072,,,,74065,9,145085,0,,8282173,995528,7747805,2016年09月30日,2686366,37714.0,842.0,15891795,14145763,131226000,1981627,2134150,8638868,61728.0,,,,3508335,,2121020.0,,,318270,7747805,25951452.0,,,10059657.0,,617579,25951452.0,,,,345705,1355662,127124,,6317536,,1289313,1746032,7925507,17312584,165318,60587,0
