date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,生物資產－非流動合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-04-23,1,2013,2277247,178348,4709305,1242475,,1280604,99073,155531,90570,89791,14867,14759,154760,18140,358120,172620,558,2463943,21182,,,835469,,4997,8640,779,1216,3190143,18977,135404.0,264665,0.0,5748973,2013年03月31日,3427171,,,10765697,10627867,4190040,1282134,3198046,10877195,,,15317,,1010641.0,,1900246.0,,,337792.0,,626498,5748973,,13476,,3423387.0,35240,,35240.0,,,14189084.0,100886.0,70581,218192,1216,185500,137830,225341,3311889,835944,0
2013-08-13,2,2013,2462291,160384,3033440,512346,,2421721,47982,204762,81714,80924,14685,10926,153569,16582,521463,324617,558,3019048,21182,862346.0,,811905,,39982,12800,790,1015,3015376,28368,135972.0,263948,0.0,5748973,2013年06月30日,1527500,,,9996952,9863579,4190040,1505940,4545431,11116190,,,11484,,1526949.0,,1810116.0,1162.0,38.0,180747.0,,986243,6611319,,10319,,4775744.0,35240,,35240.0,,,14772696.0,0.0,76744,236898,1015,196846,133373,230313,3656506,1140158,0
2013-10-28,3,2013,2744314,158126,3435219,374464,,1480545,61460,174382,167898,167111,14787,7397,155200,18074,474444,280464,558,3132571,21182,,,1204615,,69941,6469,787,824,3626335,20391,136302.0,263232,0.0,6611319,2013年09月30日,1929279,,,10379914,10243358,4818546,1505940,4666884,11384544,,,7955,,1465385.0,,999673.0,3087.0,2.0,32103.0,,1693343,6611319,,11970,,4892778.0,43620,,43620.0,,,15272692.0,0.0,70694,240075,824,193980,136556,225894,3888148,1686391,0
2014-03-26,4,2013,3085188,145091,3832119,757337,,1831650,171728,239947,207979,207221,164858,4730,202551,34848,496629,300501,558,3489168,21182,,,1266651,,69969,1652,758,657,3757062,29248,167046.0,262516,0.0,6611319,2013年12月31日,2326179,,,10844244,10705823,4818546,1505940,4771995,11644056,,,5288,,707548.0,,1359032.0,1967.0,4.0,128044.0,,1241691,6611319,,24359,,5058180.0,43620,,43620.0,,,15902424.0,0.0,83634,263652,657,196128,138421,286185,4258368,1206108,0
2014-05-05,1,2014,3120094,127664,4371207,754225,,1478351,145752,296535,75977,75268,22579,6675,209183,42416,551325,353661,558,3126979,21182,,0.0,971043,,69968,114985,709,507,3387531,70590,166260.0,261800,,6611319,2014年03月31日,2865267,,,11443004,11301499,4818546,1505940,3837904,11244355,,,7233,,892934.0,1999282.0,,7.0,4.0,250016.0,,865574,6611319,,11990,,4140919.0,43620,,43620.0,,,15583923.0,0.0,93832,271448,507,197664,141505,303015,4339568,844476,0
2014-08-13,2,2014,3230697,134760,3044980,676633,,2538442,104503,233132,74764,74121,157469,10100,206711,39619,483577,290882,558,3478901,21182,595019.0,0.0,1087237,,69970,292295,643,372,3288228,23278,166720.0,261083,,6611319,2014年06月30日,1353082,,,10643610,10506889,4818546,1691898,5512421,12026040,,,10658,,951833.0,2257300.0,,6.0,4.0,209962.0,31500.0,1223741,7206338,,16010,,5795702.0,43621,,43621.0,,,16439312.0,,76570,292493,372,192695,136721,283281,4413272,1056389,0
2014-11-11,3,2014,3439709,133109,3745806,661783,,1793792,249598,286077,64678,64104,14131,7998,206103,38806,370344,175102,558,3087047,21182,,0.0,1164624,,69972,203303,574,250,3820250,39117,167047.0,260367,,7206338,2014年09月30日,2053908,,,11406669,11268370,5252215,1691898,4669593,11926901,,,8556,,938523.0,1778229.0,,7.0,4.0,98978.0,31500.0,1256352,7206338,,17894,,4970362.0,51331,,51331.0,,,16377031.0,,94666,238041,250,195242,138299,300769,4450130,1306716,0
2015-03-24,4,2014,3691574,124396,4232457,496999,,1911768,156956,486538,144986,144455,8841,6946,244143,46898,307593,104433,558,3847264,21182,,0.0,1679757,,99959,210823,531,126,4286758,41730,197119.0,259651,,7206338,2014年12月31日,2540559,,,12103187,11955482,5252215,1691898,5659720,13501577,,,7504,,1026935.0,1991558.0,,16.0,36.0,256131.0,31665.0,1336892,7206338,,19404,,6038162.0,51331,,51331.0,,,18141349.0,,134299,249018,126,203160,147705,378442,4639772,1612855,0
2015-05-08,1,2015,3700908,119470,5144558,450958,,1719254,222202,427671,87858,87351,7741,11016,256128,58791,285963,86882,558,3157217,21182,,0.0,1129636,,69977,277962,507,0,4431644,33005,,258934,,7206338,2015年03月31日,3452660,473411.0,31584.0,12963168,12808716,5252215,1691898,5047869,13805691,197337.0,,11574,1077659.0,,,3034689.0,15.0,36.0,,,1276407,7206338,18428227.0,13364,5465059.0,,51331,,,,18428227.0,,,161062,245651,0,199081,154452,417190,4622536,1358977,0
2015-08-13,2,2015,3680153,118347,3645816,550479,,3000936,298061,347250,101290,100918,16053,121636,321818,125443,295757,99618,67795,3333945,21182,720634.0,0.0,1032494,,89915,107318,372,0,3816353,37730,,258218,,7206338,2015年06月30日,1746333,228795.0,69116.0,12143255,11953605,5252215,1899483,6025312,13842281,196375.0,,189431,1670101.0,,,2358627.0,15.0,35.0,,,1440530,7926972,18622885.0,24034,6479630.0,,54749,,,,18622885.0,,,132500,238663,0,196139,189650,454318,4780604,1691801,0
