date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,特別股股本,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,9546788,538101,5271025,251738,2628522,331689,154793,,434931,50172,31738,874575,205799,668776,453140,26280,310156,67845,183193,4740,16089,2162105,2162105,199604,,,1988888,784848,103700,,,2897769,438922,422120.0,88008,3979032,9066203,2013年03月31日,3101192,,,16834438,14866308,8254473,379829,4998893,6872426,,675760,1790004,200000,,216154.0,198510.0,120.0,1529334,9266203,,11752,,,7846702.0,93753,,24681140.0,,0.0,1094669,42347,1300000,,11513,1968130,2847809,17808714,,127988,214709,18434,0
2013-08-13,2,2013,9474631,216298,4885859,290040,2487256,1380212,58544,69079.0,560701,49957,28997,1168764,132111,1036653,438207,26202,280721,37941,270661,4110,16525,1888216,1888216,199604,,,1907675,349968,166316,,,2875588,468334,407895.0,87583,4103167,9066203,2013年06月30日,2441149,,,16552363,14606912,8254473,553968,5260087,7380564,,675574,1890742,200000,,622546.0,192743.0,69.0,1201803,9266203,,11413,,,8192956.0,93753,,24745319.0,,0.0,1094662,39525,1400000,,11642,1945451,2932869,17364755,,229424,214613,20960,0
2013-11-12,3,2013,9328132,207383,5546271,311438,2486544,390142,37073,,526927,38768,31304,1230175,184379,1045796,428597,26044,289745,59118,215489,4110,17279,2173604,2173604,199604,,,1799951,794855,80894,,,2713871,441727,398443.0,87159,4097003,9066203,2013年09月30日,3101561,,,17256492,15242870,8254473,553968,4429900,7392013,,675270,1890742,200000,,707413.0,221685.0,69.0,1089362,9266203,,14243,,,7346728.0,103073,,24603220.0,,0.0,1088231,39971,1400000,,11432,2013622,2916828,17211207,,88081,201916,7464,0
2014-03-25,4,2013,9155637,190322,6118694,489042,2761556,463960,53472,,777939,36765,10935,1206313,219852,986461,408866,25972,299091,65455,288897,4110,21185,2133996,2133996,199604,,,1817129,399923,78788,,,2657821,443898,378784.0,86735,4306289,9066203,2013年12月31日,3673984,,,18224752,16066305,8254473,553968,3836270,7414777,,675258,1890742,200000,,855816.0,301967.0,69.0,725365,9266203,,12373,3075.0,,6700606.0,103073,,24925358.0,0.0,,1152395,35693,1300000,,11564,2158447,2864336,17510581,,63392,200887,25830,0
2014-05-13,1,2014,9072010,190568,6249737,378305,2589645,272414,81973,,665091,28162,16596,1418974,187818,1231156,403160,25953,278848,50049,286786,4098,16621,2456547,2456547,199604,,0.0,2062218,624929,69390,,,2336046,453277,373109.0,86310,4259973,9066203,2014年03月31日,3805027,,,18208647,16084500,8254473,553968,3981782,7640294,,675425,1890742,200000,802214.0,,331249.0,158.0,581447,9266203,,11973,3143.0,,6615767.0,103073,,24824414.0,,0.0,1127682,31341,1100000,,11443,2124147,2633985,17184120,,91105,200735,11566,0
2014-08-12,2,2014,9053243,179413,5356361,437581,2662357,1370021,37697,0.0,622831,38316,15353,1286052,222723,1063329,398924,25776,380519,33728,185250,4097,15793,2108117,2108117,199604,,0.0,2080103,509932,94271,,,2867536,467297,369051.0,85886,4227663,9066203,2014年06月30日,2960116,,,17269585,15148864,8254473,749036,5428654,7842619,,675270,1647209,200000,983070.0,,216897.0,14206.0,1107074,9266203,,12040,3210.0,,7870849.0,103073,,25140434.0,,,1140061,33464,900000,,11161,2120721,2442195,17297815,123380.0,78644,196457,22963,0
2014-11-13,3,2014,8905012,179431,5546294,407378,2623577,248490,68527,,730530,47389,17956,1124935,183075,941860,394779,25739,426223,65538,323152,4096,15552,2204942,2204942,199604,,0.0,1997645,664893,73557,,,2750986,485587,364944.0,85462,4443392,9066203,2014年09月30日,3150049,,,17633542,15455816,8254473,749036,4866558,7791114,,675060,1647209,200000,927617.0,,167995.0,14206.0,1653602,9266203,,12987,3278.0,,7522955.0,112393,,25156497.0,,88090.0,1158340,27226,1100000,,11370,2177726,2656397,17365383,124980.0,126224,208783,29433,0
2015-03-24,4,2014,8520531,177857,5411882,512443,2776877,278729,78937,,985367,26976,12344,1210451,269112,941339,423522,25775,561247,107583,472924,4116,16373,1838716,1838716,199604,250280.0,0.0,1674136,434952,87917,,,2020005,438793,393631.0,85038,4556160,9066203,2014年12月31日,3015637,,,17854044,15576241,8254473,749036,4053116,6987268,,674886,1647209,200000,1081542.0,,171953.0,0.0,1365670,9266203,,12783,3046.0,,6535769.0,112393,,24389813.0,,25644.0,1156085,49949,900000,,11656,2277803,2482653,17402545,218811.0,42900,206824,14632,0
2015-05-12,1,2015,8541222,438340,5704404,605704,2911429,194320,264173,,1025120,29339,18585,1356786,275770,1081016,418779,25628,231961,144146,419416,4116,17259,1602462,1602462,199604,250280.0,0.0,1654419,342969,83808,,,2240719,452229,,84614,4373345,9066203,2015年03月31日,3308159,211876.0,71.0,18254286,15908516,8254473,749036,3654415,7100762,389035.0,674733,1647209,200000,,713687.0,,,1125456,9266203,24387898.0,12228,3112.0,6133612.0,,112393,24387898.0,,,154073.0,1157306,31492,900000,,11468,2345770,2479197,17287136,0.0,66282,59088,10754,0
2015-08-13,2,2015,8443086,387197,6284222,857063,3297768,715832,22616,,1198202,29904,17500,1545326,220136,1325190,413520,25475,143498,91001,341139,4116,16052,1736436,1736436,199604,0.0,0.0,1733035,129993,92016,,,2587965,460953,,84188,4486781,9066203,2015年06月30日,3814118,233654.0,145.0,19102886,16661416,8254473,778288,3695647,7510517,383929.0,674580,1691816,200000,,862768.0,,,749141,9266203,25058062.0,12072,3177.0,5955176.0,,112393,25058062.0,,,206092.0,1142832,30447,700000,,11229,2441470,2259529,17547545,0.0,88216,25216,12404,0
2015-11-12,3,2015,8329022,325691,6427808,480868,2751467,400141,53542,,1051029,29046,19197,1455808,163028,1292780,414640,25576,175962,123743,570161,4115,15981,1508701,1508701,199604,0.0,0.0,1020228,30000,72136,3618.0,6422.0,1841905,458802,,83764,4391125,9066203,2015年09月30日,3957704,242816.0,412.0,19004700,16661371,8254473,778288,2389995,6462042,378527.0,674426,1691816,200000,,764965.0,,,583338,9266203,23223797.0,12290,3243.0,4219097.0,,115935,23223797.0,,,289321.0,1111219,30298,300000,6422.0,11608,2343329,1829102,16761755,0.0,88586,24630,6231,0
2016-03-24,4,2015,8282258,329241,6577702,450957,2715988,450504,91997,,854456,19137,10100,1692089,190682,1501407,430937,25460,148944,120675,403499,1115,16109,1654497,1654497,199604,0.0,0.0,1419770,20000,120470,3632.0,5509.0,1708768,419411,,83340,4218234,9066203,2015年12月31日,4107598,269627.0,280.0,18927671,16614692,8254473,778288,2474365,6644697,398853.0,674287,1691816,200000,,810436.0,,,162317,9266203,23130366.0,12540,2968.0,4202695.0,,115935,23130366.0,,,202634.0,1094425,33377,200000,5509.0,11124,2312979,1728330,16485669,0.0,64585,1036,5405,0
2016-05-12,1,2016,8339084,305189,7160021,451635,2709593,290776,75699,,719728,28225,14714,1492383,157853,1334530,145368,25286,326792,290533,268093,1114,17082,1637682,1637682,199604,0.0,0.0,1491226,52995,79068,3645.0,4593.0,2024899,438059,,83005,4150910,9066203,2016年03月31日,4689917,335693.0,289.0,19386269,17062283,8254473,778288,2648312,6657996,114375.0,674205,1691816,200000,,815483.0,,,357725,9266203,23287996.0,12604,3032.0,3901727.0,,115935,23287996.0,,,24028.0,1105015,41222,0,4593.0,10996,2323986,1253415,16630000,0.0,149474,8181,9866,0
2016-08-11,2,2016,8469377,358954,6730832,402554,2647585,1220118,21916,,634754,34481,15524,1593905,244450,1349455,128847,25185,189384,152124,232200,1121,15067,1445091,1445091,199604,,0.0,1449693,0,104413,3659.0,3673.0,2143110,454826,,82670,3994903,9066203,2016年06月30日,4104990,206862.0,296.0,18840980,16548120,8254473,925520,3190041,6810502,98868.0,674152,1700322,200000,,1005087.0,,,161572,9266203,23266153.0,12902,3096.0,4425173.0,,115935,23266153.0,,,70000.0,1103189,38626,0,3673.0,10641,2292860,1235132,16455651,,76271,11552,15298,0
2016-11-08,3,2016,8345672,390861,7302699,657849,3052782,375445,28505,,745232,25837,15239,1521694,199424,1322270,123661,24992,224945,191955,87383,1122,15564,1516138,1516138,199604,,0.0,1354491,30000,76764,3673.0,2749.0,2120896,439438,,82335,4031868,9066203,2016年09月30日,4676857,150875.0,303.0,19723896,17238134,8254473,925520,2728291,6832533,94798.0,674098,1700322,200000,,1053464.0,,,701351,9266203,23675549.0,13528,3160.0,3951653.0,,123604,23675549.0,,,61026.0,1096541,40455,0,2749.0,10234,2485762,1223362,16843016,,91069,7192,6925,0
