date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,銀行存款,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,,,309653,108311,307483,,19557,,4633,-4044,9796,9796.0,62607,16247,878,16008,1767064,1767064,0,,102389,,89443,,117382,1269,15369.0,63693,41608,1386215,2013年03月31日,224897,,1987286,1987286,0,60057,255478,2073284,,22529,,116265.0,26270.0,8023,1386215,,,775759.0,297632,,2763045.0,4064,4034,150488,116265,500000,0,520281,689761,,0
2013-08-08,2,2013,,,306335,108948,268983,,68248,26662.0,6606,-2438,5564,5564.0,51674,16760,878,15693,1930527,1930527,0,,116733,,85681,41586.0,99022,2580,15882.0,63630,42653,1386215,2013年06月30日,186397,,1950392,1950392,0,60057,344556,2308514,,22529,,216110.0,5071.0,63259,1386215,,,1045679.0,297632,,2996071.0,1995,4363,150298,216110,680000,0,701123,687557,,0
2013-11-12,3,2013,,,304325,107383,258478,,22353,22353.0,8418,-6428,9844,,54350,16653,878,15869,2060908,2060908,0,,149991,19975.0,56214,0.0,74029,526,15775.0,63567,41300,1386215,2013年09月30日,175892,,1935897,1935897,0,60057,392633,2434137,,22529,,231895.0,4397.0,129859,1386215,,,1182823.0,297632,,3118720.0,4011,3537,152139,231895,770000,0,790190,684583,,0
2014-03-17,4,2013,,,305299,108238,242151,91231.0,23879,23879.0,9743,-10032,5190,,68507,16454,879,15375,2205660,2205660,0,,155781,39959.0,59036,,89729,540,15575.0,63503,41836,1386215,2013年12月31日,159565,,1915966,1915966,0,60057,448951,3190143,,22529,,810842.0,5445.0,159661,1386215,,,2049463.0,297632,,3965429.0,5122,4058,149804,810842,1580000,0,1600512,775286,,0
2014-05-08,1,2014,,,302421,110657,257531,99682.0,21373,21373.0,9329,4265,6854,,73015,15991,879,15231,2327828,2327828,0,0.0,153921,0.0,60151,,85385,1771,15112.0,63440,43343,1386215,2014年03月31日,174945,,1945643,1945643,0,60057,258159,3023118,,22529,520715.0,,6309.0,9551,1386215,,,1859471.0,297632,,3805114.0,5075,5321,147222,520715,1580000,0,1601312,781996,,0
2014-08-04,2,2014,,,297946,108457,220306,84297.0,62272,20686.0,8911,-16433,9809,,79164,16769,507,14751,2526786,2526786,0,0.0,185084,0.0,70962,41586.0,112038,428,16262.0,63376,44877,1386215,2014年06月30日,137720,,1887720,1887720,0,60057,430633,3159104,,22529,426427.0,,4873.0,97633,1386215,,,2031443.0,297632,,3919163.0,5350,4041,146355,426427,1580000,0,1600810,760059,,0
2014-11-11,3,2014,,,294893,110476,218398,80576.0,29980,29980.0,8981,-15304,9379,,82989,16306,477,14926,2627743,2627743,0,0.0,217101,0.0,55761,,141610,2424,15829.0,63313,42386,1386215,2014年09月30日,135812,,1886941,1886941,0,60057,324489,3058877,,22529,190924.0,,4792.0,7476,1386215,,,1926192.0,297632,,3813133.0,4206,5397,147686,190924,1580000,0,1601703,754256,,0
2015-03-16,4,2014,,,293186,114950,213835,83031.0,19569,19569.0,8264,-2293,4460,,104787,17571,477,14428,2607431,2607431,0,0.0,178546,9992.0,10983,,101954,3124,17094.0,63250,42737,1386215,2014年12月31日,131249,,1895389,1895389,0,60057,255670,2998413,,22529,169386.0,,5030.0,27090,1386215,,,1861133.0,297632,,3756522.0,3467,7892,146527,169386,1580000,0,1605463,758109,,0
2015-04-23,1,2015,,,289228,113677,218942,72540.0,18044,18044.0,8442,-15856,5761,,94972,16527,477,13535,2661037,2661037,0,0.0,191498,9990.0,9244,,128320,3218,,63186,45791,1386215,2015年03月31日,136356,6928.0,1886933,1886933,0,60057,307999,3074542,16050.0,22529,,174404.0,,66534,1386215,3818026.0,1931093.0,,297632,3818026.0,,4149,6567,145527,174404,1600000,0,1623094,743484,,0
2015-08-11,2,2015,,,285048,112076,173144,70532.0,57526,15940.0,8618,-21709,6155,,108271,17014,477,13086,2665952,2665952,0,0.0,172636,9997.0,12548,41586.0,112213,68,,63123,48719,1386215,2015年06月30日,89231,5497.0,1835282,1835282,0,61384,363411,3082860,16537.0,22529,,184966.0,,99052,1386215,3821486.0,1986204.0,,297632,3821486.0,,2772,5779,146042,184966,1600000,0,1622793,738626,,0
