date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期損益,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,435120,3368543,-43984,211217,5849,334744,216079,107837,3745,473141,38021,44352,334588,44833,,1423,3394110,3394110.0,465679,,385445,106323,549701,155455,956,732508,11932,32623,,333165.0,4711891,2013年03月31日,-44598,,75161.0,4331926,4331915,33706585,614,3372868,4946425,,,,,,411846.0,0.0,1151024,-119759.0,4711891,,,4259733.0,125942,125942.0,,8591659.0,169777,226009,382500,11,886865,3645234,0
2013-08-13,2,2013,481340.0,481340,3275734,1896,216022,5849,370071,241947,85789,6115,511203,29863,62294,337375,35625,,5238,3494857,3494857.0,465679,,463234,144835,549472,118353,49135,694748,6758,42915,1045.0,332137.0,4711891,2013年06月30日,1282,,121042.0,4380179,4380165,33706585,614,3318875,4867364,,,,,,262936.0,0.0,870625,-119760.0,4711891,,,4031027.0,125942,125942.0,,8411206.0,169777,226634,205000,14,712152,3543842,0
2013-11-12,3,2013,635893.0,635893,3186425,25182,219420,5849,375101,204527,102001,-4910,673526,37633,69318,338930,70405,,4861,3549511,3549511.0,465679,,443159,153810,649425,43166,2461,782988,17125,39744,,334069.0,4711891,2013年09月30日,24568,,144328.0,4392440,4392426,33706585,614,3367773,4999066,,,,,,218959.0,42.0,822556,-119760.0,4711891,,,4095647.0,125942,125942.0,,8488087.0,169777,226342,219167,14,727874,3489021,0
2014-03-20,4,2013,93363.0,93363,3140083,99839,206845,5849,362185,259596,95285,7350,124152,30789,107961,353845,71187,,4944,3461132,3461132.0,465679,,533630,116249,649557,68899,2283,766440,11308,16695,,348901.0,4711891,2013年12月31日,99225,,,4479358,4479343,33706585,614,2808691,5054672,,,,,,389006.0,123.0,692017,,4711891,,,4021897.0,125942,125942.0,,8501255.0,170194,229464,689167,15,1213206,3446583,0
2014-05-14,1,2014,83333.0,83333,3142031,177508,202565,4807,294293,245785,132496,20526,121138,37805,65798,349353,45617,,2716,3530359,3530359.0,465679,0.0,481456,85121,449620,61839,255,789562,15374,32681,,346637.0,4711891,2014年03月31日,176894,,77669.0,4570201,4570188,33706585,614,2482534,5124430,,,,,355595.0,,123.0,742904,99225.0,4711891,,,3966889.0,125942,125942.0,,8537090.0,170835,220205,964167,13,1484355,3412660,0
2014-08-13,2,2014,95833.0,95833,3126578,242365,182504,4807,462734,194957,103959,7614,130609,34776,82187,351112,28118,,2072,3529259,3529259.0,465679,0.0,432085,95600,299853,79924,4476,710033,5106,47273,861.0,349040.0,4711891,2014年06月30日,142526,,,4534648,4534636,33706585,10535,2445737,4923185,,,,89304.0,262003.0,,0.0,745499,,4711891,,,3755793.0,38445,38445.0,,8290441.0,169777,207753,789167,12,1310056,3367256,0
2014-11-13,3,2014,250000.0,250000,3133083,318819,273409,4807,413337,209700,113233,16589,277655,27655,67591,353170,58654,,1905,3584247,,465679,0.0,434899,73932,649401,85152,5103,869626,12992,35022,770.0,351265.0,4711891,2014年09月30日,218980,,,4620076,4620065,33706585,10535,2900532,5265249,,,,89304.0,308359.0,,0.0,751353,,4711891,,,4038671.0,38445,,,8658747.0,170802,196954,614167,11,1138139,3393498,0
2015-03-15,4,2015,589167.0,589167,3457995,490401,64450,4807,430388,387423,97105,12020,622489,33322,70223,486960,260659,,1020,3568022,,465679,,477534,117154,749448,56256,15381,991339,1870,32248,,,4711891,2015年12月31日,446476,33712.0,,4810682,4810672,33706585,43925,3737506,5765092,485940.0,0.0,,0.0,,939835.0,,847721,,4711891,9646121.0,4835439.0,,62039,,9646121.0,,170973,157568,440000,10,1097933,3881029,0
2015-03-20,4,2014,250000.0,250000,3272755,433736,280010,4807,430381,220507,117659,62025,287987,37987,62190,403643,218717,,1665,3528104,,465679,0.0,467733,82345,649536,35042,14413,924174,1781,38497,,401978.0,4711891,2014年12月31日,333897,,,4780435,4780418,33706585,10535,2962421,5233971,,,29940.0,89304.0,251616.0,,1205.0,773272,,4711891,,,4127438.0,38445,,,8907873.0,172207,177623,589167,17,1165017,3673902,0
2015-04-30,1,2015,237500.0,237500,3326771,543798,254632,4807,348612,162342,86539,49442,280385,42885,60140,406443,184029,,1765,3416291,,465679,0.0,411549,89926,699513,35868,4961,1017717,365,21235,,,4711891,2015年03月31日,443959,2427.0,,4877908,4877897,33706585,10535,2838129,5243958,404678.0,29940.0,,89304.0,,357099.0,,802546,,4711891,8919195.0,4041287.0,,38445,,8919195.0,,170048,159630,626667,11,1203158,3675237,0
2015-08-13,2,2015,225000.0,225000,3300313,280763,325388,4807,653051,157565,66774,26336,248159,23159,52413,404862,294188,,1020,3381247,,465679,,384586,78697,549513,36297,12623,824917,3037,55835,,,4711891,2015年06月30日,236838,7167.0,,4615361,4615350,33706585,43925,3043582,5093608,403842.0,0.0,,0.0,,383997.0,,915924,,4711891,8847749.0,4232388.0,,62039,,8847749.0,,169777,154833,614167,11,1188806,3754141,0
2015-11-10,3,2015,204167.0,204167,3346609,372046,297418,4807,385417,206091,87656,12503,234495,30328,70237,407637,374103,,1020,3421651,,465679,,428042,110783,849450,69882,1953,1034129,2438,22269,,,4711891,2015年09月30日,328121,16488.0,,4692812,4692800,33706585,43925,3171428,5317050,406617.0,0.0,,0.0,,381252.0,,868827,,4711891,9192748.0,4499936.0,,62039,,9192748.0,,170871,150179,750000,12,1328508,3875698,0
2016-05-12,1,2016,,666667,3495531,607824,62739,4807,371430,403679,104930,-811,697524,30857,58514,485691,243966,243966.0,740,3574566,,465679,,504642,106515,499556,42012,7325,1198418,427,17497,,,4711891,2016年03月31日,563899,56980.0,,4915276,4915264,33706585,43925,3509007,5770563,484951.0,0.0,,0.0,,753472.0,,819344,,4711891,9679751.0,4764475.0,,62039,,9679751.0,,169777,164884,600000,12,1255468,3909188,0
2016-08-12,2,2016,,679167,3561922,315063,60171,4807,754130,413052,118056,-17414,749689,70522,76549,453533,243635,243635.0,640,3716218,,465679,,486533,90897,449503,21813,10524,994861,380,39414,,,4711891,2016年06月30日,226491,35891.0,,4632878,4632865,33706585,88572,3735627,5613372,452893.0,,,,,607723.0,,723595,,4711891,9566815.0,4933937.0,,89004,,9566815.0,,169777,143079,575000,13,1198310,3953443,0
2016-11-11,3,2016,,450000,3543382,421607,60166,4807,438154,460013,128071,-56092,479990,29990,76919,453610,287622,287622.0,640,3712402,,465679,,560692,73961,499707,21375,22974,1225095,491,28370,,,4711891,2016年09月30日,333035,22257.0,,4700744,4700731,33706585,88572,3579783,5922076,452970.0,,,,,690562.0,,1000660,,4711891,9903914.0,5203170.0,,89004,,9903914.0,,169777,146027,1000000,13,1623387,3981838,0
