date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－處分資產增益,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,1377689,9630,1992037,8261,32592,532028,11641,,-6659,290842,,0.0,,,237894,120956,,-14920,,,2001856,58415,,,507330,21826,1608186,21383,,75840,,,0.0,1468220,2013年03月31日,1320797,,,5064839,4227109,1818000,654508,2410100,6331952,,59887,16732.0,,1391932.0,90049.0,,966601,1468220,,,3419893.0,831926,9074.0,52043.0,3516.0,9763.0,,,,757530.0,,,,8484732.0,1424,,1012781,420466,87663,55720,684236,,837730,1009793,2152780,284173,,,0
2013-08-12,2,2013,,1363992,6730,1884898,4124,28455,695866,25086,,15814,210338,,0.0,,,239163,115910,,11690,,,2198637,58415,,,454167,19113,1407143,27183,,75625,,,0.0,1468220,2013年06月30日,1104764,,,4906712,4142976,1818000,671918,2380285,6528508,,60739,108216.0,,1053715.0,80381.0,,914507,1468220,,,3588364.0,832459,9073.0,0.0,3516.0,10671.0,,,51669.0,757530.0,,,,8495076.0,5913,,1560845,243608,87663,71509,881253,,763736,1208079,1966568,255899,,,0
2013-11-11,3,2013,288452.0,1332874,6730,1893034,4107,28438,438535,14028,,-14284,376475,,0.0,0.0,,231963,109798,32455.0,-18391,72568.0,49545.0,2048856,36165,,,616270,11285,1117149,12277,159395.0,75410,,,0.0,1468220,2013年09月30日,1112900,,,4814485,4142725,1214000,671918,2241707,6200158,,64716,108216.0,,1207144.0,64522.0,,694993,1468340,,,3266030.0,831800,9070.0,0.0,3516.0,9643.0,,1848.0,50190.0,757530.0,3.0,,,8080515.0,39627,8117.0,1576600,179510,87662,82881,696581,27798.0,671760,1024323,1880357,224104,88023.0,120.0,4000
2014-03-26,4,2013,287174.0,1364447,6730,1963975,4273,28604,509066,23727,,14800,366468,,0.0,0.0,,175805,96447,19778.0,10527,78342.0,48518.0,2321687,36165,,,563632,22956,1216908,15714,97463.0,75196,,,0.0,1468510,2013年12月31日,1183841,,,4853970,4244637,1214000,671918,2718494,6868785,,64315,108216.0,,1670949.0,71786.0,,1139591,1468510,,,3882706.0,833517,0.0,0.0,0.0,0.0,,0.0,0.0,833517.0,0.0,,,8736676.0,44995,7341.0,1409558,194201,79751,37951,901315,28151.0,609333,1164212,1867891,210242,79294.0,,0
2014-05-12,1,2014,286316.0,1391258,2830,2044708,4297,28628,543439,25377,,39359,365581,,0.0,0.0,,172835,94195,18574.0,35062,71846.0,47784.0,1878357,55030,,0.0,436674,33045,1399008,7556,100989.0,74981,,,0.0,1468510,2014年03月31日,1264574,,,4858129,4331870,1814000,671918,2478276,6607297,,65697,108216.0,1243343.0,,106796.0,,982595,1468750,,,3642706.0,834083,0.0,,0.0,0.0,0.0,0.0,0.0,834083.0,0.0,,,8500835.0,10146,0.0,1833553,208492,76886,27457,914709,27837.0,526259,1164430,1893538,220103,79265.0,240.0,24000
2014-08-12,2,2014,173425.0,1366221,3072,1647320,4200,28531,919558,23290,,-2016,261988,,,,,167888,92072,17430.0,-6216,65161.0,47473.0,2017844,55030,,0.0,434451,21377,1159611,2049,102727.0,74767,,,,1468510,2014年06月30日,951867,,,4327291,3893611,1814000,695453,2674511,5990916,,63499,0.0,1292582.0,,61918.0,,969620,1468750,,,3829019.0,834587,9071.0,,3516.0,11479.0,0.0,1848.0,0.0,758110.0,3.0,50560.0,,8156310.0,5599,3387.0,1245316,511817,80710,25415,902523,27169.0,433680,1154508,2165394,250224,88563.0,240.0,24000
2014-11-11,3,2014,0.0,1079364,3072,1665385,4219,28550,467667,126088,,38463,322838,247800.0,0.0,0.0,,162245,105794,16671.0,34244,61503.0,48837.0,1686697,35214,363365.0,0.0,399792,24887,1216467,1361,100742.0,74553,,,0.0,1468590,2014年09月30日,969932,,,4390057,3972832,1116000,695453,2076588,5580422,,69582,0.0,1378411.0,,22792.0,10817.0,831565,1468590,,,3231966.0,835608,9071.0,,3516.0,11971.0,0.0,2217.0,0.0,758270.0,3.0,50560.0,,7622023.0,7047,0.0,591942,654616,79431,26070,913702,40286.0,417225,1155378,2041601,205274,75038.0,0.0,0
2015-03-24,4,2014,200000.0,1127125,3072,1730800,-3755,20576,513665,457798,,114305,281035,,,,51739.0,172561,149917,15330.0,118060,54887.0,42854.0,1723958,35214,,0.0,465938,24923,1431577,12305,117674.0,74339,,,,1468590,2014年12月31日,1035347,,,4551602,4114295,1116000,695453,2768425,5815624,,71186,0.0,1548577.0,,29892.0,11148.0,1440081,1468590,,,3756878.0,835814,0.0,,0.0,0.0,0.0,0.0,0.0,835814.0,0.0,0.0,,8308480.0,12891,0.0,475643,1012100,79431,34541,736461,39994.0,437307,988453,2492856,154618,81035.0,,0
2015-05-12,1,2015,616162.0,1154415,3072,1795007,-4696,19635,483517,481755,,89569,668244,,,,51679.0,169425,197161,14230.0,94265,50674.0,92966.0,1390258,54898,,0.0,399350,15331,1432822,23284,,74123,,,,1466450,2015年03月31日,1099554,59544.0,11025.0,4515434,4128790,1902000,695453,3077483,5753918,118751.0,69572,0.0,,948378.0,,,1451497,1466450,8156030.0,3640596.0,,832662,0.0,,0.0,0.0,0.0,0.0,0.0,832662.0,0.0,0.0,8156030.0,,0,0.0,1300508,852025,79431,32109,314257,38286.0,386644,563113,2402112,165888,52082.0,0.0,0
2015-08-12,2,2015,921556.0,1126588,1100,1521826,-4729,19602,690314,37819,,53937,955951,,,,39376.0,168965,184168,13438.0,58666,49001.0,95152.0,1357889,54898,,0.0,382231,24556,1244192,17113,,73909,,111710.0,,1466450,2015年06月30日,812248,56658.0,78.0,4155713,3822348,1902000,709578,3245506,5278995,119964.0,65888,0.0,,1014125.0,,,1135796,1468650,7649615.0,3493902.0,,832833,9071.0,,3516.0,12518.0,0.0,0.0,0.0,757165.0,3.0,50560.0,7649615.0,,0,0.0,1449233,753815,79431,33840,0,36202.0,333365,248396,2370620,158546,34395.0,2200.0,86000
