date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,490000,4433982,451882,2685400,0.0,177616,791612,0.0,791612,61927,5745,-221071,553462,63462,253446,243812,9634,24500,768359,47920,77596,35199,17897,1818455,627635,,,675591,21143,269754,303642,37133,1606370,52755,247824,1929,720439.0,2756513,5641001,2013年03月31日,671068,,,7678673,7502667,27541829,25956,2807884,4694782,,5212,1988376,,638336.0,16.0,1344.0,53500,5641001,,102031,21436,,5278615.0,24972,,12957288.0,6651,992602,359705,688334,176006,2470731,8262506,0
2013-08-12,2,2013,58000,4413450,451971,2533549,0.0,152859,854080,0.0,854080,23719,170569,-152578,87102,29102,217420,207789,9631,24500,753924,43241,77639,35592,17547,1764000,627635,0.0,,617297,27772,229782,355577,103224,1515480,59807,205917,593,710683.0,2703373,5641001,2013年06月30日,467660,,,7597428,7419309,27541829,77513,2588882,4692421,,3843,1988376,,725209.0,0.0,1384.0,192000,5641001,,122048,21105,,5257833.0,24972,,12855261.0,8323,991838,359705,902084,178119,2668951,8162840,0
2013-11-12,3,2013,33462,4392629,451080,2743476,0.0,73414,503617,0.0,503617,25135,713,-158148,70110,36648,271247,254257,16990,24500,745540,49839,85742,42337,18905,1831069,627635,0.0,,530911,5160,30000,344216,113429,839495,23986,121395,8823,695701.0,2735029,5641001,2013年09月30日,677587,,,7865573,7631512,27541829,77513,1700113,3823282,,6119,1988376,,687987.0,0.0,1893.0,0,5641001,,102670,21148,,4061427.0,32818,,11927000.0,11539,991838,359705,602788,234061,2361314,8103718,0
2014-03-26,4,2013,25000,4368517,430676,2628613,,69236,610128,0.0,610128,5896,250,-61184,43785,18785,290206,282605,7601,24548,733745,38380,77314,27756,25010,1772084,837163,,,665827,3923,154876,164404,39352,1213625,14751,222879,4630,695365.0,2785481,5641001,2013年12月31日,562724,,,7631911,7404224,47541829,77513,1852292,4124439,,4410,1988376,,566968.0,14066.0,1782.0,50000,5641001,,105931,30297,,4507808.0,32957,,12139719.0,31368,991474,279646,900000,227687,2655516,8015280,0
2014-05-14,1,2014,0,4340635,430963,2790489,0.0,39644,325203,,325203,30823,194,-8595,30219,30219,264110,256509,7601,24500,732496,39643,76427,27688,24239,1637200,599847,,0.0,582571,19408,24997,274821,29447,835858,17304,103789,98,692853.0,2941745,5441001,2014年03月31日,724600,,,7884987,7658713,24141829,77513,1405712,3522534,,4362,1988376,597024.0,,13174.0,1801.0,0,5441001,,105872,21287,,3750969.0,35665,,11635956.0,34333,991474,279646,600000,226274,2345257,8113422,0
2014-08-11,2,2014,60000,4329982,430654,2610876,,20785,867253,,867253,31076,175409,-65496,79226,19226,191094,183193,7901,24500,706211,38446,74051,28343,21208,1378005,723199,,0.0,591547,27189,9994,290933,76215,1274337,17579,127132,198,667765.0,2920049,5441001,2014年06月30日,502187,,,7523741,7299019,34141829,120313,2081262,3776734,,33344,1988376,550138.0,,1155.0,906.0,16000,5441001,,121750,22557,,4341504.0,35837,,11865245.0,30860,991474,279646,540000,224722,2260242,8088511,0
2014-11-14,3,2014,60000,4304450,408513,2848191,,17209,515738,,515738,17342,419,-188,85129,25129,202180,194279,7901,24500,697842,36063,90442,27364,38578,1041360,723199,,0.0,428492,4533,29955,300376,83574,988618,15677,107973,179,661779.0,3079935,5441001,2014年09月30日,739502,,,7826374,7610953,34141829,120313,1566682,3425159,,37947,1988376,1013690.0,,292.0,1070.0,10000,5441001,,108593,20929,,3816927.0,45148,,11643301.0,36651,991474,279646,540000,215421,2250245,8218142,0
2015-03-23,4,2014,120000,4311708,408513,2844629,,22598,594158,2097.0,594158,5289,225,139477,131496,11496,280895,274845,6050,24548,741037,48299,183882,138579,20755,1394801,510248,,0.0,734749,16164,39949,181315,54185,1179144,17955,128845,1468,692738.0,3257658,5250000,2014年12月31日,735940,,,8004475,7773481,13041829,120313,1971647,3718507,,36093,1988376,615708.0,,12514.0,229.0,95000,5250000,,110020,19777,,4203935.0,49623,,12208410.0,93948,991474,269451,480000,230994,2232288,8489903,0
2015-05-11,1,2015,120000,4290216,408513,2993248,,25192,330237,382.0,330237,13611,225,97763,147040,27040,190743,184693,6050,24548,743097,39832,184073,139148,20377,1580734,510248,,,586604,35559,39957,243203,42368,828130,9195,76218,7619,,3310554,5250000,2015年03月31日,884559,14906.0,239.0,8117167,7880386,13041829,120313,1754641,3590851,703265.0,33904,1988376,,808477.0,,,220000,5250000,12112754.0,94385,26375,3995587.0,,49623,12112754.0,,75660,991474,269451,480000,236781,2240946,8521903,0
2015-07-31,2,2015,180000,4250135,408513,2662238,,23307,1064978,275.0,1064978,23464,263039,53959,213716,33716,194722,162672,32050,24548,723384,40974,178685,132791,21346,1392184,510248,,0.0,548144,28843,0,351524,101235,1315016,9296,113486,11283,,3127411,5250000,2015年06月30日,489504,8039.0,299.0,7743683,7506073,34141829,184358,2558425,4154129,682410.0,42103,1988376,,725825.0,,,127000,5250000,12453734.0,114671,16768,4710051.0,,50124,12453734.0,,105515,991474,269451,420000,237610,2151626,8299605,0
