date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,,564019,139793,142305,0.0,0.0,66854,,9881,1247,5676,36120,,300260,15360.0,284900.0,19911,6431,13158,13158.0,1304,186946,0.0,,300000,360400,5269.0,4976,509079,108187,12176.0,382905,1329152,2013年03月31日,45548,,1666947,1666947,0,83581,476051,1334231,14217,13176,,133604.0,2432.0,1329152,,,795962.0,189814,,2462909.0,85027,14586,0.0,319911,1128678,,0.0,0
2013-08-08,2,2013,,563010,135293,105579,0.0,0.0,137314,,8403,829,9090,53945,,299649,9749.0,289900.0,18015,6422,13951,,1304,191934,,,300000,391607,5014.0,4897,538037,106836,10289.0,379472,1329152,2013年06月30日,15188,,1632344,1632344,0,87923,598151,1424700,13576,2468,,166849.0,5374.0,1329152,,,916166.0,188523,,2548510.0,112163,18508,,318015,1123810,,0.0,0
2013-11-13,3,2013,300000.0,567722,135182,120520,,0.0,94745,94745.0,4737,732,4305,339710,39710.0,309303,19403.0,289900.0,16227,6412,15605,15605.0,1304,217900,,,0,483061,8814.0,3286,533340,78873,8511.0,368192,1329152,2013年09月30日,30129,,1643011,1643011,0,87923,933826,1476846,12039,2468,,134664.0,4210.0,1329152,,,950053.0,189034,,2593064.0,197297,17478,,16227,1116218,,0.0,0
2014-03-24,4,2013,300000.0,572465,135182,149850,,0.0,92213,92213.0,4467,4626,8105,337922,37922.0,268505,16214.0,252291.0,7707,6403,26528,26528.0,1304,225158,,,0,431968,547.0,3018,524943,89881,0.0,374347,1329152,2013年12月31日,60052,,1685662,1685662,0,87923,869403,1429544,11564,1875,,186793.0,3735.0,1329152,,,877110.0,198555,,2562772.0,125171,13142,,7707,1133228,,0.0,0
2014-04-29,1,2014,300000.0,569505,135182,168210,,,68732,68732.0,5935,3465,6442,338314,38314.0,150695,4995.0,145700.0,7697,6393,28460,28460.0,1304,234605,,,0,492947,74.0,3500,532766,88585,0.0,365104,1329152,2014年03月31日,78412,,1702317,1702317,0,87923,909948,1499728,10160,1875,196890.0,,6381.0,1329152,,,917645.0,198513,,2619962.0,223278,11823,,7697,1120234,63509.0,,0
2014-07-30,2,2014,300000.0,566749,133187,134226,21749.0,,123257,123257.0,21322,3878,6822,336113,36113.0,73121,3281.0,69840.0,7687,6383,31580,31580.0,1304,228179,,0.0,0,415219,233.0,2967,516857,91072,0.0,348387,1329152,2014年06月30日,38482,,1661452,1661452,0,93869,883412,1452327,8292,1875,218607.0,,5623.0,1329152,,,891099.0,191252,,2552551.0,221682,12029,,7687,1100224,55860.0,,0
2014-10-29,3,2014,0.0,565419,117442,168904,,,87634,87634.0,6028,1598,6030,41405,41405.0,109704,2690.0,107014.0,7678,6374,37036,37036.0,1304,223283,,0.0,200000,425625,115.0,3899,539576,88003,0.0,323704,1329152,2014年09月30日,73160,,1694365,1694365,0,93869,567660,1405015,7528,1875,159055.0,,8982.0,1329152,,,775338.0,190279,,2469703.0,225114,13559,,207678,1064688,52654.0,,0
2015-02-25,4,2014,0.0,569526,117442,188508,,,101901,101901.0,4294,3420,14757,34131,34131.0,211945,1412.0,210533.0,7668,6364,43551,43551.0,1304,224280,,0.0,200000,437115,1877.0,2720,518182,81684,,311474,1329152,2014年12月31日,92764,,1722752,1722752,0,93869,589080,1458738,6771,1875,315775.0,,11336.0,1329152,,,796748.0,190335,,2519500.0,38026,11998,,207668,1060762,61132.0,,0
2015-04-29,1,2015,0.0,567038,105617,218969,,,87423,87423.0,5875,2199,12982,35603,35603.0,279319,4093.0,275226.0,7658,6354,38905,38905.0,1304,241256,,0.0,200000,476187,780.0,3591,566047,81108,,318435,1329152,2015年03月31日,123225,17016.0,1767848,1767848,0,93869,620600,1547931,6493,1875,,277812.0,,1329152,2596106.0,828258.0,,206745,2596106.0,,55078,11687,,207658,1048175,39237.0,,0
2015-07-29,2,2015,0.0,560178,103613,150785,0.0,,182611,182611.0,7974,2985,7057,41069,41069.0,359634,4092.0,355542.0,7649,6345,38369,38369.0,1304,241747,,,200000,471757,,3073,561011,89486,,333092,1329152,2015年06月30日,46989,9151.0,1694143,1694143,0,101921,707661,1556285,5626,1875,,201737.0,,1329152,2609453.0,915310.0,,207149,2609453.0,,40008,12290,,207649,1053168,51703.0,,0
2015-11-11,3,2015,,559719,103482,165204,,,153182,153182.0,3328,2900,16043,38980,38980.0,152866,12640.0,140226.0,7639,6335,38179,38179.0,1304,277541,,,200000,476353,,3518,560028,77584,,510716,1329152,2015年09月30日,61408,5966.0,1719436,1719436,0,101921,677999,1375243,4553,1875,,235993.0,,1329152,2605074.0,885638.0,,209037,2605074.0,,10001,13182,,207639,1229831,55002.0,,0
2016-02-26,4,2015,,551766,102889,184510,,,108495,108495.0,3568,5416,7982,35350,35350.0,137194,,,7629,6325,37088,37088.0,1304,287704,,,200000,530615,4877.0,3181,548784,77863,,521799,1329152,2015年12月31日,80714,9102.0,1730891,1730891,0,101921,691620,1400513,4267,1875,,170915.0,,1329152,2630140.0,899249.0,,209247,2630140.0,,32002,11818,,207629,1229627,137067.0,,0
