date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－流動,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,其他存貨,其他應收款淨額,其他應收款－其他,其他權益合計,其他權益－其他,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他預付款,原始認列時指定為透過損益按公允價值衡量之金融資產－流動,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－其他行業淨額,待註銷股本股數,應付公司債,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付票據,應付票據合計,應付票據－關係人,應付票據－關係人合計,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券投資－非流動,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,營建用地,現金及約當現金合計,現金及約當現金總額,短期借款合計,約當現金,累積盈虧,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,銀行借款,銀行長期借款,長期借款合計,長期應收款,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-08-05,2,2013,0,0,3656,0,0,0,0,-440420,0,0,0,0,,24,24,0,0,0,58470,58470,12344,12344,992,992,0,45440,199408,,0,2094,,,,,0,0,82277,82277,0,0,73,73,0,0,157030,157030,,,17463,17463,,,856000,2013年06月30日,-440420,,415581,415580,0,,350720,716213,992,,,,,,,329944,209900,329944,-440420,856000,,,350720,0,,766301,3656,3656,,0,209900,,,43346,43346,1,0,50088,199408,0
2013-11-12,3,2013,0,0,4472,,,0,0,-354385,,,0,0,251098,28,28,0,0,0,65415,65415,12444,12444,905,905,0,48069,,,0,4723,522888,271790,251098,,0,0,193471,193471,,,1541,1541,,,278786,278786,,,18580,18580,,,856000,2013年09月30日,-354385,,528575,501615,0,,696127,1318756,905,,,,,271790,,486030,435700,486030,-354385,856000,,,843627,0,,1372202,4472,4472,,0,435700,147500,147500,43346,43346,26960,147500,53446,,0
2014-03-25,4,2013,0,0,4256,,,0,0,-168826,,,0,0,401100,58,58,0,0,0,91711,91711,21705,21705,817,817,0,54877,,9857,0,11531,704728,303628,401100,,0,0,345531,345531,0,0,5114,5114,0,0,370064,370064,9200,9200,20696,20696,,,856000,2013年12月31日,-168826,,714062,687174,0,,799756,1601368,817,,,,,303628,,465060,357400,465060,,856000,,,947256,0,,1661318,4256,4256,9857,0,357400,147500,147500,43346,43346,26888,147500,59950,,0
2014-05-14,1,2014,,,3953,,,182463,182463,74724,,,0,0,512211,16404,16404,0,0,0,79250,79250,39043,39043,729,729,0,57028,,0,0,13682,950081,437870,512211,0,,,321011,321011,,,20193,20193,,0,286851,286851,0,0,75409,75409,,,856000,2014年03月31日,74724,,957542,930724,0,,907454,2048323,729,,,,,437870,680535,,487000,680535,,856000,,,1334954,0,,2292496,,3953,0,0,487000,427500,427500,43346,43346,26818,427500,244173,,0
2014-08-12,2,2014,6400,6400,4484,0,0,182463,182463,176113,0,0,,,769474,25103,25103,0,0,0,106880,100480,44718,44718,642,642,0,20754,,,0,20754,1208817,439343,769474,0,0,0,360553,360553,0,0,10203,10203,0,0,202067,202067,0,0,143753,143753,,,856000,2014年06月30日,176113,,1058600,1032113,0,,927636,2245193,642,,,,,439343,610768,,450000,610768,176113,856000,,,1394936,0,,2453536,4484,4484,9967,,450000,467300,467300,0,0,26487,467300,208343,,0
2014-11-12,3,2014,12800,12800,4129,0,0,182463,182463,225798,0,0,,,844844,10080,10080,0,0,0,137315,124515,42581,42581,554,554,0,24430,,,0,24430,1286274,441430,844844,0,300000,300000,333118,333118,0,0,6334,6334,0,0,208185,208185,1667,1667,147450,147450,,,856000,2014年09月30日,225798,,1108057,1081798,0,,514849,2293570,554,68660,68660,,,441430,587452,,38082,587452,225798,856000,,,1465749,0,,2573806,4129,4129,9881,,38082,650900,650900,0,0,26259,950900,280236,,0
2015-03-25,4,2014,19200,19200,3464,,,182463,182463,184475,,,0,0,668885,39345,39345,0,0,0,138828,119628,38433,38433,467,467,0,27360,,9850,0,27360,1112117,443232,668885,0,300000,300000,239557,239557,0,0,2735,2735,0,0,196299,196299,4020,4020,129229,129229,,,856000,2014年12月31日,184475,,1066417,1040475,0,,431120,2151343,467,76940,76940,,,443232,622050,,50000,622050,,856000,,,1375620,0,,2442037,3464,3464,9850,0,50000,644500,644500,0,0,25942,944500,290694,,0
2015-05-12,1,2015,125600,125600,3133,,,182463,182463,230652,,,0,0,592213,7748,7748,0,0,0,209459,83859,37987,37987,379,379,0,24778,,0,0,24778,1037573,445360,592213,0,300000,300000,71126,71126,,,5471,5471,,0,109017,109017,0,0,141481,141481,,,856000,2015年03月31日,230652,,1112216,1086652,0,,336056,1998679,379,,,76940,76940,445360,,664873,50000,664873,,856000,2286372,1174156,,0,2286372,,,3133,0,0,50000,538100,538100,0,0,25564,838100,287693,,0
2015-07-31,2,2015,132094,132094,1320,0,0,182463,182463,186355,0,0,,,587942,5698,5698,0,0,0,264605,132511,30683,30683,292,292,0,20372,,2935,0,20372,1035198,447256,587942,0,300000,300000,80952,80952,0,0,1731,1731,0,0,90965,90965,8874,8874,96942,96942,9860,9860,856000,2015年06月30日,167907,12276,1067900,1042355,0,18448,409564,2032287,292,,,65936,65936,447256,,751132,50000,751132,167907,856000,2302670,1234770,,0,2302670,,1320,1320,2935,,50000,525206,525206,0,0,25545,825206,270383,,0
2015-11-12,3,2015,214463,214463,1169,0,0,182463,182463,231735,0,0,,,430518,9320,9320,0,0,0,255210,40747,31139,31139,204,204,0,15667,,8017,0,15667,879686,449168,430518,0,300000,300000,95846,95846,0,0,1207,1207,0,0,325774,325774,0,0,84224,84224,,,856000,2015年09月30日,213287,12263,1113183,1087735,0,18448,464526,1913803,204,,,60840,60840,449168,,575643,100000,575643,213287,856000,2174146,1060963,,0,2174146,,1169,1169,8017,,100000,296437,296437,0,0,25448,596437,260343,,0
2016-03-09,4,2015,213904,213904,1019,,,182463,182463,232673,,,0,0,386490,12435,12435,0,0,0,247355,33451,27654,27654,117,117,0,8608,,10179,0,8608,837514,451024,386490,0,300000,300000,103576,103576,0,0,1642,1642,0,0,75231,75231,830,830,95606,95606,,,856000,2015年12月31日,214225,12232,1113953,1088673,0,18448,414805,1791017,117,,,75330,75330,451024,,731568,50000,731568,,856000,2058554,944601,,0,2058554,,1019,1019,10179,0,50000,229796,229796,0,0,25280,529796,267537,,0
2016-05-12,1,2016,239079,239079,793,,,182463,182463,238197,,,0,0,386970,5593,5593,0,0,0,262488,23409,27513,27513,29,29,0,7945,,7879,0,7945,839857,452887,386970,0,300000,300000,84471,84471,,,541,541,,0,65937,65937,3582,3582,29752,29752,,,856000,2016年03月31日,219749,12272,1119334,1094197,0,18448,509772,1686747,29,,,105750,105750,452887,,706634,150000,706634,,856000,1983727,864393,,0,1983727,,,793,7879,0,150000,54621,54621,0,0,25137,354621,296980,,0
2016-08-12,2,2016,277192,277192,658,0,0,182463,182463,240714,0,0,,,360615,6065,6065,0,0,0,317603,40411,27016,27016,0,0,0,8868,,5033,0,8868,815290,454675,360615,0,300000,300000,86685,86685,0,0,1520,1520,0,0,111100,111100,10557,10557,18343,18343,0,0,856000,2016年06月30日,213166,8163,1121747,1096714,0,27548,613971,1737979,0,,,105750,105750,454675,,744575,200000,744575,213166,856000,2035718,913971,,0,2035718,,658,658,5033,,200000,0,0,0,0,25033,300000,297739,,0
