date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債務工具投資－非流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－發行溢價合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,166844,,761173,407416,181380.0,95929,117239,-14733,5482,19467,30849,7502,,,527419,,979165,5637,1187799,383,217321,1781000,2013年03月31日,,,2619152,2619152,0,1175834,3254616,,90368.0,,,904525.0,12621.0,1781000,,77000,53000,,1264643.0,91712,91712.0,,3883795.0,4960,56132,88809,629179,0
2013-08-12,2,2013,107056,,700503,374434,182430.0,183653,24557,-26456,6126,17381,30115,8379,,,496045,,890398,14397,1220830,183,274433,1781000,2013年06月30日,,,2546759,2546759,0,1182503,3189101,,92356.0,,,963315.0,10929.0,1781000,,77000,53000,,1270580.0,91712,91712.0,,3817339.0,4962,55940,88077,628238,0
2013-11-11,3,2013,107162,,705184,286287,179850.0,106935,29557,-28070,8651,20249,29320,7889,,,502775,,951237,11169,1136042,554,273820,1781000,2013年09月30日,,,2549826,2549826,0,1159473,3168459,,115861.0,,,1077134.0,4481.0,1781000,,77000,53000,,1244755.0,91712,91712.0,,3794581.0,2962,57401,85282,626122,0
2014-03-24,4,2013,132311,,740292,284686,132817.0,121771,28522,-22215,7712,28512,25993,3719,,,586365,,951686,11712,1125500,285,273205,1781000,2013年12月31日,,,2590789,2590789,0,1171792,3255415,,186189.0,,,1015356.0,3911.0,1781000,,75000,55000,,1258219.0,91712,91712.0,,3849008.0,5434,51541,86427,593593,0
2014-05-12,1,2014,128264,,797235,375755,135727.0,93195,20466,-10164,8815,33196,25344,3788,,,648980,0.0,1080580,17088,1191149,273,272591,1781000,2014年03月31日,,,2659783,2659783,0,1287844,3444308,,254800.0,,919689.0,,13166.0,1781000,,75000,55000,,1375892.0,91712,91712.0,,4035675.0,7704,50997,88048,591367,0
2014-08-08,2,2014,123096,,703644,354159,133080.0,209048,124492,-15676,15390,31210,24675,4062,,,740172,0.0,885180,17413,1144594,1020,271978,1781000,2014年06月30日,,,2560680,2560680,0,1213604,3275002,,254800.0,,624555.0,,11573.0,1781000,,75000,55000,,1297500.0,91712,91712.0,,3858180.0,4221,50962,83896,583178,0
2014-11-10,3,2014,119208,,720579,358459,135508.0,120063,19306,-14039,12279,32430,24013,4245,,,868418,0.0,801791,24928,1274343,202,271364,1781000,2014年09月30日,,,2579252,2579252,0,1040388,3125179,,232195.0,,339826.0,,6327.0,1781000,,75000,55000,,1127516.0,91712,91712.0,,3706768.0,8115,51264,87128,581589,0
2015-03-27,4,2014,175088,,564864,365563,2436.0,105821,21875,-5327,13483,38595,25617,95805,,,912672,0.0,611452,11403,889510,261,213820,1781000,2014年12月31日,,,2432249,2432249,0,818118,2821300,,206379.0,,386445.0,,6459.0,1781000,,69500,60500,,919283.0,91712,91712.0,,3351532.0,15048,43083,101165,530232,0
2015-05-05,1,2015,171707,,553738,344505,2436.0,74584,15954,-1113,6118,51306,25014,14260,11415.0,2845.0,1126158,,633556,16533,837119,107,213220,1781000,2015年03月31日,12021.0,,2425337,2425337,0,812312,2798583,15636.0,,89400.0,,407798.0,,1781000,3331318.0,69500,60500,905981.0,,91712,91712.0,3331318.0,,8155,41712,93669,532735,0
2015-08-11,2,2015,164742,,503496,349925,2436.0,79765,24635,-7976,7515,24991,24103,6037,3373.0,2664.0,906521,,414282,20935,664678,3847,212819,1781000,2015年06月30日,0.0,,2368232,2368232,0,572497,2535084,100256.0,,89400.0,,460231.0,,1781000,3051984.0,50000,80000,683752.0,,91712,91712.0,3051984.0,,7152,41466,111255,516900,0
2015-11-09,3,2015,164641,,519208,368907,27437.0,81032,31725,-4430,5362,24783,23136,8344,8344.0,,736735,,459613,16142,746881,3977,212319,1781000,2015年09月30日,0.0,,2387490,2387490,0,612149,2569968,94700.0,,89400.0,,562260.0,,1781000,3118202.0,50000,80000,730712.0,,91712,,3118202.0,,15427,46093,118563,548234,0
2016-03-30,4,2015,171678,27437.0,460385,254138,,119996,32767,760,13937,34343,27738,11959,,,684693,,495585,16495,361943,5172,203007,1781000,2015年12月31日,0.0,2168.0,2333857,2333857,0,706013,2568205,93544.0,,89400.0,,1099437.0,,1781000,3116624.0,60000,40000,782767.0,,91712,91712.0,3116624.0,,9016,44938,76754,548419,0
2016-05-12,1,2016,168682,27436.0,439446,333260,,97353,19924,-2121,18623,33606,26654,12374,,,691833,,525856,16497,369359,874,211469,1781000,2016年03月31日,2523.0,2168.0,2310037,2310037,0,720852,2547781,0.0,,89400.0,,1096757.0,,1781000,3102637.0,60000,40000,792600.0,,91712,91712.0,3102637.0,,5094,45495,71748,554856,0
2016-08-12,2,2016,164916,27436.0,465691,317928,,100722,13600,3037,15365,17753,25598,13096,,,573077,,481907,22692,324741,0,210958,1781000,2016年06月30日,7505.0,1295.0,2341440,2341440,0,678191,2551058,0.0,,89400.0,,1302664.0,,1781000,3102736.0,50000,50000,761296.0,,91712,91712.0,3102736.0,,7507,45872,83105,551678,0
2016-11-03,3,2016,165366,27436.0,419917,369039,,126648,27258,898,14907,22858,24958,10596,,,607023,,548257,10511,322400,1706,210448,1781000,2016年09月30日,,1693.0,2293527,2293527,0,750323,2577465,0.0,,89400.0,,1225488.0,,1781000,3125826.0,50000,50000,832299.0,,91712,91712.0,3125826.0,,7018,45115,81976,548361,0
