date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備抵存貨跌價,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他設備成本,其他設備淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,原料,商品存貨,國外營運機構財務報表換算之兌換差額合計,在製品,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,存貨－製造業淨額,存貨－買賣業淨額,庫藏股票,待售房地,待註銷股本股數,應付帳款合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－建築物,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,租賃改良成本,租賃改良淨額,累計折舊－其他設備,累計折舊－投資性不動產－建築物,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－辦公設備,累計折舊－運輸設備,累計減損－投資性不動產－土地,累計減損－電腦軟體,股本合計,製成品,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅負債－所得稅,長期遞延收入,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收收入／遞延收入,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-14,1,2013,3404,0.0,15236,13702.0,,4109,265,265.0,276,27506,149,4617,676,,1503.0,136.0,3941,,9748,508,,,24277.0,14.0,276,1789.0,1738,508.0,13292,,13278.0,14.0,0.0,,,8853,257,5290,0.0,,179701.0,99373.0,170512.0,,67175,300000,2013年03月31日,5468,,,21350.0,75.0,315512,315512,0,4097,41084,116768,7,5671,,89346.0,616.0,,9957.0,649.0,1367.0,53184.0,21275.0,9308.0,5453.0,1058.0,37000.0,129.0,300000,914.0,,,52051.0,0.0,,367563.0,7879.0,2426.0,1176.0,118.0,1219,1219.0,8010.0,136.0,7.0,0.0,10967,250795,0.0,3701,,16020.0,27357,0,11337.0
2013-08-12,2,2013,3207,0.0,44849,10508.0,,5995,187,187.0,1636,26939,329,5272,1264,,1622.0,206.0,4008,,5817,4554,3422.0,3422.0,10797.0,14.0,1636,1164.0,1744,508.0,2743,,2729.0,14.0,0.0,,,3087,126,106,0.0,0.0,126029.0,73927.0,109197.0,,93033,300000,2013年06月30日,35081,,,21706.0,74.0,346485,346485,0,4097,36021,162950,0,5671,,149248.0,0.0,15.0,9972.0,616.0,1416.0,35951.0,21632.0,9356.0,5568.0,0.0,21144.0,136.0,300000,1276.0,,,43288.0,0.0,,389773.0,7879.0,2311.0,0.0,0.0,1450,1450.0,4073.0,136.0,0.0,0.0,7267,226823,0.0,5253,624.0,16293.0,26610,0,10317.0
2013-11-11,3,2013,3884,0.0,44759,,,3700,352,352.0,2378,21521,132,7556,3593,0.0,2657.0,1105.0,3963,3383.0,1744,4008,,,12044.0,14.0,2378,3727.0,1744,508.0,115712,108994.0,6704.0,14.0,0.0,125067.0,,6949,109,106,,,16528.0,8137.0,19182.0,,96669,300000,2013年09月30日,34991,,,1101.0,7.0,347137,347137,0,4097,32170,261547,0,5671,,133099.0,0.0,33.0,9962.0,565.0,1552.0,5720.0,1094.0,9397.0,5672.0,0.0,5071.0,,300000,1402.0,,,35499.0,0.0,,382636.0,7879.0,2207.0,0.0,0.0,1585,1585.0,0.0,,0.0,0.0,3329,121089,0.0,4580,117.0,16109.0,21389,0,5280.0
2014-03-10,4,2013,3241,0.0,228678,,0.0,6632,419,419.0,4256,16151,103,7614,4171,,2837.0,1130.0,3443,0.0,156,508,,,3452.0,14.0,4256,899.0,156,508.0,6601,0.0,6587.0,14.0,0.0,0.0,,447,84,158,,106.0,16443.0,8138.0,19182.0,104758.0,104758,300000,2013年12月31日,218910,,,682.0,7.0,532934,532934,0,4097,23230,428502,4902,5671,,413128.0,0.0,59.0,9977.0,0.0,1707.0,5806.0,675.0,9977.0,5775.0,0.0,5071.0,184.0,300000,4668.0,,,25420.0,0.0,,558354.0,7879.0,2104.0,0.0,0.0,2034,2034.0,0.0,5086.0,4902.0,0.0,2190,129852,0.0,333,0.0,12297.0,16048,0,3751.0
2014-05-12,1,2014,3022,0.0,215093,2432.0,0.0,4089,300,300.0,3879,8366,199,4224,4224,,2837.0,1017.0,0,,156,508,,,3327.0,14.0,3879,620.0,156,508.0,23207,21429.0,1764.0,14.0,0.0,21429.0,0.0,1358,75,2625,0.0,106.0,0.0,0.0,0.0,,114004,300000,2014年03月31日,205325,,,679.0,5.0,518972,518972,0,4097,31542,430334,4758,5671,398543.0,,17729.0,59.0,9092.0,0.0,1820.0,0.0,674.0,9092.0,5879.0,0.0,0.0,328.0,300000,249.0,,,33654.0,0.0,,552626.0,7879.0,2000.0,0.0,0.0,1956,1956.0,0.0,5086.0,4758.0,0.0,2112,122292,0.0,1195,,8167.0,8167,0,0.0
2014-08-11,2,2014,2821,0.0,216227,2432.0,0.0,4286,607,607.0,2159,4087,78,171043,4079,,2837.0,906.0,166964,,6,508,0.0,0.0,10068.0,0.0,2159,642.0,6,508.0,8605,,8605.0,0.0,0.0,,0.0,1768,60,0,0.0,0.0,0.0,0.0,0.0,,111330,300000,2014年06月30日,185234,,,667.0,5.0,518386,518386,0,25322,27871,428594,4614,5671,248025.0,,17730.0,59.0,9092.0,0.0,1931.0,0.0,662.0,9092.0,5969.0,0.0,0.0,472.0,300000,327.0,,,29481.0,0.0,,547867.0,7879.0,1910.0,0.0,0.0,1604,1604.0,0.0,5086.0,4614.0,0.0,1610,119273,0.0,195,0.0,4009.0,4009,0,0.0
2014-11-11,3,2014,2720,0.0,219794,,0.0,3804,1107,1107.0,4596,432,89,335268,4234,0.0,2837.0,794.0,331034,,6,508,0.0,0.0,10034.0,0.0,4596,539.0,6,508.0,8943,0.0,8943.0,0.0,0.0,0.0,0.0,542,59,208,,0.0,0.0,0.0,0.0,,112922,300000,2014年09月30日,188801,,,684.0,3.0,524390,524390,0,25322,22788,428668,4469,5671,82871.0,,18010.0,59.0,9092.0,0.0,2043.0,0.0,681.0,9092.0,6041.0,0.0,0.0,617.0,300000,802.0,,,24897.0,0.0,,549287.0,7964.0,1923.0,0.0,0.0,2103,2103.0,0.0,5086.0,4469.0,0.0,2109,120619,0.0,153,0.0,0.0,343,0,343.0
2015-03-19,4,2014,2535,0.0,222385,,0.0,4642,868,868.0,7566,439,49,108694,4414,,2837.0,682.0,104280,0.0,12,508,,,9692.0,0.0,7566,568.0,12,508.0,8412,0.0,8412.0,0.0,0.0,0.0,0.0,634,384,557,,0.0,0.0,0.0,0.0,,111325,300000,2014年12月31日,191392,,,706.0,3.0,529951,529951,0,25322,23836,437818,4325,5671,318632.0,,18121.0,59.0,9092.0,0.0,2155.0,0.0,703.0,9092.0,1532.0,0.0,0.0,761.0,300000,994.0,,,26560.0,0.0,,556511.0,3382.0,1850.0,0.0,0.0,2712,2712.0,0.0,5086.0,4325.0,0.0,2724,118693,0.0,212,0.0,0.0,390,0,390.0
2015-05-11,1,2015,2357,,212568,,,3588,626,,6740,61,61,212841,4383,,,,208458,,6,508,,,,,6740,,6,,7818,,,,,,0.0,373,376,154,234.0,0.0,,,,,108794,300000,2015年03月31日,181575,18121.0,173.0,,,519308,519308,0,25322,22143,428159,4181,5671,,205702.0,,,,,,,,,,,,,300000,,543999.0,24691.0,,,543999.0,,,,,,2542,,,,,,2548,115840,,235,,,0,0,
2015-08-11,2,2015,2183,,200534,,,3290,1232,,5344,76,76,311749,4383,,,,307366,,6,508,,,,,5344,,6,,8192,,,,,,0.0,111,50,20,187.0,,0.0,,,,105707,300000,2015年06月30日,169541,0.0,165.0,,,505878,505878,0,25322,3477,399183,4037,5671,,77408.0,,,,,,,,,,,,,300000,,511618.0,5740.0,,,511618.0,,,,,,2257,,,,,,2263,112435,,180,,,0,0,
