date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,,0.0,24701,37641,-205855,31,68,14832,4004.0,87,32.0,-84393,21253,503,984,914.0,,70,,7597,5053,5053,-84424,1266,17294,0,,3580,13587.0,0.0,3671,25.0,880,0.0,484942,2013年03月31日,-205855,,,194694,194694,0,70097,32883,,,7283.0,12841.0,3.0,,484942,,0,,70124.0,0,,264818.0,27.0,161928,0.0,0,27,231935,,2624,1278,20750,0
2013-08-07,2,2013,,0.0,21009,37641,-213770,24,61,11607,10004.0,44,32.0,-84417,19666,317,70,0.0,,70,,6016,4700,4700,-84441,1266,16741,0,,2929,13664.0,0.0,4632,0.0,1272,0.0,484942,2013年06月30日,-213770,,,186755,186755,0,70711,29133,,,3796.0,12841.0,3.0,,484942,,0,,70711.0,0,,257466.0,0.0,163606,0.0,0,0,228333,,2543,50,19349,0
2013-11-07,3,2013,,0.0,19934,37641,-213002,25,62,8394,16504.0,49,32.0,-84278,17900,355,70,0.0,,70,,5663,4347,4347,-84303,1266,17591,0,,4215,13468.0,0.0,7249,0.0,2680,0.0,484942,2013年09月30日,-213002,,,187662,187662,0,73322,32838,,,2854.0,12841.0,3.0,,484942,,0,,73361.0,0,,261023.0,39.0,164885,0.0,0,39,228185,,2310,50,17545,0
2014-03-25,4,2013,,0.0,17823,37641,-200284,31,68,9155,20031.0,14034,32.0,-84320,7468,254,70,0.0,,70,,5260,3994,3994,-84351,1266,21147,0,,4518,13577.0,0.0,5991,0.0,109,0.0,484942,2013年12月31日,-200284,,,200338,200338,0,67971,44619,,,2081.0,12841.0,3.0,,484942,,381,,67985.0,0,,268323.0,14.0,162912,0.0,0,14,223704,,1152,0,7214,0
2014-05-12,1,2014,,,10882,37641,-208230,19,56,9535,27803.0,14320,32.0,-84401,787,323,70,0.0,,70,,4912,3646,3646,-84420,1266,20447,0,0.0,1919,13878.0,,1852,0.0,3416,0.0,484942,2014年03月31日,-208230,,,192311,192311,0,67161,41526,,1206.0,,12841.0,3.0,,484942,,398,,67161.0,0,,259472.0,0.0,164455,,0,0,217946,,180,0,464,0
2014-08-11,2,2014,31267.0,31267.0,466469,33025,-437149,32,69,39618,0.0,14226,0.0,-84325,32276,552,0,,3603.0,0,3603.0,28668,3993,3993,-84357,1537,23503,0,0.0,11063,0.0,,117213,,6673,0.0,952442,2014年06月30日,-437149,,,635775,430968,0,158002,200635,4125.0,36878.0,,15589.0,0.0,57113.0,952442,,2343,,260702.0,0,,896477.0,0.0,163486,102700.0,204807,102700,695842,,2142,19535,457,0
2014-11-10,3,2014,31267.0,31267.0,472967,30525,-235351,31,68,57754,0.0,17215,0.0,-84379,32135,471,5000,,3603.0,5000,3603.0,69104,3614,3614,-84410,1537,19259,0,0.0,13360,0.0,,133099,,10375,0.0,752159,2014年09月30日,-235351,,,656841,432429,0,222538,233952,4023.0,43411.0,,19439.0,1.0,97233.0,752159,,2617,,317421.0,0,,974262.0,0.0,163623,94883.0,224412,94883,740310,,5592,60350,397,0
2015-03-23,4,2014,,41367.0,537325,30400,-254372,27,64,98142,0.0,17264,0.0,-84497,41843,473,2500,,3605.0,2500,3605.0,17698,3244,3244,-84524,1471,26808,0,0.0,17125,0.0,,147957,,33,,752159,2014年12月31日,-254372,,,655498,413290,0,204985,245973,3920.0,50650.0,,26922.0,0.0,18689.0,752159,,2264,,331610.0,0,,987108.0,0.0,151728,126625.0,242208,126625,741135,,761,9378,3,0
2015-05-06,1,2015,,41617.0,551854,30400,-241270,36,73,72905,0.0,19093,0.0,-84459,44233,2613,11500,,2506.0,11500,2506.0,7221,3064,3064,-84495,1531,25175,0,0.0,13568,0.0,,156179,,117,0.0,752159,2015年03月31日,-241270,36508.0,1.0,637277,426430,0,288222,300562,4523.0,,86816.0,,,118369.0,752159,1046532.0,2639,409255.0,,0,1046532.0,,,151899,121033.0,210847,121033,745970,,1681,120,3,0
2015-08-10,2,2015,,42200.0,548682,30400,-250669,161,199,85898,0.0,16022,,-84298,42711,511,2501,,2508.0,2501,2508.0,10484,2916,2916,-84459,1531,30521,0,0.0,14872,0.0,,152565,,196,0.0,752159,2015年06月30日,-250669,18482.0,1.0,648982,417192,0,221773,257551,4676.0,,54761.0,,,57000.0,752159,1003863.0,2810,354881.0,,0,1003863.0,,,151871,133108.0,231790,133108,746312,,984,3529,0,0
2015-11-09,3,2015,,48083.0,545524,35254,-244137,431,468,56484,0.0,15951,,-84193,49329,588,2501,,2508.0,2501,2508.0,20544,2790,2790,-84624,1701,26726,0,0.0,9387,0.0,,163584,,11482,0.0,752159,2015年09月30日,-244137,14878.0,1.0,677046,423829,0,225279,301070,4200.0,,75172.0,,,92000.0,752159,1059208.0,3201,382162.0,,0,1059208.0,,,152148,156883.0,253217,156883,758138,,5653,13545,658,0
2016-03-17,4,2015,,44233.0,538574,35254,-248927,0,0,80771,,16469,,-84571,45475,581,6503,,2510.0,6503,2510.0,44485,2579,2579,-84571,1609,22877,0,0.0,10643,,,163719,,39137,0.0,752159,2015年12月31日,-248927,21891.0,1.0,688471,418661,0,248940,322630,3511.0,,68267.0,,,87000.0,752159,1085803.0,3160,397332.0,,0,1085803.0,,,141349,148392.0,269810,148392,763173,3505.0,5657,34282,661,0
2016-05-09,1,2016,,42383.0,552944,35254,-247983,0,0,39726,,15183,,-84573,46550,3519,9503,,2510.0,9503,2510.0,25375,3556,3556,-84573,1618,28118,0,0.0,12814,,,162482,,7803,0.0,752159,2016年03月31日,-247983,28701.0,1.0,634835,419603,0,284238,297422,4220.0,,71150.0,,,153274.0,752159,1056807.0,3173,421972.0,,0,1056807.0,,,141592,137734.0,215232,137734,759385,3505.0,3182,14186,648,0
2016-08-09,2,2016,,35967.0,541620,35254,-254185,0,0,39988,,15045,,-84566,36596,606,3000,,2511.0,3000,2511.0,44740,3031,3031,-84566,1555,29210,0,0.0,9631,,,107408,,53800,17584.0,952159,2016年06月30日,-254185,10043.0,0.0,879636,656558,0,197128,421245,3431.0,,209504.0,,,97500.0,952159,1205506.0,3370,325870.0,,43150,1205506.0,,,141632,128742.0,223078,128742,784261,18451.0,3278,19192,23,0
2016-11-09,3,2016,,35967.0,529691,35254,-254762,0,0,43683,,16542,,-84756,36523,554,0,,2511.0,0,2511.0,44790,3022,3022,-84756,1555,27553,0,0.0,17103,,,126190,,51951,17244.0,952159,2016年09月30日,-254762,5853.0,0.0,889738,655791,0,166522,403809,3870.0,,171188.0,,,60000.0,952159,1176010.0,3360,286272.0,,43150,1176010.0,,,141352,119750.0,233947,119750,772201,18451.0,10385,19251,2,0
