date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－製造業淨額,工程存出保證金,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付股利,應收帳款淨額,應收票據淨額,應收退稅款,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,642917,1595426,692721,-315.0,77477,179820,179820,32383,26850.0,205186,645583,2666,91578,91204,9347.0,,9347.0,85363,202867,,,205501.0,16093.0,636667,636667,374.0,0.0,,479035,,120737,,989892,184952,5533.0,85363.0,1715980,2013年03月31日,372809.0,,,2884074,2884074,0,319912.0,2695189,4635898,,313742.0,,2276311.0,5807.0,0.0,1254748,1715980,,9459.0,,3609352.0,270187,270187.0,270187.0,,6493426.0,0.0,32896.0,73054,59235,755746,68997,0.0,914163,1857528,108430,0
2013-08-09,2,2013,572917,1615103,607550,,123278,252968,252968,48936,16679.0,250962,576485,3568,112658,99246,9512.0,,9512.0,85248,247401,,,,1821.0,801205,801205,13412.0,0.0,,460639,,177349,,1021222,198450,32257.0,85248.0,1715980,2013年06月30日,,,,2844679,2844679,0,,2270793,4209209,,225351.0,,1668475.0,0.0,4851.0,785619,1715980,,17402.0,,3309475.0,270187,,,,6154154.0,331.0,4783.0,72678,82441,880756,69397,,1038682,1944945,166671,0
2013-11-08,3,2013,658333,1638778,656439,,22569,187106,187106,40603,9690.0,219967,664208,5875,116847,88244,,28603.0,,85167,225017,8635.0,8635.0,,1804.0,846669,846669,,,,342927,0.0,167791,,1040853,209535,30913.0,85167.0,1715980,2013年09月30日,328033.0,,,2862573,2862573,0,328406.0,2413698,4502476,,354335.0,,1855441.0,4327.0,5723.0,1046386,1715980,,953.0,,3566786.0,270187,,,,6429359.0,0.0,9901.0,70895,63088,997026,68170,,1153088,1926883,146408,0
2014-03-26,4,2013,570833,1708371,673334,,42950,194721,194721,12023,10542.0,269912,574665,3832,110716,95162,,15554.0,,85094,271955,7979.0,7979.0,,1831.0,590151,590151,,,,355216,,93220,,1105315,238907,1481.0,85094.0,1715980,2013年12月31日,344928.0,,,2929413,2929413,0,328406.0,1878764,3911110,,110618.0,,1684855.0,5245.0,3283.0,654451,1715980,,932.0,,3021472.0,270187,,,,5950885.0,314.0,12292.0,73048,59449,984566,72747,,1142708,2039775,189398,0
2014-05-09,1,2014,515000,1719649,648232,,95224,174888,174888,14424,12908.0,260169,518336,3336,139406,124678,,14728.0,,84956,262489,7704.0,7704.0,,2039.0,777979,777979,,,0.0,488249,,110144,,921127,199876,1516.0,84956.0,1715980,2014年03月31日,319826.0,,,2894568,2894568,0,328406.0,1973540,3849902,,320811.0,1368068.0,,5489.0,2246.0,655283,1715980,,21116.0,,3010010.0,270187,,,,5904578.0,35.0,10741.0,75699,72538,875815,72695,,1036470,2054676,180051,0
2014-08-12,2,2014,622500,1720129,714864,,25144,186999,186999,19463,17795.0,203192,628704,6204,62526,62192,,334.0,,84862,276024,7123.0,7123.0,,2010.0,809298,809298,,0.0,0.0,309969,,177613,,1036965,194440,1668.0,84862.0,1715980,2014年06月30日,,,,2904223,2904223,0,,2090011,4044132,,190816.0,1700204.0,,17861.0,2185.0,768738,1715980,,127.0,,3195304.0,270187,,,,6099527.0,0.0,3091.0,77106,59242,943325,70882,,1105293,2055395,196009,0
2014-11-11,3,2014,612500,1785358,739969,,10602,177173,177173,14018,11691.0,284328,617337,4837,87283,86776,,507.0,,84773,287096,8497.0,8497.0,,3308.0,742440,742440,,,0.0,353245,,181340,,1014566,234766,2327.0,84773.0,1715980,2014年09月30日,410091.0,,,3010464,3010464,0,329878.0,2162662,4143401,,425020.0,1609423.0,,16589.0,2185.0,816689,1715980,,289.0,,3265033.0,270187,,,,6275497.0,0.0,3098.0,83013,59642,934585,72085,,1102371,2132096,203206,0
2015-03-27,4,2014,582500,2090034,761174,,0,208145,208145,34034,20037.0,390801,585398,2898,551415,79273,,472142.0,,84691,139340,8332.0,8332.0,,3360.0,803091,803091,,,0.0,357126,,213985,,1033755,241837,13997.0,84691.0,1715980,2014年12月31日,431296.0,,,3138142,3138142,0,329878.0,2071468,3935966,,,1269649.0,,14192.0,2185.0,691574,1715980,,1048.0,,3096520.0,270187,,,,6234662.0,0.0,0.0,88246,69322,852115,95946,,1025052,2298696,31702,0
2015-05-12,1,2015,675885,2076121,748616,,1203,170569,170569,29656,14369.0,379544,690217,14332,424401,58769,,365632.0,,75324,150319,7739.0,7739.0,,3346.0,731231,731231,,,0.0,260910,,109758,,907679,213553,15287.0,,1715980,2015年03月31日,418738.0,2952.0,2279.0,3114327,3114327,0,329878.0,2007856,3652196,75324.0,,,1342194.0,,,772366,1715980,5955028.0,1084.0,2840701.0,,270187,,,5955028.0,,0.0,0.0,87521,76392,670000,102331,,832845,2302832,36903,0
2015-08-11,2,2015,694615,2053910,696270,,80796,208946,174626,17718,,331589,697681,3066,455877,61983,,393894.0,3321.0,75317,161301,7234.0,7234.0,,,643522,643522,,,0.0,293175,,144252,34320.0,966985,211871,,,1715980,2015年06月30日,357608.0,7471.0,2185.0,3014026,3014026,0,338662.0,2129953,3809668,75317.0,,,1430714.0,,,777070,1715980,6115391.0,1358.0,3101365.0,,270187,,,6115391.0,,0.0,0.0,87345,90512,808750,99770,,971412,2305723,50976,0
