date,season,year,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,土地淨額,存入保證金,存出保證金,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未完工程及待驗設備,本期所得稅負債,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－機器設備,累計折舊－辦公設備,累計折舊－運輸設備,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,辦公設備成本,辦公設備淨額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,運輸設備成本,運輸設備淨額,遞延所得稅負債合計,遞延所得稅資產,長期應付款,長期應付票據及款項合計,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,,145.0,1794933,27006,1927549,-557,5995,239418,1535,46826,220,22406,34439,34294.0,1131174,44339,136880,53808,1086835,92964,155334,31877,31877,22963,126775,477,8057,663349,,,383399,80,133,814231,0,25823,92487.0,882026,581362,227598,2443043,2013年03月31日,1135343,223192,,1939758,751974,5611229,4848371,0,500127,788117,4726650,,2741,,0.0,14655.0,,292079,,1905114.0,103509.0,25589,83072,300664,1187784,45046,44620,2443043,,,1348802.0,455373,,39899,63306,22167,330001,330001,,6960031.0,71869,26823,15.0,133918,75619,30999,467721,11114,0.0,0.0,115400,2741,762858,560685,2233381,0.0,,0
2013-08-13,2,2013,59.0,59.0,1820019,27006,1791604,-718,7078,521129,2406,49950,231,73285,50482,50423.0,1306871,75691,140751,53626,1231180,99677,156919,40954,40954,74003,124988,6847,8861,671803,,,479064,115,4867,1014405,26,28726,92830.0,980541,666733,235493,2443043,2013年06月30日,937221,160887,,1984670,754762,5549145,4765017,0,540997,1117750,4972854,,2067,,0.0,14749.0,,313386,,1778238.0,49617.0,10000,87125,313808,1229908,47425,45482,2443043,,,1689080.0,457085,,41611,63306,22167,330001,330001,,7238225.0,75891,28466,70.0,115526,76039,30557,471653,9118,0.0,0.0,107104,2067,784128,571330,2265371,0.0,,0
2013-11-13,3,2013,0.0,0.0,1780330,27006,1877149,-328,17889,259047,3059,52398,232,9799,51601,51601.0,1109207,102982,142835,53166,1006225,119039,156437,43482,43482,10127,124333,25033,9638,657451,,,473313,77,400,997470,24,26292,94006.0,967023,645904,204785,2443043,2013年09月30日,1022766,162919,,1971540,739206,5534012,4788807,0,540997,894976,4794483,,1595,,0.0,14569.0,,313386,,1799946.0,106722.0,0,89669,321119,1232334,47897,46269,2443043,,,1454764.0,458816,,43342,63306,22167,330001,330001,,6988776.0,74744,26847,757.0,133574,74224,27955,440749,9571,0.0,0.0,103317,1595,745205,559788,2194293,0.0,,0
2014-03-18,4,2013,0.0,0.0,1765081,27006,1980690,-135,14324,350083,3716,40731,225,59520,48630,48630.0,1640038,50889,145238,53238,1589149,131814,189658,74884,74884,59655,123275,43286,11254,673787,,,370052,66,212,1046456,457,18361,88528.0,1069065,734812,214664,2443043,2013年12月31日,1126307,62409,,2012900,734283,5720258,4948473,0,540997,953828,5038170,,1277,,34650.0,14850.0,,313386,,1495045.0,66069.0,115000,92000,334253,1278617,49901,46812,2443043,,,1537740.0,465220,,45072,63306,26841,330001,330001,,7257998.0,77420,27519,0.0,74096,76357,29545,452098,7292,0.0,0.0,103520,1277,771785,583912,2219828,0.0,,0
2014-05-08,1,2014,,0.0,1724064,27006,2071493,464,8016,255513,1327,36687,223,56938,56141,56141.0,1710844,50658,149300,53887,1660186,133865,195283,68441,68441,56474,124346,44333,12076,666275,,0.0,405969,67,85,994791,309,21629,89532.0,1074985,727997,221239,2443043,2014年03月31日,1217110,55448,,2014332,705787,5768546,5037984,0,540997,911943,5039348,,1012,,49879.0,14730.0,,313386,1485364.0,,122825.0,70000,95413,346988,1308545,52268,47289,2443043,,,1461432.0,466510,,46385,63306,26818,330001,330001,,7229978.0,78752,26484,16.0,65331,77404,30115,415624,7296,,,104084,1012,730562,549489,2190630,,10682.0,0
2014-08-05,2,2014,0.0,0.0,1664639,27006,1860388,789,25111,574743,1946,52318,217,-12723,38734,38734.0,1410011,50342,148997,51395,1359669,134683,189471,61526,61526,-13512,123652,44142,8224,670870,,0.0,453918,85,498,1051100,25,25376,90541.0,1059824,705397,229424,2443043,2014年06月30日,1000181,55740,,1993633,673024,5495686,4758605,0,575517,1177834,5102301,,796,,63424.0,0.0,,284690,1645967.0,,107910.0,0,97602,354427,1320609,53064,47806,2443043,,,1725764.0,467897,,47713,63306,26877,330001,330001,,7221450.0,79496,26432,0.0,157882,76805,28999,413247,7813,,,101824,796,737081,547930,2119149,,17897.0,0
2014-11-10,3,2014,,,1671986,27006,1971893,650,67954,929050,2562,50684,223,74319,41782,41782.0,1105268,155590,153063,50232,949678,136140,178713,55608,55608,73669,124342,44604,7913,674916,,0.0,476939,91,98,1071204,543,23561,91536.0,1080604,707696,201154,1800523,2014年09月30日,1111686,57273,,2054856,675850,4996823,4318000,0,575517,1651746,5047040,,598,,95677.0,0.0,,284690,1664455.0,,200794.0,0,102831,372908,1379006,56197,48582,1800523,,,2138502.0,471265,,49055,63306,28903,330001,330001,,7135325.0,82927,26730,430.0,292555,78445,29863,350616,8828,,,103300,598,678823,486756,2088285,0.0,11892.0,0
2015-03-18,4,2014,,,1676774,27006,2056519,171,743,368088,3178,43807,237,175823,45472,,1457811,54623,157185,48410,1403188,130551,180386,53643,53643,175652,125104,43176,8750,706915,,0.0,377594,768,105,1026691,795,25705,87375.0,1143556,751027,207849,1800523,2014年12月31日,1196312,586,,2127569,687219,5182165,4504844,0,575517,1144676,4703174,,450,,72551.0,0.0,,284690,1212288.0,,127445.0,222026,108775,392529,1440350,59196,50847,1800523,,,1624271.0,471979,35460.0,14938,63306,28274,330001,330001,,6806436.0,86110,26914,,155631,88361,37514,349044,10797,,,104544,450,677321,479595,2103262,,13449.0,0
2015-05-08,1,2015,,0.0,1622229,27006,2107811,211,13464,246720,3184,52809,229,125892,53386,53386.0,1545548,52650,156446,44625,1492898,142165,177205,49839,49839,125681,126741,40854,8825,686978,,0.0,400385,512,58,1012339,617,18615,,1131147,730687,210984,1800523,2015年03月31日,1247604,675,130054.0,2089990,657725,5190892,4507381,0,575517,1054106,4697742,101311.0,323,71842.0,,,0.0,284690,,1149963.0,,219807,111821,400460,1432265,59256,49539,1800523,6746036.0,1555144.0,,473155,35460.0,15554,63306,28834,330001,330001,6746036.0,,85626,26370,0.0,145338,84945,35406,358873,10547,,,100630,323,683511,501038,2048294,,17911.0,0
2015-08-12,2,2015,,,1591000,27006,1919519,-359,4702,516782,2503,57440,246,68150,50661,50661.0,1377675,32963,156227,42308,1344712,139430,159633,42364,42364,68509,125190,39320,8259,669822,,0.0,432839,887,101,1076032,207,29164,,1117265,709172,211952,1800523,2015年06月30日,1020973,13465,58677.0,2078902,639405,4914457,4262252,0,613856,1280020,4703840,100110.0,470,25050.0,,,0.0,284690,,1345476.0,,217490,113919,408093,1439497,59179,46678,1800523,6702512.0,1788055.0,,474060,35460.0,16178,63306,29115,330001,330001,6702512.0,,86673,27494,80.0,118026,80644,33966,368605,8611,,,98213,470,652205,508035,1998672,,10797.0,0
