date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,1129774,,3459490,-287099,924782,3268191,166346,-78038,,3551976,,416784,29440,209061,2613952,412251,,,39802.0,440994,2920929,68.0,409352,2938189,746,208981,3476913,8318770,2013年03月31日,2240525,,15936973,15457672,25000000,1218965,10646573,22111480,85235,0.0,,12817934.0,202875.0,,8320656,,261540,,11580471.0,4167815,,,613707,3549390,,4718,,27517444.0,0.0,1596300,376497,475621,100815,479301,933898,5405964,643879,1886.0,90000
2013-08-07,2,2013,1080371,,2162904,-284161,952409,5646132,126297,8472,,2380541,,423176,29477,292633,3622561,412251,,,40017.0,391615,4262888,0.0,827351,2858333,750,208309,4050282,8332570,2013年06月30日,769386,,14308378,13842663,25000000,1393518,12959006,22320232,75957,0.0,,12307430.0,16955.0,,8336027,,260875,,13902696.0,3747511,8115.0,,613707,3120971,,4718,,28211074.0,0.0,1117853,381197,446446,99300,465715,943690,5890842,507248,3457.0,165000
2013-10-31,3,2013,817161,,2450984,-318073,984133,3473810,111874,-88393,,32735,,92830,29104,229680,4662419,412251,,,40230.0,399872,4843203,0.0,529026,2925619,739,458433,3680759,8336770,2013年09月30日,1057466,,14490860,14039071,25000000,1393518,9134677,18653535,64919,0.0,,8055596.0,126482.0,,8336770,,258575,,9703113.0,3751961,8115.0,,613707,3125421,,4718,,24193973.0,0.0,948538,339553,490062,95823,451789,568436,5540438,435591,,0
2014-03-11,4,2013,831828,,2775633,-247436,1035830,2935638,60262,84776,,90052,,84450,26808,332212,3006070,412251,,,40444.0,344619,4013531,0.0,1267427,2316492,149,458860,3863247,8343620,2013年12月31日,1382115,,15014861,14549534,25000000,1393518,10186035,20114563,55949,0.0,,11166740.0,107717.0,2474230.0,8343620,,220248,,10769258.0,3757756,8115.0,,613707,3131216,,4718,,25784119.0,0.0,920094,363697,432864,94632,465327,583223,5669556,341499,,0
2014-05-06,1,2014,839774,,3118343,-147642,1162749,3401522,72850,171362,,142027,,84607,26192,319004,2445798,82450,,0.0,0.0,273186,2336049,0.0,1130785,1608041,152,457572,3860990,8343620,2014年03月31日,1724825,,15868026,15347859,5000000,1393518,7405250,18202640,51788,,10309382.0,,118746.0,914100.0,8343620,,219620,,8005121.0,3796984,,0.0,652935,3131216,8115.0,4718,,23873147.0,0.0,1144699,420704,434191,94560,520167,599871,5670507,328184,0.0,0
2014-08-04,2,2014,827891,,2030563,-181230,1100565,4856762,105635,32232,,153331,,84813,26126,213462,2722645,82450,,0.0,0.0,220637,2058522,0.0,1346035,86085,149,456154,3885780,8343620,2014年06月30日,524021,,14051668,13540396,5000000,1506542,8260305,17224346,49701,,10615748.0,,92934.0,597400.0,8343620,,250544,,8828871.0,3216431,,,652935,2550663,8115.0,4718,,22880539.0,30175.0,931047,393178,410541,90575,511272,568566,5656193,316437,0.0,0
2014-10-30,3,2014,848475,,2157617,-199367,1031100,2544994,94406,149760,,127622,,84745,26056,349127,3465975,0,,0.0,0.0,224785,2170012,12689.0,919539,388208,152,454927,3984268,8343620,2014年09月30日,651075,,14385614,13896736,0,1506542,5392674,14602722,45865,,7348476.0,,16783.0,0.0,8343620,,295789,,5948051.0,3245739,,,682243,2550663,8115.0,4718,,20333665.0,,1053861,380556,371352,90076,488878,555377,5730943,301005,,0
2015-03-19,4,2014,847078,,2348232,-192498,884648,2429351,176737,351231,,220915,,82822,342625,543729,1881343,0,,0.0,0.0,89869,1727454,3.0,1017784,1639691,159,453740,4019991,8343620,2014年12月31日,841690,,14717159,14288822,0,1506542,4703846,13900527,63491,,6771182.0,,19974.0,0.0,8343620,,216280,,5337272.0,3245739,,,682243,2550663,8115.0,4718,,20054431.0,,1230241,459169,426979,91435,428337,633426,6153904,298742,,0
2015-05-07,1,2015,834719,,2422932,-231129,901768,2659972,206941,253098,,69740,,83041,323207,484227,2440387,0,,0.0,,91757,1225012,94.0,835601,439585,156,452077,3892378,8343620,2015年03月31日,916390,26562.0,14765438,14265389,0,1506542,4283048,13676164,59401,,,7183621.0,,0.0,8343620,19674024.0,209911,4908586.0,,3245739,,,682243,2550663,8115.0,4718,19674024.0,,,1357010,454351,436078,88146,500049,625538,5997860,311095,,0
2015-08-12,2,2015,811503,,1792728,-301104,747573,4038442,270279,96358,,44311,,82913,319465,397462,3311040,0,,,,227932,2302229,0.0,1759976,1118561,474,463537,3764944,8343620,2015年06月30日,202717,26426.0,13342217,12894392,0,1590011,6850421,14978091,57350,,,5976889.0,,0.0,8343620,20840835.0,211081,7498618.0,,2661686,,,682243,1966610,8115.0,4718,20840835.0,,0.0,1449603,480619,445945,84665,447825,648197,5862744,343696,,0
2015-10-30,3,2015,845277,,2301430,-123987,597485,2411458,400908,498649,0.0,100027,,83159,339705,622636,3554821,308632,,0.0,0.0,217105,3886354,0.0,2581239,853832,164,462225,4053709,8343620,2015年09月30日,711419,14132.0,13864628,13496753,20600000,1590011,6850448,15313972,53514,,,4279165.0,,0.0,8343620,21500097.0,221372,7635469.0,,2661686,,0.0,682243,1966610,8115.0,4718,21500097.0,,,1964811,614083,431695,87779,367875,785021,6186125,1081547,,0
2016-03-18,4,2015,829010,,3340544,60605,616563,2513570,142139,517638,0.0,327452,,92024,339285,457033,1666160,378803,,0.0,,48505,2764216,0.0,1743122,1530766,164,460513,3752362,8343620,2015年12月31日,1750533,24214.0,14877223,14484685,25000000,1590011,5946012,15964580,54134,,,5926890.0,,,8343620,21977508.0,268055,7100285.0,,2661686,,0.0,682243,1966610,8115.0,4718,21977508.0,,,3985631,976993,577624,85256,392538,1154273,6012928,353145,,0
2016-05-09,1,2016,783771,,4367903,47530,564827,2700018,123280,477227,0.0,203400,,91606,313571,429697,1775332,378803,34654.0,0.0,,20096,2331721,0.0,745109,1786788,161,459635,3767963,8343620,2016年03月31日,2777892,33585.0,15841964,15471633,25000000,1590011,5585215,16883710,52114,,,5433615.0,,,8343620,22904818.0,241660,7062854.0,,2661686,,0.0,682243,1966610,8115.0,4718,22904818.0,,54735.0,6029852,1304786,644054,81247,370331,1477639,6021108,390092,,0
2016-08-03,2,2016,937762,121131.0,3506088,50999,597561,5309625,137176,367911,0.0,72949,,91546,275544,316912,3349132,378803,33762.0,0.0,,40266,3611902,,1361929,3952371,807,458913,3020301,8343620,2016年06月30日,1741049,608722.0,14654924,14257693,25000000,1765039,9849207,19974971,47500,,,8167451.0,,,8343620,25320305.0,181343,10665381.0,,2418877,,0.0,682243,1723801,8115.0,4718,25320305.0,,24400.0,2003180,580048,484183,144580,397231,816174,5345334,371602,,0
2016-11-09,3,2016,2518476,117286.0,3752948,95362,631401,5606803,167422,261787,0.0,73927,20000.0,94034,430533,166425,5622708,378803,,0.0,,4504436,0,18.0,1187144,3089899,784,458067,491652,8343620,2016年09月30日,1987909,628728.0,14826344,14398429,25000000,1765039,11009850,22312072,41760,,,8565592.0,,,8343620,26933904.0,195938,12107560.0,,2418877,,0.0,682243,1723801,8115.0,4718,26933904.0,,,2178464,864722,564058,138954,427915,1097710,4621832,848658,,0
