date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備抵呆帳－應收帳款、分期帳款及租賃款,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他應收款－關係人－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他設備成本,其他設備淨額,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他長期投資,其他長期投資（淨額）,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預收款,國外營運機構財務報表換算之兌換差額合計,土地成本,土地淨額,在建房地,存入保證金,存出保證金,存貨合計,存貨（建設業適用）淨額,庫存現金,庫藏股票,待分配股票股利,待售房地,待註銷股本股數,應付公司債合計,應付帳款,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付短期票券,應付短期票券合計,應付短期票券折價,應付票據,應付票據合計,應付票據－關係人,應付票據－關係人合計,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,房屋及建築成本,房屋及建築淨額,投資性不動產淨額,投資性不動產－土地,投資性不動產－建築物,持有供交易之金融資產－流動,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,機器設備成本,機器設備淨額,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,營建用地,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,租賃改良成本,租賃改良淨額,累計折舊－其他設備,累計折舊－房屋及建築,累計折舊－投資性不動產－建築物,累計折舊－機器設備,累計折舊－租賃改良,累計折舊－運輸設備,累計減損－以成本衡量之金融資產－非流動,累計減損－電腦軟體,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,運輸設備成本,運輸設備淨額,遞延所得稅資產,銀行借款,銀行存款,長期預付租金,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付土地款,預付投資款,預付款項合計,預付設備款,預付退休金－非流動,預收房地款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,,62852,,132834,64026,,,80795,,290321,0.0,,57918,,,,2230,3292136,141608,1329557,252255,,,,1077302,49335,,35881,820687,812034,986518,224393,224393,,,,,,7277,675444,10410646,10410646,,0.0,,,,775719.0,,1076475,,,,168247,,,36634,,,,2311,,21010,,224767,0.0,1376.0,,,265272,,,68887.0,,14392,4499792,2013年03月31日,-132922,,,,,5048755,5048755,0,122472,9261642,14442515,,,948,,74476,,2140406.0,197219.0,119.0,4200610,,,,,,,,,,,4499792,,,10858048.0,482707,,15906803.0,0.0,68887,1472.0,,,0.0,,,,,,0.0,1596406,1464288,,,106099,1465.0,,,3150528,0
2013-08-04,2,2013,,62379,,150834,-353663,,,74199,,278224,0.0,,56841,,,,2630,2009004,104971,1224588,238955,,,,985633,49335,,35881,819359,812034,1082710,230175,230175,,,,,,6133,765854,8523185,8523185,,0.0,449979.0,,,720465.0,,1092854,,,,81519,,,72417,0.0,0.0,,15052,,21010,,117280,0.0,1192.0,,,264990,,,67611.0,,13122,4556142,2013年06月30日,-603527,,,,,5141464,5141464,0,249864,6999966,12106271,,,948,,0,,1914012.0,100203.0,126.0,3365745,,,,,,,,,,,5006121,,,8539790.0,486376,,13681254.0,0.0,67611,0.0,,,0.0,,,,,,0.0,1539824,1574983,,,92367,1465.0,,,1904033,0
2013-11-11,3,2013,700324.0,62553,,150834,-338377,,75894.0,75894,,345306,0.0,,140121,,,,3252,3725334,336761,1896223,235439,,,,1660784,49335,,35881,816216,812034,1108942,247977,247977,,,,,,3183,709370,10490254,10490254,,0.0,449979.0,,,0.0,,1102433,,,,81560,,,74811,0.0,0.0,,12,,21010,,116644,0.0,999.0,,,264709,,,69888.0,,11161,4579130,2013年09月30日,-975747,,,,,5181981,5181981,0,249864,9314225,13712913,,,1310,,387506,,814604.0,97939.0,126.0,3886842,,,,,,,,,,,5029109,,,10130441.0,487997,,15312422.0,0.0,69888,0.0,,,0.0,,,,,,0.0,816216,1599509,,64404.0,88137,1975.0,,,2688249,0
2014-03-24,4,2013,700787.0,62047,,150834,937478,,81366.0,81366,,164212,0.0,,141064,,,,9098,1920835,237227,2097214,297301,,,,1799913,49335,,35881,306349,303685,2035147,73165,73165,,,,,,2664,1875885,8713304,8713304,,0.0,0.0,,,0.0,,1877207,,,,164288,,,31550,0.0,0.0,,197647,,21010,,55065,0.0,0.0,,,264189,,,51284.0,,61076,5033136,2013年12月31日,300108,,,,,6467633,6467633,0,249864,7915117,12112132,,,3674,,387506,,550991.0,78441.0,123.0,3678584,,,,,,,,,,,5033136,,,8221466.0,487921,,14689099.0,0.0,51284,0.0,,,0.0,,,,,,0.0,306349,2576967,,0.0,203064,,881.0,,982821,0
2014-05-07,1,2014,702785.0,61600,154834.0,150834,1029732,-12815.0,74435.0,74435,17152.0,50409,,50409.0,245077,245077.0,,,2349,1355829,72724,729937,300245,4418.0,2178.0,49335.0,429692,49335,69047.0,69047,242084,239420,744319,53014,53014,46588.0,15164.0,36207.0,36207.0,5946167.0,2664,571838,8560058,8560058,6214.0,,,1730703.0,0.0,0.0,1369671.0,1369671,,,164400.0,164283,117.0,20505.0,20505,,,87093.0,69941,21010.0,21010,50072.0,50072,,0.0,31040.0,22371.0,263907,226817.0,54249.0,,96250.0,96250,5035592,2014年03月31日,392362,,,,,6559282,6559282,0,249864,5427118,10908228,,,3346,168706.0,387506,807192.0,,85906.0,122.0,2380515,3888.0,19.0,2240.0,8669.0,17159.0,,3869.0,555.0,4000.0,592.0,5035592,,,5669202.0,491609,,12228484.0,,119121,0.0,1380.0,825.0,,2380515.0,800978.0,,3938.0,3346.0,0.0,242084,1320256,714482.0,,231263,0.0,1085.0,533732.0,580320,0
2014-08-11,2,2014,707228.0,193278,154834.0,150834,819434,-12222.0,75028.0,75028,17152.0,255545,,255545.0,144566,144566.0,,,1155,1511826,77588,963672,327326,5504.0,3000.0,49671.0,636346,49671,89047.0,89047,225957,223098,1365676,54024,54024,63884.0,13377.0,166207.0,166207.0,6750684.0,2859,296768,8840023,8840023,41957.0,0.0,0.0,1709106.0,0.0,,1142460.0,1142460,,,164400.0,164286,114.0,23324.0,23324,,,30617.0,13465,21010.0,21010,272546.0,272546,,0.0,31040.0,22243.0,263626,226817.0,54249.0,,88946.0,88946,5035592,2014年06月30日,113472,,,990.0,990.0,6345886,6345886,0,318456,6358263,10864638,,,3108,168706.0,387506,450444.0,,11836.0,11.0,3248986,3888.0,13.0,2504.0,8797.0,17440.0,0.0,3875.0,555.0,4000.0,925.0,5035592,,,6584220.0,489705,,12930106.0,,35773,0.0,1380.0,825.0,,3248986.0,408487.0,874864.0,4033.0,3108.0,0.0,225957,2065468,211527.0,,48100,0.0,1302.0,663126.0,727010,0
2014-11-13,3,2014,711700.0,193193,216691.0,208352,845205,-10826.0,76425.0,76425,17152.0,272865,,272865.0,132473,132473.0,,,5368,1710079,149316,1116434,341138,5896.0,2987.0,109784.0,775296,109784,89047.0,89047,192913,190276,1424921,55943,55943,84531.0,16194.0,166207.0,166207.0,7123469.0,2637,296888,9333767,9333767,17821.0,0.0,0.0,1494126.0,0.0,,963020.0,963020,,,164400.0,164376,24.0,161831.0,161831,630.0,630.0,17401.0,249,21010.0,21010,33940.0,33940,,0.0,31040.0,22178.0,263515,226988.0,54249.0,,26187.0,26187,5035592,2014年09月30日,139243,,,990.0,990.0,6382588,6382588,0,318456,7320399,11776960,,,2772,168706.0,387506,809694.0,,17186.0,927.0,4030412,3888.0,6.0,2909.0,8862.0,17722.0,0.0,3882.0,555.0,8339.0,,5035592,,,7513312.0,496423,,13895900.0,,36312,0.0,1380.0,825.0,,4030412.0,791873.0,871729.0,2772.0,2772.0,0.0,192913,2118940,547466.0,,215729,0.0,1530.0,764532.0,849063,0
2015-03-17,4,2014,716199,226538,,349270,786816,,70498,70498,,61252,,,155221,,,,4127,1806422,191165,958504,379734,,,109784,578770,109784,,102213,183889,181652,1434800,79730,79730,,,,,,2237,272306,9753285,9753285,,,,,0,,,1079462,5000,5000,,485927,,,137810,630,630,,164,,21010,,11730,,,,,262995,,,26775,,25020,5035592,2014年12月31日,80854,,,,,6323292,6323292,0,318456,8235171,12440405,,,3324,,387506,1172159,,6970,28,4651698,,,,,,,,,,,5035592,,,8419060,496757,,14742352,,26775,,,,,4651698,,868593,,,,183889,2301947,,,271031,,2174,,899058,0
2015-05-11,1,2015,289409.0,225888,357147.0,348683,683822,-15608.0,70372.0,70372,17152.0,162853,,162853.0,194919,194919.0,,,3214,1475721,79743,1304238,399905,7791.0,3870.0,179314.0,904333,179314,102213.0,102213,179701,177364,1839712,89599,89599,111149.0,18822.0,197062.0,197062.0,7985928.0,2337,600710,10533709,10533709,18003.0,,,1515967.0,0.0,0.0,1019192.0,1019192,0.0,0.0,858600.0,857994,606.0,157939.0,157939,630.0,630.0,17518.0,366,21010.0,21010,15284.0,15284,,,31040.0,21737.0,262714,226988.0,54249.0,,24935.0,24935,5472599,2015年03月31日,-22140,6970.0,42.0,990.0,891.0,6650703,6650703,0,318456,8868355,12993570,0.0,2419.0,3257,168706.0,387506,,614931.0,,,5187056,256.0,256.0,3921.0,9303.0,18523.0,99.0,0.0,803.0,8464.0,2035.0,5472599,15698759.0,9048056.0,,491068,15698759.0,,,11971,0.0,2875.0,2072.0,,5187056.0,596928.0,865457.0,5292.0,3257.0,0.0,179701,2705189,863108.0,,226728,0.0,,995420.0,1106569,0
2015-08-10,2,2015,0.0,225386,356232.0,347832,1006073,-17335.0,68645.0,68645,17152.0,126280,,126280.0,165970,165970.0,,,348,1041111,113874,550666,207246,7791.0,3432.0,330011.0,343420,330011,102213.0,102213,176314,173077,1986234,90965,90965,120931.0,17683.0,197062.0,197062.0,7132485.0,3237,598074,10665900,10665900,17561.0,0.0,0.0,1842909.0,0.0,,571001.0,571001,0.0,0.0,1173000.0,1172504,496.0,139507.0,139507,630.0,630.0,40223.0,23071,21010.0,21010,124644.0,124644,,,31040.0,21673.0,262313,226988.0,54249.0,,22515.0,22515,5765825,2015年06月30日,295077,0.0,302.0,990.0,891.0,7259497,7259497,0,323490,8553121,13141668,0.0,2650.0,2984,168706.0,387506,,1334036.0,,,5502088,256.0,256.0,4359.0,9367.0,18924.0,99.0,0.0,803.0,8400.0,2578.0,5765825,15988932.0,8729435.0,,487251,15988932.0,,,11769,0.0,2875.0,2072.0,,5502088.0,1316475.0,862321.0,5562.0,2984.0,0.0,176314,2847264,1521800.0,,175655,0.0,,806306.0,927237,0
