date,season,year,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應收帳款淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,22768176,10377901,206915,4709,35357,14395,-1374675,2229146,422341,22982,7362,-1374675,53912,,,427443,5683042,2013年03月31日,6591801,,16987098,14725511,0,2592950,3542261,6915989,1193150,,5896793.0,307491.0,794000,5683042,,,12717011.0,39243,,39243,,29704109.0,207074,12582,8944694,2261587,9174750,22788120,65748,0
2013-08-13,2,2013,22933854,9944318,960711,5127,303212,11181,-1281057,2007037,464195,23172,7401,-1281057,111820,0.0,,500301,5683042,2013年06月30日,5381459,,16646847,14385546,0,2755475,3780681,6341911,1807384,,4890658.0,13806.0,794000,5683042,,,12656664.0,39243,,39243,,29303511.0,284544,20345,8568267,2261301,8875983,22961600,60544,0
2013-11-11,3,2013,21866691,10120316,185829,653,149967,11953,-1503743,1889428,375009,23481,7396,-1503743,41406,,,409323,5683042,2013年09月30日,5557457,,16244270,14338858,0,2755475,2949870,5548742,1807384,,4513625.0,193960.0,680000,5683042,,,11182841.0,39243,,39243,,27427111.0,104363,4282,8105127,1905412,8232971,21878369,47459,0
2014-03-28,4,2013,21815193,10478808,216819,2870,149549,7651,-1376319,1954450,391777,23522,7403,-1376319,81577,,,573842,5683042,2013年12月31日,5915949,,16807406,14824774,0,2755475,3093663,5890120,1807384,,4633022.0,189524.0,730000,5683042,,,10909755.0,39243,,39243,,27717161.0,60812,4445,7731758,1982632,7816092,21827041,52702,0
2014-05-14,1,2014,22320584,10790760,216439,6033,167799,15413,-1023497,1938087,388366,23597,7426,-1023497,52047,,0.0,579231,5683042,2014年03月31日,6227901,,17693968,15489548,0,2755475,3080083,5950748,1807384,4638209.0,,189524.0,730000,5683042,,,10601899.0,39243,,39243,,28295867.0,78357,17109,7419862,2204420,7521816,22345119,109683,0
2014-08-13,2,2014,21596642,10350347,876103,2971,141931,16903,-1351846,1888003,362947,23911,7398,-1351846,117531,,0.0,464361,5683042,2014年06月30日,6108630,,16884188,14720786,0,2865398,3526598,5734220,1376319,4567235.0,,79521.0,680000,5683042,,,10476174.0,39243,,39243,,27360362.0,91948,22102,6833717,2163402,6949576,21626142,63312,0
2014-11-13,3,2014,21193866,10536443,305011,2151,244371,18689,-1050158,2033987,269883,23768,7436,-1050158,82375,,0.0,462939,5683042,2014年09月30日,6294726,,17433973,15208570,0,2865398,3136408,6422456,1376319,5297160.0,,115259.0,680000,5683042,,,10197338.0,39243,,39243,,27631311.0,42457,7553,6994705,2225403,7060930,21208855,47039,0
2015-03-27,4,2014,21747401,10711260,285617,202,364150,2607,-365770,2185373,423362,24922,7459,-365770,102914,603247.0,0.0,489872,5683042,2014年12月31日,6469543,,18418255,16067775,0,2865398,3320188,7361122,1376319,5306344.0,,108996.0,740000,5683042,,,10715530.0,39243,,39243,,29133785.0,96849,17803,7273571,2350480,7395342,21772663,68626,0
2015-05-14,1,2015,21210578,10965361,219815,236,217158,11460,-564319,2034058,390502,24968,7449,-564319,44227,0.0,0.0,439071,5683042,2015年03月31日,6723644,108996.0,18494652,16123327,0,2865398,3103105,7202356,1376319,,6038273.0,,740000,5683042,28446287.0,9951635.0,,39243,,39243,28446287.0,,156242,25904,6667320,2371325,6848530,21243931,61665,0
2015-08-13,2,2015,20657359,10586233,812250,2239,287331,22025,-815161,1870738,414116,25092,7446,-815161,35244,0.0,0.0,491047,5683042,2015年06月30日,7269217,121392.0,17854285,15493357,0,2951246,3546619,7114332,365770,,5820965.0,,740000,5683042,27809382.0,9955097.0,,39243,,39243,27809382.0,,146279,30245,6237107,2360928,6408478,20695050,43604,0
2015-11-12,3,2015,21625449,10879564,218636,1235,200229,18406,331825,2126964,402878,25215,7466,331825,61418,0.0,0.0,545830,5683042,2015年09月30日,7562548,187941.0,19511063,16933674,0,2951246,3274776,7188595,365770,,5919207.0,,740000,5683042,28846649.0,9335586.0,,39243,,39243,28846649.0,,86216,25139,5949379,2577389,6060810,21658054,40627,0
2016-03-30,4,2015,21877946,11085681,236911,0,193979,44489,310434,1775699,412852,26769,7459,310434,53721,0.0,0.0,414288,5683042,2015年12月31日,7768665,178346.0,19563372,17128750,0,2951246,2930956,6476700,365770,,5303812.0,,740000,5683042,28387662.0,8824290.0,,49593,10350.0,39243,28387662.0,,195339,25557,5671226,2434622,5893334,21910962,53559,0
2016-05-13,1,2016,21146259,11356476,214360,0,206560,70653,-75755,1608570,317272,26996,7750,-75755,32287,,0.0,349228,5683042,2016年03月31日,8039460,178346.0,19410719,17013356,0,2951246,2741276,6331925,365770,,5309521.0,,740000,5683042,27514143.0,8103424.0,,49593,10350.0,39243,27514143.0,,235423,28209,5099729,2397363,5362148,21182218,46404,0
2016-08-13,2,2016,21451405,10920568,827291,1662,208587,39300,-22613,1563862,437247,26986,7743,-22613,58033,,0.0,291128,5683042,2016年06月30日,7874883,64572.0,19128334,16630590,0,3045685,3197387,6025564,0,,4949600.0,,740000,5683042,27522711.0,8394377.0,,49593,10350.0,39243,27522711.0,,271325,37999,4898679,2497744,5196990,21497147,41669,0
2016-11-09,3,2016,20501911,11006587,248976,1882,204130,22436,-546518,1463868,296215,27181,7379,-546518,54705,,0.0,227235,5683042,2016年09月30日,7960902,214481.0,18533568,16192704,0,3045685,2669207,5120018,0,,4276326.0,,740000,5683042,25634284.0,7100716.0,,49593,10350.0,39243,25634284.0,,94320,4976,4310008,2340864,4431509,20514266,38971,0
