date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,3987864,2349937,7168,23428,91991,474,7168,,123558,70777,1183678,689052,,882917,,,,68976,341.0,365477,8748,9936,52226,890010,2013年03月31日,653548,,2364120,2364198,17829000,,582946,726156,1696389,,247316.0,,3080.0,295000,890010,,,3222146.0,,,,,,,,5586266.0,,955522,130968,500000,-78,2639200,4860110,0
2013-08-13,2,2013,3964459,2377496,6822,23082,119859,1591,6822,,122985,69080,1160082,683069,,882917,,,,62331,629.0,380724,10719,18906,52226,890010,2013年06月30日,681107,,2391334,2391411,17829000,,588825,766081,1696389,,261979.0,,3021.0,280000,890010,,,3204429.0,,,,,,,,5595763.0,,955522,129928,500000,-77,2615604,4829682,0
2013-11-14,3,2013,3951725,2393024,7752,24012,122965,1208,7752,0.0,84636,14098,1136429,679019,59049.0,882917,,,,65554,629.0,366679,11811,14210,52226,890010,2013年09月30日,696635,,2407812,2407894,17829000,,555291,742540,1696389,,251473.0,0.0,1507.0,280000,890010,,,3147242.0,25.0,25.0,,0.0,0.0,,,5555054.0,,955522,129544,500000,-82,2591951,4812514,0
2014-03-27,4,2013,3931908,2397804,7491,23751,147593,5744,7491,0.0,83638,3259,1111703,674436,58775.0,762834,,,,86534,695.0,384216,15354,16262,52226,890010,2013年12月31日,667337,,2532416,2532496,15401000,,562905,838226,1730467,,330865.0,0.0,4445.0,240000,890010,,,3096052.0,25.0,25.0,,,,,,5628468.0,,921444,131672,500000,-80,2533147,4790242,0
2014-05-09,1,2014,3906816,2381487,6112,22372,99038,460,6112,0.0,86987,14941,1084471,672723,61157.0,723169,,0.0,,63780,329.0,356378,11338,13223,52226,890010,2014年03月31日,651020,,2554386,2554465,14599000,,525831,823080,1730467,343211.0,,0.0,5697.0,270000,890010,,,3031746.0,25.0,,25.0,,,,,5586132.0,,921444,131287,500000,-79,2505915,4763052,0
2014-08-07,2,2014,3904585,2364630,6278,22538,142725,4553,6278,0.0,87020,12953,1060181,692946,63903.0,723169,44501.0,0.0,,73453,277.0,407339,12364,15295,52226,890010,2014年06月30日,626118,,2582197,2582275,14599000,8045.0,654934,938195,1730467,399250.0,,0.0,11459.0,340000,934511,,,3136559.0,25.0,,25.0,,,,,5718756.0,,921444,130804,500000,-78,2481625,4780561,0
2014-11-07,3,2014,3894770,2401346,4656,20916,128058,1281,4656,0.0,86881,9312,1035778,696720,68400.0,718223,,0.0,,85224,345.0,427430,11893,13706,52226,934511,2014年09月30日,662834,,2622238,2622315,15329000,8045.0,591753,897171,1730467,344233.0,,0.0,11245.0,280000,934511,,,3048975.0,25.0,,25.0,,,,,5671213.0,,921444,130326,500000,-77,2457222,4774042,0
2015-03-16,4,2014,3915663,2404891,4072,20332,152773,1193,4072,0.0,85953,2132,1022054,685200,79375.0,692693,,0.0,,70632,303.0,387266,12034,14169,52226,934511,2014年12月31日,666379,,2650736,2650806,14682000,8045.0,585128,895388,1730467,378887.0,,0.0,15467.0,260000,934511,,,3028626.0,25.0,,25.0,,,,,5679362.0,,921444,130885,500000,-70,2443498,4783974,0
2015-05-14,1,2015,3906799,2396975,4778,21038,109260,500,4778,0.0,88902,23835,996988,772344,82138.0,690338,,0.0,,64335,,348621,9227,10854,52226,934511,2015年03月31日,658463,16009.0,2645882,2645951,14632000,8045.0,568506,769722,1730467,,273509.0,0.0,,290000,934511,5632820.0,2986938.0,,25.0,,25.0,,,,5632820.0,,,921444,131729,500000,-69,2418432,4863098,0
2015-08-03,2,2015,3973157,2332918,4851,21111,154011,686,4851,0.0,88296,13565,945507,769174,78990.0,686429,63547.0,0.0,,83981,,394215,10738,11655,52226,934511,2015年06月30日,583175,5499.0,2648797,2649423,14549000,19276.0,736787,827575,1730467,,296615.0,0.0,,405000,998058,5752535.0,3103738.0,,25.0,,25.0,,,,5752535.0,,,921444,130403,500000,-626,2366951,4924960,0
2015-11-10,3,2015,4001764,2323232,3906,20166,130051,8382,3906,0.0,88416,29911,916090,892394,81552.0,686429,,0.0,,86981,,405179,8278,11255,52226,998058,2015年09月30日,573489,1175.0,2640786,2641411,15538000,19276.0,935441,833764,1730467,,269041.0,0.0,,628818,998058,5913761.0,3272975.0,,2644.0,,2644.0,0.0,,,5913761.0,,,921444,133613,500000,-625,2337534,5079997,0
2016-03-24,4,2015,4017037,2318863,3004,19264,140964,7671,3004,,87406,22046,919949,1035222,80673.0,686429,,0.0,285204.0,79992,266.0,410931,10415,12177,52226,998058,2015年12月31日,569120,2371.0,2645394,2646018,15538000,19276.0,877504,912624,1730467,,349447.0,,,566505,998058,6150065.0,3504671.0,,12522.0,,25.0,2619.0,,9878.0,6150065.0,,570.0,921444,132956,500000,-624,2627167,5237441,0
