date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期應付票據及款項－關係人,一年或一營業週期內到期長期應付票據及款項－非關係人,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付費用,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存貨合計,存貨－其他行業淨額,庫藏股票,待出售非流動資產（淨額）,待分配予業主之非流動資產（或處分群組）淨額,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人,應付帳款－關係人合計,應付租賃款－流動,應付租賃款－非流動,應付股利,應收帳款,應收帳款淨額,應收帳款－關係人,應收帳款－關係人淨額,應收租賃款,應計退休金負債（應付退休金費用）,持有供交易之金融資產－流動,持有供交易之金融資產－非流動,持有供交易金融負債－流動,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,現金及約當現金合計,現金及約當現金總額,現金流量避險中屬有效避險部分之避險工具利益（損失）合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－非流動,避險之衍生金融資產－流動,避險之衍生金融資產－非流動,長期借款合計,長期應付款,長期應付款－關係人,長期應付票據及款項合計,長期應付票據及款項－關係人合計,長期應收票據及款項淨額,長期應收租賃款,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-23,1,2013,502090,3083599,36058.0,195205,3816952,55227326,5985092,,,388626,388626,4588,3301613,4509763,63864,496470,274268,222202,129242,2954463,857078,1964,2633045,74563.0,124039,124039,0,0.0,,,,0,100743,,,126113,891166,,133306,208674,,,75368,10425.0,,,,119300,256661,,3951726,2013年03月31日,5985092,16230628,16114155,0,5761040,1768018,,,668694.0,668568,688245,3951726,,,42548217.0,2875724,,58778845.0,73663,0,0,,0.0,1194,0.0,0,668568,33832714,918886,1059423,1810052,1059423,725872,725872,116473,36787177,57010827,146253,502834,0
2013-07-26,2,2013,503535,3211768,36270.0,237750,3989323,57720091,5645332,,,1070459,381839,18296,4854508,4653736,43257,536878,294708,242170,125367,3374145,1021490,1759,3985576,30000.0,103644,103644,0,0.0,,197601.0,,0,139672,,,121693,824410,688620.0,154788,270468,,,115680,10472.0,0.0,,101168.0,30000,239500,,3952023,2013年06月30日,5645332,17456589,17328485,0,6762650,2017039,,,811381.0,868932,797615,4149624,,,44329605.0,2679021,,61786194.0,101168,0,0,,,1194,0.0,82052,786880,34192810,1280790,1228473,2105200,1228473,894364,894364,128104,37566955,59769155,164320,499463,0
2013-10-25,3,2013,502653,3176470,0.0,234342,3913465,58161225,5781742,,,482510,482510,73540,4349277,4724281,96562,486552,249536,237016,124470,3431057,977366,1555,3501642,29570.0,173256,173256,0,0.0,,,,0,190418,,,215583,696435,,179484,295669,,,116185,10520.0,0.0,,75806.0,15965,220828,,4150630,2013年09月30日,5781742,17088799,16963539,0,6264752,2200489,,,854429.0,847635,791737,4150630,,,44781862.0,2681890,,61870661.0,75806,0,0,,,1194,0.0,157327,309559,35086053,1203846,1490686,1900281,1490686,851341,851341,125260,38517110,59670172,143751,498671,0
2014-03-28,4,2013,503621,3353275,0.0,236205,4093101,59525810,6216332,,,413534,413534,58510,6514559,5099155,66700,847141,284292,562849,119269,3076956,947695,1350,5383386,29805.0,135668,135668,0,0.0,,,,1589288,141933,,,155874,477567,,152502,271826,,,119324,8805.0,21903.0,,45622.0,15418,216990,,4511092,2013年12月31日,6216332,20971437,20834767,0,6401100,3918075,,,2426281.0,1131173,700856,4511092,,,44386232.0,3592784,,65357669.0,45622,26950,21903,,88.0,1701,0.0,0,747398,33291850,1154363,1406416,1631930,1406416,827076,827076,136670,37985132,61439594,141328,783480,0
2014-04-25,1,2014,0,3430542,0.0,261219,3691761,60806301,6784445,,,633943,633943,665263,6414609,4710685,78838,915326,244360,670966,91429,2886011,735277,1145,5325170,30470.0,143548,143548,0,,,,0.0,1920719,133123,,,159246,482306,,151395,458982,,,307587,7090.0,20213.0,,0.0,16317,226384,,4511092,2014年03月31日,6784445,21444734,21302930,0,6222217,4691318,,1813902.0,,1089439,744466,4511092,,,45311082.0,3592784,,66755816.0,0,48552,20213,,88.0,1701,0.0,402267,294835,34233495,923218,1442927,1405524,1442927,642703,642703,141804,39088865,62064498,255500,780840,0
2014-07-25,2,2014,0,3739232,0.0,247723,3986955,58195378,6999843,,,1240502,339792,57333,5391710,4964021,64277,932436,381816,550620,91031,2882682,4485281,3813130,4549038,0.0,111154,111154,0,0.0,0.0,112777.0,0.0,1892882,119159,,,155331,464766,900710.0,151192,455055,,,303863,7090.0,9835.0,,0.0,16289,224305,,4513173,2014年06月30日,6999843,19741581,19600130,0,7226777,3531850,,1403463.0,,842672,903095,4625950,,,46869573.0,2582627,,66611154.0,0,40958,9835,,88.0,1546,0.0,383192,172794,34826186,866996,1543830,1331762,1543830,581120,581120,141451,39642796,63079304,163093,757458,0
2014-10-24,3,2014,0,3736842,0.0,289492,4026334,62482208,7377745,,,447822,447822,38467,7935466,4941800,45139,962800,367009,595791,86060,3413886,4895239,4237957,6799939,0.0,100957,100957,0,0.0,0.0,0.0,0.0,1749249,140729,,,70134,497543,0.0,144056,223850,,,79794,7090.0,577.0,33286.0,0.0,0,218868,,4686007,2014年09月30日,7377745,22861747,22712757,0,6423542,2474672,,607943.0,,1135527,893191,4686007,,,47584410.0,2713539,,70446157.0,0,34890,577,33286.0,88.0,1562,,403512,340322,35962755,798882,2110371,1296425,2110371,571222,571222,148990,41160868,67971485,136566,800193,0
2015-07-24,2,2015,782466,5091292,0.0,119583,5993341,72170984,9069796,,,1902796,440617,24727,10417712,6917395,22169,1055089,364600,690489,83603,3335912,2994864,2799392,9676075,0.0,105289,105289,0,0.0,,0.0,0.0,2285256,108277,,,63687,404039,1462179.0,131557,168117,,,36560,,28987.0,33129.0,101.0,187479,18720,,4983244,2015年06月30日,9069796,26789167,26638620,0,9798878,4962866,7521.0,,2839691.0,741637,870309,4983244,80414390.0,53625223.0,,2167868,80414390.0,,101,44090,28987,33129.0,370.0,2455,0.0,380141,231372,38160717,720751,2203601,1124790,2203601,111869,111869,150547,43826345,75451524,173346,838198,0
2015-10-23,3,2015,464997,5299869,0.0,127371,5892237,76644447,9795365,,,605152,605152,68116,11524367,6866809,45044,1051244,319618,731626,88816,3746084,3454080,3256306,10917816,0.0,76315,76315,0,0.0,,0.0,0.0,2399003,123017,,984.0,69084,421009,,133963,173553,3228.0,3228.0,39590,,45431.0,16405.0,377.0,190799,18186,,5116477,2015年09月30日,9795365,29054983,28899823,0,8529326,3869366,7521.0,,1773206.0,606551,932987,5116477,84120702.0,55065719.0,,2463614,84120702.0,,377,34073,45431,16405.0,1364.0,3254,0.0,323959,114964,40355869,735852,2581702,1156861,2581702,108958,108958,155160,46536393,80251336,163515,860444,0
2016-02-26,4,2014,1506238,4324469,0.0,282896,6113603,65758956,7982498,,,422429,422429,33624,11114310,7034083,173,1014644,345078,669566,82032,3530025,5549094,4894684,9791368,0.0,57408,57408,0,0.0,,,0.0,252394,92413,,,66748,456833,,159923,244509,,,84586,7521.0,7153.0,56454.0,943.0,103622,115544,,4705131,2014年12月31日,7982498,26720628,26559921,0,8449320,2544343,,487078.0,,1322942,899452,4705131,,,47823792.0,2757982,,74544420.0,943,29247,7153,56454.0,386.0,1465,0.0,425504,518564,35562420,800523,2265148,1257356,2265148,572378,572378,160707,39374472,72000077,170801,853559,0
2016-02-26,4,2015,0,5079386,,127197,5206583,76440994,10226588,,,501699,501699,60628,11560213,6247528,22916,1089980,308104,781876,221460,4527432,3743924,3424008,10963518,0.0,87491,87491,0,0.0,,,0.0,2795347,106460,984.0,984.0,119348,1238934,,133853,174046,5781.0,5781.0,40193,,31440.0,16583.0,289.0,98494,18941,,5142401,2015年12月31日,10226588,29600510,29452520,0,7712237,3844623,7984.0,,1912006.0,596695,855277,5142401,84183241.0,54582731.0,,2523318,84183241.0,,289,45773,31440,16583.0,1436.0,2087,0.0,206570,116089,39500506,703046,2577468,1941980,2577468,98456,98456,147990,46870494,80338618,178187,898681,0
2016-04-17,1,2015,1140170,4752883,0.0,187018,6080071,68547312,8508542,,,425870,425870,23309,10386337,6988306,18330,1007955,353255,654700,79609,3440948,4403978,3780151,9652285,0.0,81006,81006,0,,,,0.0,106484,101040,,280.0,65685,433142,,131033,216501,,,85468,,,,,126607,81438,,4863251,2015年03月31日,8508542,27063583,26903265,0,8403447,3295451,7521.0,,1105280.0,734052,887951,4863251,76584473.0,49520890.0,,3145135,76584473.0,,0,21182,43953,31721.0,621.0,2426,0.0,524190,222147,37548208,761349,2238936,1194491,2238936,544218,544218,160318,41117443,73289022,166650,824220,0
