date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－合併溢額,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－普通股股票溢價,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,重估增值合計,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,4581244,,321643,1346016,7341062,3645,,9129485,576781,16297,865639,3645,3308347,585349,,,,526228,222442,210311,17830,988,548387,0.0,,6553003,2013年03月31日,192996,,,6611941,6611941,50200000,128647,11799999,13790109,15905,,,2348039.0,31517.0,622.0,334000,6553003,,,13198284.0,318999,31790.0,24.0,,,,,,287185,,,19810225.0,4000,15868,8941,,1366120,0,1398285,6020116,192440,0
2013-08-02,2,2013,4772729,,584101,1203782,6626281,4663,,7481186,603800,16181,854154,4663,3401673,380549,0.0,,,250175,222488,12002,17016,624,525479,0.0,,6553003,2013年06月30日,438260,,,7089851,7089851,32060000,145841,10267063,12484172,16984,,,1638826.0,18430.0,363.0,1079000,6553003,,,11575232.0,328633,33687.0,0.0,,,,7761.0,,287185,,,18665083.0,4000,15868,11565,,1276120,0,1308169,6180911,191589,0
2013-11-01,3,2013,4903043,,878901,1314503,5538734,3992,,6415466,597603,16118,1010839,3992,2881954,380549,0.0,,,226430,222471,296,647180,941,310208,0.0,,6553003,2013年09月30日,733060,,,7383980,7383980,32060000,145841,9272905,11837025,16992,,,1980380.0,14739.0,4277.0,1079000,6553003,,,10709891.0,328633,33687.0,0.0,0.0,,,7761.0,,287185,,,18093871.0,4000,15868,15764,,1405000,0,1436986,6256846,181956,0
2014-03-11,4,2013,724981,,1285002,2348613,4668992,4985,,5005304,894087,15275,1033899,4985,1279877,380549,,,,217605,185888,1574,362,1161,6145111,0.0,,6553003,2013年12月31日,1139161,,,7791074,7791074,32060000,145841,8852723,10104909,22481,,,3012780.0,14739.0,9256.0,1079000,6553003,,,10258866.0,328633,0.0,0.0,0.0,,,7761.0,,287185,33687.0,,18049940.0,4000,15868,18559,,1375000,0,1406143,7945031,234394,0
2014-05-07,1,2014,739184,,2817979,2927388,4502454,1373066,0.0,4879684,859285,13267,1020241,4776,1328304,380549,,0.0,,224038,186629,13804,93,397,9454884,,29400.0,6553003,2014年03月31日,2541445,,,10692132,10692132,32060000,145841,9310715,10368639,22192,130693.0,3443555.0,,172.0,743.0,1079000,6553003,,,10962684.0,328633,33687.0,,0.0,,0.0,7761.0,,287185,0.0,,21654816.0,4000,293702,20276,1368290.0,1345000,0,1651969,11286177,229808,0
2014-08-12,2,2014,803092,,3687371,3015747,4347081,3783,,4209294,541136,21841,1035444,3783,1289532,403123,311620.0,0.0,500000.0,191408,186108,8511,1313,0,9617836,,28326.0,6553003,2014年06月30日,2053752,,,10481287,10481287,34060000,230157,8705530,9749351,22735,1403462.0,3288313.0,,15462.0,1770.0,1079000,6864623,,,10800073.0,328633,33687.0,,0.0,,0.0,7761.0,,287185,0.0,,21281360.0,4000,293702,24576,,1279000,0,2094543,11532009,276206,0
2014-11-05,3,2014,858265,,3543754,3086002,4337935,5121,,4308351,689527,12619,1091121,5121,1307048,237890,311620.0,0.0,500000.0,202545,186094,152531,2569,0,9974320,,26959.0,6553003,2014年09月30日,1910135,,,10516904,10512032,19752000,230157,9029344,10602954,25698,1403462.0,3970408.0,,14821.0,1605.0,1079000,6864623,,,12099104.0,336424,34722.0,,0.0,,0.0,14517.0,,287185,0.0,,22616008.0,4000,293702,36691,,2263439,4872,3069760,12013054,289862,0
2015-03-03,4,2014,892790,,9052436,3061778,4548082,6738,,3955893,458964,23590,1160487,6738,1315529,440271,,0.0,500000.0,226066,185702,112982,2721,282,14793170,,26121.0,6791103,2014年12月31日,7418817,,,15739364,15734614,38700000,230157,8639098,10675490,22213,1403462.0,4155290.0,,17677.0,365.0,1079000,6791103,,,11864049.0,324608,,,0.0,,0.0,14517.0,,275369,34722.0,,27603413.0,4000,418190,33142,,2283171,4750,3224951,16927923,190257,0
2015-05-06,1,2015,999947,,8903826,2861328,4694279,6255,,4104339,437182,25208,1125031,6255,1335818,394473,,0.0,500000.0,195170,186106,191571,2552,0,14983323,,25075.0,6620103,2015年03月31日,7270207,17677.0,867.0,15452053,15447388,33800000,230157,9141910,10619295,21561,1403462.0,,3969151.0,,,1585719,6620103,27806336.0,12354283.0,,311677,0.0,,0.0,,0.0,0.0,,276955,34722.0,27806336.0,,4000,418190,32104,,2268975,4665,3212373,17187041,175446,0
2015-08-05,2,2015,1065838,,8321355,2869639,4781783,5559,,4451517,382440,25201,1128512,5559,1332921,263844,638710.0,0.0,1300000.0,184232,186147,231402,3173,0,15475461,,24206.0,6620103,2015年06月30日,686969,2375.0,339.0,15638144,15633560,23300000,761373,8811031,10346470,25926,6873013.0,,3650557.0,,,885719,7258813,28096185.0,12458041.0,,311677,0.0,,0.0,,0.0,1586.0,,275369,34722.0,28096185.0,,4000,454432,29772,,1867377,4584,3647010,17749715,191257,0
