date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－流動淨額,生物資產－非流動合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,農產品,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款,長期應付票據,長期應付票據及款項合計,長期應付票據及款項－關係人合計,長期應付票據－關係人,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-04-30,1,2013,918377.0,394587,1312964,1142444,123667,5199001,,,124392,35302,0,1547781,29380,31266,1301100,955982,266541,266541,,1865761,1855903,0.0,258917,,0.0,28975,0.0,30442,399961.0,43226,0.0,162437,4.0,122021,58210,45118.0,17643972,0.0,,6664404,2013年03月31日,1315804,,,13171985,12889432,0,46333,2857394,3134517,,2507,,,80000.0,80000.0,,,3836864,,136505.0,183052.0,77765,16863.0,,244469,6664404,421169.0,,,9299428.0,1026027,,22471413.0,9858.0,116.0,0.0,0.0,3666798,,1474136,,300000.0,300000,,,282553,6442034,19336896,281042,0.0,205437,0
2013-08-13,2,2013,907187.0,284947,1192134,1181383,123667,5348825,,,129203,10691,0,1430988,30774,45954,1198591,854245,242588,242588,,1920371,1909979,0.0,189263,,0.0,48207,0.0,25529,249977.0,57801,0.0,161167,1.0,123076,56522,44346.0,17543122,0.0,,6673947,2013年06月30日,1425303,,,13389431,13080227,0,140838,2609264,3114425,,2526,,,,89118.0,,,3782684,,121738.0,183747.0,78974,99305.0,204.0,307470,6673947,260784.0,,,8986372.0,1057455,,22375803.0,10392.0,0.0,0.0,3030.0,3614699,,1563818,,300000.0,300000,,,309204,6377108,19261378,298661,0.0,208080,0
2013-11-07,3,2013,905485.0,284755,1190240,1198112,123667,5539599,,,132938,23581,0,1422336,29038,46655,1104638,761523,254445,254445,,2005835,1993404,0.0,165321,,0.0,145253,0.0,40171,482978.0,42554,0.0,182966,0.0,162127,76365,43115.0,17448148,0.0,,6677890,2013年09月30日,1651714,,,13574205,13278818,0,140838,2784362,3261464,,2338,,,,80000.0,,,3747047,,105935.0,190188.0,80411,98056.0,324.0,205257,6677890,214819.0,,,8874380.0,1061329,,22448585.0,12431.0,0.0,0.0,1003.0,3582840,,1402540,,300000.0,300000,,,295387,6090018,19187121,301164,0.0,203058,0
2014-03-21,4,2013,88072.0,375597,463669,1210333,121785,5912296,,,154141,69080,0,745054,23525,18502,1034841,12423,295806,295806,683668.0,1985402,1972869,0.0,90057,,0.0,158985,0.0,32344,193500.0,38759,0.0,127643,0.0,154372,122825,38750.0,17322097,0.0,,7152287,2013年12月31日,2085653,,,14765343,14475557,0,140838,1512088,3062384,,2061,,,,80000.0,,,3685805,,128414.0,181677.0,85110,99728.0,25.0,89577,7152287,,,,7417795.0,1410974,,22183138.0,12533.0,0.0,0.0,2000.0,3527823,3562.0,1343043,,300000.0,300000,,,289786,5905707,19120754,182387,0.0,257860,0
2014-05-02,1,2014,12951.0,408541,421492,1220870,79112,6074461,,,168183,75070,0,660312,23511,34062,934965,14061,305079,305079,632529.0,1979874,1968091,,67578,,,54241,,55420,149552.0,57723,,167842,0.0,125683,183786,38375.0,17283986,,,7195658,2014年03月31日,2268371,,,15011473,14713165,0,140838,1514410,3101745,,2125,,,,80000.0,,,3665252,100553.0,,190653.0,90914,102386.0,206.0,266593,7195658,,,,7155863.0,1443046,,22167336.0,11783.0,0.0,,7010.0,3511016,3505.0,1195472,,250000.0,250000,,,298308,5641453,19065591,169428,,215309,0
2014-08-12,2,2014,0.0,133565,133565,1220106,79112,5825431,,,487974,55833,0,350172,18983,33249,747139,9049,285932,285932,700799.0,1989227,1975959,,89347,0.0,,101588,,113025,0.0,73211,,168981,0.0,118239,135917,37291.0,17263472,,,7202401,2014年06月30日,1931035,,,14785768,14475913,0,243089,1266014,3247837,,2251,,,80000.0,80000.0,,,3651307,369121.0,,183749.0,92494,66036.0,217.0,74008,7202401,,,,7488883.0,1448081,,22274651.0,13268.0,,,2000.0,3497987,3447.0,1977743,,0.0,0,,,309855,6222869,19026814,101957,,197624,0
2014-11-11,3,2014,0.0,209098,209098,1223492,79112,6067187,,0.0,332299,68438,0,488009,3640,22552,694210,8069,565748,288079,649599.0,2006099,1991497,,108068,0.0,,99874,,84949,0.0,79050,,152864,,107983,141537,36542.0,17172433,,,7202400,2014年09月30日,2197046,,,15030714,14717669,0,243089,1233340,3226284,,1998,,80000.0,,0.0,,,3627052,231545.0,,180536.0,94050,62351.0,41.0,86808,7202400,,,,7335792.0,1448082,,22366506.0,14602.0,,,1978.0,3475703,3389.0,1932539,,0.0,0,,,313045,6102452,19140222,124643,277669.0,275271,0
2015-03-17,4,2014,0.0,37072,37072,804791,79112,6385654,,,113474,99065,0,336413,2033,14266,644081,10768,284085,284085,597985.0,1993663,1993663,,100301,0.0,,111846,,82464,0.0,56480,,116035,,103179,131253,35328.0,17385472,,,7202400,2014年12月31日,2549498,,,15031443,15039369,0,243089,815146,2953755,,1695,,80000.0,,0.0,,,3593067,180420.0,,0.0,100704,55392.0,48.0,59077,7202400,,,,6578171.0,1451315,,21609614.0,0.0,,,3054.0,3439138,0.0,1679806,,0.0,0,,,-7926,5763025,18655859,132471,,297308,0
2015-05-13,1,2015,0.0,86246,86246,825084,74272,6604240,,,94721,68152,0,406285,2329,16334,4084487,2815,4101862,4101862,546733.0,1993097,1993097,,111921,,,93063,,77370,0.0,35124,,54605,,111779,173463,,17334285,,,7202400,2015年03月31日,2793301,55392.0,170.0,15251225,15257955,0,243089,822966,2835008,34939.0,1481,0.0,,,,,0.0,3567850,,179351.0,0.0,104758,,,61011,7202400,,25276750.0,10025525.0,,1451315,25276750.0,,0.0,,,0.0,3416910,0.0,1701162,3500000.0,0.0,3500000,,,-6730,9202559,22441742,126136,,317710,0
2015-08-12,2,2015,,78600,78600,836710,74272,6328092,,,1269074,77528,0,372903,10590,5773,3030857,4503,4857389,4857389,496096.0,1990395,1990395,,85582,,,32122,,69363,,16541,,23844,107.0,100931,128392,,17253065,,,7834900,2015年06月30日,2466382,27314.0,32.0,15981790,15981790,0,326400,1825876,2728559,33258.0,837,0.0,,,,0.0,0.0,3535310,,205004.0,0.0,115381,,,38559,7834900,,25866213.0,9884423.0,,1818798,25866213.0,,0.0,,,4893.0,3389390,0.0,1638300,2497000.0,,2497000,,,0,8058547,23137654,106078,,283713,0
