date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,1339560,,299144,,125859,10979,2688,,195,153767,113,23759,195.0,260075,0,,77610,1003.0,80000,5162,252522,0.0,1.0,23052,415312,2013年03月31日,292238,,788509,788509,0,6906,558936,676371,6659,,,135779.0,15083.0,89324.0,415312,,54782.0,,1312984.0,73858,4975.0,68883.0,,2101493.0,149.0,0.0,479,32092,698674,0,754048,1425122,25306,0
2013-08-07,2,2013,1408886,0.0,275457,,158942,3053,3923,,1637,187347,202,20139,,235653,0,,73455,13.0,40000,4238,194233,0.0,0.0,23016,417217,2013年06月30日,250367,,768722,768722,0,25017,631119,638914,9389,73.0,,187077.0,29086.0,134985.0,417217,,54782.0,,1372166.0,74411,,,,2140888.0,0.0,92.0,479,40544,685584,0,741047,1501974,17936,0
2013-11-08,3,2013,1426744,0.0,286818,,103677,1835,4140,,917,217927,291,21486,,230841,0,,64403,126.0,0,4750,159729,0.0,480.0,22981,418132,2013年09月30日,261728,,780728,780728,0,25017,465495,626142,8264,73.0,,207948.0,32777.0,40000.0,418132,,54782.0,,1365433.0,74861,,,,2146161.0,,0.0,479,40544,844386,0,899938,1520019,23004,0
2014-03-12,4,2013,1433822,0.0,319033,,117201,7215,2494,,1630,222026,452,32381,,228688,0,,69619,170.0,0,4000,170507,0.0,33.0,22945,418444,2013年12月31日,293943,,813490,813490,0,25017,428195,577440,8538,73.0,,148726.0,7964.0,0.0,418444,,54323.0,,1269870.0,74383,,,,2083360.0,,70.0,627,8234,786273,0,841675,1505920,26922,0
2014-05-07,1,2014,1436973,0.0,378810,,107597,7651,2691,,2139,156126,467,17749,,204297,0,0.0,83804,0.0,60000,1301,269993,,0.0,22909,418444,2014年03月31日,353720,,873970,873970,0,25017,457737,619449,8495,73.0,116242.0,,21084.0,20000.0,418444,,54323.0,,1238273.0,74577,,,,2112243.0,174.0,0.0,627,6668,725119,0,780536,1492794,26226,0
2014-08-12,2,2014,1451294,0.0,371413,0.0,153128,10774,3716,,1142,171668,419,23427,,228388,0,0.0,109172,0.0,60000,2182,228373,,151.0,22873,423067,2014年06月30日,335321,,870255,870255,0,36092,561472,631312,7492,0.0,142255.0,,24548.0,30000.0,423067,,54323.0,,1269541.0,74633,,,,2139796.0,,0.0,627,3398,652700,0,708069,1508484,28429,0
2014-11-10,3,2014,1477425,0.0,210948,0.0,133033,10224,3378,,1975,171480,94,22418,,269255,0,0.0,133840,24.0,0,2356,255301,,0.0,22838,423502,2014年09月30日,174856,,711045,711045,0,36092,521911,670841,6386,0.0,114014.0,,30421.0,40000.0,423502,,253265.0,,1490800.0,74620,,,,2201845.0,533.0,0.0,627,1937,714903,0,968889,1531004,28893,0
2015-03-13,4,2014,1507887,0.0,213641,0.0,205957,22824,3270,,4101,144034,152144,28425,,316442,0,0.0,137937,0.0,50000,94316,267135,,2953.0,22802,425502,2014年12月31日,177549,,733475,733475,0,36092,692151,720075,6188,0.0,106051.0,,36402.0,,425502,,0.0,,1555439.0,90231,,,,2288914.0,681.0,0.0,627,3537,710517,0,863288,1568839,24224,0
2015-05-12,1,2015,1506974,0.0,260143,0.0,175930,11627,3476,,3036,87387,152157,27627,,321415,0,0.0,97194,,60000,3103,278388,,363.0,22767,526472,2015年03月31日,224051,45860.0,1129756,1129756,0,36092,561101,739042,5107,0.0,,111905.0,,80000.0,526472,2305054.0,0.0,1175298.0,,340105,,,2305054.0,,0.0,117.0,627,3537,461413,0,614197,1566012,23378,0
2015-08-04,2,2015,1537444,0.0,307938,0.0,214719,19123,2450,,2393,39728,107100,11636,,303988,0,0.0,90316,,60000,4595,274267,1412.0,0.0,22731,526472,2015年06月30日,271846,21683.0,1176908,1176908,0,36092,540164,743495,5834,,,133126.0,,90000.0,526472,2324676.0,0.0,1147768.0,,340105,,,2324676.0,,0.0,,16232,3536,484272,0,607604,1581181,28252,0
