date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－庫藏股票交易,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,7585857,157629,3843090,-214975,239086,1419633,197332,135966,454565,87061,,112574,757109,350941,2473777,,,,2764194,12958,80000,5162,3997854,88287,2148,251611,792949,5820362,2013年03月31日,2995990,,13048176,12197642,0,827440,7308079,11352918,101195,19660,,4175890.0,141447.0,2295649,5820362,,133840,264829,,8384635.0,2398224,,,1146,,2397078,,,21432811.0,631,2256,479,194457,698674,850534,1076556,10079893,328313,0
2013-08-09,2,2013,7542014,118279,3627699,-247410,222170,1907572,127525,271088,555215,245757,,114018,761097,518498,2486408,,,,2585309,7175,40000,4238,3893079,129755,5602,254017,797501,5820362,2013年06月30日,2545393,,12982631,12118121,0,863727,8299854,12381836,100773,218579,,5118900.0,107254.0,2958269,5820362,,133330,279575,,9388218.0,2398972,,,1146,748.0,2397078,,,22370849.0,1492,1520,9187,193162,685584,864510,1088364,9989013,373290,0
2013-11-12,3,2013,7333714,117379,3695544,-218421,251140,1538361,161182,180626,493785,51952,,111271,750502,399047,2382105,,,,2805552,7022,0,4750,3712988,151835,12243,248892,829709,5820362,2013年09月30日,2613238,,12970639,12097146,0,863727,6974229,11374369,100306,218579,,4496704.0,114295.0,1875394,5820362,,130188,296522,,8233827.0,2400614,,,1146,2390.0,2397078,,,21204466.0,4882,2891,7419,198455,844386,873493,1259598,9830097,402469,0
2014-03-28,4,2013,7048626,142939,3896793,-157430,291347,1617555,172720,353346,502625,753034,753034.0,98678,765751,510776,2606161,,,,3114862,18865,0,4000,3954504,139669,23921,282213,868311,5820362,2013年12月31日,2814487,,13379791,12473709,0,863727,7362041,12248408,98820,218579,,4269731.0,70747.0,1883233,5820362,,145865,268085,,8524460.0,2403208,2370.0,,1146,2614.0,2397078,,,21904251.0,4289,70,9383,157836,786273,906082,1162419,9655843,328598,0
2014-05-13,1,2014,7037100,144059,3907187,-160390,287609,1321588,168939,467534,443200,767792,767792.0,93605,745625,627924,2512267,,,0.0,2886903,10488,60000,1301,3845358,60677,9159,281947,865943,5820362,2014年03月31日,2824881,,13549878,12602839,0,863727,6965246,11997325,98160,218579,4272179.0,,102436.0,1983681,5820362,,153561,277060,,8070446.0,2407756,6058.0,,1146,3474.0,2397078,,,21620324.0,2088,1450,9416,162556,725119,947039,1105200,9622999,359504,0
2014-08-13,2,2014,6786559,167869,3521403,-93754,274407,1895782,192248,354573,504221,1096054,1096054.0,96975,734064,448327,2407222,,,0.0,2596454,11993,60000,2182,3845114,51880,256,274175,955527,5820362,2014年06月30日,2597777,,13137183,12173737,0,903966,7385967,12076960,101215,19660,4245032.0,,98525.0,2058278,5820362,,157390,251353,,8393340.0,2477399,9886.0,64053.0,1146,4075.0,2397078,1161.0,,21530523.0,1142,3398,6345,159747,652700,963446,1007373,9453563,235756,0
2014-11-12,3,2014,6643028,168911,3603802,-197265,261673,1533736,164091,409467,546519,711014,711014.0,105623,597412,606732,2680989,,313560.0,0.0,2994171,13444,0,2356,3954318,68782,686,221503,889167,5820362,2014年09月30日,2680176,,13264747,12365429,0,903966,7471814,13009907,104672,19660,4870994.0,,98652.0,2134764,5820362,,146070,485175,,8785046.0,2531798,13756.0,113722.0,1146,4935.0,2397078,1161.0,,22049793.0,2102,893,7531,153520,714903,899318,1313232,9039886,244580,0
2015-03-17,4,2014,6553349,171475,4175756,-238417,245501,1877894,1039562,846859,702803,713713,713713.0,262550,627787,1085276,2816780,,34478.0,0.0,3525765,9868,50000,94316,4902575,55242,2953,409522,890171,5820362,2014年12月31日,3252130,,14323577,13380652,0,903966,8930858,15362162,105075,19660,5583026.0,,295245.0,2245987,5820362,,128191,303097,,10215149.0,2537675,17626.0,113722.0,1146,5795.0,2397078,2308.0,,24538726.0,789,697,8127,173684,710517,942925,1284291,9176564,213136,0
2015-05-13,1,2015,6312233,170841,4549296,-234343,254889,1619648,355798,715937,586684,609324,609324.0,272165,628247,950280,2738533,,0.0,0.0,3013551,5808,60000,3103,4201514,35623,578,394979,894160,5820362,2015年03月31日,3625670,392606.0,14828669,13649441,0,903966,7882087,14798670,102386,19660,,6639625.0,,2047480,5820362,23741245.0,153207,295555,8912576.0,,2563846,21412.0,113722.0,1146,6655.0,2397078,23833.0,23741245.0,,0,12376,1356,184840,461413,1179228,1030489,8942575,205299,0
2015-08-06,2,2015,6179019,170179,4065235,-137872,353283,2637382,339848,733036,472070,797071,797071.0,225219,696858,870908,2775847,,0.0,0.0,2755029,5069,60000,4595,4137784,53267,245,383988,767511,5820362,2015年06月30日,3053675,227523.0,14394385,13186069,0,991900,8372117,14913250,101199,19660,,6586647.0,,2032002,5820362,23753085.0,171229,257513,9358700.0,,2567436,25240.0,113722.0,1146,7514.0,2397078,22736.0,23753085.0,,7218,1488,19579,187798,484272,1208316,986583,8839835,221053,0
2015-11-10,3,2015,6199986,174295,4321103,-281690,242990,2060514,88973,963063,619822,1052311,1052311.0,225376,744129,1244753,2935219,93329.0,0.0,0.0,3179862,6932,60000,1560,4645615,49444,1091,378769,830440,5820362,2015年09月30日,3309543,229284.0,14853740,13582342,4631000,991900,7549053,14351213,102687,19660,,5243393.0,,1211621,5820362,23222745.0,176384,272876,8369005.0,,2571143,29110.0,113722.0,1146,7351.0,2397078,22736.0,23222745.0,,3074,4674,19423,198236,302277,1271398,819952,8871532,330493,0
2016-03-24,4,2015,5964892,198689,4671062,-266489,237863,2181981,89191,727626,671480,1070404,1070404.0,241746,721034,994115,2679447,94902.0,0.0,0.0,2877886,9728,80000,960,4700629,51079,144,360037,980729,5834962,2015年12月31日,3659502,300190.0,15017395,13717340,4703000,991900,7359061,14429503,99047,19660,,5605379.0,,1039261,5834962,23181961.0,195104,273809,8164566.0,,2578592,26129.0,113722.0,1146,7619.0,2407240,22736.0,23181961.0,,2471,4926,8482,190167,281468,1300055,805505,8752458,228304,0
2016-05-11,1,2016,5810894,197409,4973240,-244719,244563,2030348,77492,576909,595406,918403,918403.0,196063,717546,821628,2874184,484285.0,,0.0,2600130,24251,0,1955,3933089,43346,329,347142,992324,5848792,2016年03月31日,3961680,362740.0,14825733,13501339,23095000,991900,5936913,12883650,96082,19660,,4801347.0,,130000,5848792,21483826.0,185872,255933,6658093.0,,2586683,22465.0,113722.0,1146,7920.0,2416865,24565.0,21483826.0,,6211,3971,8482,194216,260702,1324394,721180,8600176,231489,0
2016-08-10,2,2016,5698629,197589,4072629,-261785,227334,3378398,89424,392126,584657,948460,948460.0,196188,707182,653911,2821449,94902.0,0.0,0.0,2726987,6778,0,1035,4214395,47546,138,332006,999231,5668472,2016年06月30日,2933641,300024.0,13857652,12554575,4703000,1119328,7883836,13982812,94643,19660,,5594133.0,,699475,5668472,22426034.0,186482,240001,8568382.0,,2516250,22646.0,113722.0,0,8506.0,2346811,24565.0,22426034.0,,0,9961,8482,186608,239875,1303077,684546,8443222,257306,0
2016-11-09,3,2016,5630131,182080,4541314,-151378,321482,2331241,135968,137969,629371,1092367,1092367.0,197586,725099,289347,3163407,94902.0,0.0,0.0,3504258,10492,0,3412,5002419,57063,346,313718,1007380,5678372,2016年09月30日,3402326,276787.0,14108228,12782633,4703000,1119328,7250225,13834211,91799,19660,,4067598.0,,306553,5678372,22293053.0,187442,216862,8184825.0,,2519880,20475.0,113722.0,0,8506.0,2352612,24565.0,22293053.0,,669,2066,8482,187153,511670,1325595,934600,8458842,312977,0
