date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之權益工具投資利益（損失）合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-15,1,2013,,570243,231715,1081509,98571,389834,,263992,36152,89819,,63370,,171489,79984,53419,-8752,3403924,,2368532,49955,8863,5115177,153393,46583,2134826,2013年03月31日,624843,,4422200,4420691,0,456666,5807802,10441212,,1124332.0,44816.0,3008274,2134826,,,6954895.0,1114537,70456,7795,1036286,,11377095.0,0.0,46911,,110752,33923,956357.0,1509.0,1147093,935883,0
2013-08-14,2,2013,,563677,222798,907291,164055,451965,18909.0,538378,36061,169859,,68175,,169792,80914,54110,5804,4065444,,2778875,0,4449,5509564,169066,46471,2134826,2013年06月30日,418567,,4328060,4326513,0,488724,6973957,11424491,,983175.0,22419.0,3561661,2134826,,,8136582.0,1114537,70456,7795,1036286,,12464642.0,,39424,100000.0,120686,34186,961025.0,1547.0,1162625,1040151,0
2013-11-12,3,2013,,520048,246463,990157,294209,575241,18909.0,275057,44227,282565,,67746,,126912,81506,54632,-11644,3928506,,2755593,0,5496,5546221,260752,83901,2135484,2013年09月30日,501433,,4524410,4522743,0,488724,6783418,11396696,,881669.0,12425.0,3667101,2135484,,,7930295.0,1114537,70456,7795,1036286,,12454705.0,,33168,100022.0,118075,34034,947296.0,1667.0,1146877,1058009,0
2014-03-24,4,2013,,515326,247155,918743,291265,572470,18909.0,274721,47009,293819,,124219,,138958,90321,51664,2554,3714302,,3277617,99918,4179,6315538,338939,83595,2135839,2013年12月31日,430019,,4464593,4462938,0,488724,7563615,12229281,,1074214.0,2934.0,3780027,2135839,,,8715488.0,1114537,70456,7795,1036286,,13180081.0,,27851,,106758,34151,954794.0,1655.0,1151873,950800,0
2014-05-07,1,2014,,508096,247240,1015850,386378,670078,18909.0,248978,47322,405792,,319443,,153037,90676,50752,19414,3557355,0.0,2953252,0,5303,5900154,229103,83366,2137124,2014年03月31日,527126,,4674967,4673303,0,488724,7075297,11733174,1140830.0,,13779.0,3534542,2137124,,,8000796.0,1114537,70456,7795,1036286,,12675763.0,,35295,,111068,34226,723755.0,1664.0,925499,942589,0
2014-08-13,2,2014,956890.0,501926,243945,881909,589709,889356,18909.0,529727,54532,582706,0.0,1035958,79068.0,115349,82839,54183,-7003,3935137,0.0,3398811,0,22412,6254303,183658,83137,2137424,2014年06月30日,370225,,4718376,4716576,0,511684,8682731,12637631,995508.0,,19350.0,3676473,2137424,,,8868743.0,1114537,70456,7795,1036286,,13587119.0,,209788,11700.0,103173,35688,0.0,1800.0,186012,949488,0
2014-11-07,3,2014,974532.0,498877,246900,970826,586198,886600,18909.0,295672,64152,607049,0.0,1080549,106017.0,110731,83560,52022,20851,4235784,0.0,3514436,0,9318,6348128,184293,82908,2137586,2014年09月30日,459142,,4831785,4829998,0,511684,9185209,13254526,1231303.0,,9304.0,4275930,2137586,,,9370372.0,1114537,70456,7795,1036286,,14202157.0,,193535,11885.0,101603,36130,0.0,1787.0,185163,947631,0
2015-03-23,4,2014,887208.0,498737,253522,1068263,587920,887904,18909.0,335747,45903,659763,0.0,976729,89521.0,109930,84844,52857,71843,4332086,0.0,2935620,199882,3161,5696789,147973,82679,2137999,2014年12月31日,556579,,4980562,4980562,0,511684,8661972,12878737,1418952.0,,19208.0,4191625,2137999,,,8853534.0,1114537,70456,7795,1036286,,13834096.0,,239200,11570.0,106718,37085,0.0,0.0,191562,955359,0
2015-05-11,1,2015,720650.0,498720,245624,1167772,654203,954187,18909.0,321886,59742,711440,0.0,782096,61446.0,121315,88169,50644,57237,4371474,0.0,2760170,199882,3724,4832779,131412,82450,2137999,2015年03月31日,656088,55969.0,5131748,5131748,0,511684,7598304,11976379,,1373775.0,,3474577,2137999,12917466.0,7785718.0,,1114537,70456,7795,1036286,12917466.0,,,131695,11030.0,99245,33710,0.0,0.0,187414,941087,0
2015-08-14,2,2015,0.0,491452,232498,895581,934183,1248162,4455.0,689498,62871,970765,0.0,69967,69967.0,92438,88746,54217,36582,4684344,0.0,3764496,199882,8004,5636885,156789,82221,2138249,2015年06月30日,347393,64418.0,5084632,5084632,0,548188,9136001,13494175,,1493143.0,,4339736,2138249,14401753.0,9317121.0,,1080037,70456,7795,1001786,14401753.0,,,119543,10550.0,92374,32185,,0.0,181120,907578,0
2015-11-12,3,2015,0.0,492756,238285,983438,878272,1192251,4455.0,369485,71694,998890,0.0,78478,78478.0,137443,89290,53808,120618,4377676,0.0,2882129,199882,7866,6325393,171425,81993,2138249,2015年09月30日,435250,80236.0,5200614,5200614,0,548188,9007805,13490236,,1095893.0,,5389729,2138249,14404611.0,9203997.0,,1080037,70456,7795,1001786,14404611.0,,,118461,10400.0,106902,32678,0.0,0.0,196192,914375,0
2016-03-22,4,2015,0.0,493127,238092,1073705,684019,1002802,0.0,389216,45158,785615,0.0,95192,95192.0,102943,87836,55534,101596,3937539,0.0,2453689,0,7637,5559063,144290,81764,2138249,2015年12月31日,525517,66694.0,5077606,5077606,0,548188,7749597,12104389,,1187665.0,,4737169,2138249,13016133.0,7938527.0,,1080037,70456,7795,1001786,13016133.0,,,124929,10750.0,101094,32477,,0.0,188930,911744,0
2016-05-11,1,2016,0.0,486382,234997,1185711,651033,1015916,0.0,377426,48019,726596,0.0,59943,59943.0,122087,88241,53711,75563,3835189,0.0,2394083,0,6719,4613189,201277,81535,2138249,2016年03月31日,637523,85650.0,5130593,5130593,0,548188,7023303,11441247,,1402963.0,,4099482,2138249,12342499.0,7211906.0,,1080037,70456,7795,1001786,12342499.0,,,202607,10900.0,100362,33727,,,188603,901252,0
2016-08-11,2,2016,0.0,486798,235432,930917,561870,912299,0.0,700996,41706,628075,0.0,51780,51780.0,225178,96275,57307,66205,3885207,0.0,2752700,199815,20149,4853738,209115,81306,2138249,2016年06月30日,348936,59110.0,4717835,4717835,0,581981,7366625,11372424,,1092454.0,,3582075,2138249,12278033.0,7560198.0,,1020594,70456,7795,942343,12278033.0,,,152727,11350.0,97298,33416,,,193573,905609,0
2016-11-10,3,2016,0.0,478683,220554,990366,523663,878883,0.0,332234,55333,538211,0.0,61565,61565.0,142829,96521,57632,14548,3618550,0.0,2513703,199813,6418,5167356,327051,81078,2138249,2016年09月30日,408385,38648.0,4687420,4687420,0,581981,7605367,11603041,,1260481.0,,4452986,2138249,12486606.0,7799186.0,,1020594,70456,7795,942343,12486606.0,,,152558,12700.0,97298,32918,,,193819,883565,0
