date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應付設備款,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,避險之衍生金融資產－流動,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,0.0,15272905,19574715,,,,5845884,,5062665,494338,-114943,691592,691592,74496,40032,213820,34464,199068,2117661,,107760.0,155581,16789.0,3790998,,,4980410,34995.0,34.0,,783219.0,10714435,1052.0,418491,43487.0,42203.0,5256059,2013年03月31日,15296926,,25317308,25058514,0,2746661,21697191,28402929,,321580,1531128,,11388409.0,2167008.0,7591148,5256059,,384695,,22247829.0,342683,,47565137.0,1425,53181,351570,1407859,0.0,0.0,138486,258794.0,550638,19162208,1467529,1962386.0,0
2013-08-08,2,2013,0.0,15937840,18799546,,,,7324630,24681.0,6531902,488260,197135,616575,616575,44844,20398,214349,24446,218877,1173261,,107760.0,174981,16149.0,4048333,,,4673554,0.0,11.0,0.0,792728.0,11295279,2190.0,349358,43896.0,35481.0,5256059,2013年06月30日,14228454,,24852474,24595551,0,3039964,19043338,25684585,,322109,1531128,,7909415.0,147019.0,5776500,5256059,,477880,,19760379.0,342811,,44612853.0,2488,72472,498164,1459577,0.0,0.0,139644,256923.0,717041,18928268,1474434,1017468.0,0
2013-11-08,3,2013,0.0,15202587,19421989,,,,5695151,,4947148,413486,-52164,587652,587652,19865,19865,204421,0,229551,1143403,1006322.0,107760.0,185231,,4023965,,,4794672,0.0,23.0,,748003.0,11528203,71.0,200649,44320.0,29307.0,5256059,2013年09月30日,14850897,,25214012,24968668,0,3039964,19837040,27626407,,312181,1531128,,10015125.0,181282.0,8182979,5256059,,395125,,20580164.0,342784,,45794176.0,156,5485,513573,1480291,0.0,0.0,137081,245344.0,743124,18167769,1419558,,0
2014-02-25,4,2013,0.0,14846264,20024708,,,,5617193,,5617193,512709,306812,763772,763772,33339,27153,192547,6186,224416,1248392,1109971.0,96760.0,174391,,4113765,,,4939532,0.0,9.0,,0.0,11254942,0.0,223465,50025.0,17311.0,5256059,2013年12月31日,15453615,,26177052,25930363,0,3039964,22087030,31100726,,289307,1531129,,13352906.0,380090.0,9980349,5256059,,404885,,22978280.0,342784,,49155332.0,1200,18692,666834,1653332,0.0,0.0,138421,246689.0,891250,18054606,1590908,,0
2014-05-06,1,2014,,15122587,20597762,,,,5477636,61.0,5477636,414869,311797,563717,563717,15887,15887,206277,0,231289,714069,576012.0,96760.0,180762,,3748637,,,4426253,0.0,7.0,,,10878772,0.0,112652,50527.0,14021.0,5256059,2014年03月31日,16026669,,26766545,26510696,0,3039964,23738001,33625180,,303037,1531129,16839910.0,,497593.0,12342585,5256059,,410088,,24704292.0,345078,,51470837.0,20061,15,735002,1691943,,0.0,138057,255849.0,966291,17845657,1614438,,0
2014-08-08,2,2014,,13934760,19941227,57150.0,57150.0,,6700462,23877.0,6700462,738143,-87413,558991,558991,15513,15513,190692,0,178573,1109908,737270.0,0.0,151109,,3700839,,0.0,4810327,,30.0,,,11261916,0.0,123075,27464.0,11707.0,5256059,2014年06月30日,15132675,,25454850,25454850,0,3277423,25672508,35067900,,190692,1531129,17842020.0,,293651.0,12877443,5256059,,407727,,26581086.0,344977,,52035936.0,0,9757,730005,1720969,,,372638,0.0,908578,16968036,1319487,,0
2014-11-07,3,2014,,13953826,20728689,0.0,0.0,,6085563,0.0,6085563,430768,553269,602081,602081,49798,38994,174463,10804,167140,1209168,829336.0,0.0,139182,,4106780,,0.0,5387667,,0.0,,,12128538,0.0,117189,27958.0,7167.0,5256059,2014年09月30日,15920137,,26882994,26882994,0,3277423,26495036,37354353,,174463,1531129,18814551.0,,384328.0,13611237,5256059,,423541,,27624374.0,344977,,54507368.0,619,42411,962198,1808391,,,379832,0.0,1129338,17153015,1664318,,0
2015-03-06,4,2014,0.0,15424586,21464677,,,,6988231,,6988231,524189,1326943,660797,660797,27346,16225,165589,11121,210932,1024092,634838.0,0.0,170872,,4409106,,0.0,5436201,0.0,0.0,,0.0,12185459,0.0,79153,40060.0,0.0,5256059,2014年12月31日,16656125,,28393259,28393259,0,3277423,29266326,40546160,,165589,1531129,21500716.0,,470240.0,15235935,5256059,,439154,,30674826.0,345580,,59068085.0,35768,5542,1197568,1907658,0.0,0.0,389254,0.0,1408500,18521925,1814649,,0
2015-05-04,1,2015,,15291391,22002352,,,,6566857,0.0,6566857,395116,1070522,492936,492936,26202,8187,170995,18015,193211,910981,526548.0,0.0,152643,,4676465,,0.0,4781911,,0.0,,,10899555,,104051,,0.0,5256059,2015年03月31日,17193800,496290.0,28674513,28674513,0,3277423,28024704,39861914,40568.0,170995,1531129,,22031094.0,,15249896,5256059,58107264.0,431106,29432751.0,,345580,58107264.0,,5708,74773,1214836,1871983,,,384433,0.0,1408047,18245350,1654658,,0
2015-08-10,2,2015,,14608978,21078733,,0.0,0.0,7671113,,7671113,521287,681313,351054,351054,17185,10185,151946,7000,182665,932315,545174.0,,141588,,4506606,0.0,0.0,4579013,,0.0,,,10842396,,74074,,0.0,5256059,2015年06月30日,16006494,179515.0,27361685,27361685,0,3541110,25581089,36770230,41077.0,151946,1531129,,19257165.0,,12373364,5256059,54328149.0,425714,26966464.0,,345580,54328149.0,,1316,40834,1202710,1864680,,,387141,0.0,1385375,17557919,1510683,,0
