date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,15110807,,13506581,78540.0,2419057,583654,1522,40646,1642198,43986,207577,1177712,346144,2014925,,,1763782,,87574,4055.0,2954357,483804,61209,,4460000,2013年03月31日,11420869,,26220804,23860900,0,2085712,8650400,20773324,10554,,9005.0,,,0.0,,9946855.0,1062280.0,1671454,4460000,,,,10851593.0,5853673,,37072397.0,4413866,13174,0,1980442,2359904,2201193,16299073,181601,831568,0
2013-07-29,2,2013,14982213,,13000868,74399.0,4296702,608936,1349,105790,1575730,69927,190136,1441817,311909,1976680,,,1960733,,88656,1014.0,3338575,564112,70917,,4460000,2013年06月30日,10560963,,25800522,23420331,0,2365481,10495436,21768663,9744,,9013.0,,,74424.0,,10445301.0,794409.0,1778192,4460000,,,,12401915.0,5853673,,38202437.0,4420870,23759,0,1692584,2380191,1906479,16433774,188584,1129908,0
2013-10-28,3,2013,14896336,,13848985,63427.0,2745569,719628,1383,65917,1507155,36845,178108,1340427,305159,1985115,,,1958813,,37287,0.0,3088551,546027,16466,,4460000,2013年09月30日,11409080,,26564524,24228575,0,2365481,8797564,20943862,14415,,451383.0,,,74424.0,,9274420.0,932093.0,1616647,4460000,,,,10630516.0,5853673,,37195040.0,4627803,14414,0,1640430,2335949,1832952,16251178,132814,1035268,0
2014-01-27,4,2013,14756743,,14646450,57715.0,2849160,494726,1929,108879,1578621,65810,163981,1529199,318857,2005497,,,1885552,163.0,40069,0.0,3013640,560469,69383,,4460000,2013年12月31日,12206545,,27529140,25078941,0,2365481,9003298,21812172,14159,,507379.0,49.0,,74424.0,,9787827.0,1068279.0,1581454,4460000,,,,10583202.0,5863612,,38112342.0,5135128,26402,20,1389521,2450199,1579904,16300170,112669,1210342,0
2014-05-05,1,2014,15018519,,15438997,68161.0,2764423,607946,1421,158924,1537976,50048,222452,1357047,318976,1963322,,,1802119,0.0,38289,0.0,3289001,454704,22155,,4460000,2014年03月31日,12999092,,28377377,25921533,0,2365481,9074852,22516854,18769,,487074.0,495.0,,74424.0,10276558.0,,1195256.0,1736789,4460000,,,,10534307.0,5863612,,38911684.0,5182339,29355,0,1207648,2455844,1459455,16394830,114125,1038071,0
2014-07-28,2,2014,15160199,50000.0,15109777,31521.0,4674550,543409,1226,89365,1452795,49313,147720,980956,311894,2149745,,0.0,2157507,0.0,43969,0.0,3796090,503558,7753,,4460000,2014年06月30日,12421887,,27949138,25522754,0,2687890,11276618,24089995,21056,,499856.0,49.0,,0.0,11191807.0,,900549.0,2047248,4460000,,,,12353117.0,5863612,,40302255.0,5149290,18380,0,910399,2426384,1076499,16212260,166427,669062,0
2014-10-27,3,2014,15194474,50000.0,16103393,30968.0,3344035,663116,1249,142026,1361706,73459,141432,1518432,317906,2252271,,0.0,2300817,0.0,38808,0.0,3762738,515886,1770,,4460000,2014年09月30日,13415503,,29184958,26594688,0,2687890,10340550,23643442,17185,,475043.0,49.0,,0.0,10552808.0,,833899.0,2461285,4460000,,,,11238624.0,5889269,,40423582.0,5184162,30743,0,725899,2590270,898074,16780140,129972,1200526,0
2015-02-09,4,2014,15429778,50000.0,16718487,40369.0,3828752,452265,1307,279703,1542931,91980,110620,2080370,331713,2162969,,0.0,1986749,0.0,41011,0.0,3040343,436406,6252,,4460000,2014年12月31日,14030597,,30052774,27398009,0,2687890,10103181,23471268,19982,,463827.0,0.0,,0.0,11541615.0,,896540.0,1806896,4460000,,302.0,,10998900.0,5939819,,41051674.0,5135434,54377,276,730722,2654765,895719,17580406,98501,1748657,0
2015-04-27,1,2015,15393262,50000.0,17335676,0.0,3352897,405181,1241,212984,1277236,70639,116765,2119775,326309,2151334,,0.0,1795129,0.0,39028,0.0,3027288,340539,485,,4460000,2015年03月31日,14647786,987708.0,30534522,27948479,0,2687890,9317109,23040347,22046,445531.0,,,0.0,0.0,,11333298.0,,1864853,4460000,40625766.0,258.0,10091244.0,,5939819,40625766.0,,5126454,43979,336,613391,2586043,774135,17585419,138357,1793466,0
2015-07-27,2,2015,15802797,50000.0,16152444,0.0,5401971,502227,1640,186238,1021266,88160,116370,2097904,322418,2145157,,0.0,1712214,0.0,76039,0.0,3088930,355994,5198,,4460000,2015年06月30日,13102821,642360.0,29257880,26738501,0,3049623,11013414,23292550,21884,425098.0,,,0.0,0.0,,11375431.0,,2159349,4460000,41265188.0,215.0,12007308.0,,5939819,41265188.0,,5132439,39215,53,838309,2519379,993894,17972638,172276,1775486,0
2015-10-26,3,2015,15781454,50000.0,16922952,0.0,3647410,383981,2706,250616,848870,85678,85939,2701686,324473,2176322,32895.0,0.0,1960019,0.0,37643,0.0,3622578,449288,1365,,4460000,2015年09月30日,13873329,421961.0,30076774,27540492,550000,3049623,10333842,22907970,21572,428276.0,,,0.0,0.0,,11997572.0,,3417570,4460000,41463029.0,369.0,11386255.0,,5939819,41463029.0,,3573236,51797,347,914677,2536282,1052413,18555059,186968,2377213,0
2016-02-01,4,2015,16150904,50000.0,17829718,0.0,3932762,336543,2081,194484,668701,136377,85994,2926300,318785,2285436,32885.0,0.0,1996799,,55484,,3590193,248909,1835,,4460000,2015年12月31日,14780095,569378.0,30827801,28391136,550000,3049623,10318448,23471368,30280,428112.0,,,,,,12746307.0,,3095030,4460000,42638732.0,294.0,11810931.0,,5939819,42638732.0,,3536370,40190,9880,1366299,2436665,1492483,19167364,159205,2607515,0
2016-04-25,1,2016,15985873,50000.0,18344844,,3597851,469675,1410,158239,640253,147995,88513,3448428,318323,2155034,32885.0,0.0,1719608,,38622,,2997619,308325,68,,4460000,2016年03月31日,15295221,678008.0,31215524,28870017,550000,3049623,9495604,22574118,28169,428039.0,,,,,,12282263.0,,2821087,4460000,42096215.0,175.0,10880691.0,,5939819,42096215.0,,3603825,32410,9627,1264164,2345507,1385087,19522097,179865,3130105,0
2016-07-25,2,2016,16313278,50000.0,17389090,,5358000,177672,919,104140,690947,174464,83664,3409613,310439,2391855,32885.0,0.0,1985575,,36541,,3410351,242226,4246,450000.0,4460000,2016年06月30日,14049072,583525.0,30134646,27860164,550000,3340018,11332076,22340868,26400,425491.0,,,,,,12005613.0,,2677488,4460000,42599777.0,0.0,12465131.0,,5939819,42599777.0,,3332434,21330,9618,1028061,2274482,1133055,20258909,175597,3099174,0
2016-10-24,3,2016,16320795,50000.0,18018579,,3400766,506581,1773,24739,630283,123590,73485,3317686,299128,2200906,32885.0,0.0,1961894,,41854,,3649082,421644,2495,450010.0,4460000,2016年09月30日,14678561,446062.0,30618093,28410252,550000,3340018,9052379,21290421,24660,423057.0,,,,,,10627205.0,,2571520,4460000,41463191.0,0.0,10845098.0,,5939819,41463191.0,,3162292,428,9619,1718806,2207841,1792719,20172770,171796,3018558,0
