date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,專利權淨額,待分配股票股利,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－取得或處分子公司股權價格與帳面價值差額,資本公積－實際取得或處分子公司股權價格與帳面價值差額,資本公積－發行溢價合計,資本公積－認列對子公司所有權權益變動數,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,71961.0,71961.0,201549,322825,161069,89475,255103,-12089,196725,124764,271075,202052,,69023,20904,9885,50233,-12089,95,9885,1726957,1715.0,,,900372,329862,28090,2903657,182676,20809.0,,946649,2013年03月31日,174014,,1569823,1490531,0,140144,4436409,5786730,,51948,8667.0,,447262.0,23244.0,2705644,946649,,,4505634.0,233146,,,226801,,6345.0,,6075457.0,1928.0,48321,25345,,79292,69225,288727,,0
2013-08-09,2,2013,72369.0,72369.0,201479,288940,246527,90000,227702,-10669,204122,131753,254710,170137,2433.0,84573,21467,9958,50233,-10669,580,9958,1997158,,28399.0,,793432,269810,24760,3303188,80601,20887.0,,946649,2013年06月30日,118914,,1560316,1486465,0,150121,4796721,6138812,,52666,19905.0,,275453.0,26269.0,3141097,975048,,,4868893.0,233146,,,226801,,6345.0,,6429209.0,704.0,50705,26294,,73851,72172,290397,,0
2013-11-08,3,2013,72781.0,72781.0,198903,336458,135353,88710,291677,-15304,268609,195828,225437,152693,2341.0,72744,21460,9936,50233,-15304,581,9936,1914528,,,,1150365,319880,43635,3284381,139586,20879.0,,975048,2013年09月30日,166432,,1610749,1530683,0,150121,4795576,6187489,,52574,19905.0,,331880.0,25552.0,2763112,975048,,,4858761.0,234481,1335.0,,226801,,6345.0,,6469510.0,360.0,41725,20608,,80066,63185,282021,,0
2014-03-07,4,2013,1722.0,1722.0,199039,392112,155749,89415,60803,-10546,125334,123612,176822,118249,3275.0,58573,19189,10560,50233,-10546,581,10560,1674156,,,,1122706,229778,26327,3228018,167323,18608.0,,975049,2013年12月31日,222086,,1663509,1591096,0,150121,4152616,5597785,,53508,19905.0,,290663.0,30249.0,2373058,975049,,,4224592.0,234481,1335.0,,232997,,149.0,,5888101.0,0.0,52787,27209,,72413,71976,290316,,0
2014-05-07,1,2014,0.0,0.0,197602,467838,185849,91410,195074,-4270,120422,120422,171711,132158,3140.0,39553,19214,9923,50233,-4270,581,9923,1743984,,,0.0,984728,229883,39288,3019627,187964,18633.0,,975049,2014年03月31日,297812,,1738475,1673098,0,150121,4382055,5904809,,53373,19905.0,586449.0,,48707.0,2681768,975049,,,4455473.0,234481,,1335.0,233146,,0.0,,6193948.0,0.0,54204,28241,,65377,73418,289139,,0
2014-08-08,2,2014,0.0,0.0,196392,333223,336980,89595,99454,-10313,91517,91517,207963,159255,3402.0,48708,19219,10730,50233,-10313,568,10730,1745602,,63378.0,0.0,924297,229904,47807,3244576,102416,18651.0,,975049,2014年06月30日,152393,,1658312,1595818,0,170284,4271833,5711350,,53635,10546.0,311339.0,,41743.0,2509990,1038427,,,4345193.0,234481,,,233146,1335.0,0.0,,6003505.0,0.0,54141,31398,,62494,73360,292155,,0
2014-11-07,3,2014,0.0,0.0,196227,418213,189983,91260,121484,-4242,119106,119106,217103,162705,3855.0,54398,19237,13267,50233,-4242,568,13267,2102926,,,0.0,1166469,229949,45718,3422772,121527,18669.0,,1038427,2014年09月30日,237383,,1760544,1690327,0,170284,4856031,6401602,,54088,10546.0,415790.0,,33087.0,2980459,1038427,,,4937502.0,237929,,4783.0,233146,,0.0,,6698046.0,0.0,62234,32862,,70217,81471,296444,,0
2015-03-20,4,2014,0.0,0.0,193462,492341,223677,94950,185320,9551,76806,76806,179526,129438,3967.0,50088,24348,47397,50233,9551,569,15397,1877011,,,0.0,1002698,229893,15940,3233733,38264,23779.0,,1038427,2014年12月31日,311511,,1877992,1777349,0,170284,4368047,6013766,,54200,10546.0,499912.0,,46406.0,2677677,1038427,,,4470230.0,237030,,3884.0,233146,,0.0,,6348222.0,,77835,39397,,100643,102183,334456,32000.0,0
2015-05-08,1,2015,,,341999,579511,210331,93900,165763,4262,110591,110591,195646,146182,3655.0,49464,23994,13551,50233,4262,184,13551,2111996,,,0.0,919354,309792,24987,3456349,21508,,0.0,1038427,2015年03月31日,398681,71244.0,1960203,1859230,0,170284,4571838,6296427,23810.0,53888,10546.0,,345165.0,,2831639,1038427,6737708.0,4777505.0,,237030,,3884.0,233146,,,6737708.0,,,61673,31843,120000.0,100973,205667,441281,0.0,0
2015-08-07,2,2015,,,342865,334731,371422,92580,113253,-950,134142,134142,216228,171231,3343.0,44997,24063,13841,50233,-950,184,13841,2694215,,155764.0,0.0,1378428,344836,28685,3761414,22435,,0.0,1038427,2015年06月30日,133296,42646.0,1863609,1765002,0,201435,5516158,7140035,23879.0,53576,0.0,,332490.0,,3123419,1194191,7585846.0,5722237.0,,237030,,3884.0,233146,,,7585846.0,,,62016,35529,120000.0,98607,206079,445811,0.0,0
