date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－非流動淨額,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,267708.0,3469597,,4490948,52500,10335.0,,606920,0.0,606920.0,103611,-5769,270351,2643,4155126,73689.0,4081437.0,1976,199161,168726,1976.0,26892,828848,,,0.0,1192372,20978,2745839,2684,294851,16801.0,1738454,2013年03月31日,3630256,,9853888,9842879,0,710714,3932411,10065557,,,149978,,2229313.0,267447.0,1537239,1748789,,,4251452.0,3608911,,14105340.0,37104.0,136.0,317065,6873,11009,319041,4039783,3543.0,1033448
2013-08-09,2,2013,266403.0,3422803,,3824870,52500,321.0,,1393969,0.0,1393969.0,87817,57882,274605,8202,4105524,52615.0,4052909.0,2006,196930,166839,2006.0,25116,753223,,,0.0,1149359,15637,2661940,2601,295540,0.0,1748790,2013年06月30日,2866554,,9252097,9242824,0,808812,4441628,10039822,,,149504,,2428717.0,110641.0,1474609,1749111,,,4765371.0,3610961,,14017468.0,22808.0,0.0,321737,9873,9273,323743,3977646,4975.0,32128
2013-11-08,3,2013,242504.0,3376384,,4120770,52500,3586.0,,565969,77.0,565969.0,77099,-7555,247252,4748,3605992,60730.0,3545262.0,2036,177907,144609,2036.0,26890,661053,,,0.0,1165581,17447,2970599,3626,287618,0.0,1749110,2013年09月30日,3162454,,9506452,9498212,0,808812,3172909,9103688,,,149504,,1785319.0,58127.0,1112662,1752696,,,3504372.0,3632301,,13010824.0,5794.0,0.0,329427,12727,8240,331463,3907136,6408.0,358569
2014-02-19,4,2013,201730.0,3273242,,4367993,52500,5971.0,,659323,214.0,659323.0,54798,75609,208250,6520,3999822,95297.0,3904525.0,1037,232800,203345,1037.0,25022,640483,,,0.0,1197069,30591,2887552,1886,289425,0.0,1752697,2013年12月31日,3409677,,9877569,9870340,0,808812,3122648,9467498,,,149504,,1882957.0,101167.0,926034,1758668,,,3447685.0,3668070,,13325254.0,0.0,0.0,324000,9789,7229,325037,3857756,4433.0,597141
2014-04-29,1,2014,0.0,3381824,,4609493,52500,0.0,,638309,114.0,638309.0,114927,88079,11223,11223,4017296,33413.0,3983883.0,1036,193426,167311,1036.0,21827,684204,,0.0,,1151867,25946,2698256,2397,285316,0.0,1787253,2014年03月31日,3651177,,10330811,10324410,0,808812,3024212,9756605,,,149504,2239525.0,,153574.0,1043179,1787253,,,3350095.0,3839585,,13680906.0,0.0,0.0,324847,11235,6401,325883,3924301,4288.0,0
2014-08-08,2,2014,0.0,3403345,,4295881,52500,0.0,,1210310,0.0,1210310.0,86512,-17226,11933,11933,4313937,26528.0,4287409.0,746,197977,170561,746.0,21624,709705,,0.0,,1211474,9714,2678271,2406,276332,,1787253,2014年06月30日,3250168,,9911010,9905493,0,896209,3485679,9787647,,,149504,1996816.0,,134588.0,907660,1787253,,,3818876.0,3839585,,13729886.0,0.0,,332451,12085,5517,333197,3942239,5792.0,0
2014-11-05,3,2014,0.0,3297743,17000.0,4574065,52500,0.0,,654301,0.0,654301.0,114546,97368,16537,16537,4321136,36333.0,4284803.0,765,444284,400852,765.0,37785,709445,,0.0,,1339072,13944,2952311,2919,279498,,1787253,2014年09月30日,3528352,,10303690,10298271,0,896209,3124371,9669934,,,149504,1569577.0,,86445.0,1014072,1787253,,,3462177.0,3839585,,13765867.0,0.0,,337041,4908,5419,337806,4095933,5647.0,0
2015-03-06,4,2014,0.0,3647798,17149.0,4963080,52500,0.0,,745001,0.0,745001.0,100733,257632,11493,11493,4114949,89073.0,4025876.0,832,191295,173523,832.0,16527,701407,,0.0,,1317285,18898,2991567,2589,284424,,1787253,2014年12月31日,3917367,,10852566,10847550,0,896209,3093735,10104776,,,149504,2193531.0,,147311.0,853747,1787253,,,3453037.0,3839585,,14305603.0,,,358470,7661,5016,359302,4200827,1245.0,0
2015-05-05,1,2015,,3506082,17149.0,5339982,52500,,,581870,0.0,581870.0,122011,208916,8986,8986,4502906,98807.0,4404099.0,825,184028,166185,825.0,16757,737620,,0.0,,1229934,12214,2892228,2533,277757,,1787253,2015年03月31日,4294269,237214.0,11175736,11175736,0,896209,3198308,10679318,,1086.0,149504,,2422020.0,,1128090,1787253,14724029.0,3548293.0,,3839585,14724029.0,,,,349160,7195,0,349985,4044711,,0
2015-08-07,2,2015,,3529831,17149.0,5249459,52500,,,1397312,,1397312.0,116854,138612,13496,13496,4464370,122217.0,4342153.0,1268,166663,151409,1268.0,14327,671811,,0.0,,1000080,4619,2700759,4685,269917,,1787253,2015年06月30日,4090194,261694.0,10693203,10693203,0,1009761,3578882,10573768,,927.0,149504,,2615289.0,,901681,1787253,14618013.0,3924810.0,,3517879,14618013.0,,,,344660,8185,0,345928,4044245,,0
