date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他權益－員工未賺得酬勞,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,172632,806145,226923,,,,-882,,,366381,193749,83208,11689,84585,31317,-882.0,166,853,448681,0.0,,,,668584,1112,1061857,30929,11523.0,,,1074187,2013年03月31日,94389,,1747770,1747770,0,27924.0,1462365,2320531,,55312,,,104610,,695856.0,6615.0,419673,1074187,,,,1521914.0,447542,,3269684.0,0.0,0.0,,3111.0,47860,52415,0.0,59549,949153,0
2013-08-13,2,2013,173710,820881,49142,0.0,,,21799,,,353405,179695,62218,11539,65015,11158,21799.0,170,861,454203,0.0,,71591.0,,622566,995,967977,30819,11369.0,,,1074187,2013年06月30日,-92230,,1664261,1664261,0,36762.0,1434678,2214024,,54890,,,104610,,698807.0,2899.0,454813,1145778,,,,1493660.0,447542,,3157921.0,0.0,,,3111.0,47443,52996,0.0,58982,943897,0
2013-11-11,3,2013,169604,810074,21174,0.0,,,7519,,,333733,164129,77694,11355,59614,6596,7519.0,130,927,424618,0.0,0.0,,,549364,0,882478,28480,11225.0,,,1150999,2013年09月30日,-120198,,1631077,1631077,0,36762.0,1273812,2031491,,55100,,,104610,,618221.0,2632.0,388083,1150999,,,,1328313.0,451385,,2959390.0,0.0,,,3111.0,43146,52091,0.0,54501,927899,0
2014-03-28,4,2013,27148,809814,12922,0.0,,,30199,,,195113,167965,107369,12542,61387,6650,30199.0,133,2034,476173,0.0,,,,618789,16485,908258,38306,12409.0,,,1189094,2013年12月31日,-128450,,1711904,1711904,0,36762.0,1315338,2232642,,55763,,74105.0,104610,,628431.0,3605.0,481346,1189094,,,,1447894.0,479689,,3159798.0,0.0,,585.0,192.0,119429,52703,0.0,132556,927156,0
2014-05-07,1,2014,33973,633630,-11039,0.0,,,30083,,,137132,103159,75949,12431,57349,3005,30083.0,149,2159,278550,0.0,617196.0,,0.0,433437,1943,722865,26099,12282.0,,,1189094,2014年03月31日,-152411,,1687827,1687827,0,36762.0,1338289,2428316,,13264,,204061.0,104610,503596.0,,2711.0,436867,1189094,326199.0,,,1444732.0,479689,,3132559.0,,,585.0,0.0,93427,52185,0.0,106443,704243,0
2014-08-12,2,2014,33973,622473,77774,0.0,,,-28863,,,163113,129140,20601,12213,57751,4664,,66,2158,244357,,,0.0,0.0,480290,3162,772980,70285,12147.0,,278999.0,1241094,2014年06月30日,-26836,,1709466,1709466,0,0.0,1018721,1854720,,11975,,136777.0,104610,609720.0,,2660.0,369496,1241094,,,,1116452.0,419461,,2825918.0,,,585.0,0.0,84933,50929,0.0,97731,971198,0
2014-11-07,3,2014,33973,626286,67820,0.0,,91414.0,2589,,,179751,145778,41870,12083,57485,5409,,68,160,271795,,,,0.0,522756,2618,908349,10173,12015.0,,269651.0,1240894,2014年09月30日,-36790,,1730643,1730643,0,0.0,1042005,1897211,,11123,,139386.0,104610,424382.0,,2705.0,334175,1240894,,,,1131113.0,419340,,2861756.0,,9842.0,585.0,0.0,76440,51916,0.0,89108,964545,0
2015-03-30,4,2014,33973,628706,67076,,92759.0,,43131,,,190399,156426,38621,12341,57130,3725,,70,153,302030,1175.0,,,0.0,555146,2649,908254,18465,12271.0,,260668.0,1240794,2014年12月31日,-37534,,1769105,1769105,104000,0.0,1065126,1960088,,9368,,124245.0,104610,409550.0,,2892.0,314040,1240794,,,,1146855.0,419279,,2915960.0,,66164.0,1441.0,0.0,67947,53252,,81729,955872,0
2015-05-11,1,2015,33973,611473,59303,,96384.0,,34493,-17045.0,,183427,149454,27717,12217,56614,4045,51538.0,70,142,283564,0.0,0.0,,0.0,451525,1785,826963,62974,,,256321.0,1239754,2015年03月31日,-45307,2861.0,1752694,1752694,0,0.0,1043948,1930070,12147.0,15276,75660.0,,104610,,546648.0,,404350,1239754,0.0,2869754.0,1117060.0,,419144,2869754.0,,,10160.0,1441.0,,59454,52427,,73112,939684,0
2015-08-11,2,2015,33973,586408,47737,,97365.0,,29842,-13749.0,-13749.0,164181,130208,24322,12086,60472,8059,43591.0,68,1042,224627,32566.0,,,60000.0,352761,3785,794465,62389,,,253214.0,1239154,2015年06月30日,-56873,0.0,1665414,1665414,2736000,,918250,1734823,12018.0,13235,74595.0,,104610,,419592.0,,397523,1239154,,2648152.0,982738.0,,381247,2648152.0,,,37468.0,1441.0,,50961,51371,,64488,913329,0
2015-11-11,3,2015,33973,580380,53399,0.0,1728.0,,105952,-10592.0,,156073,122100,28499,11961,65293,10064,116544.0,71,2094,210600,0.0,,,,430775,3562,890238,101088,,27326.0,277190.0,1207424,2015年09月30日,-51211,0.0,1741902,1741902,0,,985243,1821602,11890.0,11223,0.0,,104610,,504045.0,,394833,1207424,,2783014.0,1041112.0,,375127,2783014.0,,,85404.0,1441.0,,42467,53135,0.0,55869,961412,0
2016-03-28,4,2015,33973,561100,42892,,1592.0,,73714,-7449.0,-7449.0,159586,125613,30442,14990,55114,2986,81163.0,68,1170,190709,0.0,,,0.0,414973,3288,757464,126082,,25832.0,276441.0,1207004,2015年12月31日,-61718,0.0,1698483,1698483,0,,903371,1724602,14922.0,9169,0.0,,104610,,570860.0,,325524,1207004,,2652258.0,953775.0,,374873,2652258.0,,,47453.0,1441.0,,33973,50958,,50404,927656,0
2016-05-11,1,2016,33973,547019,5023,,2102.0,,62925,-5977.0,-5977.0,150951,116978,34257,14861,56891,5315,68902.0,68,1170,210037,0.0,,,7000.0,367105,2070,743158,58500,,25178.0,268156.0,1206934,2016年03月31日,-99587,0.0,1649713,1649713,0,,777306,1555044,14793.0,16513,0.0,,104610,,503510.0,,257180,1206934,,2468801.0,819088.0,,374831,2468801.0,,,3480.0,1441.0,,25480,50406,,41782,913757,0
2016-08-10,2,2016,33973,520538,76185,,1531.0,,40617,-4478.0,-4478.0,143584,109611,78935,14728,54708,4729,45095.0,66,1172,283663,0.0,,,49000.0,415797,2059,679931,89623,,24013.0,284030.0,1206514,2016年06月30日,-28425,1367.0,1636175,1636175,0,,819979,1591288,14662.0,14733,48450.0,,104610,,405763.0,,257172,1206514,,2489310.0,853135.0,,312859,2489310.0,,,3392.0,1441.0,,16987,48807,,33156,898022,0
