date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他長期負債準備,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫存現金,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收票據,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,無活絡市場之債務工具投資－非流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之權益－採用權益法之關聯企業及合資,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－流動,長期借款合計,長期預付租金,除役、復原及修復成本之長期負債準備,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,0.0,2478451.0,2478451,16040844,8798.0,2971086,-21203,,,427905,,1528467.0,,179626,-47304,2901016,422565,463,,,,290465,187702,3471012,2727088.0,-26101,2234157,,0.0,,,2560493,399101.0,59689,2670447,,77834,102763.0,233264,1155973,2013年03月31日,2311919,,,12063713,5154719,0,638467,13099088,9656558,,15020,,,134482.0,0.0,,20700,,2357557.0,0.0,16746.0,5650322,1155973,,,,,72445,,18174415.0,1074964,,30238128.0,0.0,,70412,384727,0.0,4642005,266664.0,,6908994,5075327,20581570,2140.0,1985246,475120.0,0.0,0
2013-08-13,2,2013,0.0,2525923.0,2525923,15538162,8356.0,2826773,-25166,,,467652,,1424972.0,,102764,-29642,2911855,385932,14369,,,,242960,140384,3313975,,-4476,2426310,,,,,3230663,399187.0,0,2854343,,9415,102576.0,326072,1155973,2013年06月30日,2054274,,,11835134,5052430,0,638467,13956792,9946592,,14432,,,94084.0,,,134032,,2516981.0,0.0,16900.0,5990115,1155973,,,,,72775,,18174134.0,1099326,,30009268.0,0.0,,93679,394027,0.0,3807928,,,6782704,4217342,20062676,,1911426,,0.0,0
2013-11-12,3,2013,0.0,2376298.0,2376298,15108617,8561.0,2682734,-37166,,,450887,0.0,1586771.0,,139375,-51752,2723452,347154,1324,,,,186494,83910,2991980,,-14586,2349335,,,,,3686804,598696.0,1247,2428084,,35316,102584.0,327913,1155973,2013年09月30日,1910235,,,11524602,4833744,0,638467,13986841,9663203,,13868,,,450610.0,,,134032,,2059877.0,18086.0,34084.0,5351606,1155973,,,,20179.0,73105,,17408855.0,1046789,,28933457.0,0.0,,98248,368428,0.0,3064167,,,6690858,3422014,19270254,,2165198,,0.0,0
2014-03-27,4,2013,0.0,1876237.0,1876237,14399754,0.0,2499911,-72001,,,413316,0.0,,1297779.0,56167,-72525,2131141,254904,4283,,,,143760,64111,2755285,,-524,2118595,,,109784.0,,3969367,548442.0,0,2637465,,46846,79649.0,210977,1155973,2013年12月31日,1727412,,,11374865,4683429,0,638467,13224633,9432348,,14288,,,498239.0,,,134032,,1704992.0,30929.0,27378.0,5226413,1155973,,,,20562.0,73435,,16236807.0,1100070,,27611672.0,0.0,,118172,385704,0.0,2676807,,,6691436,3012174,18179324,,2228599,,0.0,0
2014-05-08,1,2014,,2134473.0,2134473,14019755,0.0,2454171,-55650,,3063.0,408717,0.0,940119.0,,61563,-43385,2328735,194262,4832,,,,118011,38377,2574598,,12265,2156771,,,0.0,0.0,3479260,99779.0,3742,2388219,,61883,79634.0,210451,1155973,2014年03月31日,1681672,,,11735254,4682715,0,638467,12041118,9342710,,13610,,,237831.0,,,134032,1935323.0,,76125.0,27730.0,5092178,1155973,,,,21180.0,73771,,15229615.0,1115956,,26964869.0,,1698.0,112446,395028,,2884269,,73771.0,7052539,3188497,17622159,,2463797,,,0
2014-08-06,2,2014,,,1772663,13570614,35000.0,2404953,-66314,,2321.0,396183,0.0,1094036.0,,483291,-75204,1928784,156121,7957,,,,94341,14681,2576217,,-8890,3005801,,,0.0,0.0,3759274,0.0,2495,2768236,,51482,79660.0,206150,1155973,2014年06月30日,1632454,,,11570373,4604818,0,638467,12144887,10205605,,13449,,,217241.0,,,134032,1140873.0,,33772.0,35460.0,5299890,1155973,,,,22019.0,74107,,15818074.0,1119096,,27388447.0,4617.0,,107936,385229,,3396803,,,6965555,3673187,17182842,,2492943,,,0
2014-11-10,3,2014,,2185554.0,2185554,13249780,35000.0,2249623,-94899,1900.0,1900.0,357074,0.0,1285122.0,,596217,-80634,2310220,124666,10854,10854.0,15711.0,74443.0,122469,42683,2604870,,14265,3126518,1002807.0,,0.0,0.0,3930287,0.0,22102,3176882,31892.0,31892,79786.0,223032,1155973,2014年09月30日,1477124,,,10969010,4444133,0,638467,13582873,10764536,,15711,,281330.0,281330.0,,,134032,1002807.0,,19306.0,38577.0,5992721,1155973,,,,23115.0,74443,,16663016.0,1119171,,27632026.0,,12237.0,115649,382023,,2767582,,,6524877,3080143,16867490,,2485322,,,0
2015-03-25,4,2014,,2680753.0,2680753,12775690,,1930530,-82155,,1444.0,383596,0.0,,1298747.0,456010,-20399,2771285,90532,7629,,,,135115,50544,2128555,,61756,2788482,,0.0,0.0,0.0,4023444,0.0,23527,3381638,,31283,84571.0,226231,1155973,2014年12月31日,1219538,,,9938018,4193236,0,638467,14162973,10630648,,15990,,,308878.0,,,72525,953867.0,,17499.0,18368.0,6004613,1155973,,,,23858.0,74779,,16611540.0,1127132,,26549558.0,,3008.0,139130,388848,,2099543,,,5744782,2448567,15918910,,2680041,,0.0,0
2015-05-13,1,2015,,2374206.0,2374206,12347883,0.0,1824097,-127278,,1412.0,344586,0.0,1573694.0,,463087,-81433,2463475,89269,6253,,,,149778,65120,2143452,,45845,2638022,,,0.0,0.0,4122925,0.0,15583,2523914,,38654,,220419,1155973,2015年03月31日,1113105,17499.0,19012.0,9430068,4025329,0,638467,13428731,9702669,84658.0,15610,402961.0,,,,,72525,,1145012.0,,,5206264,1155973,,,25157204.0,29025.0,75121,15727136.0,,1126692,25157204.0,,266.0,382.0,128789,382585,,1944717,,75121.0,5404739,2298405,15454535,,2463960,,,0
2015-08-07,2,2015,,,3112891,11941060,0.0,1630659,-174841,,957.0,277312,0.0,1577515.0,,171601,-139508,3152352,39461,6391,,,,146282,61600,3519922,,35333,2487358,,,0.0,0.0,4070007,0.0,4343,1939933,,102576,,220937,1155973,2015年06月30日,971492,0.0,13491.0,8921927,3774111,0,638467,13635896,6972572,84682.0,14760,371034.0,,,,,20700,,907870.0,,,4807631,1155973,,,23334498.0,24048.0,75463,14412571.0,,1126987,23334498.0,,0.0,1612.0,129044,387935,,425886,,75463.0,5147816,776675,16361926,,969749,,,0
