date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫藏股票,待出售非流動資產,待出售非流動資產（淨額）,待分配股票股利,待註銷股本,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,未實現售後租回損失,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利資產-非流動,無形資產合計,特別盈餘公積,特別股股本,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－普通股股票溢價,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預付退休金－非流動,預收股本,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,,,542686,146484,,,65148,,65148.0,,,,47702,1938,1938,74944,,,,12034,0,13048,,,0,119.0,50248,50248,,,,,,,,95525,,,,132073,,,1127431,2013年03月31日,-25180,,,,1642895,1642895,0,171664,425224,1511892,,2391,0.0,,,,1202236.0,,,262460,1127431,,,473204.0,321278,321278.0,321278.0,,2116099.0,153.0,0.0,47980,46082,,,,2391.0,,47980,604207,52391.0,,895.0,,0
2013-08-09,2,2013,,,458938,4951,,,68850,,68850.0,,,,59260,2467,2467,76642,,,,12235,0,13308,,,0,161.0,44372,44372,,0.0,,,,,,54289,,473.0,,82778,,,1127431,2013年06月30日,-166713,,,,1512920,1512920,0,171664,330079,1365209,,2359,0.0,,,,1110224.0,,,204000,1127431,,,373430.0,321278,321278.0,321278.0,,1886350.0,0.0,0.0,43351,46536,,,,2359.0,0.0,43351,521141,51193.0,,912.0,,0
2013-10-30,3,2013,,,303579,-173233,,,34324,,34324.0,,,,53743,2321,2321,60673,,,,12105,0,13171,,,0,138.0,5962,5962,,0.0,,23452.0,,,,28919,,132.0,,62975,19.0,,1127431,2013年09月30日,-344897,,,,1329219,1329219,0,171664,181019,1165649,,1814,0.0,,,,961930.0,,,115323,1127431,,,192136.0,321278,321278.0,321278.0,,1521355.0,0.0,0.0,11117,37142,,,,1814.0,0.0,11117,355706,50638.0,,928.0,,0
2014-02-10,4,2013,,,375080,-239809,,,10621,,10621.0,,,,62230,23340,23340,63216,,,,7400,6,9062,,,6,30.0,877,877,,0.0,,0.0,,,,9161,,0.0,,32658,0.0,,1127431,2013年12月31日,-411473,,,,1271130,1271130,0,171664,132537,1022305,,1291,0.0,,,,925554.0,,,89415,1127431,,,145587.0,321278,321278.0,321278.0,,1416717.0,0.0,0.0,13044,8979,,,,1291.0,0.0,13050,394412,0.0,,1632.0,,0
2014-04-24,1,2014,,,363030,-270638,,,12412,,12412.0,,,,60248,6281,6281,56537,,,,7351,6,8983,,,6,0.0,1575,1575,,0.0,,,,,,7352,,,,27350,,,1127431,2014年03月31日,-442302,,,,1238319,1238319,0,171664,117305,987847,,981,,,,902385.0,,,,91260,1127431,,,130104.0,321278,321278.0,321278.0,,1368423.0,0.0,,12793,7582,,,,981.0,0.0,12799,380576,0.0,,1632.0,,0
2014-08-07,2,2014,,,151117,-358129,,,6071,,6071.0,,,,52592,6976,6976,60091,,,,7228,0,8288,,,0,1060.0,0,0,,0.0,,162619.0,,,0.0,4288,,0.0,,32784,,0.0,1127431,2014年06月30日,-529793,,,,1143172,1143172,0,171664,110222,1104305,,719,,,,848811.0,,3442.0,,89445,1127431,,,121352.0,321278,321278.0,321278.0,,1264524.0,,,11130,95,,,,719.0,0.0,11130,160219,0.0,,0.0,,0
2014-11-11,3,2014,,,148042,-355601,,,3870,,3870.0,,,,65751,34017,34017,55659,,,,7433,0,67440,,,0,60007.0,168,168,,0.0,,48365.0,,,0.0,15606,,0.0,,24274,15217.0,,1127431,2014年09月30日,-527265,,,,1158859,1158859,0,171664,53493,1009104,,1411,,,,865421.0,,0.0,,0,1127431,,,67257.0,321278,321278.0,321278.0,,1226116.0,,,13764,119,,,,1411.0,,13764,217012,0.0,,0.0,,0
2015-02-24,4,2014,,,512908,-446583,0.0,0.0,42226,262.0,,4165.0,,7561.0,85857,269,269,74317,,129310.0,,7662,817,401874,,38861.0,817,11349.0,65012,62655,2357.0,0.0,,0.0,0.0,0.0,0.0,132098,20681.0,15323.0,,176754,27710.0,531.0,1127431,2014年12月31日,-618247,,,,1087983,1087983,0,171664,644297,546794,,168171,,0.0,0.0,189253.0,,0.0,1491.0,433438,1127431,,,666812.0,321278,,,,1754795.0,,,21698,125048,,,382863.0,,0.0,22515,1208001,0.0,,0.0,0.0,0
2015-05-07,1,2015,,,520652,-482458,,,38896,24020.0,38896.0,3932.0,,171.0,77864,3161,3161,88993,,121436.0,,16679,809,392325,,38432.0,809,,79944,74753,5191.0,0.0,,,,0.0,0.0,99078,10570.0,15154.0,,146814,34556.0,0.0,1127431,2015年03月31日,-654122,,267.0,457.0,1044115,1044115,0,171664,639543,496959,0.0,159868,,,,,142092.0,,,448397,1127431,1702717.0,658602.0,,321278,,,1702717.0,,,,18250,132913,,,375646.0,,,19059,1205758,,,,,0
2015-08-11,2,2015,,,486059,-235278,,,40309,231.0,40309.0,6204.0,,0.0,70255,32680,32680,145677,92622.0,113648.0,53055.0,14508,1045,384708,,37877.0,1045,,66383,61060,5323.0,0.0,,62627.0,,0.0,0.0,102335,0.0,0.0,,145431,37064.0,1127.0,1127431,2015年06月30日,-235278,,476.0,439.0,962408,962408,0,0,682847,516173,,151525,,,,,51221.0,,,506816,1127431,1662050.0,699642.0,,0,,,1662050.0,,,,15750,123585,,,368159.0,,,16795,1145877,,2041.0,,,0
