date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－其他－非流動,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,員工福利負債準備－非流動,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之權益合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,2104974.0,3910392,138339,-1052344,-3584,,1119034,1578983,716508,1860,-15753,2281902,128824,1438825,26490,,1412335,,12960,,312639,367,367,50407.0,-12169,26860,1661620,3232,,,2218314,28008,2978,2719267,18939,4012,1135100,262005,3206891,2013年03月31日,-1052344,,4516619,2136050,338048,9975007,8754632,,,1842829.0,6685.0,2728824,3206891,,,,10279,50407.0,,10038374.0,488,488.0,0.0,,14554993.0,0,20501,41886,0.0,285412,2380569,63367,5800361,330271,48104,0
2013-08-12,2,2013,1634250.0,3859008,138792,-1142070,-3973,,1101243,1603157,286363,5098,41334,1833424,158674,1900022,28241,,1871781,0.0,12427,,315536,375,375,50238.0,45307,26570,1703618,3232,,,2594542,44249,3004,3071668,27135,4881,1148342,252932,3206891,2013年06月30日,-1142070,,4506421,2103411,338048,10195176,8998187,,,1542174.0,1816.0,2999510,3206891,,,,8545,50238.0,,10257841.0,488,488.0,0.0,,14764262.0,5686,19345,51465,0.0,288591,2403010,62665,5766075,437883,40500,0
2013-11-13,3,2013,0.0,3723950,137679,-1206210,-5120,,1025196,1618060,169908,2148,16814,167592,146193,1794492,5195,0.0,1789297,0.0,12606,,310444,369,369,53058.0,21934,26681,1679818,3232,,,2598885,38121,3095,3041911,8131,5319,1140506,261817,3206891,2013年09月30日,-1206210,,4411393,2088492,338048,9891150,8735908,,,1548852.0,9006.0,4409584,3206891,,,,7925,53058.0,,9956814.0,74229,,,,14368207.0,13686,20579,57903,0.0,283394,2322901,65664,5632299,464750,21399,0
2014-03-27,4,2013,0.0,3662559,73864,-1298660,-4085,,991378,1651980,120536,2259,81049,147083,139123,1857208,3178,,1854030,,12789,,316911,381,381,41746.0,61546,29705,1609913,3232,222135.0,,2690568,24817,2892,2798510,13364,2876,1165873,255876,3206891,2013年12月31日,-1298660,,4349658,2061147,338048,9290183,8176540,,,1013087.0,17614.0,3721462,3206891,23588.0,39999.0,,2390,41746.0,,9344718.0,75099,,,,13694376.0,0,30497,42753,0.0,286825,2288511,54535,5517836,506155,7960,0
2014-05-13,1,2014,0.0,3595118,70789,-1519471,-3916,,1079042,1776802,128344,2327,73782,178725,168192,2044642,7099,,2037543,,12719,,314069,543,543,47417.0,54073,29928,1761440,3232,233839.0,0.0,2879969,72055,2965,2557347,20111,3998,1156201,249535,3206891,2014年03月31日,-1519471,,3925096,1833069,338048,9922070,8484123,,1164002.0,,5998.0,3689575,3206891,23625.0,51171.0,,3360,47417.0,,9982206.0,75099,75099.0,,,13907302.0,182408,19552,37467,,283598,2092027,60136,5423179,548521,10533,0
2014-08-13,2,2014,0.0,3443675,70575,-1570474,-3447,,1089492,1798047,157894,7022,16157,182080,124481,2340780,2782,,2337998,0.0,13720,,300444,533,533,47171.0,-969,23330,1713601,3232,229489.0,0.0,2920966,129595,2930,2591247,16808,10259,1129870,241518,3206891,2014年06月30日,-1570474,,3760269,1724441,338048,10064462,8668171,,1259450.0,,22150.0,3670428,3206891,20573.0,53594.0,,1806,47171.0,,10125353.0,75099,75099.0,,,13885622.0,193374,3064,31369,,276581,2035828,60891,5217451,338557,57599,0
2014-11-06,3,2014,,3319181,57401,-1526185,117949,137540.0,996131,1805152,166223,3387,186757,139121,124530,1738520,4411,,1734109,,14750,,321183,548,548,43486.0,65310,38876,2047719,3232,217405.0,0.0,3122615,138059,2932,2261527,11751,9481,1261379,240085,3206891,2014年09月30日,-1526185,,4224843,2013365,338048,9384699,8435282,,1492700.0,,8054.0,2970899,3206891,3498.0,52430.0,,403,43486.0,,9442935.0,149134,,,,13667778.0,148903,2289,33267,0.0,281759,2211478,58236,5232496,346740,14591,0
2015-03-25,4,2014,,3172053,47182,-1633918,76328,88978.0,1067132,1816872,195751,3057,225861,181112,171741,1666193,1840,,1664353,,16253,,336521,565,565,42460.0,155586,47172,1994281,3232,215351.0,0.0,2925500,139040,2934,2746677,16821,30390,1251971,237830,3206891,2014年12月31日,-1633918,,4065575,1947480,338048,9467499,8518483,,1222325.0,,33452.0,3079860,3206891,-6053.0,54218.0,,7966,42460.0,,9526212.0,151878,,,,13591787.0,159413,2774,27747,,288784,2118095,58713,5073304,335885,9371,0
2015-05-12,1,2015,0.0,3088631,47182,-1628148,42271,48966.0,850605,1793121,137597,3109,126745,114001,98418,2014818,4844,,2009974,,19097,,331062,560,560,48457.0,115998,46398,2017647,3232,198455.0,0.0,2651983,166782,2933,2237995,14758,49139,1232849,234622,3206891,2015年03月31日,-1628148,6.0,3939338,1854134,338048,9171382,8210138,,,1171784.0,,3416506,3206891,-31524.0,67433.0,13178274.0,6715,48457.0,9238936.0,,151878,151878.0,,13178274.0,,101297,2885,33790,,284104,2085204,67554,4968136,312985,15583,0
2015-08-11,2,2015,0.0,2806970,39779,-1756640,94618,109665.0,886324,1788578,104000,8615,148287,133036,115379,1770454,2481,,1767973,0.0,19891,,327955,552,552,49312.0,77444,49227,1909221,3232,160932.0,0.0,2449509,94605,2942,2166813,15381,31357,1215123,225194,3206891,2015年06月30日,-1756640,887.0,3725800,1747312,338048,8481622,7633884,,,989923.0,,3049449,3206891,-23775.0,57924.0,12276625.0,6657,49312.0,8550825.0,,152006,152006.0,,12276625.0,,11711,3181,27720,,278176,1978488,69203,4642741,364342,17657,0
2015-11-11,3,2015,24653.0,2786356,39689,-1792373,63050,80647.0,952584,1801445,108546,3162,247281,179069,137286,1659267,4143,,1655124,,23191,,340653,0,0,48099.0,208224,53130,1898519,3232,236063.0,0.0,2471076,147064,2935,2280272,12479,14543,1328395,226834,3206891,2015年09月30日,-1792373,17948.0,3800372,1810236,338048,8314429,7462208,,,777678.0,,2625790,3206891,-23993.0,86439.0,12210743.0,7252,48099.0,8410371.0,,151669,,,12210743.0,,22827,2434,26608,24652.0,287523,1990136,95942,4748535,388598,17130,0
2016-03-29,4,2015,24619.0,2341490,38175,-1975014,20311,33778.0,887804,1814371,135077,3136,97527,235446,181345,1119491,878,,1118613,,22889,,334152,9,9,52145.0,77216,58611,1683568,3232,,0.0,2411336,164962,2933,2456976,13386,4757,1275094,222284,3206891,2015年12月31日,-1975014,21827.0,3186208,1477841,338048,7729089,6777458,,,965301.0,,2173444,3206891,,,11008795.0,10265,52145.0,7822587.0,,151669,,,11008795.0,,6701,2497,20142,18464.0,275532,1708367,93498,4231337,359491,29482,0
2016-05-10,1,2016,24139.0,2007035,38175,-1956389,26873,40671.0,760222,1827571,93372,3004,98647,232058,167606,600978,2616,,598362,,72216,19758.0,311742,0,0,,70400,39805,1616189,3232,81951.0,0.0,2241017,131862,2858,2585574,9699,7661,1501294,221017,3206891,2016年03月31日,-1956389,14045.0,3220228,1497586,338048,7106167,6311388,52458.0,,934250.0,,1880516,3206891,1374.0,9602.0,10410680.0,6416,,7190452.0,,151669,151669.0,,10410680.0,,0,2774,20029,12069.0,271937,1722642,84285,4099292,335265,40313,0
2016-08-09,2,2016,24206.0,1750244,38168,-1919827,18813,33571.0,724223,1826031,149911,9505,47625,250805,166073,669470,1818,,667652,,18658,,302318,0,0,52050.0,29518,39186,1321632,3232,79705.0,0.0,1936144,59754,2867,2423310,15935,853,1548203,219523,3206891,2016年06月30日,-1919827,26084.0,3140936,1485472,338048,6986051,6327428,,,1284617.0,,2145028,3206891,-706.0,9867.0,10203747.0,5248,52050.0,7062811.0,,154015,154015.0,,10203747.0,,0,17494,17863,6052.0,263132,1655464,76760,3876319,321425,60526,0
2016-11-07,3,2016,47010.0,1363799,38850,-1885435,21601,36535.0,522451,1785023,141575,3162,-34935,344375,210471,649384,1683,,647701,,16551,,296229,0,0,52024.0,-56836,43259,1512264,3232,92769.0,0.0,1560444,29290,2849,1882284,12980,3099,1730360,217542,3206891,2016年09月30日,-1885435,21858.0,3088406,1437266,338048,6106951,5625825,,,1088807.0,,1818157,3206891,300.0,17636.0,9285478.0,4868,52024.0,6197072.0,,153977,,,9285478.0,,0,2538,12873,21546.0,252970,1651140,90121,3659653,200428,86894,0
