date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融負債－流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付票據,其他應收款淨額,其他應收款－其他,其他應收款－關係人淨額,其他應收票據,其他應收票據－關係人,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存入保證金,存出保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據,應付票據合計,應收帳款,應收帳款淨額,應收帳款－關係人淨額,應收票據,應收票據淨額,應收票據－關係人,應收票據－關係人淨額,應收租賃款,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付款－關係人,長期應付票據及款項－關係人合計,長期應收款,長期應收款－關係人,長期應收票據,長期應收票據及款項淨額,長期應收票據及款項－關係人淨額,長期應收租賃款,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付退休金－非流動,預收股款（權益項下）之約當發行股數
2013-05-02,1,2013,403905.0,19964,423869,608805,,210015,2305942,,845717,,,3776649,0,72008.0,3623428,,7057,537785,2449,478698,565663,141794,309498,145141,72623,164357,,64278,1470,166122,18485,43442,10266,113192,1266467,1266467.0,18359.0,,,,309619.0,1075894,25971,0.0,6026,78034,809657,817000,313681,441084,978869,63033,65482,7343,52542.0,222506,2278194,1132524,2013年03月31日,1826960,,6848155,5939544,300000,478982,6344295,9155809,,,118052,,190000.0,,1583800.0,70941.0,713529,1132524,,,37490,11398,,6851327.0,2040739,,13699482.0,124,527.0,95111,94262,26626,,,12728,4819.0,8928,29626,4819.0,7970,1987,908611,507032,4543673,,,0
2013-08-06,2,2013,406161.0,20471,426632,620308,,210015,2201022,,839350,,,3935852,189,82475.0,3690780,,4393,562529,2294,479703,623535,196903,381245,161235,71070,220010,,64122,1218,228035,19476,43462,10266,160355,1262392,1262392.0,18359.0,,0.0,,311488.0,933692,20678,49961.0,7257,89732,816820,829723,432554,459712,1022241,3340,5634,12903,52638.0,222092,2846295,1132524,2013年06月30日,1694462,,6676264,5835629,300000,506560,6859463,8853768,,,116363,,100000.0,,1124144.0,54963.0,1114000,1132524,,,36861,10729,,7354378.0,2040739,,14030642.0,0,662.0,87227,94416,21349,,,15386,4358.0,5378,43846,4358.0,23082,1831,840635,494915,5176874,,,0
2013-11-06,3,2013,721842.0,26399,748241,614016,,176004,2287224,,765340,,,3571981,760,83589.0,3559078,,5879,494273,3911,433894,918386,170145,428519,180483,69518,248036,,63808,965,227998,17779,43455,10166,162618,1344022,1344022.0,18359.0,,,,0.0,998456,17902,0.0,4089,87678,804296,818258,404710,360096,854369,6343,10254,13962,52677.0,190791,2843244,1132524,2013年09月30日,1780664,,6764060,5886713,300000,506560,6914026,8821972,,,114518,,120000.0,,1276736.0,36769.0,1249968,1132524,,,30949,10249,,7079879.0,2051430,,13843939.0,1177,147.0,75817,90056,15979,,,7295,3892.0,13171,43709,3892.0,23243,1545,877347,165853,5021967,,,0
2014-03-12,4,2013,315302.0,28894,344196,623415,,176004,2309333,,762956,,,3697134,704,95257.0,3828682,,8784,480468,7897,458342,492128,147932,443133,196242,25263,246891,9000.0,56580,713,305815,24074,43468,10166,237855,1283712,1283712.0,18359.0,,,,0.0,1040026,20924,49874.0,1154,96411,776764,789638,360305,399714,880182,2895,10792,12874,45701.0,190470,2739801,1132524,2013年12月31日,1802773,,7481888,6122743,300000,506560,6559457,9224268,,,70261,,110200.0,,1508840.0,56773.0,1070000,1132524,,,35483,12820,,6709935.0,2240903,,14191823.0,0,0.0,64757,98833,16321,,,6343,0.0,6927,34566,0.0,21296,1530,1359145,150478,4967555,,320.0,0
2014-05-06,1,2014,317184.0,27138,344322,600940,,196195,2388924,,737290,,,3585168,693,83627.0,3735521,,9086,524641,13542,458706,561705,217383,343131,133702,24970,209429,9000.0,55795,460,227934,21973,43479,10166,155404,1178225,1178225.0,18359.0,0.0,,0.0,0.0,831303,11861,79821.0,2565,86192,829489,843265,338845,361779,886420,3514,17056,13776,45169.0,190150,2763985,1132524,2014年03月31日,1882364,,7564851,6202698,300000,506560,6386504,9224535,,,69713,,270200.0,1602223.0,,81552.0,1100000,1132524,,,48209,5418,,6546269.0,2240903,,14111120.0,0,563.0,88192,100378,10360,,,5802,0.0,11481,40958,0.0,23675,1264,1362153,159765,4886585,,599.0,0
2014-08-07,2,2014,319099.0,21462,340561,574799,,195695,2237361,,998309,,,4081904,682,35013.0,3784069,,5389,520367,15433,645287,547520,206959,486149,79420,24677,406729,9000.0,46324,208,571367,17709,22933,10166,141856,1107115,1107115.0,18359.0,0.0,,0.0,0.0,878028,7568,79798.0,896,35909,796249,811051,353820,385828,906195,4588,20021,14802,35950.0,189829,2738401,1132524,2014年06月30日,1700807,,7591311,6238221,300000,536554,6793360,9109525,,,48612,,210200.0,1425516.0,,56038.0,1033000,1132524,,,72657,6743,,6940044.0,2241408,,14531355.0,256,0.0,85759,104818,7858,,,3731,0.0,12305,39336,0.0,23300,1002,1353090,146684,5421830,362653.0,813.0,0
2014-11-06,3,2014,0.0,17332,17332,545957,,196154,2306305,,848106,,,3485862,845,77609.0,3843750,,9535,480325,13435,530670,185493,168161,280353,116952,24384,163401,9000.0,36682,40,577444,22870,21656,666,140107,1248520,1248520.0,0.0,0.0,,0.0,,948584,13401,79862.0,4312,81921,781156,796694,381027,338334,818659,3895,17330,15538,35976.0,189508,2813925,1129524,2014年09月30日,1769751,,7657387,6266988,0,536554,6030316,8501920,,,46969,,0.0,1106052.0,,40003.0,1072000,1129524,,,122281,5558,,6167672.0,2300489,,13825059.0,64,0.0,74287,105076,20829,,,2598,0.0,11363,35019,0.0,21058,929,1390399,137356,5323139,369392.0,1056.0,0
2015-03-12,4,2014,0.0,14526,14526,420818,,339845,2361764,,724204,,,3476302,5970,7933.0,3576585,,16922,435456,11998,304822,272698,258172,592252,104010,24091,488242,9500.0,253734,222248,590320,29305,50983,769,505518,1228115,,0.0,0.0,,0.0,,1060787,20273,99913.0,8,7941,767280,783591,371613,368122,803578,95,12093,16311,30717.0,345288,2319124,1129524,2014年12月31日,1825210,,7853987,6177464,0,536554,6675326,9964443,,,76121,,605980.0,1973714.0,,56327.0,1564000,1129524,,,111006,5786,,7028755.0,2381354,,14882742.0,109,,76377,102579,17532,,,1658,,7941,26087,,16488,1047,1676523,353429,4918299,18000.0,1910.0,0
2015-05-07,1,2015,0.0,14266,14266,400193,,339468,2447981,,517550,,,3427492,162,0.0,3900997,,24916,413324,12128,114589,292925,278659,347999,156414,23798,191585,9500.0,249863,219604,557971,22027,50540,769,506353,1136299,,0.0,,,,285789.0,889728,9575,194863.0,7350,7350,775734,792424,377751,345330,758654,94,12222,16690,,344707,2338682,1129524,2015年03月31日,1911427,70098.0,7907736,6078916,0,536554,6040072,9898594,29490.0,2156.0,75276,638619.0,,,1908713.0,,1024000,1129524,,14574171.0,122797,5304,6666435.0,,2386822,14574171.0,,1082,0.0,58054,101730,27353,,,1039,,4684,17935,,12212,938,1828820,626363,4675577,0.0,,0
2015-08-06,2,2015,0.0,12800,12800,383102,0.0,334807,2264984,,413666,,,4166794,35,0.0,4005957,,24748,431529,9459,3403,268694,255894,592369,95154,23505,497215,9500.0,259060,218198,561575,18656,49398,848,506018,1069888,,0.0,0.0,,,287013.0,966949,8953,199860.0,5958,5958,749847,763934,396113,353732,785261,75,9534,14087,,347160,2390138,1129524,2015年06月30日,1699862,50233.0,7513205,5784733,0,565122,7098025,10644321,40014.0,13272.0,73602,674853.0,,,2321525.0,,1270000,1129524,,15258545.0,160521,4834,7745340.0,,2386822,15258545.0,,28,139.0,71913,110174,24495,,,432,,2993,14129,,10704,699,1728472,647315,4614224,0.0,,0
