date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產淨額,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-10,1,2013,13294,500619,1633415,,549250,,549250.0,97516,3450.0,-22395,-22395,41085,8468,612239,284,3128034,611955,64882,13752,11923,179640,56780,14485,2468948,,,,,1042573,22640,147899,5310,1829,2886079,,101226,,1201970,2013年03月31日,1528653,,,4717308,4717308,0,104762,6942708,7969173,3142519,,,1517824.0,46264.0,50096.0,4920363,1201970,,171422,,7207461.0,1904318,,11924769.0,1212.0,,9122.0,41870,132818,209131,1829,57978,,264753,3955596,222673,466,222207,14013,0,14013.0
2013-08-12,2,2013,113019,507521,1452741,,857696,9871.0,857696.0,135052,,-10841,-10841,135078,6657,716215,2166,3263664,714049,65804,10833,6816,175858,52698,14589,2896868,,,,327435.0,563168,18725,106807,1797,4017,2182327,,29994,,1316270,2013年06月30日,1297591,,,5198538,5198538,0,155150,6381636,7985105,3278253,,,1778950.0,63483.0,38846.0,4620751,1316270,,4255,,6917676.0,2440368,,12116214.0,1802.0,49960.0,13673.0,42805,169477,105007,4017,57356,,536040,4131109,193180,1887,191293,13605,0,13605.0
2013-11-12,3,2013,112856,510059,1640507,,882795,9708.0,882795.0,106549,,-99947,-99947,258610,6648,450774,1167,3346268,449607,65126,4454,612,231402,110079,14342,2698022,,,,330859.0,682920,20175,134145,2670,3842,2493005,,76616,,1316270,2013年09月30日,1485357,,,5297198,5297198,0,155150,6724737,8278890,3360610,,,2164318.0,52189.0,43611.0,4681138,1316270,,2942,,7253380.0,2440368,,12550578.0,115.0,49720.0,0.0,41944,169617,101666,3842,56197,,528643,4271688,245995,1863,244132,136436,0,136436.0
2014-03-26,4,2013,111067,522226,1926223,0.0,695523,208.0,,115000,,-48474,-48474,351836,6910,660128,668,3615284,659460,66761,7424,1448,185970,62085,14577,2356386,0.0,,,334069.0,784825,23404,137959,2180,5976,3352501,,113799,,1316320,2013年12月31日,1771073,,,5635349,5635349,0,155150,6633120,8209355,3629861,,,1177689.0,79565.0,41533.0,4557623,1316320,,2177,,7154105.0,2441280,,12789454.0,0.0,86175.0,58.0,43317,242042,50000,5976,57124,0.0,520985,4580099,392261,1900,390361,231679,0,231679.0
2014-05-13,1,2014,108090,527831,2001531,0.0,826918,211.0,,108996,0.0,-37087,-37087,318675,7038,447702,447,3866738,447255,68176,7145,1739,181333,56252,14790,2940053,0.0,,0.0,324613.0,1169377,18933,217416,2191,5406,3163065,,155633,,1318891,2014年03月31日,1846381,,,5746058,5746058,0,155150,7567279,8984543,3881528,,1809129.0,,94140.0,37494.0,4919323,1318891,,2286,,8069690.0,2462723,,13815748.0,0.0,70250.0,141.0,50403,240513,50000,5406,56905,0.0,502411,4831205,322330,1958,320372,201356,0,201356.0
2014-08-14,2,2014,432153,546813,2012803,0.0,935644,0.0,,129388,0.0,-131562,-131562,556923,8831,591187,1840,3987715,589347,67336,9365,2987,188155,65464,0,3206578,0.0,79139.0,0.0,0.0,1175178,30266,491260,3530,6378,2784486,,77911,,1318991,2014年06月30日,1823245,,,5752615,5752615,0,189558,8009054,8800778,3987715,,1668993.0,,186988.0,75536.0,4563381,1398130,,2305,,8072790.0,2473244,,13825405.0,67109.0,0.0,58.0,54371,301944,0,6378,55355,0.0,63736,5024627,266641,1913,264728,112409,0,112409.0
2014-11-14,3,2014,379208,562984,2020220,0.0,1032133,0.0,,132487,0.0,-90955,-90955,502109,7521,1740193,2513,4158525,1737680,69161,9307,3450,187809,62644,0,3280203,0.0,79761.0,0.0,0.0,1186151,21838,541256,2758,5857,2883727,,71237,,1329358,2014年09月30日,1830662,,,5875915,5875915,0,189558,9478716,10152966,4158525,,1659343.0,,89923.0,83706.0,6056006,1409119,,2113,,9550209.0,2537531,,15426124.0,47187.0,0.0,49526.0,62186,363840,0,5857,56004,0.0,71493,5273158,252544,1949,250595,112622,0,112622.0
2015-03-25,4,2014,331635,617795,2191600,0.0,997488,0.0,,169552,,105294,105294,400959,5695,1443078,1120,4510605,1441958,72515,8100,1260,243418,112738,0,2941651,0.0,,0.0,0.0,1085169,34737,453090,3017,6840,3877378,162.0,136560,,1409120,2014年12月31日,2002042,,,6252051,6252051,0,189558,8405369,12149402,4510605,,3316934.0,,105336.0,82642.0,5271738,1409120,,2868,,11638231.0,2546037,,17890282.0,53984.0,0.0,0.0,76302,369062,3148460,6840,58165,0.0,3232862,5740880,181445,2031,179414,60612,0,60612.0
2015-05-12,1,2015,3431813,577336,1771949,0.0,1004929,65840.0,,160145,,-180370,-180370,3523096,4797,1385617,1143,4532380,1384474,71743,45747,41048,348199,220004,35955,3178981,0.0,,0.0,0.0,1142044,25980,578927,4303,4699,3497558,0.0,181982,,1519120,2015年03月31日,1582391,69503.0,65853.0,6113855,6113855,0,189558,11177356,11612539,4568335,,,2817351.0,,,4740711,1519120,17417409.0,2335,11303554.0,,3003156,17417409.0,,23991.0,0.0,48.0,80451,311000,0,4699,56452,0.0,126198,5804870,325004,1999,323005,82183,0,82183.0
2015-08-12,2,2015,3071632,571420,1799841,0.0,1273860,67472.0,,172516,17730.0,-220745,-220745,3168096,4774,1371865,1797,4751781,1370068,71564,55550,51010,349191,221914,43513,3218228,0.0,0.0,0.0,21095.0,1094757,21598,383389,3724,4540,3102828,0.0,105897,,1519120,2015年06月30日,1567793,109996.0,46309.0,6116841,6116841,0,232048,10946891,11131099,4795294,,,2852517.0,,,4825331,1519120,17237998.0,2392,11121157.0,,3018625,17237998.0,,0.0,1208.0,0.0,96413,390994,0,4540,55713,0.0,174266,6106899,243209,1983,241226,87966,0,87966.0
