date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,債券換股權利證書,其他應付款合計,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－其他－非流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待分配股票股利,待註銷股本,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別股股本,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股本,預收股款（權益項下）之約當發行股數
2013-05-03,1,2013,77390.0,77390,1183307,2660,398794,566,,91908,,247,,79852,2462,2486,500.0,500,6513,3356,0.0,2856,232820,232820.0,0.0,,,,25890,33045,198112,10951,6513.0,,640200,2013年03月31日,,1082100,1082100,0,286440,566840,,7585,,,,39282.0,48245.0,,7500,640200,,,701336.0,42859,,1783436.0,95,19688,408288,0.0,414896,1216596,82623.0,,,0
2013-08-07,2,2013,74313.0,74313,1172729,2660,362697,433,,118374,,160,,77477,3164,283,500.0,500,6386,4063,0.0,3563,259224,259224.0,0.0,53777.0,,,18194,32183,149277,13576,6386.0,,640200,2013年06月30日,,1099693,1099693,0,279155,600994,,8308,,,,70621.0,32927.0,2.0,0,693977,,,708115.0,42859,,1807808.0,160,19054,422414,0.0,428960,1206814,107578.0,,,0
2013-11-13,3,2013,83005.0,83005,1231161,1160,401273,457,,103256,,73,,86431,3426,543,500.0,500,6275,53653,0.0,3569,253125,253125.0,0.0,53777.0,,,18682,26111,203308,14894,6275.0,10056.0,640200,2013年09月30日,,1138182,1138182,0,286832,553228,,8145,,,,62783.0,24852.0,2003.0,27500,693977,,,738164.0,42859,,1876346.0,0,18943,445057,0.0,451332,1323118,16115.0,49584.0,,0
2014-03-21,4,2013,,82885,1266219,1160,464366,481,,79887,,157,,84647,1762,12847,500.0,500,7568,10587,,2349,227682,227682.0,,,,,23120,12824,215658,15956,7568.0,10367.0,693978,2013年12月31日,,1201360,1201360,0,251330,540938,,7664,,,,68314.0,30852.0,,20000,693978,,,654042.0,42859,,1855402.0,294,18467,394850,,402712,1314464,,7738.0,,0
2014-05-08,1,2014,,82974,1276787,1160,515922,457,,79538,,303,,84959,1985,15831,500,500,7460,10777,,3620,197069,197069,,,,0,22529,16457,228008,23729,7460,9975,693978,2014年03月31日,,1253062,1253062,0,255793,551017,,7186,,,85923,,39810,,12500,693978,,,623072,42859,,1876134,218,19232,359601,,367279,1325117,,6657,,0
2014-07-30,2,2014,,82959,1249058,1160,438131,447,,109773,,139,139.0,85219,2260,18927,,500,7374,94588,,3929,203721,203721.0,,72174.0,,0.0,31117,18543,158874,34838,7374.0,9426.0,693978,2014年06月30日,,1247281,1247281,0,283648,494300,,7523,,,77493.0,,33996.0,,5000,766152,,,630467.0,42859,,1877748.0,33,21693,339412,,346819,1383448,,90159.0,,0
2014-11-05,3,2014,,104260,1238550,1160,516182,463,,67639,,296,,107714,3454,17913,,500,7288,86772,,3915,184495,,,0.0,,0.0,25923,15128,251035,19568,7288.0,8881.0,766152,2014年09月30日,,1325489,1325489,0,250014,647479,,7004,,,174005.0,,33610.0,,0,766152,,,688786.0,42859,,2014275.0,395,24429,431089,,438772,1366796,,82357.0,,0
2015-03-20,4,2014,,104246,1226088,1160,630895,469,,90194,,616,,106503,2257,19623,,500,7152,125515,,2273,195270,,,0.0,,0.0,39285,51654,260947,21534,7152.0,7835.0,766152,2014年12月31日,,1440522,1440522,0,364148,826891,,6481,,,329048.0,,49012.0,,27500,766152,,,778380.0,42859,,2218902.0,1596,24932,405484,,414232,1392011,,122742.0,,0
2015-05-06,1,2015,,104234,1244245,1160,768774,463,,118956,,521,,107620,3386,26544,,500,7024,208927,10037.0,3930,201476,,,0.0,,0.0,35902,56534,330484,23930,,7123.0,766152,2015年03月31日,73639.0,1578306,1578306,0,412651,885417,7024.0,5965,,,,302520.0,,,20000,766152,2378842.0,800536.0,,42859,2378842.0,,1006,26005,379855,,387885,1493425,,194460.0,,0
2015-08-05,2,2015,,111468,1229496,1160,719191,439,,199067,,385,,115095,3627,56593,,500,6895,388961,76950.0,7820,226119,,,145569.0,,,42783,63979,322283,22363,,6608.0,766152,2015年06月30日,62351.0,1674156,1674156,0,495775,966621,6895.0,5475,,,,338824.0,,,12500,911721,2623635.0,949479.0,,42859,2623635.0,,389,25314,446420,,453704,1657014,,303691.0,,0
