date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-06,1,2013,429552.0,5838854,31750.0,31750.0,1969399,30809,,907301,338078,-38900,487339,57787.0,40861,84401,11779.0,318104,158695.0,1772306,,,,,,1599056,5811,129947,2458023,,2536775,41174,1194088,36911,72622.0,133989,4415161,2013年03月31日,1277152,,8241559,7035411,0,128894,7872285,11811145,,8688,,1442410.0,563353,,3218742.0,234735.0,1984157,4415161,,65916,,9940383.0,689751,,18181942.0,,284599,492197,39412,1491500,159409.0,1206148,2068098,6370797,874392,,0
2013-08-09,2,2013,0.0,5838236,31750.0,31750.0,1456191,29035,,1591141,368644,94290,61665,61665.0,47276,84138,12010.0,367062,205430.0,1754239,,132455.0,,,,1610578,2878,429458,2704151,185.0,3081087,47823,1282763,102060,72128.0,134504,4415161,2013年06月30日,666273,,8315203,6787848,0,226565,9972795,14005545,,11807,,2364463.0,563353,,4265097.0,233464.0,3153452,4547616,,185823,,12117469.0,689751,,20432672.0,,31645,560536,43768,1500000,161632.0,1527355,2144674,6427127,631413,,0
2013-11-11,3,2013,0.0,5639513,31750.0,31750.0,1669054,30998,,920117,175706,55626,58191,58191.0,50424,92214,19669.0,388036,234017.0,1836046,,,,,,1469830,303,859005,1959342,0.0,2509013,15684,1558027,110707,72545.0,132310,4547616,2013年09月30日,879136,,8605790,6962130,0,226565,8925118,13432522,,13210,,2536363.0,563353,,3683876.0,191792.0,3256124,4547616,,210414,,11082688.0,689834,,19688478.0,,31812,586856,51137,1478500,154019.0,1643660,2157570,6255956,893866,,0
2014-03-21,4,2013,298050.0,5661289,31750.0,31750.0,1897797,32252,,736711,223934,156519,367198,69148.0,50402,109008,18601.0,351014,195508.0,1963464,,,,,,1973796,53540,429508,1312975,0.0,2298011,4938,1626200,39223,90407.0,178253,4547616,2013年12月31日,1132057,,8983778,7292307,0,226565,8936160,13509398,,13847,,2888585.0,539175,,3328483.0,268542.0,3489332,4547616,,304558,,10830159.0,690375,,19813937.0,,38886,592791,68386,1192200,155506.0,1691471,1893999,6304539,1015020,,0
2014-05-12,1,2014,304700.0,5741174,31750.0,31750.0,2163884,30640,,730588,311217,218670,483884,179184.0,55595,128821,38471.0,358142,201608.0,2014159,,,0.0,,,1807365,83736,464678,1361050,,3238413,35439,1257077,28436,90350.0,181417,4547616,2014年03月31日,1398144,,9380692,7620545,0,226565,9754491,14726628,,16743,,2416988.0,539175,4361960.0,,320173.0,4086200,4547616,,414157,,11746557.0,690375,,21127249.0,2660.0,31354,644445,71395,1218800,156534.0,1760147,1992066,6400621,945350,,0
2014-08-11,2,2014,298650.0,5818105,31750.0,31750.0,1647284,29983,,1534238,90266,94129,395513,96863.0,65250,135138,44088.0,382811,230352.0,1933982,,136428.0,0.0,,,1697156,110696,279886,911399,0.0,3647002,26780,1325149,75852,91050.0,178151,4547616,2014年06月30日,789909,,8884211,7115832,0,318200,9446460,13809237,,14913,,1648538.0,539175,4135383.0,,299912.0,3730299,4684044,,487361,,11435640.0,690375,,20319851.0,,98795,659442,84884,1194600,152459.0,1768379,1989180,6510614,732257,,0
2014-11-12,3,2014,304200.0,5813958,46750.0,46750.0,1967553,31679,,866012,110648,214579,366964,62764.0,57996,138645,46887.0,481344,251070.0,1782762,,,0.0,,,1345405,89904,949247,895232,0.0,3048450,4455,2432163,84668,91758.0,181707,4684044,2014年09月30日,1110178,,9628322,7556551,0,318200,8782764,13854930,,13912,,1590026.0,539175,3848240.0,,297890.0,3434075,4684044,,537935,,10852610.0,690375,,20480932.0,100.0,119603,714401,88331,1216800,230274.0,2071771,2069846,6626002,744240,,0
2015-03-23,4,2014,316500.0,6112524,46750.0,46750.0,2149478,32044,,975909,141231,529968,379033,62533.0,51480,151792,48952.0,518226,278746.0,2116503,,,0.0,,,1422408,92310,899384,834709,21330.0,3049608,12713,2817519,29544,102840.0,190169,4684044,2014年12月31日,1292103,,10309146,8056552,0,318200,9172850,14373819,,14378,,748252.0,539175,4598024.0,,402161.0,3609121,4684044,,533536,,11079461.0,693062,,21388607.0,2949.0,197632,805319,132741,949500,239480.0,2252594,1906611,7014788,579269,,0
2015-05-08,1,2015,,5866698,,46750.0,2387999,31679,,831697,154215,409062,384591,,58562,150704,,652318,,2478399,,,,,,1528028,187426,899360,1034529,45398.0,3783002,39749,1634019,44446,,188684,4684044,2015年03月31日,1530624,413678.0,10437819,8174167,0,318200,9649163,15081920,,12489,615196.0,,539175,,5406550.0,,3756960,4684044,21994731.0,567496,11556912.0,,693062,21994731.0,,0.0,197510,818045,145872,939000,,2263652,1907749,6912811,638593,,0
2015-07-30,2,2015,308600.0,5776715,,,1739295,55273,46750.0,2038600,107032,331027,418902,110302.0,53180,150824,47339.0,612466,433724.0,1793366,,0.0,0.0,,,1327518,104389,949594,1056323,62891.0,4028211,33983,1999842,99407,,188989,4684044,2015年06月30日,774015,447539.0,9485770,7447428,0,426105,10944819,15459584,103485.0,12720,1600175.0,,539175,,4222599.0,,3983359,4684044,22338752.0,555704,12852982.0,,693062,22338752.0,,0.0,857843,831539,241528,925800,178742.0,2038342,1908163,6879168,608673,,0
2015-11-09,3,2015,328700.0,6015588,61750.0,61750.0,1975287,120102,,974631,102908,450671,390336,61636.0,54941,144868,40644.0,789752,509304.0,1747752,,,0.0,,957923.0,1162572,59846,449471,1012613,62323.0,2965707,512,2663137,92820,,183410,4684044,2015年09月30日,1010007,414455.0,9922143,7844110,0,426105,8743914,14239399,104224.0,14225,1196322.0,,539175,,3612577.0,,3651161,4684044,21540379.0,566506,11618236.0,,734108,21540379.0,,0.0,846440,785431,236255,986100,280448.0,2078033,2874322,7300980,836181,,0
2016-03-18,4,2015,1021306.0,5951915,61750.0,61750.0,2065449,131311,,973911,66758,262312,1101419,80113.0,43879,164838,39812.0,951968,759505.0,1770762,,,0.0,,961688.0,1312747,90116,614543,835129,36488.0,3483744,7940,1520622,24422,,175909,4684044,2015年12月31日,1100169,511891.0,9946527,7755604,0,426105,9323938,13974123,125026.0,15016,994022.0,,539175,,4242008.0,,3272373,4684044,21382496.0,575321,11435969.0,,743799,21382496.0,,0.0,781479,693811,251815,291694,192463.0,2190923,2112031,7408373,907176,,0
2016-05-09,1,2016,,6069502,,61750.0,2367782,104980,,935436,108303,180607,1051101,,47150,160170,,783529,,1811633,,,,965429.0,965429.0,1567086,131652,434622,1002684,25208.0,3353887,19230,1345758,27497,,175317,4684044,2016年03月31日,1402502,649853.0,10178416,7976232,0,426105,9453702,14246502,,13726,1216986.0,,539175,,4737621.0,,3066395,4684044,21631338.0,589665,11452922.0,,743799,21631338.0,,0.0,678635,587532,281012,286089,,2202184,1999220,7384836,794822,,0
2016-08-02,2,2016,968250.0,5994509,,,2051193,273091,61750.0,1813999,176919,-69630,1050627,82377.0,43727,160483,33554.0,662255,478887.0,1765102,,0.0,0.0,969171.0,969171.0,1625135,127509,709375,981286,34073.0,3438056,11277,2252632,53726,,172526,4684044,2016年06月30日,998970,601657.0,9033556,7409406,0,513048,10069208,13869847,126929.0,14010,885305.0,,539175,,3098466.0,,2531950,4684044,21088180.0,593597,12054624.0,,743799,21088180.0,,,1036475,604734,313283,251028,183368.0,1624150,1985416,7218333,835071,,0
2016-11-04,3,2016,940800.0,5746701,,,2326958,266281,61750.0,989243,63597,-324052,982362,41562.0,51394,177056,49164.0,677927,502128.0,2066124,13976.0,,0.0,563336.0,563336.0,1502941,107158,714590,1391637,28263.0,3358342,2258,2522496,40034,,168936,4684044,2016年09月30日,1274735,481934.0,9411776,7825845,456000,513048,9700682,13809155,127892.0,16361,1224119.0,,539175,,2407790.0,,2848880,4838821,20788381.0,653674,11376605.0,,998094,20788381.0,,,1009977,491620,307551,443911,175799.0,1585931,1675923,6979226,796743,154777.0,15477722
