date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,保留盈餘合計,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付短期票券合計,應付票據合計,應付設備款,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,826342.0,,826342,2595432,107132,118976,106688,3046,-2153,827000,658,52121,,,1511,255034,37654,,4075,300600,0.0,,0.0,120008,59953.0,0.0,12288,290740,2712,1511.0,439468,2013年03月31日,,,1021548,1021548,0,1731984,943224,,45139,,252788.0,9414.0,,593333,439468,,,,2833495.0,477101,,3855043.0,3300.0,0.0,16214,1100000,0,1101511,2911819,41217,213305,0
2013-08-13,2,2013,585183.0,,585183,2591385,103917,207006,177807,20926,-657,587601,2418,58922,,,1511,287893,36743,,3190,360745,0.0,,243079.0,213357,59908.0,,29199,314185,2685,1511.0,439468,2013年06月30日,,,1024724,1024724,0,1691110,1126385,,40561,,305320.0,10552.0,,607592,439468,,2514.0,,3035700.0,481996,,4060424.0,2580.0,,14200,1100000,0,1344590,2934039,63602,247960,0
2013-11-08,3,2013,587627.0,,587627,2909221,135138,323962,148406,21227,-1725,591334,3707,69479,,,1545,196450,60632,,3244,376776,0.0,,243510.0,183320,59965.0,,175556,299688,3106,1545.0,439468,2013年09月30日,,,1059081,1059081,0,1927183,1175029,,37867,,312764.0,2350.0,,763138,439468,,2514.0,,3272238.0,486200,,4331319.0,600.0,,12752,1100000,0,1345055,3156290,91989,132574,0
2014-03-20,4,2013,590081.0,,590081,2887695,141498,181783,161134,40861,686,594571,4490,7983,,,1361,157213,58085,,2844,310735,0.0,,243944.0,73821,59945.0,45.0,20649,290942,4175,1361.0,439468,2013年12月31日,,,1070677,1070677,0,1307766,1431638,,40606,,662267.0,2580.0,1182.0,390827,439468,,1914.0,,3453567.0,489025,,4524244.0,2280.0,496.0,7092,1900000,0,2145801,3092606,113493,96284,0
2014-05-12,1,2014,509840.0,,509840,2871851,144169,117770,110267,16400,233,515304,5464,6544,,,1266,268412,174965,,2902,304635,0.0,0.0,0.0,105888,0.0,85.0,7503,259126,3463,1266.0,439468,2014年03月31日,,,1075807,1075807,0,1356682,1148962,,37675,540917.0,,2772.0,1182.0,612949,439468,,1914.0,,3258444.0,491937,,4334251.0,0.0,496.0,7351,1900000,0,1901762,3185289,16695,90545,0
2014-08-05,2,2014,511387.0,,511387,2839592,68168,203251,198682,20224,-2411,516403,5016,4739,,,1137,266653,170143,,2122,329294,0.0,0.0,0.0,129624,0.0,100.0,4569,264209,3988,1137.0,439468,2014年06月30日,,,1000074,1000074,0,1497418,1250234,,34603,612300.0,,5167.0,1005.0,640959,439468,,1914.0,,3399051.0,494849,,4399125.0,0.0,496.0,8043,1900000,0,1901633,3148891,14475,94388,0
2014-11-13,3,2014,512942.0,95000.0,607942,2812098,78893,132232,129569,20744,238,612600,4658,7676,,,1051,261332,161750,10.0,1724,324876,0.0,0.0,0.0,147972,0.0,83.0,2663,271643,4303,1041.0,439468,2014年09月30日,,,1015664,1015664,0,1579483,1287943,,31840,646740.0,,5681.0,0.0,674262,439468,,6653.0,,3386030.0,497065,,4401694.0,0.0,496.0,8481,1805000,0,1806547,3113751,11961,97858,0
2015-03-27,4,2014,514503.0,190000.0,704503,2840582,117151,223330,164977,6532,5961,719532,15029,9907,,,1387,241922,143157,10.0,1777,327184,0.0,0.0,0.0,170143,0.0,66.0,58353,312879,4761,1377.0,514468,2014年12月31日,,,1347172,1347172,0,1606814,1541883,,32172,865506.0,,11561.0,1005.0,469373,514468,,12809.0,,3319932.0,709592,,4667104.0,0.0,1731.0,10545,1710000,0,1713118,3125221,14109,96988,0
2015-05-12,1,2015,0.0,190000.0,190000,2815659,137381,139716,131109,557,4915,200048,10048,13045,,,1442,245147,142565,161.0,4726,341134,0.0,0.0,,158556,,275.0,8607,241086,4472,,514468,2015年03月31日,10957.0,1005.0,1367214,1367214,0,944616,923519,1281.0,30680,,307919.0,,,422255,514468,4024514.0,12809.0,2657300.0,,710450,4024514.0,,,1242.0,9509,1710000,0,1712684,3100995,14301,97856,0
2015-08-06,2,2015,0.0,190000.0,190000,2871426,101423,231993,195174,4762,3255,200109,10109,15053,,,1394,205026,143366,209.0,4707,364016,0.0,0.0,,155838,,17.0,36819,253180,4218,,514468,2015年06月30日,3912.0,1005.0,1330455,1330455,0,1156112,990105,1185.0,28167,,325065.0,,,551434,514468,4104069.0,12809.0,2773614.0,,711309,4104069.0,,,1108.0,9345,1615000,0,1617502,3113964,22806,56953,0
2015-11-10,3,2015,0.0,120333.0,120333,2872108,131560,169641,167466,4418,11343,142930,22597,38610,17896.0,20714.0,1306,173879,138487,217.0,4524,363070,,0.0,,140192,,0.0,2175,294708,6389,,514468,2015年09月30日,2207.0,1005.0,1369252,1369252,0,1068014,1044979,1089.0,25711,,320301.0,,,600235,514468,4126107.0,12809.0,2756855.0,,711881,4126107.0,,,2868.0,9430,1684667,0,1688841,3081128,16478,30868,0
2016-02-26,4,2015,0.0,96738.0,96738,2842724,167421,176789,174990,8217,8110,107119,10381,30608,10650.0,19958.0,1316,149069,117009,160.0,4479,347486,0.0,0.0,,129232,0.0,0.0,1799,320935,5745,,634468,2015年12月31日,7072.0,0.0,2541880,2541880,0,691866,1541770,1156.0,25779,,816275.0,,,271654,634468,4567244.0,0.0,2025364.0,,1731881,4567244.0,,0.0,2037.0,7902,1330145,0,1333498,3025474,12504,27581,0
2016-05-06,1,2016,,65881.0,65881,2811816,180013,136629,133201,2730,7857,105320,39439,498046,11380.0,486666.0,1068,151416,120223,10.0,1287,326109,,0.0,,97191,,0.0,3428,258067,4841,,634468,2016年03月31日,6230.0,381.0,2554219,2554219,0,934984,1384962,1058.0,23728,,285893.0,,,589614,634468,4379660.0,0.0,1825441.0,,1731881,4379660.0,,,0.0,7738,889389,0,890457,2994698,8895,29906,0
