date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,保證合約之長期負債準備,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存出保證金,存貨合計,存貨－製造業淨額,待註銷股本股數,應付帳款合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-04-25,1,2013,419067,325800,801387,,,,653115,,238912,2250,48031,66982,66982,485617,89096,65281,2601,2250,62680,993747,993747,,614059,,824056,63345,396521.0,81924,72119.0,2075544,2013年03月31日,583829,,2943442,2943442,0,170627,1420917,3431815,,185461,46931.0,,1244773.0,103663.0,0.0,2075544,,,,1906534.0,64261,13,763.0,63485,,4849976.0,2049,0.0,268509,0,485617,1418161,0
2013-08-01,2,2013,435719,320783,563140,31271.0,,,1071073,718231.0,121162,13276,49653,78373,78373,468841,71055,65429,2659,13276,62770,989018,989018,,690606,352842.0,934792,90470,397786.0,82357,74897.0,2075544,2013年06月30日,253255,,2715708,2715708,0,233397,1901220,3699095,,204953,76488.0,,1485280.0,86842.0,,2075544,,31271.0,,2401332.0,63748,13,250.0,63485,,5117040.0,3046,0.0,233807,0,500112,1417945,0
2013-10-23,3,2013,440008,320493,617769,38760.0,,,653212,653212.0,100974,8342,42747,92123,92123,469760,70639,65567,2497,8342,63070,914308,914308,,642551,,807480,58417,399121.0,80344,78824.0,2075544,2013年09月30日,307884,,2765403,2765403,0,233397,1445785,3377859,,194560,76488.0,,1400100.0,107275.0,0.0,2075544,,38760.0,,1954305.0,63748,13,250.0,63485,,4719708.0,0,4457.0,162053,0,508520,1341849,0
2014-01-23,4,2013,452907,320493,643078,45415.0,,,703696,703696.0,112246,24186,36539,62234,62234,463752,64446,65798,2474,24186,63324,862709,862709,,552240,,746156,57224,399306.0,80401,82481.0,2075544,2013年12月31日,333193,,2806719,2806719,0,233397,1579636,3559999,,185164,76488.0,,1719430.0,107627.0,178830.0,2075544,,45415.0,,2088803.0,63911,13,413.0,63485,,4895522.0,704,0.0,148279,0,509167,1335523,0
2014-04-22,1,2014,461438,320493,687319,51650.0,,,787525,787525.0,59251,41766,46092,90148,90148,514605,114969,65247,2235,41766,63012,848241,848241,0.0,637019,,711482,64846,399636.0,80184,87185.0,2075544,2014年03月31日,377434,,2869156,2869156,0,233397,1589953,3571240,,293285,76488.0,1797272.0,,118317.0,0.0,2075544,,51650.0,,2156208.0,64527,13,1029.0,63485,,5025364.0,1000,,146292,0,566255,1454124,0
2014-07-31,2,2014,449779,320493,618733,59685.0,,,968671,719606.0,51164,26744,40274,69272,69272,516647,114037,65694,2013,26744,63681,837409,837409,0.0,645650,249065.0,836511,77338,402610.0,77334,84239.0,2075544,2014年06月30日,359414,,2784791,2784791,0,259319,1739918,3633260,,327112,0.0,1757872.0,,85323.0,0.0,2075544,,59685.0,,2316250.0,63770,13,272.0,63485,,5101041.0,0,3694.0,143130,0,576332,1467781,0
2014-10-23,3,2014,435874,320493,706637,66988.0,,,726692,726692.0,56015,21919,43719,84191,84191,516775,111100,115182,46940,21919,68242,816554,816554,0.0,609909,,756153,67029,405675.0,77340,88121.0,2075544,2014年09月30日,447318,,2867904,2867904,0,259319,1448471,3391682,,330740,0.0,1611740.0,,63926.0,0.0,2075544,,66988.0,,2032234.0,63804,13,306.0,63485,,4900138.0,4225,0.0,140706,0,583763,1508456,0
2015-01-30,4,2014,447140,388564,730969,72698.0,,,726631,726631.0,47664,44058,38227,86613,86613,525523,110759,114287,46075,44058,68212,793929,793929,0.0,540044,,685314,48331,414764.0,78506,0.0,2075544,2014年12月31日,471650,,2914069,2914069,0,259319,1381737,3414969,,309790,0.0,1753118.0,,71194.0,0.0,2075544,,72698.0,,1979958.0,63498,13,0.0,63485,,4894027.0,5641,,140771,0,598221,1479058,0
2015-04-28,1,2015,434240,388564,826735,78874.0,,,690352,690352.0,49265,25665,37636,102525,102525,516067,99342,113413,45386,25665,68027,896017,896017,0.0,630595,,685252,45888,,76467,0.0,2075544,2015年03月31日,567416,89733.0,2991442,2991442,0,259319,1448316,3588022,416725.0,294518,0.0,,1807815.0,,,2075544,5034699.0,78874.0,2043257.0,,63498,13,0.0,63485,5034699.0,,0,1260.0,139475,0,594941,1446677,0
2015-07-30,2,2015,436332,384064,738069,86351.0,,,982771,733706.0,44763,27300,44241,75110,75110,519696,101091,112612,44597,27300,68015,963112,963112,0.0,745080,249065.0,817329,60950,,74111,0.0,2075544,2015年06月30日,444441,113076.0,2904411,2904411,0,293628,1885339,3971586,418605.0,279773,,,2010322.0,,,2075544,5395797.0,86351.0,2491386.0,,63498,13,0.0,63485,5395797.0,,171,0.0,137319,0,606047,1424211,0
2015-10-26,3,2015,446944,384064,886355,94745.0,,,782069,782069.0,246022,72325,45721,98308,98308,520126,99533,113659,44347,72325,69312,1001671,1001671,0.0,752537,,833123,53445,,75803,0.0,2075544,2015年09月30日,592727,47427.0,3097722,3097722,0,293628,1627754,3926991,420593.0,261303,,,1694207.0,,,2075544,5340347.0,94745.0,2242625.0,,63498,13,0.0,63485,5340347.0,,0,215.0,131583,0,614871,1413356,0
2016-01-28,4,2015,463594,378564,921282,101891.0,,,816083,816083.0,240227,61477,43014,91128,91128,487773,109040,113248,43878,61477,69370,1037432,1037432,0.0,666073,,643816,56392,,71866,,2075544,2015年12月31日,627654,53834.0,3121801,3121801,0,293628,1580383,3894667,378733.0,242622,,,1825672.0,,,2075544,5291848.0,101891.0,2170047.0,,63498,13,,63485,5291848.0,,1379,,127287,0,589664,1397181,0
2016-04-22,1,2016,461575,378564,1000133,101891.0,,,720165,720165.0,257776,55597,111795,97420,97420,470079,107165,112319,43164,55597,69155,1119989,1119989,0.0,757879,,531260,45610,,70255,,2075544,2016年03月31日,706505,82036.0,3194772,3194772,0,293628,1671875,4066961,362914.0,224018,,,2014464.0,,,2075544,5438617.0,101891.0,2243845.0,,63498,13,,63485,5438617.0,,0,442.0,124925,0,571970,1371656,0
2016-07-27,2,2016,451764,305493,886576,101891.0,81778.0,145343.0,1206355,832757.0,235700,125583,111951,73010,73010,453445,107266,112264,42450,43805,69814,1193806,1193806,0.0,852297,373598.0,641597,63837,,67214,,2075544,2016年06月30日,546046,42822.0,3151201,3151201,0,340530,2213425,4442127,346179.0,287061,,,2233492.0,,,2075544,5919962.0,101891.0,2768761.0,,63498,13,,63485,5919962.0,,0,685.0,108696,0,555336,1477835,0
2016-10-21,3,2016,458449,305493,1030499,101891.0,97254.0,160819.0,826797,826797.0,236882,117555,155971,83804,83804,432826,102698,112311,42016,20301,70295,1146601,1146601,0.0,776236,,793038,53564,,63897,,2075544,2016年09月30日,689969,16563.0,3287096,3287096,0,340530,1775567,4118898,330128.0,270435,,,1804653.0,,,2075544,5597380.0,101891.0,2310284.0,,63498,13,,63485,5597380.0,,0,356.0,107078,0,534717,1478482,0
