date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,存貨合計,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收所得稅退稅款,應收票據淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,電腦軟體,電腦軟體淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,210830.0,210830.0,1396429,22852,896668,468231,321.0,17797,70278,139965,477338,266508.0,7683,69233,72842,1964701,0.0,,,2318140,20284,19965.0,0.0,2679690,615,,135453,47926,1641909,2013年03月31日,724855,,,3312042,3291834,0,171813,4204554,6560053,16754,,,,1525719.0,134165.0,766110,1641909,,,4813665.0,613292,,8125707.0,0.0,0.0,132545,8851,407333,16754.0,16754.0,20208,609111,1565654,158117,0
2013-08-05,2,2013,256111.0,256111.0,1403857,22526,662333,745439,321.0,19690,70193,174256,529206,273095.0,9221,69099,72611,1744112,,82096.0,,2643723,15463,19985.0,,2966590,483,,381647,51412,1641909,2013年06月30日,447356,,,3194160,3173886,0,214977,4644266,6796339,17936,,9815.0,,1427920.0,111563.0,578566,1724005,,,5183210.0,613292,,8377370.0,0.0,,147790,12689,322055,,,20274,538944,1581031,166668,0
2013-11-09,3,2013,299444.0,299444.0,1393876,16646,693212,385664,321.0,2352,69489,157612,573312,273868.0,50068,68609,109444,1632554,,,,1906203,9663,29961.0,,2259417,767,,127835,53015,1724005,2013年09月30日,478235,,,3209277,3188121,0,214977,3610891,5749778,16443,,,,1458296.0,88437.0,617330,1724005,,,4144612.0,613292,,7353889.0,0.0,,140279,14687,324833,,,21156,533721,1604111,149000,0
2014-03-21,4,2013,,,1483602,16128,764082,460481,321.0,2056,68260,194242,533117,,15342,64342,115149,1465530,,,,2148431,10865,0.0,,2387766,506,,218293,73902,1724005,2013年12月31日,549105,,,3315883,3295621,0,214977,3804606,5897048,15161,,,,1583909.0,76970.0,574421,1724005,,,4301308.0,613292,,7617191.0,0.0,,163555,16201,268805,,,20262,496702,1720143,155386,0
2014-05-08,1,2014,,,1483274,16128,729214,343683,321.0,2408,66114,164792,522236,,17589,64342,106100,1192691,,,0.0,1353260,14385,0.0,,1596284,620,,198234,67827,1724005,2014年03月31日,514237,,,3251656,3231303,0,214977,2712615,4684974,13227,,,1477270.0,,60792.0,417938,1724005,,,3133233.0,613292,,6384889.0,,,138405,13359,217871,,,20353,420618,1699915,133764,0
2014-08-12,2,2014,,,1470864,16128,408185,592472,0.0,5693,64889,142242,435853,,17292,64342,106887,925676,,0.0,0.0,1101980,2709,0.0,,1348365,1053,,165346,63312,1724005,2014年06月30日,158321,,,2907992,2887724,0,249864,2501020,4179132,12664,,0.0,1470024.0,,26734.0,341272,1724005,,,2958457.0,613292,,5866449.0,,,135926,17462,257169,,,20268,457437,1687317,180794,0
2014-11-12,3,2014,,,1493712,16128,305711,287865,0.0,874,58383,186918,394038,,79304,64342,128356,1085550,,,0.0,1366525,1811,0.0,,1374992,8719,,53782,54683,1724005,2014年09月30日,55847,,,2850256,2829926,0,249864,2611691,4221382,12171,,9915.0,1367866.0,,25642.0,535810,1724005,,,3102133.0,613292,,5952389.0,,,132601,25957,293499,,,20330,490442,1731007,181997,0
2015-03-18,4,2014,,,1609505,16128,262482,323072,0.0,6314,35368,217983,402727,,26215,30594,121039,1219274,28903.0,,0.0,2031498,0,,,2188702,620,,143765,47233,1724005,2014年12月31日,12618,,,2809003,2788859,2179000,249864,3527703,4916642,11395,,,1099674.0,,19292.0,751114,1724005,,,3921723.0,613292,,6730726.0,,,118719,8784,244707,,,20144,394020,1814084,196710,0
2015-05-13,1,2015,,,1553930,16128,145474,267239,0.0,41953,35018,206780,430867,,33697,30594,112091,1359287,40484.0,,,2064407,0,,,1628876,18,,308257,43767,1724005,2015年03月31日,-104390,8754.0,,2668338,2649067,3000000,249864,3550162,4828570,11153,,,,1162259.0,,778895,1724005,6573770.0,3905432.0,,613292,6573770.0,,,,91895,8131,232781,,,19271,355270,1745200,259205,0
2015-08-12,2,2015,,,1531642,16128,43510,274674,,30833,29296,222503,388039,,39820,30207,99917,1149527,40484.0,,,1761784,2294,,,1949543,107,97.0,131354,39847,1724005,2015年06月30日,-206354,9667.0,97.0,2582147,2562826,3000000,249864,3470265,4699893,9985,,,,1197751.0,,1033807,1724005,6407465.0,3825318.0,,613292,6407465.0,,,,93344,10053,231502,,,19321,355053,1707572,171565,0
2015-11-03,3,2015,,,1535616,16128,-25386,347053,,43158,30875,251666,375838,,45081,31664,113716,1192891,58448.0,,,1700701,0,,,1801736,83,97.0,39882,40672,1724005,2015年09月30日,-275250,10772.0,97.0,2526007,2505129,5317000,249864,3655992,4789107,9719,0.0,,,1417543.0,,1221628,1724005,6505556.0,3979549.0,,613292,6505556.0,,,,81818,598,210075,,,20878,323557,1716449,217761,0
2016-03-25,4,2015,,,1477703,16128,-72669,371741,,10876,30372,160953,339333,,67529,34554,99218,1162920,82087.0,,0.0,1912511,544,,,2137025,0,,68488,49036,1724005,2015年12月31日,-322533,8420.0,393.0,2363015,2343113,8000000,249864,4086731,5063879,8618,,,,1386490.0,,1454182,1724005,6716233.0,4353218.0,,612911,6716233.0,,,,73002,1651,158931,,,19902,266487,1652354,199786,0
2016-05-10,1,2016,223954.0,223954.0,1433908,16128,-126863,373491,,8052,28917,166047,331860,107906.0,73857,37638,99463,1118243,82087.0,,0.0,1692156,0,,,1775414,9089,,32961,44381,1724005,2016年03月31日,-376727,4078.0,270.0,2312476,2294013,8000000,249864,3790456,4748233,7855,18000.0,,,1564331.0,,1388871,1724005,6352555.0,4040079.0,,612911,6352555.0,,,,73820,2587,138165,,,18463,249623,1604322,119099,0
2016-08-11,2,2016,196257.0,196257.0,1360585,16128,-95869,374565,396.0,2142,42985,107996,308018,111761.0,33277,39034,89908,1232706,82087.0,,,1926220,0,,,2002094,0,,16737,40291,1724005,2016年06月30日,-95869,1138.0,53.0,2213679,2194287,8000000,0,4020168,4944482,9223,18006.0,,,1393828.0,,1409831,1724005,6462863.0,4249184.0,,540242,6462863.0,,,,70840,2246,119142,,,19392,229016,1518381,202654,0
2016-11-10,3,2016,185854.0,185854.0,1280528,16128,-81196,411515,819.0,27534,44648,64714,290596,104742.0,54592,38802,86247,1278219,82087.0,,,2031056,0,,,2133929,0,,322,35134,1724005,2016年09月30日,-81196,693.0,53.0,2186048,2165678,8000000,0,4205034,5186800,8487,11158.0,,,1532098.0,,1470355,1724005,6630370.0,4444322.0,,540242,6630370.0,,,,76775,17046,123711,,,20370,239288,1443570,104247,0
