date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他應收款－關係人淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付票據合計,應付票據－關係人合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,應收票據－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－員工認股權,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,1398716,306576,1777131,2629,6390,262012,14179,,-6463,748064,,229417,152281,203311,-9092,1550191,,,2305780,2627,1172632,499601,2981,2233669,2495,1362377,252759,,84409,1646108,2013年03月31日,1242163,,4037344,4030168,0,442729,5398174,7682334,11713,92239,,1352486,55806,348671,1646108,,,5732054,613392,,351,15,613026,,,9769398,12313,25667,82339,155932,7176,333880,2087064,666058,,0
2013-08-09,2,2013,1558745,292516,1621481,1885.0,5646.0,505066,44610,,8477,1148145,126392.0,181250,151713,30860,6592,1646672,,,2391466,9641,903312,642287,9824.0,2160828,5801,1477701,163318,,83385,1646108,2013年06月30日,1060572,,3895824,3889458,0,468670,6229315,8243956,9787,92239,,1786049.0,36371.0,583203,1646108,,,6416617.0,613392,,351.0,15.0,613026,,,10312441.0,11076,30225,93192,5364.0,6366,187302,2068485,761005,1021753.0,0
2013-11-06,3,2013,1531494,301529,1696398,1447.0,5208.0,329804,4188,,-4258,1210054,14716.0,236449,123717,29455,-5705,1663652,,,2366564,8230,789679,529327,19716.0,2274345,3554,1763748,135021,,80382,1646108,2013年09月30日,1135489,,3957360,3951625,0,468670,6321494,8350237,41068,92239,,1173080.0,41935.0,1026185,1646108,,,6475537.0,613377,,351.0,0.0,613026,,,10432897.0,12544,25418,98732,4908.0,5735,154043,2082660,1078448,1195338.0,0
2014-03-07,4,2013,1519952,300734,1840239,1512.0,5273.0,405612,17567,,12215,551395,22600.0,137600,125996,62598,10703,1862180,,,2427885,10978,788432,574498,3820.0,2506677,908,1529990,251685,,73299,1650568,2013年12月31日,1279330,,4122842,4119298,0,468670,5795555,8007542,38251,92239,,1332551.0,47001.0,985934,1650568,,,5963595.0,616276,,351.0,0.0,615925,,,10086437.0,12601,37527,84061,4517.0,3544,168040,2078895,350510,528795.0,0
2014-05-09,1,2014,1496708,316758,1957110,0.0,0.0,284755,17960,,14985,500629,12389.0,182905,125653,50689,14985,1586863,0.0,,1924180,13667,931311,508356,3631.0,2496016,29244,1779160,172785,,67257,1650698,2014年03月31日,1396201,,4241517,4239147,0,468670,5323119,7686178,33359,92239,1032228.0,,70026.0,1086564,1650698,,,5496326.0,616354,,351.0,0.0,616003,,,9737843.0,6879,43347,86894,4207.0,2370,173207,2051665,382138,488240.0,0
2014-08-12,2,2014,1468419,316758,1813486,0.0,0.0,503654,12427,,-4836,645045,53038.0,226638,125329,31586,-4836,1485540,0.0,,2065052,13892,849434,460996,147.0,2169372,7837,2027052,118733,31029.0,65672,1650698,2014年06月30日,1230316,,4077882,4075702,0,490931,5568913,7799079,29965,92239,1293532.0,,49080.0,981613,1650698,,,5735937.0,616354,351.0,0.0,0.0,616003,,,9813819.0,6899,37940,102340,3755.0,2180,167024,2014740,420020,592007.0,0
2014-10-26,3,2014,1467715,316758,1896486,0.0,0.0,318251,9211,18980.0,19241,684613,74457.0,255436,124988,35478,19241,1746946,0.0,,2544246,9790,924485,546676,8438.0,2475627,24233,2303036,114006,,61755,1650698,2014年09月30日,1313316,,4187227,4182779,0,490931,6210112,8543230,36666,92239,995108.0,,43274.0,1130339,1650698,,,6382150.0,616354,351.0,0.0,0.0,616003,,,10569377.0,11557,43712,107775,3338.0,4448,172038,2026147,589090,610156.0,0
2015-02-26,4,2014,1461476,293027,2050443,0.0,0.0,395090,29799,,57963,599044,15665.0,202916,115117,37684,57963,1852959,0.0,,3359079,23836,1018504,807648,,3092035,9449,2354614,37675,,56209,1650698,2014年12月31日,1467273,,4379552,4375458,0,490931,7231258,9793274,32781,92239,1628171.0,,74251.0,953806,1650698,,,7396008.0,616354,351.0,0.0,0.0,616003,,,11775560.0,11696,46703,101109,2930.0,4094,164750,1982286,573960,583379.0,0
2015-04-29,1,2015,1466396,293027,2065899,,,279382,18415,,41792,752903,21293.0,169863,114510,123220,41792,2082741,0.0,,2629610,11959,1128663,730314,,2674409,13700,2175384,90059,,43656,1650698,2015年03月31日,1482729,104962.0,4378362,4374743,0,490931,6791411,9250305,27773,92239,,1358155.0,,1153618,1650698,11324222.0,6945860.0,,616354,351.0,0.0,,616003,,11324222.0,,12403,37509,119845,2430.0,3619,154449,2073917,655176,731610.0,0
2015-08-03,2,2015,1445029,293667,1814412,,,688933,23076,,18004,474133,13633.0,176243,114211,103045,18004,2156887,0.0,,2836858,21094,1015218,817340,,3118072,74539,2284687,161525,212.0,40551,1650698,2015年06月30日,1192788,48163.0,4101979,4099468,0,529385,7415387,9642838,24159,92239,,1167087.0,,1513648,1650698,11665676.0,7563697.0,,616354,351.0,,,616003,,11665676.0,,10549,32067,116387,2032.0,2511,148310,2022838,469961,460500.0,0
2015-11-02,3,2015,1443784,305095,2011620,,,384247,18156,0.0,59865,618111,23196.0,184766,113752,88467,59865,2164170,0.0,,2729043,18688,1283196,812864,,2980536,63055,2822487,169331,,78853,1650698,2015年09月30日,1389996,38603.0,4341110,4338969,0,529385,8283541,10732883,23666,92239,,1724969.0,,2398789,1650698,12776633.0,8435523.0,,616786,351.0,432.0,,616003,,12776633.0,,5453,38230,103885,0.0,2141,151982,2043750,599960,594915.0,0
2016-02-22,4,2015,1419554,287714,2164227,,,421292,20910,,25898,621561,23447.0,165065,130607,80918,25898,2248268,0.0,,2740764,20610,1236940,806991,,3072747,23341,2485012,106392,,76004,1650698,2015年12月31日,1542603,81271.0,4464798,4459596,0,529385,7300177,9930954,23045,92239,,1404874.0,,1370748,1650698,11926226.0,7461428.0,,618773,0.0,2770.0,,616003,,11926226.0,,5719,30644,108037,0.0,5202,161251,1995272,398626,598114.0,0
2016-05-04,1,2016,1397965,286186,2305375,,,327383,14966,,21741,641757,27734.0,201527,130076,83045,21741,2087919,0.0,,2513810,18975,1258891,663181,,3270113,1507,2705246,204359,,75831,1650698,2016年03月31日,1683751,109522.0,4601992,4598563,0,529385,7657636,10451546,20094,92239,,1460947.0,,2124117,1650698,12420150.0,7818158.0,,620749,351.0,4395.0,,616003,,12420150.0,,6541,30446,105483,0.0,3429,160522,1968604,498421,614023.0,0
2016-08-08,2,2016,1395261,284054,2053000,,,725510,20107,,-1046,622391,13451.0,208057,129124,83904,-1046,2406121,0.0,,2820900,7487,1238971,751503,,3524194,1136,2654084,64932,,36347,1650698,2016年06月30日,1385503,87882.0,4321979,4325377,0,575258,8427783,10969380,17265,92239,,1590067.0,,2173139,1650698,12896909.0,8574930.0,,622725,351.0,6371.0,,616003,,12896909.0,,5004,18023,110698,0.0,-3398,147147,1927529,495678,608940.0,0
2016-11-03,3,2016,1386650,257977,2167977,55695.0,91144.0,382254,18561,,14272,590165,19858.0,251910,129120,86232,-41423,2576319,0.0,475017.0,3088973,11262,1227368,753896,,3377464,21,2483277,95581,,38702,1650698,2016年09月30日,1500480,56903.0,4472878,4478785,0,575258,8144536,11332253,17556,92239,,1922781.0,,2033715,1650698,13231959.0,8759081.0,,645838,,8699.0,,616003,21136.0,13231959.0,,7279,10408,112589,,-5907,614545,1899706,507916,570307.0,0
