date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付票據合計,應收帳款淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,,522150,52535,621359,3552,97446,195272,11004,8791,17946,,199150,3254,56553,5239,618485,,0.0,,286752.0,522548,36862,930994,21689,10892,1734478,2013年03月31日,334258,,3798291,3703529,0,264673,803463,3920999,316960,22428.0,,1996730.0,30835.0,1734478,,,1111802.0,1338901,,,1312457,26444.0,,4910093.0,18333,8315,94762.0,308339,989094,67190,0
2013-08-13,2,2013,,508808,52535,572948,1033,77212,344364,14772,29976,34999,,92370,3162,59074,28943,672861,,0.0,,289246.0,641697,54112,1062090,21650,10423,1734478,2013年06月30日,261157,,3694148,3624269,0,271470,1111075,4146647,307555,40321.0,,2149218.0,35903.0,1734478,,,1422265.0,1286867,,0.0,1260423,26444.0,,5116413.0,18782,9721,69879.0,311190,969766,78124,0
2013-11-11,3,2013,,510264,52535,642715,-4837,69364,401018,21342,11152,314666,,428051,3160,55557,15989,769777,,0.0,,0.0,798741,58623,1235594,21611,8654,1734478,2013年09月30日,330924,,3743031,3675212,0,271470,1612714,4419436,294886,40321.0,,1831771.0,39666.0,1734478,,,1631266.0,1286867,,0.0,1260423,26444.0,,5374297.0,15392,11354,67819.0,18552,954861,63537,0
2014-03-24,4,2013,294237.0,515001,52535,666753,1459,63511,295479,85743,43598,320536,26299.0,113766,1927,32306,42139,850721,,0.0,,0.0,942259,57826,1422336,21571,8132,1734478,2013年12月31日,354962,,3770408,3731696,0,271470,1664310,4527047,282564,40321.0,,1936906.0,48210.0,1734478,,,1680341.0,1286867,,0.0,1260423,26444.0,,5450749.0,14104,11593,38712.0,16031,923702,54064,0
2014-05-12,1,2014,296732.0,504081,52535,750326,11777,90229,275422,8216,47795,318120,21388.0,309105,2356,33590,36018,826578,,,0.0,0.0,673101,53282,1162586,21532,7186,1734478,2014年03月31日,438535,,3858461,3819466,0,271470,1392914,4363393,270586,40321.0,1911585.0,,72989.0,1734478,,,1406840.0,1286867,,,1260423,26444.0,,5265301.0,11570,12398,38995.0,13926,901908,55094,0
2014-08-12,2,2014,299228.0,514274,52535,656537,4633,91142,468571,4784,11054,317634,18406.0,102148,13716,37199,6421,781473,,,0.0,0.0,600299,49464,1162604,21492,8131,1734478,2014年06月30日,368263,,3624553,3619557,0,288274,1473868,4219196,258773,0.0,2034868.0,,37900.0,1734478,,,1501008.0,1217488,,,1191044,26444.0,,5125561.0,13424,13961,4996.0,27140,906365,42177,0
2014-11-13,3,2014,0.0,519285,32801,729090,-84,100698,281600,5138,44187,20542,20542.0,194198,13646,38126,44271,777228,,,0.0,,733577,32652,1295361,21453,6994,1734478,2014年09月30日,440816,,3730287,3725243,0,288274,1088225,3970331,246753,0.0,1553798.0,,19854.0,1734478,,,1118601.0,1217488,,,1191044,26444.0,,4848888.0,16730,13145,5044.0,30376,878557,43910,0
2015-03-27,4,2014,0.0,534741,32801,836765,9070,102671,337707,5274,99562,23832,23832.0,258614,16010,39606,90492,815132,2823.0,,0.0,,859891,48916,1385824,21414,6805,1734478,2014年12月31日,548491,,3885470,3885470,90000,288274,1299431,4340021,235151,0.0,1718042.0,,29085.0,1734478,,,1340461.0,1217488,,,1217488,0.0,,5225931.0,25020,15392,0.0,41030,885910,54464,0
2015-05-11,1,2015,0.0,549600,32801,897385,-1988,61426,338892,6793,73516,24933,24933.0,169743,20792,42126,75504,870590,64742.0,,,,842625,59524,1222721,21374,6877,1734478,2015年03月31日,609111,59414.0,3858125,3858125,2000000,288274,1325388,4330277,222721,0.0,,1948046.0,,1734478,5221979.0,1363854.0,,1217488,,,1217488,0.0,5221979.0,,17674,16203,0.0,38466,891702,50958,0
2015-08-12,2,2015,0.0,565930,32801,670461,-2897,55493,725021,8439,54041,13357,13357.0,40772,9412,39556,56938,883390,64742.0,,0.0,,929128,31094,1280950,21335,6621,1734478,2015年06月30日,350689,34924.0,3490313,3490313,2000000,319772,1733524,4357461,210677,,,2029784.0,,1734478,5253338.0,1763025.0,,1096075,,,1096075,0.0,5253338.0,,20089,18957,0.0,29501,895877,58633,0
