date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付費用,其他權益合計,其他流動負債合計,其他流動資產合計,其他流動資產－其他,其他金融資產－流動,其他金融資產－非流動合計,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,存入保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付股利,應付薪資,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,按攤銷後成本衡量之金融資產－流動淨額,普通股股本,會計項目,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,遞延所得稅負債合計,遞延所得稅資產,非控制權益,非流動負債合計,非流動資產合計,預收股本,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,157732,315369,332383,78387,35949,14663,10743,12841,,,3831,35340,6577,2746,2746,232,145177,145177,0.0,,50473,,42438,98809,2172,35108.0,,746961,2013年03月31日,,1119803,1119803,0,151040,1135546,,,544164.0,11437.0,,747000,,,188546.0,42771,,1308349.0,2166,8494,0.0,37506,172803,39.0,2500
2013-08-09,2,2013,156631,243842,333887,179755,28845,19118,11788,9828,,,4129,35438,5419,1290,1290,232,150140,150140,,,61547,101626.0,49284,102569,1644,35206.0,,747621,2013年06月30日,,1054941,1054941,0,266422,1187297,,,589229.0,13332.0,,748061,,,302900.0,43920,,1357841.0,1040,8494,,36478,170544,440.0,28000
2013-11-12,3,2013,157845,278026,334065,80248,30746,18624,14644,9726,,,3741,35536,4525,784,784,232,137645,137645,,,51339,,49502,111824,1287,35304.0,,750341,2013年09月30日,,1094799,1094799,0,163118,1123492,,,528945.0,16887.0,,750341,,,199557.0,47808,,1294356.0,903,8494,,36439,170864,,0
2014-03-24,4,2013,156247,334490,336628,72145,37411,22943,8064,25844,10644.0,15200.0,1853,34387,1919,66,66,232,135599,135599,,,65766,,34734,104839,997,34155.0,,750531,2013年12月31日,,1161446,1161446,0,157409,1188089,,,584182.0,11434.0,,753398,,,195872.0,50615,,1357318.0,4076,11063,,38463,169229,2867.0,179000
2014-05-12,1,2014,155006,376384,338703,85544,33219,25050,10522,25643,10400.0,15243.0,1102,34533,1158,56,56,232,129507,129507,0.0,0.0,63886,,52325,91658,1988,34301.0,,757011,2014年03月31日,,1217372,1217372,0,181703,1270464,,682965.0,,21751.0,,757705,,,220319.0,58233,,1437691.0,4083,11063,0.0,38616,167227,694.0,35500
2014-08-08,2,2014,153351,302575,338792,216161,35096,23536,12386,55936,6828.0,49108.0,1102,34676,1194,92,92,232,140892,140892,0.0,0.0,76970,124450.0,56615,95359,2546,34444.0,,764231,2014年06月30日,,1155923,1155923,0,328206,1356952,,723427.0,,22689.0,,764231,,,366637.0,65581,,1522560.0,3755,11063,0.0,38431,165608,0.0,0
2014-11-10,3,2014,152476,339562,340605,98462,36687,26880,12364,61182,10884.0,50298.0,1102,34817,1464,362,362,232,144478,144478,0.0,0.0,70191,,61775,155344,1516,34585.0,0.0,770311,2014年09月30日,,1210184,1210184,0,205484,1289550,,586425.0,,24467.0,,770326,,,244369.0,73416,,1454553.0,4068,11063,0.0,38885,165003,15.0,1000
2015-03-26,4,2014,150754,394278,342117,82571,40197,30854,18269,166068,17628.0,148440.0,1357,36523,1942,585,585,232,99231,99231,0.0,0.0,52583,,42374,168506,1496,36291.0,,770451,2014年12月31日,,1272355,1272355,0,189150,1341071,,563653.0,,35727.0,,770451,,,231998.0,76772,,1504353.0,6325,10586,0.0,42848,163282,0.0,0
2015-05-12,1,2015,149098,425380,343709,99672,41149,31168,13356,177254,11492.0,165762.0,861,36677,1426,565,565,232,100806,100806,0.0,0.0,72213,,58523,184729,1155,,,770739,2015年03月31日,43026.0,1307157,1307157,0,228267,1417055,36445.0,,609402.0,,,771270,1578165.0,271008.0,,79339,1578165.0,,6064,10586,0.0,42741,161110,531.0,23000
2015-08-12,2,2015,148453,340939,342889,280083,48438,29335,10077,214476,14632.0,199844.0,831,36822,1281,450,450,232,131515,131515,0.0,0.0,112855,165814.0,65831,211280,1464,,,779961,2015年06月30日,31507.0,1238461,1238461,0,484292,1605111,36590.0,,703487.0,,49770.0,779961,1765431.0,526970.0,,88226,1765431.0,,5856,10586,0.0,42678,160320,,0
