date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-13,1,2013,839800,,756099,167833,3534,1107,6016,4543,31488,14989,1107,371888,0.0,,111456,1282,284442,24953,92517,,798638,2013年03月31日,534171,,1869588,1869588,0,209946,511917,1643194,19510,11982,,846984.0,96984.0,127769,798638,,,653405.0,313744,17633,14924,281187,,2522993.0,577,0.0,5500,110000.0,0.0,141488,879799,14333,0
2013-08-09,2,2013,850381,,612365,516533,6446,8349,9516,4328,31294,11920,8349,336434,0.0,,100896,3119,283387,20913,93397,,798838,2013年06月30日,351345,,1653764,1653764,0,249038,833951,1741414,19240,11982,,980824.0,92704.0,111179,798838,,,975245.0,234212,17633,14924,201655,,2629009.0,4,0.0,6054,110000.0,,141294,887595,15685,0
2013-11-08,3,2013,862412,,704066,158820,4826,3071,8766,3276,31109,9733,3071,308429,0.0,,110217,2197,328332,26575,54912,,798838,2013年09月30日,443046,,1740187,1740187,0,249038,438141,1366951,18449,11982,,624800.0,80907.0,77234,798838,,,524250.0,234212,17633,14924,201655,,2264437.0,0,3.0,6892,55000.0,,86109,897486,15798,0
2014-03-20,4,2013,808046,,808149,191389,1925,11186,2713,3312,29192,24390,11186,288725,0.0,,106170,2250,298080,19727,67100,40410.0,800018,2013年12月31日,547129,,1855253,1855253,0,249038,477506,1475894,5725,11982,,778155.0,96144.0,78086,800018,,,506698.0,235900,17633,14924,203343,,2361951.0,754,0.0,7486,0.0,,29192,886057,18870,0
2014-05-07,1,2014,795722,,894089,195924,4749,9983,7583,5518,29805,24079,9983,308344,,,122191,750,302940,20506,75239,40209.0,800018,2014年03月31日,633069,,1939990,1939990,0,249038,511053,1607060,5935,11982,871164.0,,114340.0,70081,800018,,,540858.0,235900,17633,14924,203343,,2480848.0,184,,7843,0.0,,29805,873788,18600,0
2014-08-08,2,2014,782706,,686121,566859,2236,1525,3751,4890,29613,26859,1525,328304,,0.0,129302,911,376140,17911,93731,40008.0,800018,2014年06月30日,387373,,1723564,1723564,0,286766,867022,1754814,5464,11982,912716.0,,97510.0,68689,800018,,,896635.0,235900,17633,14924,203343,,2620199.0,0,243.0,10348,0.0,,29613,865385,18643,0
2014-11-07,3,2014,775462,,781563,212677,6259,14600,2468,4782,29438,28745,14600,315357,,0.0,98173,931,301395,29272,120434,39807.0,800018,2014年09月30日,482815,,1832081,1832081,0,286766,433040,1435176,5388,11982,644187.0,,84171.0,33462,800018,,,462478.0,235900,17633,14924,203343,,2294559.0,1158,0.0,9981,0.0,,29438,859383,13490,0
2015-03-20,4,2014,780428,,880789,207887,2667,29042,2821,3286,29307,30978,29042,290757,,0.0,91342,28492,310642,20466,111945,39607.0,800018,2014年12月31日,582041,,1945749,1945749,0,286766,452529,1561490,5232,11982,797260.0,,96324.0,23738,800018,,,481836.0,235900,17633,14924,203343,,2427585.0,1925,,9850,,,29307,866095,24467,0
2015-05-13,1,2015,740591,3000.0,980230,175296,5737,23875,3576,3846,31003,32426,23875,296094,,0.0,103843,27246,296690,26810,92712,59905.0,800018,2015年03月31日,681482,118231.0,2040023,2040023,0,286766,451667,1671403,4783,11982,,929142.0,,23475,800018,2522693.0,482670.0,,235900,17633,14924,203343,2522693.0,,0,929.0,10585,,,31003,851290,19443,0
2015-08-11,2,2015,733882,3000.0,777494,549736,5446,16704,4697,7867,30839,27197,16704,295325,,0.0,120236,19378,357335,28592,98081,59601.0,800018,2015年06月30日,438678,114088.0,1830116,1830116,0,326834,816272,1838053,4877,11982,,1021559.0,,7715,800018,2677227.0,847111.0,,235900,17633,14924,203343,2677227.0,,422,0.0,10617,,,30839,839174,23848,0
2015-11-11,3,2015,747386,3000.0,905862,196227,16873,37687,7849,8066,30688,39373,37687,292842,,0.0,117086,650,320984,39634,69478,59296.0,800018,2015年09月30日,567046,105952.0,1979467,1979467,0,326834,427764,1575643,4510,11982,,807020.0,,0,800018,2437919.0,458452.0,,235900,17633,14924,203343,2437919.0,,0,,8711,,,30688,862276,20746,0
2016-03-19,4,2015,769209,3000.0,1009993,215388,4089,25538,2337,3392,27797,29321,25538,250909,,0.0,92415,807,255477,40828,108505,58992.0,800018,2015年12月31日,671177,105397.0,2071449,2071449,0,326834,416344,1640482,4287,11982,,952878.0,,0,800018,2515590.0,444141.0,,235900,17633,14924,203343,2515590.0,,0,,10299,,,27797,875108,24404,0
2016-05-12,1,2016,826965,3000.0,1093446,211487,12253,15497,3402,3852,27058,26026,15497,291958,,0.0,120920,432,252913,51115,83941,58688.0,800018,2016年03月31日,754630,111041.0,2189883,2144861,0,326834,447282,1733947,3875,11982,,1006970.0,,0,800018,2664223.0,474340.0,,235900,17633,14924,203343,2664223.0,,0,0.0,11722,,45022.0,27058,930276,30945,0
2016-08-11,2,2016,821626,3000.0,870844,548350,7671,804,3349,3691,26865,26063,804,282610,,0.0,153481,905,316594,45495,71928,58384.0,800018,2016年06月30日,485375,94363.0,1950093,1907566,0,373487,800448,1852374,3476,11982,,1095915.0,,0,800018,2777406.0,827313.0,,235900,17633,14924,203343,2777406.0,,0,,12483,,42527.0,26865,925032,28470,0
