date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,庫藏股票,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,持有至到期日金融資產－非流動淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－合併溢額,資本公積－員工認股權,資本公積－庫藏股票交易,資本公積－發行溢價合計,資本公積－認股權,資產總計,資產總額,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,4647355,,2429370,-40904,19096,588250,12500.0,21074,-11054,891806,4108,124503,14762,29850,171812,161433,,0.0,219715,0.0,,4990,1202304,25236,15527,48060,3664595,2013年03月31日,1869642,,7707748,7527188,6821000,557738,2360074,5771743,27284,,1358605.0,1990,,2345072.0,96139.0,546674,3664595,,,2839134.0,1605710,244129,,55403,1306178,0.0,,10546882.0,529302,,0,18582,354557,180560,479060,4775139,98703,0
2013-08-12,2,2013,4590317,,2280490,-41454,18546,1464521,,21861,-4925,676833,28491,108902,12094,36529,149343,161433,,0.0,198957,267.0,,5614,1293319,29302,6175,48880,3664595,2013年06月30日,1596465,,7152101,7006817,6821000,657084,3042730,6000098,29830,,664480.0,26941,,3247053.0,51511.0,645027,3664595,,,3575478.0,1228090,244129,,55403,928558,0.0,,10727579.0,453190,,0,27814,423846,145284,532748,4727481,106884,0
2013-11-12,3,2013,4717003,,2548376,-42554,17447,644330,,22974,-10348,672079,700,107082,12003,32206,168031,161433,,0.0,239024,0.0,,2126,1383635,6181,10630,48330,3664595,2013年09月30日,1864351,,7408346,7269280,6821000,657084,2320524,6114413,28398,,366060.0,26941,,3599059.0,105093.0,657872,3664595,,,3555224.0,1228090,244129,,55403,928558,0.0,,10963570.0,455517,,0,25976,1127618,139066,1234700,4849157,101626,0
2014-03-18,4,2013,4663190,,2744818,-41454,18546,810836,,39100,-3142,746041,33929,104622,14406,38312,170970,79829,,0.0,174292,0.0,,2970,1245736,6022,5259,49190,3664595,2013年12月31日,2060793,,7702123,7573487,3373000,657084,2377305,6452018,27306,,229960.0,26941,,4147114.0,135443.0,507723,3664595,,,3550150.0,1247045,244129,,74358,928558,0.0,,11252273.0,472290,,502,27617,1067721,128636,1172845,4800255,101638,0
2014-05-09,1,2014,4644097,,2979942,-38294,21706,753458,0.0,102391,-1199,528333,3444,106275,13536,37095,164235,79829,0.0,,268507,,,2073,1270002,6397,5999,49000,3664595,2014年03月31日,2295917,,7938597,7810554,3373000,657084,2283831,6816154,25464,,230830.0,26941,4453368.0,,180376.0,551084,3664595,,,3658977.0,1247045,244129,,74358,928558,,,11597574.0,478612,,502,27617,1268369,128043,1375146,4781420,100876,0
2014-08-07,2,2014,4619359,,2955181,-16451,43549,1482172,,88635,14733,549795,2139,107025,13419,31184,118404,544,0.0,,182726,0.0,,0,1377047,5825,7565,48110,3631095,2014年06月30日,2207164,,7589134,7474947,23000,744875,2742514,7179713,32301,,227805.0,3142,4678080.0,,119769.0,408052,3631095,,,4355979.0,874482,244129,,22426,607927,0.0,,11945113.0,561824,,0,8662,1506440,114187,1613465,4765400,112389,0
2014-10-31,3,2014,5063699,,3248486,-28334,31666,841900,,27261,9721,922231,559,107462,13361,38055,99533,544,0.0,,145383,0.0,,0,1382043,6463,9667,49340,3631095,2014年09月30日,2500469,,7871009,7763240,23000,744875,2684154,6710324,29081,,230580.0,3142,4086752.0,,116381.0,658259,3631095,,,4047706.0,874482,244129,,22426,607927,,,11918715.0,733346,12000.0,0,9244,1256090,107769,1363552,5208391,134120,0
2015-03-10,4,2014,5107090,,3445963,-25518,34482,786315,,16303,20176,905038,9842,134405,13602,45694,58153,68,0.0,,123347,,,3,1241056,5152,8555,50920,3630894,2014年12月31日,2697946,,8069322,7971172,2875,744875,2303962,6553963,29826,,262050.0,3142,3981222.0,,143827.0,345432,3630894,,,3728367.0,874207,244129,,22184,607894,0.0,,11797689.0,827900,,0,7806,1290000,98150,1424405,5243726,143730,0
2015-05-07,1,2015,5558514,,3600401,-22495,37505,814402,,22313,20966,1042920,1987,135140,13422,43461,63357,0,0.0,,119316,,,413,1125101,3659,5912,50440,3630865,2015年03月31日,2852384,168203.0,8219733,8126400,0,744875,2696654,6597159,27913,260020.0,,3142,,4194211.0,,551400,3630865,12286527.0,4066794.0,,874168,244129,,22150,607889,0.0,12286527.0,,778871,,0,1574,1235000,93333,1370140,5689368,141728,0
2015-08-12,2,2015,6099498,,3440041,-30875,29125,1652340,,37983,9452,1710265,1353,136515,16404,40327,74491,76751,0.0,,105785,,,789,1285318,2910,4951,49730,3630865,2015年06月30日,2589754,112010.0,7584849,7496534,2803000,850287,4490814,6461686,24243,257468.0,,0,,3787287.0,,909625,3630865,12717178.0,5132329.0,,492927,244129,,22150,226648,0.0,12717178.0,,843433,,0,36492,505000,88315,641515,6255492,166492,0
2015-11-05,3,2015,6142270,,3630138,-39513,20487,670155,,18097,8341,1110283,2292,136642,12922,47854,60516,49420,0.0,,96569,,,21188,1376968,5618,9000,51760,3598865,2015年09月30日,2779851,55734.0,7745946,7656703,2000000,850287,3015168,5999232,22559,579126.0,,0,,2980830.0,,1061239,3598865,12267756.0,4521810.0,,468779,244129,,0,224650,0.0,12267756.0,,821608,0.0,0,18526,1370000,89243,1506642,6268524,145177,0
2016-03-03,4,2015,6105746,500000.0,3801321,-36645,23355,858497,,11782,4983,890280,3894,136016,12750,41628,64127,49420,0.0,,96338,,,75,1263577,3894,5867,49950,3598865,2015年12月31日,2951034,83563.0,7912163,7824528,2000000,850287,2815408,5804157,21095,578865.0,,0,,3205228.0,,886655,3598865,12534794.0,4622631.0,,468779,244129,,0,224650,0.0,12534794.0,,509639,,1207,17741,1670000,87635,1807223,6730637,157284,0
2016-05-06,1,2016,6368893,505557.0,3921780,-35753,24248,759375,,7605,5116,1261039,3061,155040,23664,40869,85476,49420,0.0,,110238,,,0,1251716,3575,6628,0,3598865,2016年03月31日,3071493,118833.0,8386073,7945120,2000000,850287,2840814,5803735,157867,415153.0,,0,,3657057.0,,591329,3598865,12897427.0,4511354.0,,468779,244129,0.0,0,224650,0.0,12897427.0,,246021,,0,13463,1515500,440953,1670540,7093692,127443,0
2016-08-09,2,2016,6496751,505558.0,3747950,-38019,21981,1458268,,5373,-1336,1074730,4707,154673,24146,36683,74964,49420,0.0,,113794,,,0,1443361,4664,1884,0,3598865,2016年06月30日,2821596,79646.0,7961667,7550107,2000000,926354,3241051,6364261,159517,415675.0,,0,,4006609.0,,514613,3598865,13585391.0,5623724.0,,254048,244129,0.0,0,9919,0.0,13585391.0,,251532,,0,13177,2228000,411560,2382673,7221130,155492,0
2016-11-08,3,2016,6437210,505558.0,3970152,-37195,22805,703257,,12863,-5628,1273102,5476,154607,13115,31567,78315,49420,0.0,,118320,,149707.0,0,1586096,5276,1761,0,3598865,2016年09月30日,3043798,78306.0,7849284,7768017,2000000,926354,2810040,6203968,162296,410368.0,,0,,3670041.0,,487348,3598865,13359181.0,5509897.0,,254048,244129,0.0,0,9919,0.0,13359181.0,,298378,,0,14229,2545250,81267,2699857,7155213,135394,0
