date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應付款項－關係人,其他應付款－其他,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,商譽,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應付股利,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應收票據－關係人淨額,應計退休金負債（應付退休金費用）,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資本公積－發行溢價合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,22816,22816,2146381,14280,1587245,-3651,9015,399322,,,4582,-19843,35550,12734,18436,132543,168020,21572,139493,3,47060,-16192,2736,6871,649454,,0.0,,354007,16375,,489662,0.0,10502,,143712.0,56022,1194711,2013年03月31日,878990,,3165956,3079076,0,693674,1354149,2358033,,47060,14581,,800267.0,99589.0,437357,1194711,,10892,,1794644.0,316963,50,,316913,,4960600.0,,1057,258500,127758,199331,144717,86880,440495,2602567,,117615,76,0
2013-08-14,2,2013,22557,22557,2128000,19280,1384659,-3606,9060,855949,,,1290,-10843,48263,25706,20986,132354,169061,22572,139418,28,47060,-7237,1874,6987,695058,695058.0,,,397889,22587,,590305,0.0,14133,,144615.0,54663,1194711,2013年06月30日,609717,,2965521,2885490,0,741851,1843826,2656290,,47060,33091,,600233.0,89153.0,416802,1194711,,10892,,2279128.0,316963,50,,316913,,5244649.0,,2291,613229,127759,199938,138482,80031,435302,2588359,,111996,49,0
2013-11-05,3,2013,22073,22073,2114302,19280,1573577,-3697,8969,415142,,,3711,-8669,42703,20630,31155,132354,171001,24016,139413,3,47060,-4972,1721,7046,739041,739041.0,,,392870,11641,,536774,0.0,12656,,145264.0,64159,1194711,2013年09月30日,798635,,3175090,3092739,0,741851,1392718,2421794,,47060,33091,,693044.0,102807.0,413847,1194711,,10892,,1829495.0,333120,50,16157.0,316913,,5004585.0,,2816,283518,127758,198577,138018,82351,436777,2582791,,112926,10,0
2014-03-18,4,2013,20977,20977,2102103,19280,1764310,-3651,9016,443753,,,15568,549,53391,32414,15577,140154,167600,18052,153327,2695,2756,4200,1736,6699,717988,717988.0,,,405474,11499,,530803,0.0,9120,,147812.0,71986,1194711,2013年12月31日,989368,,3381384,3292690,0,741851,1587050,2871572,,2756,33091,,852231.0,100236.0,554684,1194711,,14178,,2052598.0,333120,50,16157.0,316913,,5433982.0,,3835,626011,163883,212958,134065,88694,465548,2562410,,95258,3779,0
2014-05-06,1,2014,20305,20305,2091489,19280,1935058,-3511,9157,403833,,,14805,13834,40082,19777,17528,140354,172534,21779,156870,3,2756,17345,2061,7268,753639,,0.0,0.0,409645,13459,,567387,,10157,,148694.0,76596,1194711,2014年03月31日,1160116,,3556895,3476669,0,741851,1594325,3063109,,2756,33091,749348.0,,132379.0,580088,1194711,,14191,,2064640.0,333066,50,16103.0,316913,,5621535.0,,648,842745,163930,211435,133851,80226,470315,2558426,,98343,9245,0
2014-08-05,2,2014,19055,19055,2088118,19280,1523551,-2643,10025,1047102,,,16437,2226,54904,35849,16599,124787,175063,23387,139882,2,2756,4869,2093,7440,721408,,0.0,0.0,365471,18582,,564635,,10143,,149583.0,82238,1194711,2014年06月30日,707572,,3135871,3053554,0,815979,2291483,3351418,,2756,0,740657.0,,119003.0,672668,1194711,,13705,,2756443.0,333066,50,16103.0,316913,,5892314.0,,48,1185232,163880,208622,126017,82317,464960,2540896,,86282,7653,0
2014-11-11,3,2014,18207,18207,2079584,19280,1730942,-2567,10100,406898,13000.0,,12516,-8420,37359,19152,30082,174887,178671,26124,182325,3,2756,-5853,2064,7435,755380,,0.0,0.0,412600,13714,,583952,,17600,,150483.0,78126,1194711,2014年09月30日,914963,,3338263,3250375,0,815979,1671423,2899730,,2756,0,817981.0,,141722.0,631853,1194711,,13705,,2133134.0,333142,50,16179.0,316913,,5471397.0,,572,595656,164846,209596,118194,87888,461711,2571667,,76463,0,0
2015-03-17,4,2014,39489,39489,2075749,19280,1923703,-2492,7394,458855,21000.0,,21444,8274,64983,25494,19145,124905,179678,21982,154166,779,2756,10766,2055,7249,708084,708084.0,,0.0,387247,13052,,589918,,36557,,155641.0,85515,1194711,2014年12月31日,1107724,,3553928,3460048,0,815979,1678125,3155232,,2756,0,1077281.0,,128481.0,552048,1194711,,51525,,2145631.0,333360,50,16397.0,316913,,5699559.0,0.0,934,613856,198878,206861,88950,93880,467506,2544327,20000.0,81553,1233,0
2015-05-12,1,2015,36040,36040,2051667,34280,2118078,-2512,7374,421459,21000.0,,18344,-32088,57650,21610,27321,124905,182783,24364,135353,3,2756,-29576,2026,9151,797512,,0.0,0.0,482834,18659,,553692,,18437,,,92701,1194711,2015年03月31日,1302099,156447.0,3695066,3614233,0,815979,1718260,3353048,156393.0,2756,0,,936162.0,,544298,1194711,5880625.0,15440,2185559.0,,333532,50,16569.0,316913,5880625.0,,,473,896370,204971,210820,79545,80833,467299,2527577,0.0,97836,1294,0
2015-08-11,2,2015,34949,34949,2046968,34280,1573246,-2274,7612,1156869,21000.0,,21653,-30187,64647,29698,28480,127788,183063,23914,137465,3,2756,-27913,2010,9413,782491,,0.0,0.0,415902,17536,,555740,,20099,,,98373,1194711,2015年06月30日,681220,74609.0,3155116,3071433,0,892026,2412157,3493476,157139.0,2756,0,,865247.0,,645290,1194711,6019658.0,15440,2864542.0,,333663,50,16700.0,316913,6019658.0,,,864,1149017,195509,206340,73813,83683,452385,2526182,0.0,63137,261,0
2015-11-10,3,2015,31786,31786,2065350,34280,1766762,-3438,6448,348474,21000.0,,1245,14592,56238,24452,31973,127722,187458,27540,140503,3101,2756,18030,2020,9483,865716,,0.0,0.0,461144,10483,,574530,,13087,,,95235,1194711,2015年09月30日,874736,48577.0,3401548,3312480,0,892026,1610564,2924259,157898.0,2756,0,,784448.0,,645004,1194711,5471378.0,15439,2069830.0,,336415,50,19452.0,316913,5471378.0,,,4205,587142,195912,208995,75896,89068,459266,2547119,0.0,59670,197,0
2016-03-15,4,2015,17683,17683,2058046,29580,1927978,-3518,6368,444749,0.0,,751,-877,38521,20838,18755,127722,144411,28260,138973,1649,2756,2641,2055,9291,833535,833535.0,,0.0,429396,9713,,545525,,21059,,,102461,1194711,2015年12月31日,1035952,70849.0,3550025,3458339,0,892026,1608563,3046467,114096.0,2756,0,,1086101.0,,596754,1194711,5577720.0,17010,2027695.0,,336527,50,19564.0,316913,5577720.0,,0.0,1571,474466,206234,199437,68487,91686,419132,2531253,0.0,59907,311,0
2016-05-10,1,2016,17909,17909,2054201,29580,2146452,-3410,6476,412717,0.0,,931,-11038,38658,20749,23903,127722,146070,29478,137716,3,2756,-7628,2024,9676,904138,,0.0,0.0,424242,10577,,535472,,41341,,,110433,1194711,2016年03月31日,1254426,106991.0,3746367,3666802,0,892026,1517379,3153924,114568.0,2756,0,,892856.0,,504395,1194711,5682913.0,17010,1936546.0,,336677,50,19714.0,316913,5682913.0,,,2789,681480,206043,194303,67054,79565,419167,2528989,0.0,67327,315,0
2016-08-09,2,2016,18128,18128,2062189,21780,1692615,-3334,6552,1087847,0.0,466597.0,2681,-22343,44119,25991,19428,127755,148992,31957,137750,3,2756,-19009,2009,9112,861842,,0.0,0.0,381280,12641,621250.0,507811,6998.0,51629,2675.0,,119283,1194711,2016年06月30日,729242,86827.0,3295440,3201924,0,962497,2158704,3332238,115026.0,2756,876,,774681.0,,527679,1194711,5870508.0,17010,2575068.0,,336941,50,19978.0,316913,5870508.0,,,1301,1027279,206044,194512,61328,93516,416364,2538270,0.0,70662,880,0
2016-11-09,3,2016,18101,18101,2052299,21780,1910616,-3052,6834,371649,0.0,371649.0,3931,-46452,47754,29653,40137,127771,149243,31723,141109,3,2756,-43400,2031,8982,813318,,0.0,0.0,345633,4526,0.0,566051,6472.0,8229,35316.0,,110151,1194711,2016年09月30日,947243,70384.0,3494109,3399282,0,962497,1421524,2813131,115489.0,2756,876,,711465.0,,563954,1194711,5328479.0,17010,1834370.0,,340407,50,23444.0,316913,5328479.0,,,614,575857,205820,187253,57783,94827,412846,2515348,0.0,45521,4353,0
