date,season,year,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融負債－非流動,以成本衡量之金融資產－流動淨額,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產評價調整－流動,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,債券換股權利證書,內部往來,共同控制下前手權益,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他,其他非流動資產－其他合計,其他預付款,其他預付費用,在途現金,存貨合計,庫存現金,庫藏股票,待出售非流動資產（淨額）,待分配股票股利,待註銷股本,待註銷股本股數,應付公司債合計,應付帳款合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,持有至到期日金融資產－流動淨額,持有至到期日金融資產－非流動淨額,按攤銷後成本衡量之金融負債－非流動,按攤銷後成本衡量之金融資產－非流動淨額,採用權益法之投資淨額,普通股股本,會計項目,未實現售後租回損失,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,流動負債合計,流動資產合計,淨確定福利負債-非流動,淨確定福利資產-流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,無活絡市場之債券投資－非流動淨額,特別股股本,特別股轉換普通股權利證書,現金及約當現金合計,現金及約當現金總額,生物資產－非流動合計,用品盤存,留抵稅額,當期所得稅負債,短期借款合計,礦產資源淨額,約當現金,累計減損－備供出售金融資產－流動,股本合計,與待出售非流動資產直接相關之負債,船長週轉金（海陸運輸業適用）,負債及權益總計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過其他綜合損益按公允價值衡量之金融資產－非流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,進項稅額,遞延所得稅負債合計,遞延所得稅資產,避險之衍生金融負債－非流動,避險之衍生金融資產－非流動,銀行存款,長期借款合計,長期預付租金,陳飾品,零用金／週轉金,非控制權益,非流動負債合計,非流動資產合計,預付保險費,預付投資款,預付款項合計,預付租金,預付薪資,預付貨款,預收股本,預收股款（權益項下）之約當發行股數
2013-04-29,1,2013,,85419,490345,,,141035,-115021,,,,7305.0,,,,145616,82312,-10604,138009,52590,171987,171987,41361,37142,19116,,12385,,,,97783,,48492,,,,,,372644,566492,1512,4219.0,,32352.0,,,,,1248805,2013年03月31日,,,1232547,1218262,5100000,791273,1473357,,,,,,28543.0,,,,503043.0,,,,1826.0,133178,,,,1248805,,,,,,937574.0,143574,,2170121.0,,,3654,,,245.0,10420,,,,104695,6731,,,14285,146301,696764,,,14222,14222.0,,,,0
2013-08-09,2,2013,,93252,504385,,,141035,12850,,,,6655.0,,,,147850,52857,3871,132087,38835,280418,280418,46874,42703,19802,,12977,,,,136190,,48492,,,,,,417230,597417,717,4171.0,,0.0,,,,,1248805,2013年06月30日,,,1252613,1237034,5100000,841825,1563632,,,,,113413.0,,,,,368961.0,,,,1975.0,142683,,,,1248805,,,,,,992210.0,20000,,2244823.0,,,3386,,,0.0,9314,,,,103511,6825,,,15579,150385,681191,,,10273,,,,,0
2013-11-11,3,2013,,106397,534381,,,115714,-65282,,,,6489.0,,,,185710,66016,-6917,155118,48721,351902,351902,41290,37136,20003,,13286,,,,190187,,21099,,,,,,380318,440015,1364,4154.0,,9619.0,,,,,1248805,2013年09月30日,,,1204091,1189339,2500000,953473,1622423,,,,,116931.0,,,,,439190.0,,,,2114.0,230213,,,,1248805,,,,,,1108487.0,33832,,2312578.0,,,3449,,,0.0,13568,,,,113724,6717,,,14752,155014,690155,,,3750,,,,,0
2014-03-24,4,2013,,127074,622767,,,100714,-191842,,,,7204.0,,,,207562,26312,6353,177443,50369,327377,327377,39424,35262,16714,,9932,,,,157734,,21099,,,,,,462289,561196,236,4162.0,,63551.0,,,,,1248805,2013年12月31日,,,1076049,1076049,2500000,1103119,1591900,,,,,64524.0,,,,,379344.0,,,,0.0,255825,,,,1248805,,,,,,1296432.0,33832,,2372481.0,,,3651,,,0.0,33182,,,,153889,6782,,,0,193313,780581,,,7975,,,,,0
2014-05-07,1,2014,,127331,706647,,,100714,-262234,,,,0.0,,,,161144,18589,21210,207189,79858,210661,210661,41347,37200,15470,8644.0,8644,,,,124273,,21099,131355.0,,,0.0,,249647,348791,241,4147.0,,0.0,,,,,1248805,2014年03月31日,,,1037420,1037420,2500000,992031,1337932,,,,,89875.0,0.0,,,403769.0,,,,,149.0,242547,,,,1265711,131355.0,,,,,1159540.0,33832,,2196960.0,,,3791,,,0.0,36197,,,,126162,6826,,,0,167509,859028,,,6587,6587.0,,,16906.0,1690600
2014-08-08,2,2014,,120164,703797,,,100714,-312696,,,,0.0,,,0.0,143543,11754,-957,181302,61138,164612,164612,41272,37146,15000,8354.0,8354,,,,111248,,21099,,,,0.0,,233277,328468,121,4126.0,,0.0,,,,,1448805,2014年06月30日,,,1115615,1115615,2500000,677414,1072834,,,,,88685.0,,,,360628.0,,,,,727.0,118565,,,,1448805,,,,,,816681.0,1562,,1932296.0,,,3884,,,,39951,,,,97995,6646,,,0,139267,859462,,,3434,3434.0,,,,0
2014-11-10,3,2014,,115164,513572,,,100714,-534212,,,,0.0,,,0.0,150595,13838,15334,219847,104683,153184,153184,41471,37358,15035,,8311,,,,82562,,21099,,,,0.0,,235648,417330,88,4113.0,,19777.0,,,,,1448805,2014年09月30日,,,910390,910390,2500000,790824,1109410,,,,,85771.0,,,,331075.0,,,,,811.0,183923,,,,1448805,,,,,,904625.0,1562,,1815015.0,,,3624,,,0.0,76284,,,,72330,6724,,,0,113801,705605,,,2161,,,,,0
2015-03-04,4,2014,110163.0,110163,450915,,,100714,-668803,,,,0.0,,,,178077,34410,54331,157967,47804,102965,102965,43655,38544,10797,,3810,,,,52001,,21099,,,,0.0,,183194,214938,0,5111.0,,0.0,,,,,1448805,2014年12月31日,,,814796,814796,2500000,706596,954347,,,,,66499.0,,,,477368.0,,,,,,187358,,,,1448805,,,,,,790115.0,1562,,1604911.0,,,4070,,,0.0,88138,,,,39864,6987,,,0,83519,650564,,,2096,,,,,0
2015-05-08,1,2015,74333.0,74333,357522,,59000.0,100714,-653225,,,,,,,,132237,21913,41883,117539,43206,110402,110402,43463,38361,10608,3771.0,3771,,,,68811,,0,0.0,,,,,168055,147346,22,,,,,,,,1423805,2015年03月31日,,0.0,817926,817926,0,534332,857905,5102.0,,,82360.0,,,,,,362849.0,,,,,116501,,,,1423805,0.0,,1414887.0,,596961.0,,5463,1414887.0,,,,4050,,,,88138,,,,19166,6837,,,0,62629,556982,,,1152,1152.0,,,0.0,0
2015-08-07,2,2015,56666.0,56666,320864,,,18862,-647981,,,82847.0,,,,0.0,122383,50772,34524,95283,38617,104129,104129,22234,17139,11797,5070.0,5070,,,,51311,,0,,,,,,139270,146130,0,,,4543.0,,,,,1423805,2015年06月30日,,0.0,815811,815811,0,436936,848635,5095.0,,,78046.0,,,,,,324829.0,,,,,80000,,,,1423805,,,1288314.0,,472503.0,,5463,1288314.0,,,,3867,,,,88156,,,,13333,6727,,,0,35567,439679,,,2161,2161.0,,,,0
