date,season,year,一年或一營業週期內到期或執行賣回權公司債,一年或一營業週期內到期長期借款,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動,備供出售金融資產－流動淨額,備供出售金融資產－非流動,備供出售金融資產－非流動淨額,其他應收款淨額,其他應收款－其他,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他流動資產－其他,其他無形資產,其他無形資產淨額,其他短期借款,其他設備淨額,其他金融負債－流動,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,原始認列時指定為透過損益按公允價值衡量之金融負債－流動,原始認列時指定為透過損益按公允價值衡量之金融負債－非流動,原料,商品存貨,商譽,國外營運機構財務報表換算之兌換差額 －母公司,國外營運機構財務報表換算之兌換差額合計,土地淨額,在途商品,存貨合計,存貨－製造業淨額,存貨－買賣業淨額,庫藏股票,待註銷股本股數,應付公司債,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,房屋及建築淨額,採用權益法之投資,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融負債－非流動合計,透過損益按公允價值衡量之金融資產－流動合計,透過損益按公允價值衡量之金融資產－非流動合計,銀行長期借款,長期借款合計,長期應收款,長期應收票據及款項淨額,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付貨款,預收款項合計,預收股款（權益項下）之約當發行股數,預收貨款
2013-05-10,1,2013,956716,,956716,263291,210719,210719,465721,-31380.0,,,38620,38620,847483,847483,-105139,1108752,39772,113749,8604,,,,,112264,105145,119405,119405,88170,88170,16734.0,0.0,3956,1393263,,-73759,-73759,,534866,1932085,3956,1928129,,,0.0,0.0,1414349,,3250457,51138,,628944,628944,1638688,2013年03月31日,177031,3105200,3103101,0,190025,4316651,7625792,,98665.0,,545853.0,1776816,1638688,,,5750336.0,1103831,,8855536.0,16734.0,0.0,0.0,,1314280,1314280,,,2099,1433685,1229744,885027,885027,,0,
2013-08-09,2,2013,578037,494630.0,1072667,261787,200719,200719,455174,17100.0,,,87100,87100,478372,478372,-45309,1315406,68269,137625,15898,,,,16172.0,174470,121727,128843,128843,93559,93559,0.0,0.0,11786,1918460,,-62409,-62409,168078.0,868482,2798728,11786,2786942,0.0,,0.0,0.0,1321343,,3937112,115604,77537.0,626564,626564,1638688,2013年06月30日,107299,3141530,3139081,0,201481,5341953,8625047,,146394.0,,753739.0,2705204,1638688,,,6753246.0,1090528,,9894776.0,0.0,0.0,0.0,,1282450,1282450,,,2449,1411293,1269729,403867,403867,,0,
2013-11-08,3,2013,578379,906190.0,1484569,260827,175219,175219,461242,12600.0,,,82600,82600,501358,501358,-70367,1669754,85256,153342,52746,,,,15798.0,99929,100596,139505,139505,133595,133595,0.0,0.0,12343,2109538,,-82967,-82967,168078.0,1252561,3374442,12343,3362099,0.0,,0.0,0.0,742878,,3615872,314066,76951.0,627629,627629,1638688,2013年09月30日,113367,3125461,3120091,0,201481,5967421,9093557,,146394.0,,887951.0,3554789,1638688,,,7247966.0,1090528,,10373427.0,0.0,0.0,0.0,,1141040,1141040,,,5370,1280545,1279870,246526,246526,,0,
2014-03-25,4,2013,580551,908750.0,1489301,260813,150759,150759,462475,6300.0,,,76300,76300,340716,340716,-63790,1917229,9809,230247,16769,,,,16373.0,114801,213478,141453,141453,225394,196135,0.0,1620.0,6663,1979456,,-70090,-70090,168078.0,974878,2960997,6663,2954334,0.0,,576310.0,576310.0,788914,,2853984,180803,76362.0,644939,644939,1838688,2013年12月31日,114600,3378875,3375541,0,201481,4291646,7889999,,146394.0,,883092.0,1585503,1838688,,,5869329.0,1138168,,9248204.0,0.0,1620.0,0.0,,858300,858300,29259.0,29259.0,3334,1577683,1358205,440160,440160,303318.0,0,303318.0
2014-05-08,1,2014,236074,919430.0,1155504,258651,144657,144657,514411,8700.0,,,78700,78700,445344,445344,-33598,1473732,6948,205999,13629,,,,14796.0,165144,192370,145551,145551,199824,176328,0.0,216.0,5726,1951951,,-42298,-42298,168078.0,552509,2510186,5726,2504460,0.0,0.0,260347.0,260347.0,1238159,,4091609,258787,75777.0,681700,681700,2321898,2014年03月31日,166536,4133781,4121298,0,201481,5229453,8981376,,146394.0,980014.0,,2517562,2321898,,,6211127.0,1318587,,10344908.0,0.0,216.0,,,575560,575560,23496.0,23496.0,12483,981674,1363532,489437,489437,146136.0,0,146136.0
2014-08-08,2,2014,89607,0.0,89607,266009,196216,196216,413778,13500.0,,,83500,83500,395026,395026,-62494,818331,4451,304545,93788,167785.0,167785.0,,22739.0,652824,210757,183924,183924,195439,180751,,193.0,4363,2773165,133110.0,-75994,-75994,168078.0,650301,3427829,4363,3423466,0.0,0.0,205870.0,205870.0,713732,580298.0,5001289,1084319,75192.0,609526,609526,2462661,2014年06月30日,130974,4416322,4192105,0,212714,6677928,11767741,300895.0,70090.0,766617.0,,4565567,2462661,,,9003004.0,1378160,,13419326.0,,193.0,,,1935089,1935089,14688.0,14688.0,224217,2325076,1651585,788116,788116,71449.0,0,71449.0
2014-10-31,3,2014,0,0.0,0,261816,217560,217560,541934,0.0,,,10000,10000,544609,544609,-44814,674662,38918,509071,151550,159135.0,159135.0,,19134.0,550952,357521,203900,203900,168090,168090,,79.0,5443,3210651,135131.0,-44814,-44814,168078.0,562445,3778539,5443,3773096,0.0,0.0,191563.0,191563.0,1441789,71230.0,6106992,462115,74604.0,652771,652771,2534735,2014年09月30日,259130,4688287,4442513,0,212714,6838928,13202457,294266.0,70090.0,919951.0,,4651247,2534735,,,10118673.0,1410658,,14806960.0,,79.0,,,2884203,2884203,0.0,0.0,245774,3279745,1604503,881180,881180,84792.0,0,84792.0
2015-03-06,4,2014,160810,0.0,160810,264528,282861,282861,592429,0.0,,,10000,10000,702277,702277,34105,851405,115620,326846,100470,,155848.0,,22433.0,416486,226376,210727,210727,147011,147011,66.0,0.0,4736,3709979,140110.0,34105,34105,168078.0,446455,4161170,4736,4156434,0.0,0.0,0.0,0.0,910479,544012.0,4877360,762595,74017.0,755546,755546,2560719,2014年12月31日,309625,4873626,4611645,0,212714,6244929,12581585,295958.0,70090.0,770298.0,,3938967,2560719,,,9463863.0,1424392,,14337489.0,66.0,0.0,,,3008207,3008207,0.0,0.0,261981,3218934,1755904,981039,981039,158489.0,0,158489.0
2015-05-14,1,2015,149052,0.0,149052,262818,279466,279466,642657,0.0,,,10000,10000,833058,833058,14792,1130062,89996,504341,155685,,145617.0,,21309.0,731939,348656,228098,228098,148183,148183,15.0,0.0,4348,3992335,138904.0,14792,14792,168078.0,1450040,5446723,4348,5442375,0.0,0.0,0.0,0.0,1910157,258302.0,4831182,651903,73431.0,842084,842084,2870797,2015年03月31日,359853,5309979,5073803,0,212714,7620338,14249855,284521.0,70090.0,,795192.0,4321802,2870797,16076927.0,10766948.0,,1545557,16076927.0,,15.0,0.0,,,2918512,2918512,0.0,0.0,236176,3146610,1827072,1187456,1187456,159075.0,0,159075.0
2015-08-11,2,2015,99057,,99057,259927,328794,328794,406236,0.0,,,10000,10000,654225,654225,4975,1055285,63089,606529,133193,,135442.0,,19004.0,692624,473336,228262,228262,195915,139199,0.0,0.0,4815,3777018,137621.0,4975,4975,168078.0,1112149,4893982,4815,4889167,0.0,0.0,0.0,0.0,1300325,1733202.0,7227523,2562399,72845.0,878881,878881,2911997,2015年06月30日,163330,5164864,4878017,0,242906,11151870,17860766,273063.0,0.0,,1422562.0,7063058,2911997,19807346.0,14642482.0,,1554809,19807346.0,,0.0,0.0,,,3262350,3262350,56716.0,56716.0,286847,3490612,1946580,493546,493546,200515.0,0,200515.0
