date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應收帳款淨額,應收帳款－關係人淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,非流動負債合計,非流動資產合計,預收股款（權益項下）之約當發行股數
2013-05-09,1,2013,1177806,837370,90636,377985,160406,341686,,18892,30819,1316.0,74592,251050,240356,,578219,,553928,,270634,1270550,2013年03月31日,498910,,3127073,3127073,0,298613,1087496,2326450,6618,39847,,1379150.0,15456.0,314342,1270550,,,,1128123.0,677467,3996,673471,,4255196.0,181.0,122197,39311,21111,40627,1928746,0
2013-08-07,2,2013,1170097,750673,172478,450645,314702,462029,,26635,35679,1136.0,71994,289551,253092,,867430,,863665,,279649,1270550,2013年06月30日,397306,,3160719,3160719,0,313520,1442428,2643639,6374,39847,,1271055.0,22150.0,211406,1270550,,,,1482875.0,677467,3996,673471,,4643594.0,105.0,220148,39311,21196,40447,1999955,0
2013-11-12,3,2013,1143097,833314,230181,498587,209132,492335,0.0,20421,41678,966.0,71238,262154,275750,,986157,,928372,,290861,1270550,2013年09月30日,479947,,3273666,3273666,0,313520,1511116,2793077,7061,39847,,1390082.0,57967.0,237439,1270550,,,,1551393.0,677467,3996,673471,,4825059.0,,157195,39311,21138,40277,2031982,0
2014-03-19,4,2013,1121326,903725,326414,572683,240785,632467,0.0,29097,41468,0.0,69436,306053,435480,,1052941,,746860,,314345,1270550,2013年12月31日,550358,,3484209,3484209,0,313520,1496533,2938413,7333,39847,,1429712.0,53651.0,120059,1270550,,,,1555185.0,677467,3996,673471,,5039394.0,,284893,58652,15858,58652,2100981,0
2014-05-07,1,2014,1088780,974446,320298,561115,205966,616427,0.0,21624,49421,0.0,69275,296129,392050,0.0,918781,,759650,,325489,1270550,2014年03月31日,621079,,3538890,3538890,0,313520,1372160,2909290,7282,39847,1402018.0,,68054.0,150735,1270550,,7000.0,,1437205.0,677467,3996,673471,,4976095.0,0.0,306151,65045,14864,65045,2066805,0
2014-08-08,2,2014,1047549,901470,283007,527239,390860,536937,0.0,21646,41879,0.0,85351,253930,365435,0.0,879846,74668.0,848800,,325668,1270550,2014年06月30日,529173,,3386424,3386424,0,332450,1628549,3082102,9259,39847,1590813.0,,36498.0,218031,1270550,,7000.0,,1704531.0,677467,3996,673471,,5090955.0,0.0,235175,75982,13787,75982,2008853,0
2014-11-05,3,2014,1018641,1022287,250281,499452,255344,563666,,21853,55617,0.0,84680,313385,309942,0.0,875528,114317.0,962309,,319421,1270550,2014年09月30日,649990,,3533970,3533970,0,332450,1525901,3187187,8773,39847,1714445.0,,46240.0,212619,1270550,,,,1609446.0,677467,3996,673471,,5143416.0,,144874,83545,25262,83545,1956229,0
2015-03-19,4,2014,987475,1061591,231178,483749,279199,622493,,21729,49770,,83074,391315,432249,0.0,802554,94028.0,690167,,316955,1270550,2014年12月31日,689294,,3632101,3632101,0,332450,1300113,3102748,9844,39847,1713827.0,,40288.0,62315,1270550,,,,1382026.0,677467,3996,673471,,5014127.0,,216735,81913,30282,81913,1911379,0
2015-05-12,1,2015,980498,1127189,225397,474334,260050,618698,,18935,30041,,90663,393301,303044,0.0,681694,87559.0,610247,8328.0,322318,1270550,2015年03月31日,754892,58244.0,3693904,3693904,0,332450,1106482,2977664,8938,39847,,1790029.0,,0,1270550,4886489.0,0.0,1192585.0,,677467,3996,673471,4886489.0,,,235975,86103,32074,86103,1908825,0
2015-08-11,2,2015,981101,969975,123709,386573,546672,493295,0.0,17965,43251,,73729,369586,277676,0.0,789435,104553.0,776379,5274.0,311675,1270550,2015年06月30日,566828,41589.0,3411287,3411287,0,363300,1500214,3214266,8504,39847,,1813655.0,,0,1270550,5006937.0,,1595650.0,,677467,3996,673471,5006937.0,,,298031,95436,31089,95436,1792671,0
2015-11-09,3,2015,961832,1110584,117818,386901,281747,542688,,17652,65766,,72084,424870,248257,0.0,823125,103158.0,813771,6549.0,307241,1270550,2015年09月30日,707437,114392.0,3601289,3601289,0,363300,1340913,3238824,8687,39847,,2005265.0,,0,1270550,5003423.0,,1402134.0,,677467,3996,673471,5003423.0,,839.0,99216,61221,27854,61221,1764599,0
2016-03-22,4,2015,902558,1113340,126105,394503,294558,506812,,15669,65176,,72681,380707,300175,0.0,552135,69385.0,497184,4422.0,308701,1270550,2015年12月31日,710193,37283.0,3568169,3568169,0,363300,969030,2885432,8713,39847,,1845275.0,,0,1270550,4598790.0,,1030621.0,,677467,3996,673471,4598790.0,,,173200,61591,26202,61591,1713358,0
