date,season,year,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他無形資產淨額,其他非流動負債合計,其他非流動資產合計,其他非流動資產－其他合計,其他預付款,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,庫藏股票,待註銷股本股數,應付帳款合計,應付票據合計,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債總計,負債總額,資本公積合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付租金,預付設備款,預收股款（權益項下）之約當發行股數
2013-05-07,1,2013,3068229,6958,3062016,93859,1374386,209759,39629,545298,132653,132653,5160,5528,131524,135337,,383368,451439,10010,6950,1410279,0.0,,426776,246058,1160308,180759,121514.0,3050000,2013年03月31日,1836386,,6865147,6681745,0,1225630,1941181,6073749,,5528,,560023.0,,954291.0,128021.0,797914,3050000,,,2454724.0,24431,12908,11523,,9319871.0,,2247,382019,30070,,128387,183402.0,513543,3246122,386667,3299,,0
2013-08-06,2,2013,3133999,6958,2678997,85688,1339646,854992,28506,601634,145264,145264,8738,5409,129448,141802,,448233,515946,10014,4489,1535588,0.0,,570863,390199,1239224,218715,119434.0,3050000,2013年06月30日,1370552,,6355062,6355062,0,1308445,2927833,6481639,,5409,,801493.0,,852775.0,114875.0,851640,3050000,,,3446477.0,24431,12908,11523,,9801539.0,,5430,389196,31732,,129489,0.0,518644,3319900,451524,3291,7824.0,0
2013-10-31,3,2013,3064361,6958,2962455,87323,846726,218652,30304,556011,45780,45780,7923,5142,174823,155342,,531479,468688,10014,7389,1721571,0.0,,538569,573409,1205509,405318,117443.0,3050000,2013年09月30日,1654010,,6592897,6592897,0,1308445,2452811,6357595,,5142,,779787.0,,818684.0,96268.0,980133,3050000,,,3027064.0,24431,12908,11523,,9619961.0,0.0,6987,399430,30563,47366.0,127090,0.0,574253,3262366,534786,3307,20863.0,0
2014-03-18,4,2013,3103725,4671,3091904,103830,1157643,214388,25480,645050,53864,53864,844,5103,212853,156520,,543918,541220,10025,7220,1842873,0.0,,630533,571769,1154363,187103,170096.0,3050000,2013年12月31日,1783459,,6811385,6811385,0,1308445,2553424,6674941,,5103,,1041636.0,,698823.0,104639.0,978231,3050000,,,3171909.0,24431,12908,11523,,9983294.0,,18894,405632,38334,32732.0,128458,0.0,618485,3308353,547282,3364,20842.0,0
2014-05-02,1,2014,3049431,4671,3252135,106679,1255451,139883,84332,638675,51636,51636,2951,5095,209072,166497,,550114,531996,10070,18080,1675164,0.0,0.0,587104,665834,1221586,146253,166578.0,3050000,2014年03月31日,1943690,,6965241,6965241,0,1308445,2353323,6672944,,5095,,1154439.0,573329.0,,128617.0,780249,3050000,,,2969409.0,24431,12908,11523,,9934650.0,,5961,407014,36012,32424.0,127575,0.0,616086,3261706,553478,3364,20842.0,0
2014-08-05,2,2014,3024873,2352,2837055,139073,1260856,853714,31200,591561,98798,98798,3972,4785,206579,135700,,554410,452488,10068,7686,1581056,0.0,0.0,583612,438315,1421391,172511,164855.0,3050000,2014年06月30日,1440790,,6503047,6503047,0,1396265,3126915,7044111,,4785,,904144.0,1109703.0,,88491.0,1063985,3050000,,,3743748.0,24431,12908,11523,,10246795.0,,1570,410254,34974,31656.0,124247,0.0,616833,3202684,557708,3298,3767.0,0
2014-11-04,3,2014,3171678,2352,3102342,127345,649876,196877,32549,685382,63020,63020,16624,8268,205546,428445,,355687,558037,10071,1390,1789984,0.0,0.0,554873,510119,1340487,222058,163193.0,3050000,2014年09月30日,1706077,,6862155,6862155,0,1396265,2431266,6272877,,8268,,956567.0,905112.0,,68320.0,1038057,3050000,,,3055554.0,24431,12908,11523,,9917709.0,,553,418742,34089,32282.0,126519,0.0,624288,3644832,359067,3380,300536.0,0
2015-03-17,4,2014,3231101,2352,3258710,138478,886929,224862,40977,833251,38180,38180,1160,8332,209715,607633,,150806,694773,10009,1975,1755427,0.0,0.0,367590,571113,1002508,112593,166580.0,3050000,2014年12月31日,1862445,,7166392,7166392,0,1396265,2243967,6157834,,8332,,1313644.0,890303.0,,89172.0,953050,3050000,,,2874850.0,24431,12908,11523,,10041242.0,,0,421168,33990,33126.0,129641,0.0,630883,3883408,154293,3487,476017.0,0
2015-05-12,1,2015,3182779,2352,3362733,151190,868238,212498,27784,802524,68069,68069,3675,8062,199723,605777,472956.0,160975,651334,99,5346,1495701,,0.0,524679,601152,1246860,143876,,3050000,2015年03月31日,1966468,112250.0,7239688,7239688,0,1396265,2207019,6230195,166997.0,8062,947463.0,,,1190321.0,,688371,3050000,10064352.0,2824664.0,,24431,12908,11523,10064352.0,,,141850,417922,35187,32627.0,127475,,617645,3834157,164427,3452,,0
2015-08-06,2,2015,3113656,1274,3012866,144888,1023254,827709,18781,729521,94888,94888,9973,7787,197528,608651,482334.0,173619,584633,97,1736,1410235,0.0,0.0,662302,871352,1566286,150450,,3050000,2015年06月30日,1538515,84421.0,6816818,6816818,0,1474351,3164141,6840431,165448.0,7787,1051139.0,,,1080990.0,,623469,3050000,10607021.0,3790203.0,,24431,12908,11523,10607021.0,,,352308,428534,35222,31983.0,124581,,626062,3766590,177015,3396,,0
