date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－非流動淨額,其他應付款合計,其他應付款項－關係人,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融負債－流動,其他金融資產－流動,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,國外營運機構財務報表換算之兌換差額合計,存入保證金,存出保證金,存貨合計,存貨－製造業淨額,庫藏股票,待出售非流動資產（淨額）,待註銷股本股數,應付公司債合計,應付帳款合計,應付帳款－關係人合計,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－受贈資產合計,資本公積－庫藏股票交易,資本公積－發行溢價合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期遞延收入,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預付設備款,預收款項合計,預收股款（權益項下）之約當發行股數
2013-05-10,1,2013,2079665,26872716,501050,2507325,,140123,691855,,4847,-196848,2152587,72922.0,647579,,,478586,7751.0,684563,615462,,,69101,5125335,5125335.0,0.0,,,,984664,58663,59973.0,21504,1804359,499219,900682,470835.0,10561,15791453,2013年03月31日,,,,19398517,18330108,0,,7505901,11884702,,466100,,,2688058.0,81268.0,6577.0,3455387,15791453,,,,70318,,21320717.0,228178,,,,,40719234.0,,,206687,159419,13059225,,,1068409,13814816,28834532,208046,,,0
2013-08-07,2,2013,3681191,30577692,501050,2641701,,165234,1035287,1293265.0,14248,12630,3781722,100531.0,930027,,,470527,12291.0,857450,782998,,,74452,5327077,5327077.0,0.0,,,,1288491,304511,0.0,23832,1859083,839287,956218,458236.0,10561,15791453,2013年06月30日,,,,19784595,18673962,0,,11382045,12086344,,490148,,,1872566.0,108879.0,10615.0,3546058,15791453,,,,70646,,25072365.0,228178,,,,,44856960.0,,,210645,168481,12938502,,,1110633,13690320,32770616,277223,,,0
2013-11-11,3,2013,3631871,30419702,501050,2949807,-186857.0,192060,1127191,,230744,-3526,3699443,,4914,6288.0,4914.0,457957,,1583170,69308,183331.0,12563.0,97778,5194411,,,,,,1459216,380210,149958.0,32569,1958207,1228545,931852,445394.0,10561,15791453,2013年09月30日,939388.0,,,20071442,18965912,0,1183966.0,11833738,13454693,,497413,826453.0,,2745987.0,181823.0,3628.0,4770026,15791453,,,33302.0,70974,,26770261.0,228178,819.0,169088.0,58271.0,,46841703.0,,,214331,183054,14193261,,353468.0,1105530,14936523,33387010,1156405,1062616.0,61284.0,0
2014-03-24,4,2013,3829209,32446044,501050,3202974,-201338.0,177579,1306295,,178314,226012,3993883,,5971,4762.0,5971.0,451565,,698708,82980,427350.0,15787.0,117203,4925065,,,314126.0,,,1286624,209283,0.0,22974,2082063,881955,1067488,435778.0,10561,15791453,2013年12月31日,1192555.0,,,20597811,19448617,0,1183966.0,11235209,11889232,,497753,826453.0,,804825.0,216132.0,12673.0,4199647,15791453,371.0,,,71302,,25855851.0,228178,819.0,169088.0,58271.0,,46453662.0,,43.0,220324,232735,13877451,,333726.0,1149194,14620642,34564430,1616709,164799.0,159912.0,0
2014-05-06,1,2014,4146651,32445936,501050,3550975,-235135.0,143782,1410014,,159807,18227,4252909,,4944,12549.0,4944.0,484675,,678594,82890,253362.0,17197.0,72252,4665061,,,311990.0,0.0,,1522320,133306,0.0,21593,1626627,1344325,995464,420469.0,166827,15791453,2014年03月31日,1540556.0,,,20736112,19588833,0,1183966.0,12744538,13178774,,501964,826453.0,2443594.0,,257812.0,23011.0,5145949,15791453,635.0,,,71636,,27132083.0,228178,819.0,169088.0,58271.0,,47868195.0,,0.0,229750,251268,13601484,47009.0,432063.0,1147279,14387545,34689421,1603951,91389.0,93709.0,0
2014-08-06,2,2014,4296808,32257108,501050,2704897,-224915.0,154002,2595327,119456.0,155417,-103095,4394390,,18675,19727.0,18675.0,462112,,600520,79802,121820.0,8279.0,73272,5105728,,,305429.0,0.0,,1280856,157753,449811.0,17046,1843840,1493817,784268,407681.0,162241,15791453,2014年06月30日,575223.0,,,19745690,18621433,0,1303221.0,14384110,13386870,,487765,826453.0,2117657.0,,115277.0,8458.0,5254163,15791453,31.0,,,71971,,28065548.0,228178,819.0,169088.0,58271.0,,47811238.0,,0.0,237814,261682,12909541,46152.0,422451.0,1124257,13681438,34424368,1553581,24995.0,77855.0,0
2014-11-10,3,2014,4124222,32524221,501050,2866505,-226817.0,152100,1528673,69351.0,171069,167976,4208737,,17217,31846.0,17217.0,450762,,627550,75533,394793.0,8500.0,59215,5310937,,,318391.0,0.0,,1230147,227064,1699220.0,20584,1786793,1198432,931732,394930.0,164355,15791453,2014年09月30日,736831.0,,,20202580,19054112,0,1303221.0,14465417,13075928,,484561,826453.0,1823810.0,,41397.0,16832.0,5439274,15791453,970.0,,0.0,72305,,27591631.0,228178,819.0,169088.0,58271.0,,47794211.0,,0.0,254453,264446,12348694,47332.0,488230.0,1148468,13126214,34718283,1500715,4572.0,52669.0,0
2015-03-25,4,2014,4737529,35344195,501050,2941638,-200577.0,178340,1637040,1282736.0,143211,473223,4911776,,53979,16437.0,53979.0,449063,,630069,76490,673800.0,10180.0,53530,5053426,,,39928.0,0.0,,601615,172561,99942.0,19571,2041830,689692,1255436,390035.0,167463,15791453,2014年12月31日,811964.0,,,20609047,19434492,0,1303221.0,12899237,12663354,,488186,826453.0,1571903.0,,71440.0,35848.0,4102556,15791453,0.0,,,72639,,29719772.0,228178,819.0,169088.0,58271.0,,50328819.0,,0.0,272344,356162,16026489,48848.0,499142.0,1174555,16820535,37665465,1778101,907.0,157810.0,0
2015-05-06,1,2015,4783008,34509402,501050,3434025,-206142.0,172775,1535836,221985.0,240232,368966,4935643,,44099,15951.0,44099.0,432526,,636402,73435,575108.0,9652.0,53479,4733251,,,0.0,0.0,718650.0,1320413,321895,0.0,13974,1586226,1919965,1408425,,164592,15791453,2015年03月31日,1304351.0,241672.0,21997.0,20965882,19822622,0,1303221.0,12954796,15209973,374487.0,472796,826453.0,,3690574.0,,,4363325,15791453,0.0,52065258.0,,72980,31099376.0,,228178,819.0,169088.0,58271.0,52065258.0,,53.0,,280464,398268,16639960,48387.0,491782.0,1143260,18144580,36855285,1565204,17706.0,136684.0,0
2015-08-05,2,2015,4792744,33617119,501050,2987261,-207506.0,171411,2224050,154763.0,156813,219139,4843523,,36063,17199.0,36063.0,418742,,690364,67342,426645.0,9196.0,86209,4778663,,,0.0,0.0,708568.0,1497052,201797,0.0,22783,1409058,1960771,1153923,,160623,15791453,2015年06月30日,781076.0,65625.0,33915.0,20343342,19226031,0,1379732.0,12351907,13135630,361840.0,455374,826453.0,,2260199.0,,,3342314,15791453,0.0,49121783.0,,73320,28778441.0,,228178,819.0,169088.0,58271.0,49121783.0,,,142.0,295158,390212,14930746,47706.0,498185.0,1117311,16426534,35986153,1346083,38628.0,33580.0,0
