date,season,year,不動產、廠房及設備合計,保留盈餘合計,備供出售金融資產未實現損益合計,備供出售金融資產－流動淨額,備供出售金融資產－非流動淨額,其他應付款合計,其他應收款淨額,其他權益合計,其他流動負債合計,其他流動資產合計,其他非流動負債合計,其他非流動資產合計,國外營運機構財務報表換算之兌換差額合計,存貨合計,待出售非流動資產（淨額）,待註銷股本股數,應付帳款合計,應付帳款－關係人合計,應付建造合約款,應付短期票券合計,應付票據合計,應收帳款淨額,應收帳款－關係人淨額,應收建造合約款,應收票據淨額,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,本期所得稅資產合計,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,無形資產合計,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－非流動合計,當期所得稅負債,當期所得稅資產合計,短期借款合計,股本合計,與待出售非流動資產直接相關之負債,負債及權益總計,負債準備－流動合計,負債準備－非流動合計,負債總計,負債總額,資本公積合計,資本公積－其他,資本公積－採用權益法認列關聯企業及合資股權淨值之變動數,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,非控制權益,非流動負債合計,非流動資產合計,預付款項合計,預收股款（權益項下）之約當發行股數
2013-05-14,1,2013,12432000,2961198,3681,0.0,42586,2513596,151836,10551,7477369,29901,2164236,711928,6870,14473421,128640.0,,2679060,195985,,460000,27420,3597075,494773,209006.0,106322,252887,139002,5060629,2013年03月31日,2016098,,,11128099,8033066,0,312748,17340755,22272397,148796,632352.0,,2467405.0,393549,440153.0,,3547095,5060629,,,,2373,,25478460.0,688,688,,,36606559.0,77.0,0.0,1116235,213414,4854861,3095033,8137705,14334162,614018,0
2013-08-14,2,2013,13157023,2914471,3814,0.0,42718,3837823,161943,78562,318417,26476,2160931,748629,74748,14659300,,,2774532,206501,,490000,35906,4027482,668770,201934.0,136190,241890,199825,5060629,2013年06月30日,2502803,,,11112422,8054350,0,388319,11451293,22687700,151638,23349.0,,2155656.0,385434,224327.0,65.0,3563676,5060629,,,,2373,,26677160.0,688,688,,,37789582.0,111.0,0.0,1115632,174725,11946931,3058072,15225867,15101882,649884,0
2013-11-12,3,2013,13174437,3196425,4356,0.0,43634,3616613,144388,33501,358329,41020,2155058,1035345,29145,14657781,,,2639147,209653,33483.0,505000,33882,4033542,665902,23358.0,112669,255544,276852,5060629,2013年09月30日,2784757,,,11371972,8291243,0,388319,12027891,23104042,149322,23349.0,,2728748.0,392182,212742.0,290.0,4373055,5060629,,,45987.0,2179,,27238798.0,688,688,0.0,,38610770.0,,0.0,1115632,179412,11938038,3080729,15210907,15506728,696344,0
2014-03-27,4,2013,13489643,3147132,5766,,45045,3469529,148975,103593,7413580,216517,2213530,1210557,97827,14571046,,,2071092,133442,3651.0,444900,25498,2888408,512254,19078.0,77215,274833,277143,5060629,2013年12月31日,2735464,,,11528095,8312042,0,388319,17340009,21972928,113266,23349.0,,2933196.0,381387,197260.0,,3534134,5060629,,,46923.0,177,,26489755.0,688,688,0.0,,38017850.0,,0.0,1161247,253048,5774792,3216053,9149746,16044922,606239,0
2014-05-13,1,2014,13972616,3403518,10427,,49707,3050798,92610,90522,8240530,237504,2203172,1311540,80095,14750828,0.0,0.0,2464584,143244,8002.0,491000,37232,3177704,524072,19888.0,75377,274257,280829,5060629,2014年03月31日,2991850,,,11751915,8555357,0,388319,18983840,22487149,117380,23349.0,2770108.0,,427322,226146.0,,4287229,5060629,,,35075.0,177,,27410935.0,688,688,,,39162850.0,0.0,0.0,1148937,242050,5074809,3196558,8427095,16675701,839058,0
2014-08-12,2,2014,14159485,3275372,10709,,49989,3528313,120616,48921,7809162,10193,2204180,915781,38212,14808995,,0.0,2630629,170197,2325.0,530000,30103,3783073,694719,5212.0,136636,273680,283868,5060629,2014年06月30日,2799765,,,11738061,8385610,0,475607,19999752,23789373,115611,0.0,3520110.0,,438361,214198.0,5614.0,5084097,5060629,,,728.0,177,,28547093.0,688,688,,,40285154.0,0.0,0.0,1144840,259006,5198144,3352451,8547341,16495781,704205,0
2014-11-14,3,2014,14474512,3218777,10838,,50117,3416428,145624,127475,7956524,28651,2201433,937549,116637,14718957,,0.0,2508773,155468,2443.0,615000,32829,3702790,567097,1854.0,112853,680690,285691,5060629,2014年09月30日,2743170,,,11730182,8407569,0,475607,19765519,22519441,115030,0.0,2555187.0,,439513,123737.0,1527.0,4665423,5060629,,,288894.0,177,,28073262.0,688,688,,,39803444.0,,,1166106,300901,4940027,3322613,8307743,17284003,684901,0
2015-03-27,4,2014,14472361,2439217,10142,,49421,6349477,184963,327685,3246709,373465,2075113,996912,317543,2250031,12484823.0,0.0,1812794,31628,2443.0,439956,26184,2371741,416186,0.0,107151,679551,352563,5060629,2014年12月31日,1963610,,,11045074,7828219,0,475607,22307990,21763676,81292,0.0,2651159.0,,407760,56979.0,48736.0,3511276,5060629,6736949.0,,93595.0,177,,28144994.0,688,688,,,39190068.0,,,1188660,386532,2573054,3216855,5837004,17426392,875421,0
2015-05-13,1,2015,14477008,2189161,16779,,56056,6885461,180676,262641,3217684,274421,1909942,822433,245862,2297597,12528798.0,0.0,1914111,37097,2443.0,390000,32070,2390189,376706,0.0,47404,664573,353474,5060629,2015年03月31日,1713554,49721.0,115832.0,10689261,7513119,0,475607,22256155,21266850,79836,0.0,,2306648.0,394667,,,2875055,5060629,6792902.0,38564147.0,59611.0,177,27874886.0,,688,688,,38564147.0,,,,1185182,449250,2523430,3176142,5618731,17297297,748579,0
2015-08-12,2,2015,14212700,1880764,15220,,54497,7097057,113445,223313,2366281,318844,1884367,816443,208093,2078716,12463753.0,0.0,2074633,69182,2325.0,440000,22804,2766290,405375,0.0,62592,663416,352493,5060629,2015年06月30日,1405157,27907.0,115837.0,10370222,7165394,0,475607,22516430,21226585,76933,0.0,,2122089.0,377238,,,3793192,5060629,6622895.0,38294268.0,154.0,0,27924046.0,,688,688,,38294268.0,,,,1187183,513963,2336066,3204828,5407616,17067683,779644,0
