date,season,year,一年或一營業週期內到期長期負債合計,不動產、廠房及設備合計,以成本衡量之金融資產－非流動淨額,保留盈餘合計,共同控制下前手權益,其他應付款合計,其他應付款－其他,其他應收款淨額,其他權益合計,其他權益－其他合計,其他流動負債合計,其他流動負債－其他,其他流動資產合計,其他金融資產－非流動合計,其他非流動負債合計,其他非流動負債－其他,其他非流動資產合計,其他非流動資產－其他合計,存出保證金,存貨合計,存貨－買賣業淨額,庫藏股票,待分配股票股利,待註銷股本股數,應付帳款合計,應付票據合計,應付租賃款－流動,應付租賃款－非流動,應收帳款淨額,應收票據淨額,應計退休金負債（應付退休金費用）,投資性不動產淨額,採用權益法之投資淨額,普通股股本,會計項目,未分配盈餘（或待彌補虧損）合計,本期所得稅負債,權益總額,歸屬於母公司業主之權益合計,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,法定盈餘公積,流動負債合計,流動資產合計,淨確定福利負債-非流動,無形資產合計,無活絡市場之債券債務工具投資-流動淨額,無活絡市場之債券投資－流動淨額,特別盈餘公積,現金及約當現金合計,現金及約當現金總額,生物資產－非流動合計,當期所得稅負債,短期借款合計,股本合計,負債及權益總計,負債準備－流動合計,負債總計,負債總額,資本公積合計,資產總計,資產總額,透過損益按公允價值衡量之金融負債－流動合計,透過損益按公允價值衡量之金融資產－流動合計,遞延所得稅負債合計,遞延所得稅資產,長期借款合計,長期應付票據及款項合計,長期預付租金,非控制權益,非流動負債合計,非流動資產合計,預付投資款,預付款項合計,預付租金,預收股款（權益項下）之約當發行股數
2013-05-08,1,2013,79056,1787990,5528,1092265,,363363,,6727,37452,37452.0,83987,4895,259484,24063.0,213120,4108,46157,22094.0,,925093,,0.0,,,399400,,36.0,39.0,1057937,61917,208973.0,374090,,1224480,2013年03月31日,801130,,2442044,2426632,0,276737,1372370,2710453,,2565,,34231.0,14398.0,,297739.0,1309,77044.0,448576,1224480,,,,2557709.0,72435,,4999753.0,0,66505,1009,71661,971210,39.0,,15412,1185339,2289300,,820.0,820.0,0
2013-08-09,2,2013,79056,1943890,5528,897041,,642108,,6432,40932,40932.0,87891,8835,52961,24347.0,213234,4140,48307,,23960.0,1165515,,,97958.0,,441906,1102.0,,,842090,35379,209094.0,373179,,1224480,2013年06月30日,530293,,2359578,2332846,0,313453,1655361,2737167,,2125,,34972.0,53295.0,,366745.0,1322,40385.0,441969,1322438,,,,2821502.0,72435,,5181080.0,0,232236,1461,69562,951446,,,26732,1166141,2443913,,837.0,837.0,0
2013-11-06,3,2013,79056,2170135,5528,956747,,550742,,4948,39107,39107.0,91718,12662,67311,23911.0,205737,4130,47872,,23961.0,1059362,,,,,386051,524.0,,,989873,43511,201607.0,372268,,1322438,2013年09月30日,589999,,2416929,2390727,0,313453,1421087,2479547,,2625,,73120.0,53295.0,,206502.0,1296,11651.0,378895,1322438,,,,2728889.0,72435,,5145818.0,1506,34091,383,66547,1101682,,,26202,1307802,2666271,,829.0,829.0,0
2014-03-26,4,2013,79056,2457398,4901,1072642,,549619,,5634,42242,42242.0,85682,6626,106447,24092.0,210296,4122,48279,,24187.0,1038481,,,,,366119,,,,995415,29643,206174.0,371357,,1322438,2013年12月31日,705894,,2534957,2509757,0,313453,1436116,2497176,,5332,,74319.0,53295.0,,211074.0,1303,36697.0,392746,1322438,,,,2918759.0,72435,,5453716.0,5253,35320,429,67970,1271918,,,25200,1482643,2956540,,843.0,843.0,0
2014-05-14,1,2014,509056,2632625,4901,1098470,0.0,502726,,5090,43717,,515566,6510,169105,24060.0,209017,3099,48021,,23961.0,1178818,,,,0.0,358615,,,,877944,49473,205918.0,370446,,1322438,2014年03月31日,731722,,2563170,2537060,0,313453,2250229,2785861,,5170,,74875.0,53295.0,306843.0,,1299,39240.0,833565,1322438,,,,3353648.0,72435,,5916818.0,517,122864,2248,68495,892154,,,26110,1103419,3130957,,849.0,849.0,0
2014-08-12,2,2014,624056,2829614,4901,825362,,697773,,10374,41071,,632808,8752,57654,23491.0,209108,3052,47452,,23961.0,1352872,1352872.0,,158693.0,0.0,463762,0.0,,,1045474,32627,206056.0,369535,,1322438,2014年06月30日,477645,,2443910,2419999,0,347717,2554118,2754419,,5026,,19416.0,0.0,211765.0,,1266,19956.0,739534,1481131,,,,3637263.0,72435,,6081173.0,285,23388,1647,68960,872390,,,23911,1083145,3326754,,849.0,849.0,0
2014-11-12,3,2014,79056,2876969,4901,878523,,591296,,5589,44321,,97555,18499,83081,23732.0,208135,3022,64712,,23480.0,1160098,,,,0.0,488975,8.0,,,1192799,37043,205113.0,368624,7710.0,1481131,2014年09月30日,530806,,2491833,2476410,0,347717,1869537,2722049,,4956,,14833.0,0.0,205716.0,,1275,24004.0,667465,1481131,,,,3631155.0,72435,,6122988.0,234,22890,857,71792,1552626,,,15423,1761618,3400939,17500.0,,,0
2015-03-25,4,2014,79056,2806294,17140,991970,,521773,,4957,52152,,95916,16860,66699,,223186,3373,48962,,23471.0,1271710,,,,0.0,510272,,,,1083016,27821,219813.0,448742,17487.0,1481131,2014年12月31日,644253,,2614103,2597688,0,347717,1786588,2739235,,4301,,15517.0,0.0,240860.0,,1319,47617.0,610251,1481131,,,,3543815.0,72435,,6157918.0,759,28655,1179,74438,1532862,,25491.0,16415,1757227,3418683,,,,0
2015-05-13,1,2015,79056,2755810,17140,1087161,0.0,464057,,5375,49510,,91081,12025,222826,,220648,3368,48310,,23415.0,1140582,,,,0.0,463230,,,,1206837,57219,,445720,17487.0,1481131,2015年03月31日,739444,67585.0,2705962,2690237,0,347717,1888872,2924556,217280.0,6217,15288.0,,0.0,,251412.0,39572,,799111,1481131,6329292.0,,3623330.0,,72435,6329292.0,,3808,25017,712,74480,1513098,,24895.0,15725,1734458,3404736,,,,0
2015-08-11,2,2015,75384,2894920,17140,984728,,755943,,7988,47876,,88397,13013,87253,,220407,3364,47761,,23319.0,1373392,,,0.0,,513373,,,,1047918,30308,,442852,17487.0,1481131,2015年06月30日,614730,36127.0,2602158,2586170,0,369998,2087691,2846472,217043.0,5413,15143.0,,,,263025.0,35666,,688040,1481131,6380325.0,,3778167.0,,72435,6380325.0,,5811,21445,523,72614,1469546,,24442.0,15988,1690476,3533853,,,,0
